trade_date,event,symbol,amount,cash_after
2020-06-01,buy,SZ000835,-30479.16165801287,1486543.6491295747
2020-06-01,buy,SZ002209,-32786.01693725586,1453757.6321923188
2020-06-01,buy,SZ002633,-24055.417690873146,1429702.2145014456
2020-06-01,buy,SZ300029,-1207355.510661502,222346.70383994374
2020-06-01,buy,SZ300090,-222332.62540899275,14.078430950990878
2020-07-01,sell,SH600306,1417949.931994586,1417964.010425537
2020-07-01,sell,SH600561,78202.30394462586,1496166.3143701628
2020-07-01,sell,SH600599,987108.91174819,2483275.2261183527
2020-07-01,sell,SH603269,63553.914439888,2546829.140558241
2020-07-01,sell,SZ002209,86746.34499662876,2633575.4855548698
2020-07-01,sell,SZ002633,59007.64141201973,2692583.1269668895
2020-07-01,sell,SZ300029,62725.59088302612,2755308.7178499154
2020-07-01,buy,SZ000502,-1198750.2249912643,1556558.492858651
2020-07-01,buy,SZ000929,-1199146.2463957213,357412.24646292976
2020-07-01,buy,SZ002473,-357169.5355646515,242.7108982782811
2020-08-03,sell,SH600561,1304973.3358557702,1305216.0467540484
2020-08-03,sell,SH603269,1335186.523568573,2640402.5703226216
2020-08-03,sell,SZ000502,35734.434358119965,2676137.0046807416
2020-08-03,sell,SZ000835,866046.3523304844,3542183.357011226
2020-08-03,sell,SZ000929,60980.45326669693,3603163.810277923
2020-08-03,sell,SZ002209,63383.63047814369,3666547.4407560667
2020-08-03,sell,SZ002473,298013.6332302475,3964561.0739863142
2020-08-03,sell,SZ002633,52343.53608438492,4016904.6100706994
2020-08-03,sell,SZ300029,206755.25413215638,4223659.864202856
2020-08-03,sell,SZ300090,102011.2105198717,4325671.074722728
2020-08-03,buy,SH600365,-1255413.737988038,3070257.33673469
2020-08-03,buy,SH600768,-1254855.7505603028,1815401.586174387
2020-08-03,buy,SZ300535,-1254629.6344670104,560771.9517073766
2020-08-03,buy,SZ300665,-560536.2537153816,235.6979919950245
2020-09-01,sell,SH600365,1067403.7250916339,1067639.423083629
2020-09-01,sell,SZ000502,137495.27331499098,1205134.69639862
2020-09-01,sell,SZ000929,69227.20073474407,1274361.897133364
2020-09-01,sell,SZ002209,34235.13533546448,1308597.0324688286
2020-09-01,sell,SZ002633,108473.1324243164,1417070.164893145
2020-09-01,sell,SZ300535,70714.03577041626,1487784.2006635612
2020-09-01,buy,SH600520,-1307036.1754598618,180748.02520369948
2020-09-01,buy,SH600561,-180681.7128240204,66.31237967908964
2020-10-09,sell,SH600520,17202.549877710342,17268.86225738943
2020-10-09,sell,SZ000502,70423.12940297127,87691.99166036071
2020-10-09,sell,SZ000929,1384347.0247543717,1472039.0164147324
2020-10-09,sell,SZ002209,48617.36696043491,1520656.3833751674
2020-10-09,sell,SZ300535,1382599.4054746055,2903255.788849773
2020-10-09,buy,SH600561,-1003525.6183981848,1899730.170451588
2020-10-09,buy,SH600768,-30985.574622802735,1868744.5958287853
2020-10-09,buy,SH603029,-1172087.266725998,696657.3291027874
2020-10-09,buy,SH603269,-696489.3467852783,167.98231750912964
2020-11-02,sell,SH600561,1275514.6223543216,1275682.6046718308
2020-11-02,sell,SH603269,688378.1500744629,1964060.7547462936
2020-11-02,sell,SZ002209,1267070.846991248,3231131.6017375416
2020-11-02,sell,SZ002633,14142.79787902832,3245274.3996165697
2020-11-02,sell,SZ300029,975148.5137176752,4220422.913334245
2020-11-02,sell,SZ300431,152821.07465063184,4373243.987984877
2020-11-02,sell,SZ300665,668125.5987831115,5041369.586767988
2020-11-02,buy,SH600355,-1179499.4407067418,3861870.1460612463
2020-11-02,buy,SH600506,-1178710.4383843231,2683159.707676923
2020-11-02,buy,SH600520,-105197.30118265151,2577962.4064942715
2020-11-02,buy,SH600768,-48587.75501461029,2529374.651479661
2020-11-02,buy,SH600778,-1179237.9187302447,1350136.7327494163
2020-11-02,buy,SH603029,-59515.85088054657,1290620.8818688698
2020-11-02,buy,SH603958,-1178958.8127590846,111662.06910978514
2020-11-02,buy,SZ000502,-75250.85150874138,36411.217601043754
2020-11-02,buy,SZ000702,-36192.433586740495,218.78401430325903
2020-12-01,sell,SH600506,1248565.0693606567,1248783.85337496
2020-12-01,sell,SH600768,22787.74793068886,1271571.6013056487
2020-12-01,sell,SH603958,1425325.0689464808,2696896.6702521294
2020-12-01,sell,SZ000702,39698.123560094835,2736594.793812224
2020-12-01,buy,SH600355,-13148.959283828735,2723445.8345283954
2020-12-01,buy,SH600520,-16242.554216384888,2707203.2803120106
2020-12-01,buy,SH600561,-1229979.987342739,1477223.2929692715
2020-12-01,buy,SH600778,-18902.208268432616,1458321.084700839
2020-12-01,buy,SH603029,-3440.5034828186035,1454880.5812180203
2020-12-01,buy,SH603269,-1229907.4581136894,224973.12310433085
2020-12-01,buy,SZ000502,-18945.87571120262,206027.24739312823
2020-12-01,buy,SZ002633,-114724.93726843834,91302.31012468989
2020-12-01,buy,SZ300478,-90557.14499586105,745.1651288288413
2021-01-04,sell,SH600561,1106506.4726299096,1107251.6377587384
2021-01-04,sell,SH603269,1110967.3792357063,2218219.0169944447
2021-01-04,sell,SZ000502,1470857.2577521992,3689076.274746644
2021-01-04,buy,SH600355,-59924.67648483753,3629151.598261806
2021-01-04,buy,SH600520,-56457.574931163785,3572694.0233306424
2021-01-04,buy,SH600615,-1138007.0969727517,2434686.9263578905
2021-01-04,buy,SH600766,-1138021.2985338068,1296665.6278240837
2021-01-04,buy,SH600768,-49187.658366088865,1247477.969457995
2021-01-04,buy,SH600778,-44422.055892534256,1203055.9135654606
2021-01-04,buy,SH603029,-71527.39660766601,1131528.5169577945
2021-01-04,buy,SZ002633,-77904.6565400505,1053623.8604177441
2021-01-04,buy,SZ300736,-1052778.6363607026,845.2240570415743
2021-02-01,sell,SH600520,1097912.7338769722,1098757.9579340138
2021-02-01,sell,SH600615,910641.6579951954,2009399.6159292092
2021-02-01,sell,SH600768,28846.32823691368,2038245.944166123
2021-02-01,sell,SH603029,18693.766636104585,2056939.7108022275
2021-02-01,buy,SH600355,-44695.0510317421,2012244.6597704855
2021-02-01,buy,SH600766,-162065.6284319639,1850179.0313385215
2021-02-01,buy,SH600778,-8330.39439201355,1841848.636946508
2021-02-01,buy,SZ000007,-955878.0534790277,885970.5834674803
2021-02-01,buy,SZ002633,-24789.02102763176,861181.5624398486
2021-02-01,buy,SZ002862,-860411.9413559341,769.6210839144187
2021-02-01,buy,SZ300736,-705.9370803833008,63.684003531117924
2021-03-01,sell,SZ000007,1492676.6833920479,1492740.367395579
2021-03-01,sell,SZ002862,1021248.9738297272,2513989.341225306
2021-03-01,buy,SH600355,-67593.68134171962,2446395.659883586
2021-03-01,buy,SH600520,-1083670.6264170741,1362725.033466512
2021-03-01,buy,SH600768,-131157.73480605602,1231567.2986604562
2021-03-01,buy,SH600778,-45611.76311193466,1185955.5355485214
2021-03-01,buy,SH603029,-120104.32264518738,1065851.212903334
2021-03-01,buy,SH603269,-1065206.7322912074,644.4806121266447
2021-04-01,sell,SH600355,35895.97435170651,36540.45496383315
2021-04-01,sell,SH600766,7747.393235588073,44287.84819942123
2021-04-01,sell,SH600768,90517.66047019958,134805.50866962082
2021-04-01,sell,SH600778,1091707.5472269058,1226513.0558965267
2021-04-01,sell,SH603029,1189301.0986694812,2415814.1545660077
2021-04-01,buy,SH600520,-36217.44580884457,2379596.708757163
2021-04-01,buy,SH603269,-10427.403335571289,2369169.3054215917
2021-04-01,buy,SZ000502,-1088495.9886917018,1280673.31672989
2021-04-01,buy,SZ000609,-1088522.411558926,192150.90517096384
