execution_date,symbol,rank,selected
2021-05-06,SH603813,9,True
2021-05-06,SH603029,10,True
2021-06-01,SZ002633,1,True
2021-06-01,SH600768,2,True
2021-06-01,SH600455,3,True
2021-06-01,SH603389,4,True
2021-06-01,SZ300478,5,True
2021-06-01,SH600520,6,True
2021-06-01,SH603029,7,True
2021-06-01,SH600561,8,True
2021-06-01,SH603269,9,True
2021-06-01,SH603813,10,True
2021-07-01,SH600455,1,True
2021-07-01,SZ002633,2,True
2021-07-01,SH600768,3,True
2021-07-01,SH600561,4,True
2021-07-01,SH603813,5,True
2021-07-01,SH603269,6,True
2021-07-01,SZ300478,7,True
2021-07-01,SH603029,8,True
2021-07-01,SH600778,9,True
2021-07-01,SH603389,10,True
2021-08-02,SH600455,1,True
2021-08-02,SZ002633,2,True
2021-08-02,SH603813,3,True
2021-08-02,SZ000702,4,True
2021-08-02,SH603269,5,True
2021-08-02,SH600561,6,True
2021-08-02,SH600768,7,True
2021-08-02,SH603029,8,True
2021-08-02,SH603389,9,True
2021-08-02,SZ002830,10,True
2021-09-01,SH600455,1,True
2021-09-01,SZ300478,2,True
2021-09-01,SZ002633,3,True
2021-09-01,SH603813,4,True
2021-09-01,SZ000702,5,True
2021-09-01,SH600768,6,True
2021-09-01,SZ002417,7,True
2021-09-01,SH603709,8,True
2021-09-01,SH603269,9,True
2021-09-01,SZ002836,10,True
2021-10-08,SZ300478,1,True
2021-10-08,SH600768,2,True
2021-10-08,SZ002633,3,True
2021-10-08,SH603813,4,True
2021-10-08,SH600455,5,True
2021-10-08,SZ002417,6,True
2021-10-08,SZ000702,7,True
2021-10-08,SH603029,8,True
2021-10-08,SH600520,9,True
2021-10-08,SH603709,10,True
2021-11-01,SZ002633,1,True
2021-11-01,SH600768,2,True
2021-11-01,SH603029,3,True
2021-11-01,SH600455,4,True
2021-11-01,SH603813,5,True
2021-11-01,SZ002209,6,True
2021-11-01,SZ002417,7,True
2021-11-01,SH600520,8,True
2021-11-01,SZ000702,9,True
2021-11-01,SZ002830,10,True
2021-12-01,SZ002633,1,True
2021-12-01,SZ002209,2,True
2021-12-01,SH603813,3,True
2021-12-01,SH600768,4,True
2021-12-01,SH603029,5,True
2021-12-01,SZ000702,6,True
2021-12-01,SH603709,7,True
2021-12-01,SZ300478,8,True
2021-12-01,SZ002417,9,True
2021-12-01,SH600561,10,True
