symbol,net_contribution
SZ002597,76986.69913773681
SH600180,76820.4421936496
SZ002722,75794.14403225936
SZ300365,74909.2054172263
SH603788,74003.43983268447
SZ002323,71286.85636227473
SH600422,69550.65539948415
SZ002091,69512.11139330908
SZ002467,68901.79044724646
SH600475,68229.49304294307
SH601567,67121.0274132815
SZ002707,66789.42735869554
SZ000681,64256.013380195014
SZ300026,64045.579783346155
SZ300032,63347.47281128832
SH600535,63193.688954210375
SZ002793,62464.07682334818
SH603338,61987.920541553525
SZ002250,61772.82221242081
SZ002208,60144.93032538588
SZ300088,59137.432690308604
SZ002077,58155.4102836104
SZ002051,57781.03959986917
SH600873,57086.50190070871
SZ002069,54922.83444708347
SZ001914,54348.41073588567
SZ000043,54298.59483526304
SZ000788,52658.61471934599
SZ000963,52364.24167354769
SZ002004,51877.13994741067
SH600157,51563.723438959685
SH603568,50662.42884000507
SZ002456,49537.17338324507
SZ000776,48679.286158015835
SZ002214,48201.6170591244
SZ002106,48079.48979955132
SH600662,47507.70279543172
SH600562,47426.41325002781
SH603520,46908.282134976704
SZ300349,46721.30406974349
SH601360,46612.0356058781
SH603043,46506.19720266375
SZ002468,45655.17155892472
SZ000861,45568.946781857376
SH600039,43451.85176688817
SH600287,42950.41693427693
SH600483,41907.743908962584
SZ002463,41312.89201037958
SH600503,41208.909268667456
SZ300393,40440.898453807575
SZ002912,39848.6213226876
SZ000700,39627.43048352731
SH600559,39495.957716155855
SH600527,39321.090915448265
SZ300303,38146.087278661726
SZ002653,36619.26569837384
SH600658,36214.03003580158
SH600077,36063.65208026039
SZ000997,35884.020996700274
SH600710,35833.52684590506
SZ002462,34114.22351776535
SZ000930,34072.14301750122
SZ000672,33815.99614982563
SH600338,33584.71986617043
SZ002344,32684.519390086178
SZ002018,32505.208410814055
SH600111,32395.745356734085
SH601689,32207.613555419724
SZ300005,32140.239724413725
SZ002304,31870.128024080943
SH601021,31373.360003138194
SZ002360,31361.697299118794
SH600885,30971.43038753094
SZ000553,30963.97673305252
SZ000892,29628.786108602886
SZ000001,29120.116716210556
SZ300324,28975.933321919874
SZ002118,28857.435036805633
SZ002470,28329.88928258512
SH600547,27764.415255004948
SH600794,27498.022064224526
