symbol,net_contribution
SH600612,-33209.983021978056
SZ300598,-33726.314892425784
SH600339,-34075.289047487604
SH600346,-34154.495626933116
SZ300392,-34220.48773719481
SZ300284,-34428.38740894722
SZ000586,-34488.76932848763
SZ300735,-34552.44669334311
SZ300144,-34853.22205093829
SZ002221,-34960.33726986835
SZ002772,-34967.60848980106
SH603601,-35923.66389979323
SZ000506,-36755.69237766502
SZ300482,-37638.69665433781
SH600199,-37748.52799051488
SH600381,-38154.36685096187
SH600505,-38492.096404783544
SZ002116,-38977.87710985425
SH600771,-39208.58963732631
SZ002568,-39414.09484110138
SH600106,-39776.97247348941
SZ002204,-40159.211729193165
SH600958,-40564.43503291829
SH600458,-40770.4660133617
SH601699,-41976.86565187923
SZ002722,-42239.58786169521
SZ002140,-42558.817517410265
SZ002118,-42870.543992896826
SZ000988,-42948.532572524215
SH601628,-43187.68124921713
SZ002002,-43582.22798031912
SH600661,-43787.18065454735
SH600351,-43981.11871291278
SZ000425,-44220.568784265546
SH601101,-44800.91545282747
SZ300303,-45251.19251117186
SZ000813,-45446.7072080503
SH600111,-45693.62536910002
SZ300559,-46114.801278136205
SH601002,-46756.758956326
SZ000655,-46870.70604457951
SH600282,-47091.9933316299
SZ300738,-47159.06426272658
SH600236,-47668.073450611264
SH600486,-47679.57535552292
SZ002249,-47834.95731689624
SZ000581,-48642.589826971
SZ000651,-49523.10977969214
SH600745,-49611.18552688614
SH603501,-49765.367237126746
SH600894,-49949.29750604811
SZ002108,-50328.85160185862
SZ002310,-50572.82199099229
SZ002006,-51292.086462024105
SZ002283,-51976.60452099034
SH600835,-52187.16831038619
SZ002063,-52610.57768044411
SZ002434,-52787.95548381796
SZ002200,-53222.20021443884
SH603043,-53990.637111525284
SZ002364,-54405.820074943476
SZ300263,-55172.627150900604
SZ002299,-55879.66271927883
SZ002130,-58063.73020168382
SZ000776,-58644.890148956445
SH600569,-59314.9815383564
SH600197,-59891.12131792016
SZ002126,-60190.42635346041
SZ000951,-61363.04433769034
SZ002913,-61828.00404598244
SH600532,-62367.455383101944
SH600123,-62448.6991427248
SZ002198,-63028.281535037444
SZ300080,-63213.55639585678
SZ300896,-63247.11352540273
SH600970,-63411.31619907328
SZ300531,-66388.35540424066
SH600815,-66439.79873145476
SH601360,-66696.10899267078
SH688536,-68503.43216160266
SZ002749,-69035.99227074586
SH600392,-69168.53324247093
SZ002761,-69751.28923000238
SZ300219,-70653.62631368428
SZ000596,-71389.74251664127
SH600406,-72070.30544006848
SH603305,-72107.38033221057
SZ002912,-72462.48840583122
SH600139,-73134.58286985877
SZ002120,-73903.28556409059
SZ000828,-74174.02459655917
SZ300113,-76198.53099652386
SZ002658,-76300.36170008662
SZ002701,-76598.35395865655
SZ300005,-77510.23073688836
SZ002110,-77774.11373818526
SZ300552,-77897.99104764801
SZ002755,-78518.693780398
SH600183,-78964.22237730958
SZ300207,-80087.42006823584
SZ300073,-80788.71490985202
SH600651,-80890.52296974015
SZ300633,-81020.61795123108
SZ300121,-81495.41750275827
SZ000528,-81529.21200399648
SH600161,-85961.35258396267
SH600177,-86024.53018746234
SH600160,-86864.25113279509
SH600781,-87359.13917251758
SZ300601,-87552.73968414753
SH600518,-89079.97475412424
SH603788,-90580.57097053854
SZ002305,-90619.23697834485
SH600171,-90884.76301860227
SZ000590,-91103.13446352186
SH600348,-91791.63594967884
SH600666,-92134.27830630488
SZ300602,-92806.10878135066
SH600545,-92807.19673493213
SZ300423,-94028.14179891133
SZ000720,-94066.23320886178
SZ300487,-94782.17105499993
SZ002252,-95487.79864861327
SZ000922,-96011.7795344431
SH603317,-96698.84158758586
SZ000055,-96781.01763014664
SZ300032,-98472.50364781037
SH600738,-99696.4647466978
SZ000881,-101382.89421326318
SZ300319,-102691.12580918404
SZ002950,-103253.01940633694
SZ002056,-104443.5128094682
SZ002555,-106005.33445332153
SZ300228,-107724.89467122272
SZ002219,-107952.934404751
SZ002161,-109646.52843189286
SZ300630,-109746.8315727521
SH600622,-110101.18098007323
SZ300133,-110698.45383330726
SH600389,-111189.53589845868
SZ002746,-111388.85508386907
SZ002373,-112118.10405342293
SZ002127,-112770.01666024094
SH600369,-113593.57618863933
SH600978,-114105.20526491886
SZ002706,-114446.17871909798
SH600366,-116108.48082253191
SZ002041,-116155.91270703654
SH600376,-116484.1915882621
SZ300355,-116812.98039056384
SH600031,-117444.92442446994
SZ000958,-117836.79449789447
SH600675,-121466.93999099336
SZ002139,-121649.84888109937
SZ002354,-121667.3250314939
SH600631,-122434.43161940615
SH600211,-122794.92971828056
SH603392,-122940.04260816798
SZ002242,-124229.07906685246
SZ000783,-125740.58968014171
SZ000034,-126039.04364449019
SH603165,-126337.95334742789
SH600066,-127195.77794678835
SH600516,-128389.98752130353
SZ002234,-128448.48713574989
SH600999,-128531.09262709075
SH603023,-129772.24326615629
SZ002312,-130011.48897918174
SZ000016,-130264.38097114395
SZ002082,-130664.16107522161
SZ000877,-130752.4028226888
SH603360,-130902.51124944782
SZ000039,-136720.09746031987
SH603505,-137887.88667729346
SH603306,-139220.08085091558
SH600179,-140517.0360918662
SZ300376,-140973.74206610164
SZ300497,-150692.5050484076
SH600856,-153388.85767758172
SZ002343,-154429.54783170775
SZ300244,-154536.3833271347
SZ002803,-154989.33887612063
SZ300684,-159138.05937315244
SZ300107,-161358.40338148794
SH600705,-162251.62867680273
SH603267,-162522.12264895893
SZ002631,-165392.0158616149
SH605111,-166498.99320397794
SH600633,-168658.86929056596
SH603129,-170162.690655233
SZ002447,-173620.05471331294
SZ300287,-176495.24705452082
SZ300418,-178522.0122215649
SZ000408,-181060.42910045845
SH600252,-184675.6761833927
SZ002366,-187591.44975171948
SZ000627,-188187.1193708385
SZ002553,-189701.15600888
SH603416,-189748.2664547671
SZ300770,-192197.2496871889
SH603387,-193066.23652453558
SZ300401,-198003.88389797963
SZ000970,-198398.8190653933
SZ000578,-198673.64138798253
SH600446,-204002.51393509674
SH600086,-206028.99002012605
SZ300443,-211525.19965312537
SH603019,-212227.71158850088
SZ000737,-215754.7627153804
SZ002626,-215775.07254487678
SH600837,-216991.85921073414
SZ300166,-229458.75503548817
SZ300554,-235111.26946518384
SZ002768,-237668.16703841626
SZ000031,-238192.9430431404
SZ002001,-239154.39590716956
SH600743,-239584.15699261118
SZ002717,-241248.13750012044
SZ300502,-243635.64069808496
SH603877,-249124.06901817664
SH688399,-252478.00712326705
SZ000516,-253776.59095940914
SZ000537,-254773.06646547146
SH603301,-254808.6830143768
SZ300348,-254817.24371301412
SH601555,-255895.04935182142
SZ300618,-258145.67647492856
SZ002466,-264053.84070241556
SZ002019,-265159.6223956243
SZ300729,-270169.31368808146
SZ002677,-270255.1001914649
SZ002016,-285123.7205837005
SH600826,-292158.9060567919
SH601099,-295320.9497519257
SH600030,-302543.1633260698
SZ002270,-302828.19766619924
SH600732,-306688.30354045774
SZ000786,-311982.55644406565
SZ002838,-321714.0915252452
SZ000830,-329673.7751172536
SZ300525,-340265.7843393745
SZ002460,-346997.05630666495
SZ000686,-352480.8011612081
SZ300059,-357551.22798911424
SZ002064,-385780.5388761291
SZ002280,-390438.98942124215
SH688068,-391239.7518400154
SH688111,-392762.33810254827
SZ000046,-397048.1979315998
SH603260,-400489.14280568645
SZ002463,-404687.5488584596
SZ002959,-418822.8783819596
SH603799,-420399.733932217
SH601688,-474364.60280185915
SH601377,-517875.17707359727
SZ002027,-784465.0425206075
