symbol,net_contribution
SZ002004,48841.03246298211
SZ000963,48084.0569145621
SH600157,47068.609034632624
SZ002456,46832.78121695138
SZ002106,45285.92387041944
SH603882,43330.43894236954
SZ300349,42318.242900435114
SZ000776,42028.097404498025
SZ000861,41683.30424518048
SH600287,40961.814094916976
SH600503,40486.59036420626
SH600562,39782.077423411305
SH600039,38501.54306201404
SZ300393,38386.73668199382
SZ002793,38224.27048062871
SZ002468,38174.09518370475
SH601360,37571.91162517085
SH600527,37480.76793395908
SH603338,37478.06019832217
SH600559,36975.93160961085
SH603043,36561.2843194888
SH600662,36519.27043183637
SZ002214,35815.42295077152
SH603520,35122.30335248413
SH600483,34127.82160911057
SH603568,34120.07557782205
SH600710,33994.789109140984
SZ000700,32278.086698127736
SH600077,32149.09078359016
SZ000930,32099.492045984603
SZ300770,31944.047472038073
SZ000997,30522.155991531326
SZ002912,30464.567739846534
SZ300303,29770.952833257557
SH600658,29680.245238680334
SZ002018,29277.380080610223
SZ002462,28886.190061900415
SH600111,28553.481200846436
SZ002344,27982.447970531124
SZ002664,27716.43699235533
SZ002118,27093.132392410917
SH601021,26375.316441676347
SH600794,26306.812674109475
SZ000553,26243.77132098266
SH600547,25973.306147619558
SZ000001,25638.133569106925
SZ002360,25598.51075422525
SZ000892,25413.9387995539
SH601689,24587.93212371308
SH600568,24498.01003352052
SZ002470,23667.687605421408
SH600338,23295.854184500524
SZ300324,23058.805729987216
SZ002595,22264.381717571
SZ002123,22176.450714281644
SZ300005,21904.967455097474
SZ002653,21701.28024381958
SZ000796,21701.03568904067
SH600885,21648.754101229133
SH600016,21548.992807597737
SH600236,21172.894253987703
SZ002249,20838.660978053987
SH600266,20563.387054313673
SZ002230,20457.5149693134
SZ002463,20281.559969065478
SZ000423,19991.556309570326
SZ300383,19909.448094940162
SZ300032,19249.133129409165
SH600182,18686.804590038664
SZ002400,18263.05470862059
SH601865,18082.31558633386
SZ002166,17783.676817292348
SH600607,17481.796093933866
SZ000672,16878.938952702098
SZ000338,16683.29349801026
SZ000538,16563.18585304264
SH601933,16439.102007525507
SH688536,15841.184199970681
SZ002434,15702.24191592625
SH600571,15239.934373338067
SH600771,14800.816380020813
SH600076,14653.235019603162
SZ000785,13980.537340963492
SH600550,12763.132279458572
SH600083,12425.857464678586
SH600703,11875.31349032413
SZ300070,11662.824455899186
SZ002304,11549.735310302116
SH600556,11384.213808990316
SH600595,11303.804913108062
SZ002045,11208.294758078759
SZ002718,11125.165392068448
SZ002055,11041.921902977047
SZ002158,10609.42107753962
SH603019,10037.698402103852
SH600661,9854.03373047529
SZ002213,9726.563269935315
SZ002244,8565.373466841644
SZ002293,8532.186720578116
SH600381,8509.14407316933
SZ002430,7366.215482689848
SH600020,7113.706707120058
SZ300432,7066.241423759726
SZ000002,6845.394000700093
SH600505,6268.678378257842
SZ002226,5867.986030299508
SZ002056,5243.0888096787385
SZ002311,5178.427090457553
SH600027,4833.2539332571905
SZ300156,3736.185308943037
SZ002029,3481.502279360022
SZ000631,3194.160604594159
SZ300073,3159.611382456613
SZ000430,3012.9627818585723
SH601318,2914.6770076736575
SH601628,2807.7268734595273
SH601515,2386.1086533404887
SZ000006,2303.832908782293
SZ000736,2112.429822522681
SZ300394,1277.6596314773778
SH600779,1122.366053045611
SH600436,57.476943008892704
SZ300673,32.99062411575278
SZ300284,-29.36909869499209
SH600259,-416.31136731687
SZ000607,-823.2109580703545
SH603392,-1495.3225179596338
SZ002283,-1615.4145062167663
SZ300252,-1706.1017626251219
SZ002335,-1969.9956729918486
SZ002269,-2038.5623611824049
SZ300253,-2240.9007556365978
SZ000650,-2252.7665039428393
SH600197,-2536.562059908989
SH601699,-2706.842127247888
SZ002932,-2706.9312168941833
SZ300127,-2885.700149607932
SH600420,-3564.736523207219
SZ002746,-4077.964556781808
SZ000069,-4489.862123554049
SZ000895,-4611.453592294827
SZ000737,-4863.035289610038
SZ000506,-5862.539263453742
SH603898,-6165.748516987893
SH600053,-6180.832031338941
SH600160,-6214.2756067593
SZ002602,-7256.810857849545
SH600106,-7388.849427288573
SZ000031,-7655.077812944655
SZ300347,-7666.697113155933
SZ002772,-7808.022367518279
SH600276,-8331.61472580349
SZ002174,-8468.966319762578
SZ300357,-8523.095431158552
SZ000536,-9559.106245556672
SH600641,-9627.288204239332
SZ002116,-9631.115591488604
SH600346,-9844.806038777926
SZ002242,-10139.006099707447
SH603337,-10271.11850221781
SZ002221,-10304.62627749925
SH600557,-10708.919994179218
SH601166,-11103.7463257169
SZ002440,-11284.791159070213
SZ300315,-11401.836084556082
SZ002520,-11545.491826032754
SZ000411,-11638.030881689047
SH600477,-12383.613483180176
SH600166,-12592.221319927601
SZ002108,-12868.919532188447
SZ002014,-14256.687656525406
SZ002568,-14347.611237642122
SZ300476,-14573.631131800415
SZ002182,-15009.82640896691
SZ000720,-15560.484458962688
SZ002185,-17294.76671687857
SH600805,-17337.3375055425
SZ002252,-17666.77379106701
SH600392,-17940.78882804443
SH600375,-17959.64374475798
SH603317,-18232.439795150887
SH600563,-18952.51320566889
SH601238,-18967.742260127445
SZ000933,-19160.281741798797
SH600351,-20742.627609739604
SZ002065,-20944.737891170254
SH600066,-21361.787247421802
SH600982,-22266.423465195578
SH600782,-22294.608617856167
SH600298,-22704.76050743321
SH601127,-23481.421633156133
SZ002140,-23856.438316113898
SH600406,-24106.15476312081
SZ000858,-24408.050441906904
SZ000970,-24498.505378626578
SH600188,-24666.252573276113
SH600176,-24883.74008732068
SZ000400,-25238.413353275217
SH600293,-25442.98378435336
SZ002755,-25533.735155294766
SZ002268,-26369.720381487103
SH600332,-26887.70921911078
SH600900,-27420.250048919115
SH600525,-27492.23606717633
SH600369,-28933.94489742833
SH600054,-30382.80676749407
SH600637,-30529.2074267742
SZ002223,-30610.583472227678
SZ300633,-31048.617367035593
SH600080,-31329.90321353567
SZ300234,-31363.78038551545
SZ000809,-31369.968351187592
SH600985,-31894.165654995013
SZ300166,-32303.233689441113
SH600784,-32364.66717213206
SZ000425,-32577.640598330996
SZ000050,-32703.126396923442
