symbol,net_contribution
SH601933,18279.76150558208
SH600607,18167.340468834154
SZ000538,17934.332832820714
SH600550,17303.496304440778
SH688536,17252.425105705857
SH600083,16716.17480574164
SZ002718,15200.813491742825
SH600703,14175.114204102603
SZ300070,14026.561548598576
SH603019,13714.478070285753
SH601318,12887.403417328605
SH600661,12701.869836710277
SH600595,12633.386781445763
SZ002158,12489.597945506102
SZ002045,12370.313484368031
SZ002055,12194.037019212788
SZ002244,11601.204971557017
SH600381,11429.1455569088
SZ002213,11039.689132371801
SZ300432,10593.74451022013
SH600020,10144.599862599862
SZ002293,9325.583114659064
SZ000006,9088.736178118503
SH600027,8096.265814660466
SZ002311,7782.012746615044
SH600505,7771.588499923877
SZ002226,7373.312437156099
SZ002932,6857.016655762913
SZ002056,6393.904183220759
SH600779,6266.73444594146
SZ000631,5913.544213020359
SZ002029,5893.3849404497305
SH601628,5855.415363779175
SZ300073,5345.092980065616
SZ000736,5029.1051052543335
SZ300156,4935.291952800006
SH601515,4356.692849392246
SZ000430,4324.4463959202985
SZ300394,4239.716347226058
SZ002430,3836.21954239998
SZ000737,3617.171711814124
SH603392,2716.8771665298846
SZ300571,2591.662336694193
SZ002746,2563.3650419357
SZ000002,2047.9570797885535
SZ000607,1774.1012026846875
SH600259,1451.1681394242332
SH600436,1254.7213311259402
SZ002335,494.021996603813
SZ300342,32.027282567882594
SZ300327,-66.50832605266532
SZ002269,-107.75622979879358
SZ300288,-119.30463186969746
SZ002283,-324.0127067269641
SZ300204,-504.76043632202163
SZ300253,-1110.2919964244838
SZ000650,-1155.9179434119724
SZ000895,-1245.0646840424743
SZ002242,-1246.149770865566
SH601699,-1381.7279089450021
SZ300252,-1690.2135422340389
SH600053,-1890.0160079182824
SH600197,-1976.511662610399
SH600420,-2305.029984216555
SH600066,-3375.779072443256
SZ300127,-3419.8048892631923
SZ000069,-3502.880813616677
SH603898,-4390.467190666823
SH600160,-4687.122416632366
SH600641,-4796.8048749757
SZ000506,-4877.186034640996
SZ300357,-4957.081078608753
SH600346,-5698.436320418608
SZ002602,-5732.576423146529
SZ000031,-5880.696987913689
SZ002772,-6085.0356304465095
SZ300315,-6415.045216716244
SH600106,-6496.988186753413
SH600276,-6965.105094023747
SZ002174,-7313.8395911578555
SZ002116,-8111.852673603455
SH603337,-8425.744353256305
SZ300347,-8593.426729628864
SZ000536,-8615.056826355634
SH601166,-8663.285205245716
SH600557,-9855.283010674524
SZ002440,-10384.167725982843
SZ002568,-10508.180736140348
SZ002520,-10878.905309734284
SZ000411,-10897.725502299145
SH600477,-10916.651337862713
SH600166,-11572.85132075299
SZ002108,-11720.259578838362
SZ300366,-12628.19988466183
SZ002014,-13159.426093363378
SZ002221,-13476.429653746425
SZ002252,-13555.696537833544
SZ002182,-13944.35673412378
SZ000720,-14883.498449454433
SH600805,-16182.674476096581
SH603317,-16185.384454779094
SZ002185,-16840.039803431428
SH600375,-16971.656736013945
SH600392,-17295.199050184747
SH600351,-17534.991077018785
SZ300476,-17897.50307439908
SZ000933,-17970.243466337677
SH600982,-18311.4266244279
SH601238,-18374.5685222483
SH600563,-18544.512686540722
SH600406,-20471.464079601457
SZ002065,-21124.233969969035
SH600298,-21676.118267031736
SH600782,-22134.87491858122
SH600188,-22729.66349293827
SZ002140,-23292.86041556194
SZ000970,-23628.278070370667
SH601127,-23630.65778809425
SZ000858,-23767.120231991692
SH600176,-24187.07750581659
SZ002755,-24845.143830672023
SH600900,-25318.50631968421
SZ000400,-25415.49889172241
SH600293,-25844.186937323306
SH600525,-26593.208212477184
SZ002268,-26597.819948917604
SH600369,-27197.35301473504
SZ002127,-27775.284755546832
SZ002223,-28233.64650503127
SZ002447,-29266.10485548724
SH600784,-30688.32716674602
SH600637,-30745.107690463075
SH600332,-30963.03548279265
SH600054,-31305.16521701438
SH600080,-31367.736396563356
SZ000809,-31412.450368948048
SZ000425,-31743.19210975198
SZ002305,-32997.04709496419
SH600985,-33034.53743266291
SZ300166,-33190.886916891555
SZ000050,-33474.806334576046
SZ300197,-34051.466352014686
SH600499,-34700.76120223134
SZ001979,-35427.04015936761
SZ300115,-36280.181488724076
SZ002210,-36368.13455625344
SH603505,-36625.97749361559
SH600887,-37031.916257449426
SZ000028,-37074.21843641874
SZ300355,-37982.10126225278
SH600532,-38048.871224028524
SH600815,-38775.499432372046
SZ002867,-39059.55206556234
SH600199,-39137.03838508064
SZ002007,-39246.46341200953
SH601009,-39480.491514047026
SH600489,-40282.91448120243
SH600988,-40841.060483146575
SZ300080,-40915.61665470351
SZ300234,-41358.43641881173
SH600970,-41403.67419861711
SZ000550,-41741.24064515089
SZ300107,-42270.24957425124
SZ300401,-42405.93784220435
SZ000680,-42436.454767707444
SH600339,-42611.23142492457
SH600837,-42839.5826609747
SZ000590,-43197.661673019174
SZ000703,-43374.779311046645
SH600978,-43746.47697598027
SZ002646,-43751.567714885576
SZ002170,-45165.83403546561
SZ000602,-46532.315802578116
SZ000905,-47337.102104944235
SH600161,-47339.142607118236
SZ300590,-47343.14733152045
SH600123,-47714.09703226702
SZ000961,-47885.62194805636
SZ002002,-48378.67685160495
SH600585,-49484.596860223915
SH600546,-49645.58520942129
SH600426,-49856.62875465071
SZ000988,-49962.97699249338
SZ300633,-50406.7596169794
SH600629,-50513.159612665884
SZ002037,-50937.17691141588
SH600983,-51231.727968492836
SH603416,-52089.53723911289
SH600612,-52997.215804385894
SZ000581,-53157.7252088135
SH600742,-54537.03560528689
SH601002,-54784.71772705071
SZ300294,-55772.965192704694
SZ000552,-55789.911931092385
SZ002049,-57447.502763025
SZ300232,-58135.03064558678
SZ002126,-59050.84770627029
SH600715,-60373.9009496551
SH603899,-60560.68069177086
SZ000791,-60671.89533647883
SH601101,-61140.99418751418
SH600366,-61744.769927232235
SZ000813,-61744.93813794805
SZ002035,-62009.68635020009
SH603486,-62119.76588087622
SZ002217,-62193.01531536202
SZ300265,-62443.645001458935
SH600835,-62704.80256271921
SZ002410,-62729.19677761401
SZ300426,-62807.090025595855
SH600458,-63126.438394971774
SZ300176,-63823.087617928395
SH600403,-64472.84675746929
SZ000586,-65639.77272956516
SH600850,-65828.53973640042
SZ002701,-66131.88477947062
SH600025,-66902.67449900135
SH600958,-67579.05422085745
SH600675,-67935.50370691298
SZ300133,-70252.32326930645
