symbol,net_contribution
SH600057,83009.74482248636
SH603040,82904.36073368101
SZ000568,81766.78201571177
SZ002294,80890.83279333444
SZ300285,80684.60200262943
SZ300182,80627.62690469436
SH600422,78866.12846344424
SH600081,78397.13671023923
SZ002030,78270.91757611907
SZ002091,78006.14920089755
SZ002793,77930.76095755794
SZ002069,77538.13775556546
SZ002597,77059.8970565648
SZ002722,76754.0612634425
SH603788,76657.43542553659
SH600323,76517.19269551366
SZ000408,76076.28946617153
SZ300302,74803.8069283563
SH600180,74442.21978863643
SH600535,70540.40192117606
SH600475,70000.15462710266
SZ300365,69920.97470328072
SH601567,67211.29418481467
SH603568,65761.29110015137
SZ002707,65130.062703821226
SZ300026,64730.3739527748
SZ002051,64027.89047339
SZ002250,63387.12397056387
SZ300058,62928.93514097697
SH603882,62912.59155978216
SZ002568,61656.54187818838
SZ000963,60647.21908513445
SZ000011,59739.93398350431
SH600873,58993.926785219344
SZ002004,58652.073794827505
SZ002344,57955.4627620721
SZ000681,57383.85165448196
SZ002467,57172.876414320606
SZ300367,56813.76229536056
SZ001914,56540.664992967504
SZ000043,56528.95042959112
SH600157,55455.26366952347
SZ000788,54312.81204037246
SZ000861,51213.48955431342
SH603520,50349.430245264666
SH600662,48752.31264970475
SH600039,47392.505118803296
SZ300349,46959.821468801936
SH600287,43980.71179327014
SZ002468,43925.80899987451
SZ000672,43652.50870173378
SH601360,43572.12024027738
SH600503,43417.702525497065
SH603043,41778.38609546237
SH600111,41654.2458589233
SZ300571,41396.49348121765
SZ002242,40652.52938030084
SH600527,40648.57826882193
SH603338,39136.79938458325
SH600077,38839.036194503016
SH600483,38448.64378703118
SH600559,38078.56179364864
SZ000700,37107.66416189604
SH600710,35998.79068366124
SH601689,35592.94468249229
SZ000930,35284.082438446465
SH600794,34995.610102709674
SH600658,34857.62238812249
SZ000997,33824.213144926005
SZ002018,33611.194755082426
SZ000338,32951.072665081185
SZ300005,31383.05756579805
SZ000001,31360.373082705017
SZ000892,31357.696968487
SH600547,31061.43956653675
SH601021,30654.886109936517
SH600338,30559.897245000466
SZ002360,30367.613227720023
SZ002462,30283.953832673433
SZ000796,30034.433909692103
SH600568,29194.530675596907
SZ000553,29033.475284663844
SZ002123,28525.987257355882
SZ002912,28170.97435495304
SZ002653,28077.48375018197
SH600266,28077.11040185031
SH601933,28011.363274049247
SH600016,27866.763773794228
SZ002118,27253.407026535424
SH600779,26923.643432046054
SZ002470,26706.3999254168
SZ300383,26627.902453136514
SZ002166,26360.927668395685
SZ002353,25578.799208228476
SH600182,25350.509954941692
SH600571,25313.13778963592
SZ000423,25055.513722520904
SH600885,25043.91181908053
SZ002595,24992.726816774753
SH601865,24981.723399641225
SH600562,24730.940326886543
SZ300199,23853.713280218013
SH600236,23622.011496349936
SZ002158,23380.58307371568
SZ000785,22286.361126255943
SZ000538,22165.56174740236
SZ002230,21836.852164672862
SZ002249,21814.42136922956
SZ002400,20744.70502808952
SH600771,20192.653080456774
SZ300324,19972.064966065227
SZ002077,18459.78396993468
SH600607,18167.340468834154
SH688536,18152.79440570576
SH600083,16764.910009257146
SH600550,16017.425633164705
SZ002718,15303.521691011381
SH600381,14407.899246733286
SZ300070,14141.220089867711
SZ000006,13321.634372395114
SH600556,13115.351095636841
SH600595,12869.512752190407
