date,equity,cash,market_value,positions,gross_traded,benchmark_value,candidate_count,selected_count,target_exposure,daily_return,drawdown
2024-10-15,1523543.4661302296,191951.88952767866,1331591.576602551,20,0.0,1.2807831764221191,43,20,0.95,-0.029479584611337373,-0.39510077882279204
2024-10-16,1513207.108805208,191951.88952767866,1321255.2192775293,20,0.0,1.2726786136627197,43,20,0.95,-0.006784419056501068,-0.3992046686262094
2024-10-17,1508642.31224088,191951.88952767866,1316690.4227132013,20,0.0,1.2582731246948242,43,20,0.95,-0.0030166370074300453,-0.4010170500567227
2024-10-18,1560012.6000078993,191951.88952767866,1368060.7104802206,20,0.0,1.303781509399414,43,20,0.95,0.03405067413939622,-0.38062127681314994
2024-10-21,1562439.0562721675,191951.88952767866,1370487.1667444888,20,0.0,1.3070931434631348,43,20,0.95,0.0015554081193036584,-0.3796578901181813
2024-10-22,1568964.9073889712,191951.88952767866,1377013.0178612925,20,0.0,1.3145931959152222,43,20,0.95,0.004176707622999265,-0.37706690249897046
2024-10-23,1555019.2639969727,191951.88952767866,1363067.374469294,20,0.0,1.3197182416915894,43,20,0.95,-0.008888435506952397,-0.38260380316125453
2024-10-24,1540642.4108244057,191951.88952767866,1348690.521296727,20,0.0,1.304977297782898,43,20,0.95,-0.00924545020465739,-0.3883119089556719
2024-10-25,1534690.0738156359,191951.88952767866,1342738.1842879571,20,0.0,1.3141415119171143,43,20,0.95,-0.003863542225599703,-0.3906751917243182
2024-10-28,1524689.7390620871,191951.88952767866,1332737.8495344084,20,0.0,1.3167122602462769,43,20,0.95,-0.006516191721163134,-0.3946456689955036
2024-10-29,1522569.4992472182,191951.88952767866,1330617.6097195395,20,0.0,1.3035888671875,43,20,0.95,-0.0013906041081992448,-0.39548747721511457
2024-10-30,1518877.416374986,191951.88952767866,1326925.5268473073,20,0.0,1.2918970584869385,43,20,0.95,-0.002424902688552222,-0.3969533612568791
2024-10-31,1504187.597711988,191951.88952767866,1312235.7081843093,20,0.0,1.2924251556396484,43,20,0.95,-0.009671497189060463,-0.40278572512835553
2024-11-01,1493355.980772391,153917.1655563846,1339438.8152160062,20,2050608.283077835,1.2920863628387451,32,20,0.95,-0.007200974769419055,-0.4070862500536432
2024-11-04,1506095.9589803382,153917.1655563846,1352178.7934239537,20,0.0,1.310268521308899,32,20,0.95,0.00853110602694862,-0.40202803998801506
