comparison,execution_date,local_count,joinquant_count,intersection_count,overlap_ratio,local_only,joinquant_only
ordered_symbols,2021-06-01,27,27,25,0.9259259259259259,"SZ002763,SZ300403","SH600750,SZ002128"
ordered_symbols,2021-07-01,26,25,25,0.9615384615384616,SZ300403,
ordered_symbols,2021-08-02,30,29,25,0.8333333333333334,"SH600966,SH603199,SH603238,SZ000698,SZ300192","SH600707,SH603089,SZ002022,SZ002035"
ordered_symbols,2021-09-01,37,36,28,0.7567567567567568,"SH600566,SH600668,SH600966,SH603199,SH603238,SH603766,SZ000698,SZ000731,SZ300192","SH600089,SH601019,SH603089,SH603900,SZ000923,SZ002022,SZ002035,SZ002467"
ordered_symbols,2021-10-08,24,24,18,0.75,"SH600075,SH600368,SH600668,SH600966,SH603766,SZ000731","SH601019,SZ000725,SZ000923,SZ002110,SZ002467,SZ002763"
ordered_symbols,2021-11-01,34,35,26,0.7428571428571429,"SH600075,SH600368,SH601233,SZ002214,SZ002233,SZ002801,SZ300371,SZ300888","SH600033,SH601019,SZ000026,SZ000666,SZ000725,SZ000923,SZ002110,SZ002131,SZ002467"
ordered_symbols,2021-12-01,29,28,21,0.7241379310344828,"SH600089,SH600461,SH601233,SH601900,SZ002214,SZ002801,SZ300371,SZ300888","SH600033,SH601019,SZ000026,SZ000666,SZ000725,SZ002131,SZ002255"
ordered_symbols,2022-01-04,23,25,18,0.72,"SH600012,SH600461,SH601900,SZ002932,SZ300371","SH688399,SZ000026,SZ000666,SZ000725,SZ000833,SZ002255,SZ002818"
ordered_symbols,2022-02-07,22,22,16,0.7272727272727273,"SH600461,SH601900,SZ000807,SZ002759,SZ002932,SZ300371","SH603012,SH688399,SZ000666,SZ000725,SZ002255,SZ002818"
ordered_symbols,2022-03-01,22,22,17,0.7727272727272727,"SH600461,SH600585,SH601900,SZ000807,SZ002932","SH603012,SH688399,SZ000666,SZ000725,SZ002255"
ordered_symbols,2022-04-01,30,31,25,0.8064516129032258,"SH600461,SH601900,SZ000715,SZ002064,SZ002932","SH600097,SH601811,SH688399,SZ000666,SZ000725,SZ002255"
ordered_symbols,2022-05-05,36,37,32,0.8648648648648649,"SH600461,SH601900,SZ000715,SZ002408","SH600097,SH601668,SH601811,SH688057,SZ002255"
ordered_symbols,2022-06-01,29,28,27,0.9310344827586207,"SZ002408,SZ300360",SH601668
ordered_symbols,2022-07-01,26,25,22,0.8461538461538461,"SZ000731,SZ000848,SZ002763,SZ300360","SH600035,SH600746,SH601339"
ordered_symbols,2022-08-01,23,24,21,0.875,"SZ000731,SZ002763","SH600746,SH601827,SH688298"
ordered_symbols,2022-09-01,32,35,32,0.9142857142857143,,"SH601827,SH603889,SH688298"
ordered_symbols,2022-10-10,22,23,21,0.9130434782608695,SZ300371,"SH603889,SZ000833"
ordered_symbols,2022-11-01,33,33,30,0.9090909090909091,"SH600643,SZ002772,SZ300371","SH601019,SZ000666,SZ000833"
ordered_symbols,2022-12-01,21,22,20,0.9090909090909091,SZ002772,"SH600141,SZ000666"
ordered_symbols,2023-01-03,22,21,20,0.9090909090909091,"SH600141,SZ002772",SZ000666
ordered_symbols,2023-02-01,22,22,22,1.0,,
ordered_symbols,2023-03-01,23,23,21,0.9130434782608695,"SZ002938,SZ300121","SZ000666,SZ002048"
ordered_symbols,2023-04-03,27,28,25,0.8928571428571429,"SZ002938,SZ300121","SH688068,SZ000666,SZ002048"
ordered_symbols,2023-05-04,32,32,27,0.84375,"SH688399,SZ000598,SZ002030,SZ002884,SZ003019","SH600133,SH688068,SZ000666,SZ000915,SZ002048"
ordered_symbols,2023-06-01,28,28,25,0.8928571428571429,"SZ002030,SZ002233,SZ300146","SH600133,SZ000915,SZ003019"
