execution_date,reported_holding_count,symbol,total_value
2019-12-02,20,SH600382,12708600.584276
2019-12-02,20,SH600449,12708600.584276
2019-12-02,20,SH600510,12708600.584276
2019-12-02,20,SH600720,12708600.584276
2019-12-02,20,SH601006,12708600.584276
2019-12-02,20,SH601222,12708600.584276
2019-12-02,20,SH603585,12708600.584276
2019-12-02,20,SH603886,12708600.584276
2020-01-02,20,SZ000791,13905076.040376
2020-01-02,20,SZ000910,13905076.040376
2020-01-02,20,SZ000932,13905076.040376
2020-01-02,20,SZ000933,13905076.040376
2020-01-02,20,SZ002444,13905076.040376
2020-01-02,20,SZ002884,13905076.040376
2020-01-02,20,SZ300625,13905076.040376
2020-01-02,20,SH600097,13905076.040376
2020-01-02,20,SH600261,13905076.040376
2020-01-02,20,SH600267,13905076.040376
2020-01-02,20,SH600382,13905076.040376
2020-01-02,20,SH600449,13905076.040376
2020-01-02,20,SH600510,13905076.040376
2020-01-02,20,SH600720,13905076.040376
2020-01-02,20,SH601006,13905076.040376
2020-01-02,20,SH601222,13905076.040376
2020-01-02,20,SH603458,13905076.040376
2020-01-02,20,SH603585,13905076.040376
2020-01-02,20,SH603858,13905076.040376
2020-01-02,20,SH603886,13905076.040376
2020-02-03,21,SZ000791,12317813.859676
2020-02-03,21,SZ000910,12317813.859676
2020-02-03,21,SZ000932,12317813.859676
2020-02-03,21,SZ000933,12317813.859676
2020-02-03,21,SZ002444,12317813.859676
2020-02-03,21,SZ002884,12317813.859676
2020-02-03,21,SZ300107,12317813.859676
2020-02-03,21,SZ300625,12317813.859676
2020-02-03,21,SH600097,12317813.859676
2020-02-03,21,SH600261,12317813.859676
2020-02-03,21,SH600267,12317813.859676
2020-02-03,21,SH600382,12317813.859676
2020-02-03,21,SH600449,12317813.859676
2020-02-03,21,SH600510,12317813.859676
2020-02-03,21,SH600720,12317813.859676
2020-02-03,21,SH601006,12317813.859676
2020-02-03,21,SH601222,12317813.859676
2020-02-03,21,SH603458,12317813.859676
2020-02-03,21,SH603585,12317813.859676
2020-02-03,21,SH603858,12317813.859676
2020-02-03,21,SH603886,12317813.859676
2020-03-02,20,SZ000791,13957506.694476
2020-03-02,20,SZ000910,13957506.694476
2020-03-02,20,SZ000933,13957506.694476
2020-03-02,20,SZ002360,13957506.694476
2020-03-02,20,SZ002724,13957506.694476
2020-03-02,20,SZ002884,13957506.694476
2020-03-02,20,SZ300107,13957506.694476
2020-03-02,20,SZ300625,13957506.694476
2020-03-02,20,SH600097,13957506.694476
2020-03-02,20,SH600261,13957506.694476
2020-03-02,20,SH600382,13957506.694476
2020-03-02,20,SH600449,13957506.694476
2020-03-02,20,SH600516,13957506.694476
2020-03-02,20,SH600720,13957506.694476
2020-03-02,20,SH600750,13957506.694476
2020-03-02,20,SH601006,13957506.694476
2020-03-02,20,SH603458,13957506.694476
2020-03-02,20,SH603585,13957506.694476
2020-03-02,20,SH603858,13957506.694476
2020-03-02,20,SH603886,13957506.694476
2020-04-01,20,SZ000877,13098458.675976
2020-04-01,20,SZ000910,13098458.675976
2020-04-01,20,SZ000933,13098458.675976
2020-04-01,20,SZ002233,13098458.675976
2020-04-01,20,SZ002444,13098458.675976
2020-04-01,20,SZ002664,13098458.675976
2020-04-01,20,SZ002724,13098458.675976
2020-04-01,20,SZ002746,13098458.675976
2020-04-01,20,SZ300625,13098458.675976
2020-04-01,20,SH600097,13098458.675976
2020-04-01,20,SH600261,13098458.675976
2020-04-01,20,SH600382,13098458.675976
2020-04-01,20,SH600516,13098458.675976
2020-04-01,20,SH600668,13098458.675976
2020-04-01,20,SH600987,13098458.675976
2020-04-01,20,SH601006,13098458.675976
2020-04-01,20,SH603277,13098458.675976
2020-04-01,20,SH603458,13098458.675976
2020-04-01,20,SH603808,13098458.675976
2020-04-01,20,SH603858,13098458.675976
2020-05-06,20,SZ000600,13480222.332176
2020-05-06,20,SZ000922,13480222.332176
2020-05-06,20,SZ002234,13480222.332176
2020-05-06,20,SZ002270,13480222.332176
2020-05-06,20,SZ002394,13480222.332176
2020-05-06,20,SZ002440,13480222.332176
2020-05-06,20,SZ002583,13480222.332176
2020-05-06,20,SZ002884,13480222.332176
2020-05-06,20,SH600035,13480222.332176
2020-05-06,20,SH600051,13480222.332176
2020-05-06,20,SH600064,13480222.332176
2020-05-06,20,SH600211,13480222.332176
2020-05-06,20,SH600261,13480222.332176
2020-05-06,20,SH600352,13480222.332176
2020-05-06,20,SH600382,13480222.332176
2020-05-06,20,SH600566,13480222.332176
2020-05-06,20,SH600682,13480222.332176
2020-05-06,20,SH600750,13480222.332176
2020-05-06,20,SH601000,13480222.332176
2020-05-06,20,SH603357,13480222.332176
2020-06-01,20,SZ000600,13769954.094076
2020-06-01,20,SZ000922,13769954.094076
2020-06-01,20,SZ002234,13769954.094076
2020-06-01,20,SZ002270,13769954.094076
2020-06-01,20,SZ002440,13769954.094076
2020-06-01,20,SZ002583,13769954.094076
2020-06-01,20,SZ002884,13769954.094076
2020-06-01,20,SH600035,13769954.094076
2020-06-01,20,SH600051,13769954.094076
2020-06-01,20,SH600062,13769954.094076
2020-06-01,20,SH600064,13769954.094076
2020-06-01,20,SH600352,13769954.094076
2020-06-01,20,SH600382,13769954.094076
2020-06-01,20,SH600566,13769954.094076
2020-06-01,20,SH600682,13769954.094076
2020-06-01,20,SH600750,13769954.094076
2020-06-01,20,SH600777,13769954.094076
2020-06-01,20,SH601000,13769954.094076
2020-06-01,20,SH601677,13769954.094076
2020-06-01,20,SH603357,13769954.094076
2020-07-01,20,SZ000600,14399631.785076
2020-07-01,20,SZ000922,14399631.785076
2020-07-01,20,SZ002234,14399631.785076
2020-07-01,20,SZ002270,14399631.785076
2020-07-01,20,SZ002394,14399631.785076
2020-07-01,20,SZ002440,14399631.785076
2020-07-01,20,SZ002583,14399631.785076
2020-07-01,20,SZ002746,14399631.785076
2020-07-01,20,SZ002884,14399631.785076
2020-07-01,20,SH600051,14399631.785076
2020-07-01,20,SH600064,14399631.785076
2020-07-01,20,SH600261,14399631.785076
2020-07-01,20,SH600382,14399631.785076
2020-07-01,20,SH600496,14399631.785076
2020-07-01,20,SH600566,14399631.785076
2020-07-01,20,SH600750,14399631.785076
2020-07-01,20,SH600777,14399631.785076
2020-07-01,20,SH601000,14399631.785076
2020-07-01,20,SH601677,14399631.785076
2020-07-01,20,SH603357,14399631.785076
2020-08-03,20,SZ000581,17026709.351176
2020-08-03,20,SZ000922,17026709.351176
2020-08-03,20,SZ002234,17026709.351176
2020-08-03,20,SZ002270,17026709.351176
2020-08-03,20,SZ002394,17026709.351176
2020-08-03,20,SZ002440,17026709.351176
2020-08-03,20,SZ002543,17026709.351176
2020-08-03,20,SZ002583,17026709.351176
2020-08-03,20,SZ002664,17026709.351176
2020-08-03,20,SZ002884,17026709.351176
2020-08-03,20,SH600051,17026709.351176
2020-08-03,20,SH600062,17026709.351176
2020-08-03,20,SH600064,17026709.351176
2020-08-03,20,SH600352,17026709.351176
2020-08-03,20,SH600382,17026709.351176
2020-08-03,20,SH600566,17026709.351176
2020-08-03,20,SH600750,17026709.351176
2020-08-03,20,SH601000,17026709.351176
2020-08-03,20,SH603357,17026709.351176
2020-08-03,20,SH603586,17026709.351176
2020-09-01,20,SZ000027,16996732.745076
2020-09-01,20,SZ000581,16996732.745076
2020-09-01,20,SZ000922,16996732.745076
2020-09-01,20,SZ002394,16996732.745076
2020-09-01,20,SZ002403,16996732.745076
2020-09-01,20,SZ002406,16996732.745076
2020-09-01,20,SZ002432,16996732.745076
2020-09-01,20,SZ002869,16996732.745076
2020-09-01,20,SZ300552,16996732.745076
2020-09-01,20,SH600023,16996732.745076
2020-09-01,20,SH600026,16996732.745076
2020-09-01,20,SH600261,16996732.745076
2020-09-01,20,SH600273,16996732.745076
2020-09-01,20,SH600449,16996732.745076
2020-09-01,20,SH600668,16996732.745076
2020-09-01,20,SH601000,16996732.745076
2020-09-01,20,SH601006,16996732.745076
2020-09-01,20,SH601677,16996732.745076
2020-09-01,20,SH601717,16996732.745076
2020-09-01,20,SH603556,16996732.745076
2020-10-09,20,SZ000027,16274349.405376
2020-10-09,20,SZ000922,16274349.405376
2020-10-09,20,SZ002394,16274349.405376
2020-10-09,20,SZ002403,16274349.405376
2020-10-09,20,SZ002406,16274349.405376
2020-10-09,20,SZ002432,16274349.405376
2020-10-09,20,SZ002869,16274349.405376
2020-10-09,20,SZ300552,16274349.405376
2020-10-09,20,SH600023,16274349.405376
2020-10-09,20,SH600026,16274349.405376
2020-10-09,20,SH600261,16274349.405376
2020-10-09,20,SH600449,16274349.405376
2020-10-09,20,SH600668,16274349.405376
2020-10-09,20,SH600720,16274349.405376
2020-10-09,20,SH601000,16274349.405376
2020-10-09,20,SH601006,16274349.405376
2020-10-09,20,SH601677,16274349.405376
2020-10-09,20,SH601717,16274349.405376
2020-10-09,20,SH603012,16274349.405376
