execution_date,reported_holding_count,symbol,total_value
2021-03-01,10,SZ002633,10044632.5157
2021-03-01,10,SZ300362,10044632.5157
2021-03-01,10,SZ300478,10044632.5157
2021-03-01,10,SZ300736,10044632.5157
2021-03-01,10,SH600355,10044632.5157
2021-03-01,10,SH600520,10044632.5157
2021-03-01,10,SH600766,10044632.5157
2021-03-01,10,SH600768,10044632.5157
2021-03-01,10,SH600778,10044632.5157
2021-03-01,10,SH603029,10044632.5157
2021-04-01,10,SZ000609,9899907.9845
2021-04-01,10,SZ002633,9899907.9845
2021-04-01,10,SZ300362,9899907.9845
2021-04-01,10,SZ300478,9899907.9845
2021-04-01,10,SZ300736,9899907.9845
2021-04-01,10,SH600355,9899907.9845
2021-04-01,10,SH600520,9899907.9845
2021-04-01,10,SH600766,9899907.9845
2021-04-01,10,SH600768,9899907.9845
2021-04-01,10,SH603269,9899907.9845
2021-05-06,11,SZ000609,9589375.8157
2021-05-06,11,SZ002633,9589375.8157
2021-05-06,11,SZ300362,9589375.8157
2021-05-06,11,SZ300478,9589375.8157
2021-05-06,11,SZ300736,9589375.8157
2021-05-06,11,SH600355,9589375.8157
2021-05-06,11,SH600455,9589375.8157
2021-05-06,11,SH600520,9589375.8157
2021-05-06,11,SH600766,9589375.8157
2021-05-06,11,SH600768,9589375.8157
2021-05-06,11,SH603269,9589375.8157
2021-06-01,10,SZ002633,10524772.0525
2021-06-01,10,SZ300362,10524772.0525
2021-06-01,10,SZ300478,10524772.0525
2021-06-01,10,SH600455,10524772.0525
2021-06-01,10,SH600520,10524772.0525
2021-06-01,10,SH600561,10524772.0525
2021-06-01,10,SH600768,10524772.0525
2021-06-01,10,SH603029,10524772.0525
2021-06-01,10,SH603269,10524772.0525
2021-06-01,10,SH603389,10524772.0525
2021-07-01,10,SZ002633,10894042.032
2021-07-01,10,SZ300362,10894042.032
2021-07-01,10,SZ300478,10894042.032
2021-07-01,10,SH600455,10894042.032
2021-07-01,10,SH600561,10894042.032
2021-07-01,10,SH600768,10894042.032
2021-07-01,10,SH603029,10894042.032
2021-07-01,10,SH603269,10894042.032
2021-07-01,10,SH603389,10894042.032
2021-07-01,10,SH603813,10894042.032
2021-08-02,10,SZ000702,10339247.0245
2021-08-02,10,SZ002633,10339247.0245
2021-08-02,10,SZ002830,10339247.0245
2021-08-02,10,SH600455,10339247.0245
2021-08-02,10,SH600561,10339247.0245
2021-08-02,10,SH600768,10339247.0245
2021-08-02,10,SH603029,10339247.0245
2021-08-02,10,SH603269,10339247.0245
2021-08-02,10,SH603389,10339247.0245
2021-08-02,10,SH603813,10339247.0245
2021-09-01,10,SZ000702,11387054.3466
2021-09-01,10,SZ002417,11387054.3466
2021-09-01,10,SZ002633,11387054.3466
2021-09-01,10,SZ002836,11387054.3466
2021-09-01,10,SZ300478,11387054.3466
2021-09-01,10,SH600455,11387054.3466
2021-09-01,10,SH600768,11387054.3466
2021-09-01,10,SH603269,11387054.3466
2021-09-01,10,SH603709,11387054.3466
2021-09-01,10,SH603813,11387054.3466
2021-10-08,10,SZ000702,11282173.4973
2021-10-08,10,SZ002417,11282173.4973
2021-10-08,10,SZ002633,11282173.4973
2021-10-08,10,SZ300478,11282173.4973
2021-10-08,10,SH600455,11282173.4973
2021-10-08,10,SH600520,11282173.4973
2021-10-08,10,SH600768,11282173.4973
2021-10-08,10,SH603029,11282173.4973
2021-10-08,10,SH603709,11282173.4973
2021-10-08,10,SH603813,11282173.4973
2021-11-01,10,SZ000702,10853918.9712
2021-11-01,10,SZ002209,10853918.9712
2021-11-01,10,SZ002417,10853918.9712
2021-11-01,10,SZ002633,10853918.9712
2021-11-01,10,SZ002830,10853918.9712
2021-11-01,10,SH600455,10853918.9712
2021-11-01,10,SH600520,10853918.9712
2021-11-01,10,SH600768,10853918.9712
2021-11-01,10,SH603029,10853918.9712
2021-11-01,10,SH603813,10853918.9712
2021-12-01,10,SZ000702,12307713.2849
2021-12-01,10,SZ002209,12307713.2849
2021-12-01,10,SZ002417,12307713.2849
2021-12-01,10,SZ002633,12307713.2849
2021-12-01,10,SZ300478,12307713.2849
2021-12-01,10,SH600561,12307713.2849
2021-12-01,10,SH600768,12307713.2849
2021-12-01,10,SH603029,12307713.2849
2021-12-01,10,SH603709,12307713.2849
2021-12-01,10,SH603813,12307713.2849
2022-01-04,10,SZ000702,13280387.0932
2022-01-04,10,SZ002209,13280387.0932
2022-01-04,10,SZ002417,13280387.0932
2022-01-04,10,SZ002633,13280387.0932
2022-01-04,10,SZ300478,13280387.0932
2022-01-04,10,SH600768,13280387.0932
2022-01-04,10,SH600778,13280387.0932
2022-01-04,10,SH603029,13280387.0932
2022-01-04,10,SH603389,13280387.0932
2022-01-04,10,SH603709,13280387.0932
2022-02-07,9,SZ000702,13462715.2394
2022-02-07,9,SZ002209,13462715.2394
2022-02-07,9,SZ002417,13462715.2394
2022-02-07,9,SZ002633,13462715.2394
2022-02-07,9,SH600768,13462715.2394
2022-02-07,9,SH603029,13462715.2394
2022-02-07,9,SH603389,13462715.2394
2022-02-07,9,SH603709,13462715.2394
2022-02-07,9,SH603813,13462715.2394
