trade_date,symbol,shares,average_cost,close,market_value
2009-01-23,SH600307,102500,3.9011703338861468,5.589999675750732,572974.9667644501
2009-01-23,SH600309,47700,8.372510885524749,13.65999984741211,651581.9927215576
2009-01-23,SH600376,83600,4.781433732891083,8.079999923706055,675487.9936218262
2009-01-23,SH600380,138400,2.8908668664455415,4.960000038146973,686464.005279541
2009-01-23,SH600432,50800,7.872360408544541,14.239998817443848,723391.9399261475
2009-01-23,SH600456,42100,9.482843542099,17.239999771118164,725803.9903640747
2009-01-23,SH600595,78800,5.071521171712876,6.800000190734863,535840.0150299072
2009-01-23,SH600748,67700,5.901769618415833,7.440000534057617,503688.0361557007
2009-01-23,SH600804,78500,5.091526675653458,10.289999961853027,807764.9970054626
2009-01-23,SH601111,115900,3.451034809207916,4.249999523162842,492574.94473457336
2009-01-23,SH601168,72700,5.501650000000001,7.87000036239624,572149.0263462067
2009-01-23,SH601588,160000,2.50075,3.049999952316284,487999.99237060547
2009-01-23,SZ000572,162600,2.4607380381584165,3.8399999141693115,624383.98604393
2009-01-23,SZ000581,96300,4.151245095396042,6.519999980926514,627875.9981632233
2009-01-23,SZ000751,168700,2.3707111240148544,3.1500000953674316,531405.0160884857
2009-01-23,SZ000755,102000,3.921175837826729,6.190000057220459,631380.0058364868
2009-01-23,SZ000878,55200,7.242172248029709,9.890000343322754,545928.018951416
2009-01-23,SZ000960,45400,8.812642465782165,12.90000057220459,585660.0259780884
2009-01-23,SZ002097,58900,6.792037438821792,13.519999504089355,796327.970790863
2009-01-23,SZ002202,24200,16.50495,31.760000228881836,768592.0055389404
2009-02-02,SH600008,105800,3.781133732891083,5.25,555450.0
2009-02-02,SH600026,54700,7.302189713811874,11.260000228881836,615922.0125198364
2009-02-02,SH600110,107500,3.7211160286188125,6.920000076293945,743900.0082015991
2009-02-02,SH600117,116200,3.4410320572376247,5.069999694824219,589133.9645385742
2009-02-02,SH600158,120800,3.3109931812524795,5.619999885559082,678895.9861755371
2009-02-02,SH600307,102500,3.9011703338861468,5.7099995613098145,585274.955034256
2009-02-02,SH600309,47700,8.372510885524749,13.829999923706055,659690.9963607788
2009-02-02,SH600376,83600,4.781433732891083,8.110000610351562,677996.0510253906
2009-02-02,SH600380,138400,2.8908668664455415,4.970000267028809,687848.0369567871
2009-02-02,SH600432,50800,7.872360408544541,14.269998550415039,724915.926361084
2009-02-02,SH600456,42100,9.482843542099,18.450000762939453,776745.032119751
2009-02-02,SH600595,78800,5.071521171712876,6.850000381469727,539780.0300598145
2009-02-02,SH600748,67700,5.901769618415833,7.609999656677246,515196.97675704956
2009-02-02,SH600804,78500,5.091526675653458,10.859999656677246,852509.9730491638
2009-02-02,SH601111,115900,3.451034809207916,4.300000190734863,498370.02210617065
2009-02-02,SH601168,72700,5.501650000000001,8.0,581600.0
2009-02-02,SH601588,160000,2.50075,3.0899999141693115,494399.98626708984
2009-02-02,SZ000572,162600,2.4607380381584165,3.9800000190734863,647148.0031013489
2009-02-02,SZ000581,96300,4.151245095396042,6.569999694824219,632690.9706115723
2009-02-02,SZ000751,168700,2.3707111240148544,3.2100002765655518,541527.0466566086
2009-02-02,SZ000755,102000,3.921175837826729,6.660000324249268,679320.0330734253
2009-02-02,SZ000878,55200,7.242172248029709,9.979999542236328,550895.9747314453
2009-02-02,SZ000960,45400,8.812642465782165,12.829999923706055,582481.9965362549
2009-02-02,SZ002097,58900,6.792037438821792,13.809999465942383,813408.9685440063
2009-02-02,SZ002202,24200,16.50495,32.87999725341797,795695.9335327148
2009-02-03,SH600008,105800,3.781133732891083,5.549999713897705,587189.9697303772
2009-02-03,SH600026,54700,7.302189713811874,11.3100004196167,618657.0229530334
2009-02-03,SH600110,107500,3.7211160286188125,7.170000076293945,770775.0082015991
2009-02-03,SH600117,116200,3.4410320572376247,5.240000247955322,608888.0288124084
2009-02-03,SH600158,120800,3.3109931812524795,5.640000343322754,681312.0414733887
2009-02-03,SH600307,102500,3.9011703338861468,5.909999847412109,605774.9843597412
2009-02-03,SH600309,47700,8.372510885524749,14.59000015258789,695943.0072784424
2009-02-03,SH600376,83600,4.781433732891083,8.420000076293945,703912.0063781738
2009-02-03,SH600380,138400,2.8908668664455415,5.12000036239624,708608.0501556396
2009-02-03,SH600432,50800,7.872360408544541,14.500000953674316,736600.0484466553
2009-02-03,SH600456,42100,9.482843542099,18.56999969482422,781796.9871520996
2009-02-03,SH600595,78800,5.071521171712876,7.119999885559082,561055.9909820557
2009-02-03,SH600748,67700,5.901769618415833,7.840000152587891,530768.0103302002
2009-02-03,SH600804,78500,5.091526675653458,11.119999885559082,872919.9910163879
2009-02-03,SH601111,115900,3.451034809207916,4.510000228881836,522709.0265274048
2009-02-03,SH601168,72700,5.501650000000001,8.34000015258789,606318.0110931396
2009-02-03,SH601588,160000,2.50075,3.190000057220459,510400.00915527344
2009-02-03,SZ000572,162600,2.4607380381584165,4.0,650400.0
2009-02-03,SZ000581,96300,4.151245095396042,6.930000305175781,667359.0293884277
2009-02-03,SZ000751,168700,2.3707111240148544,3.3999998569488525,573579.9758672714
2009-02-03,SZ000755,102000,3.921175837826729,7.079999923706055,722159.9922180176
2009-02-03,SZ000878,55200,7.242172248029709,10.75,593400.0
2009-02-03,SZ000960,45400,8.812642465782165,13.500000953674316,612900.043296814
2009-02-03,SZ002097,58900,6.792037438821792,14.309999465942383,842858.9685440063
2009-02-03,SZ002202,24200,16.50495,32.939998626708984,797147.9667663574
2009-02-04,SH600008,105800,3.781133732891083,5.690000534057617,602002.0565032959
2009-02-04,SH600026,54700,7.302189713811874,11.359999656677246,621391.9812202454
2009-02-04,SH600110,107500,3.7211160286188125,7.329999923706055,787974.9917984009
2009-02-04,SH600117,116200,3.4410320572376247,5.460000038146973,634452.0044326782
