trade_date,position,risk_weight,full_weight,entry,exit,trailing_stop,atr,weekly_ema_up,weekly_histogram_rising,stochastic_k,force_ema_2
2022-03-04,0.0,0.0,0.0,False,False,,0.028273677471899118,False,True,23.394442522771815,-5285237.321472127
2022-03-07,0.0,0.0,0.0,False,False,,0.029329548435599193,False,True,6.504760691073997,-19330343.614490673
2022-03-08,0.0,0.0,0.0,False,False,,0.030688813940553113,False,True,5.452858448695594,-31737670.419496916
2022-03-09,0.0,0.0,0.0,False,False,,0.03409736671435672,False,True,11.028545181600302,-9847639.679165721
2022-03-10,0.0,0.0,0.0,False,False,,0.03385910773632929,False,True,23.30924693598624,5728379.577611493
2022-03-11,0.0,0.0,0.0,False,False,,0.034254560987380896,False,False,44.4749639350365,6282859.94520379
2022-03-14,0.0,0.0,0.0,False,False,,0.03461959475758236,False,False,47.01738320159368,-10101240.058265414
2022-03-15,0.0,0.0,0.0,False,False,,0.03572577977622987,False,False,33.40423641056541,-20601004.94742182
2022-03-16,0.0,0.0,0.0,False,False,,0.03751610440882757,False,False,30.637360429403714,11135793.490859408
2022-03-17,0.0,0.0,0.0,False,False,,0.037630250223533154,False,False,44.12942392146724,16042997.760953227
2022-03-18,0.0,0.0,0.0,False,False,,0.03619715405249214,False,False,69.59400781589225,5692164.636984372
2022-03-21,0.0,0.0,0.0,False,False,,0.03525891143306967,False,False,80.31914893617015,6125029.158994794
2022-03-22,0.0,0.0,0.0,False,False,,0.03408514901514123,False,False,78.01418439716305,-3974752.159668372
2022-03-23,0.0,0.0,0.0,False,False,,0.032924752937053436,False,False,67.91713325867859,1302941.6201105446
2022-03-24,0.0,0.0,0.0,False,False,,0.032084387326510866,False,False,49.5956202563145,-2230793.4146298533
2022-03-25,0.0,0.0,0.0,False,False,,0.03238558830139465,False,False,27.49582289055975,-10959114.121543255
2022-03-28,0.0,0.0,0.0,False,False,,0.03158669689359506,False,False,14.1939113954039,-10076495.044514466
2022-03-29,0.0,0.0,0.0,False,False,,0.030849258671010814,False,False,3.5332507347432522,-6431589.868171461
2022-03-30,0.0,0.0,0.0,False,False,,0.03109162338862537,False,False,20.646345972838372,10595919.76660948
2022-03-31,0.0,0.0,0.0,False,False,,0.03062303697411572,False,False,24.929617117116994,-4182404.576463472
2022-04-01,0.0,0.0,0.0,False,False,,0.02980588028379913,False,False,36.75986842105256,-2128168.945487825
2022-04-06,0.0,0.0,0.0,False,False,,0.030205427954276113,False,False,20.746450341956507,-22916282.341829292
2022-04-07,0.0,0.0,0.0,False,False,,0.029728087342408723,False,False,14.397557936893206,-17579939.25127644
2022-04-08,0.0,0.0,0.0,False,False,,0.029287465239146517,False,False,6.327382498296714,-10052906.680425433
2022-04-11,0.0,0.0,0.0,False,False,,0.030419198682289098,False,False,5.81240824700934,-28933139.880141832
2022-04-12,0.0,0.0,0.0,False,False,,0.030156183399036102,False,False,12.767516499067241,-6080755.884047275
2022-04-13,0.0,0.0,0.0,False,False,,0.030298015445264097,False,False,8.556990183277764,-17873701.028015774
2022-04-14,0.0,0.0,0.0,False,False,,0.02973662964178224,False,False,13.47461015593762,503510.23932801466
2022-04-15,0.0,0.0,0.0,False,False,,0.029372273515491293,False,False,16.242488511841568,167836.74644267157
2022-04-18,0.0,0.0,0.0,False,False,,0.030574406321991977,False,False,48.934796204149194,21902313.222147577
2022-04-19,0.0,0.0,0.0,False,False,,0.02999175968183874,False,False,63.44329583460012,-228384.06328409724
2022-04-20,0.0,0.0,0.0,False,False,,0.029453932014005004,False,False,63.60139860139855,-7888204.23042809
2022-04-21,0.0,0.0,0.0,False,False,,0.029957475705235385,False,False,34.480519480519426,-10326175.618142704
2022-04-22,0.0,0.0,0.0,False,False,,0.029268439112524965,False,False,15.282909578684135,-14719991.659380842
2022-04-25,0.0,0.0,0.0,False,False,,0.03163240533463843,False,False,5.240295942320548,-54230598.0031269
2022-04-26,0.0,0.0,0.0,False,False,,0.032045297231973933,False,False,3.1726267693882773,-28622526.82104231
2022-04-27,0.0,0.0,0.0,False,False,,0.0340418128295144,False,False,14.766540131356772,25967550.174319156
2022-04-28,0.0,0.0,0.0,False,False,,0.03334628876570559,False,False,29.82143878000542,5811777.527439718
