trade_date,cash,positions_value,total_value,cash_ratio,daily_return,model
2023-04-07,11045.029871990439,1307301.7000000002,1318346.7298719906,0.0083779400530412,0.01163566142416017,macd-cross-12-26-9
2023-04-10,11045.029871990439,1269393.2,1280438.2298719904,0.008625976337097219,-0.02875457506059964,macd-cross-12-26-9
2023-04-11,11045.029871990439,1261811.5,1272856.5298719904,0.00867735649130953,-0.005921175909249343,macd-cross-12-26-9
2023-04-12,11045.029871990439,1270476.3,1281521.3298719905,0.00861868594344326,0.00680736579233443,macd-cross-12-26-9
2023-04-13,11045.029871990439,1237983.3,1249028.3298719905,0.008842897801303205,-0.02535502081986074,macd-cross-12-26-9
2023-04-14,11045.029871990439,1280224.2,1291269.2298719904,0.008553622758505122,0.033819008736438505,macd-cross-12-26-9
2023-04-17,11045.029871990439,1284556.5999999999,1295601.6298719903,0.008525020050400619,0.0033551484847427204,macd-cross-12-26-9
2023-04-18,11045.029871990439,1269393.2,1280438.2298719904,0.008625976337097219,-0.011703751871243062,macd-cross-12-26-9
2023-04-19,11045.029871990439,1275891.8,1286936.8298719905,0.008582418045405592,0.0050752936364995005,macd-cross-12-26-9
2023-04-20,1285216.4020105125,0.0,1285216.4020105125,1.0,-0.0013368394015493834,macd-cross-12-26-9
2023-04-21,12303.587373916525,1222898.4,1235201.9873739164,0.00996078981387845,-0.03891516989540178,macd-cross-12-26-9
2023-04-24,1226190.0134435324,0.0,1226190.0134435324,1.0,-0.007295951611560936,macd-cross-12-26-9
2023-04-25,1226190.0134435324,0.0,1226190.0134435324,1.0,0.0,macd-cross-12-26-9
2023-04-26,1226190.0134435324,0.0,1226190.0134435324,1.0,0.0,macd-cross-12-26-9
2023-04-27,1226190.0134435324,0.0,1226190.0134435324,1.0,0.0,macd-cross-12-26-9
2023-04-28,1226190.0134435324,0.0,1226190.0134435324,1.0,0.0,macd-cross-12-26-9
2023-05-04,1226190.0134435324,0.0,1226190.0134435324,1.0,0.0,macd-cross-12-26-9
2023-05-05,1226190.0134435324,0.0,1226190.0134435324,1.0,0.0,macd-cross-12-26-9
2023-05-08,1226190.0134435324,0.0,1226190.0134435324,1.0,0.0,macd-cross-12-26-9
2023-05-09,1226190.0134435324,0.0,1226190.0134435324,1.0,0.0,macd-cross-12-26-9
2023-05-10,1226190.0134435324,0.0,1226190.0134435324,1.0,0.0,macd-cross-12-26-9
2023-05-11,1226190.0134435324,0.0,1226190.0134435324,1.0,0.0,macd-cross-12-26-9
2023-05-12,1226190.0134435324,0.0,1226190.0134435324,1.0,0.0,macd-cross-12-26-9
2023-05-15,1226190.0134435324,0.0,1226190.0134435324,1.0,0.0,macd-cross-12-26-9
2023-05-16,1226190.0134435324,0.0,1226190.0134435324,1.0,0.0,macd-cross-12-26-9
2023-05-17,1226190.0134435324,0.0,1226190.0134435324,1.0,0.0,macd-cross-12-26-9
2023-05-18,1226190.0134435324,0.0,1226190.0134435324,1.0,0.0,macd-cross-12-26-9
2023-05-19,1226190.0134435324,0.0,1226190.0134435324,1.0,0.0,macd-cross-12-26-9
2023-05-22,1226190.0134435324,0.0,1226190.0134435324,1.0,0.0,macd-cross-12-26-9
2023-05-23,1226190.0134435324,0.0,1226190.0134435324,1.0,0.0,macd-cross-12-26-9
2023-05-24,1226190.0134435324,0.0,1226190.0134435324,1.0,0.0,macd-cross-12-26-9
2023-05-25,1226190.0134435324,0.0,1226190.0134435324,1.0,0.0,macd-cross-12-26-9
2023-05-26,1226190.0134435324,0.0,1226190.0134435324,1.0,0.0,macd-cross-12-26-9
2023-05-29,1226190.0134435324,0.0,1226190.0134435324,1.0,0.0,macd-cross-12-26-9
2023-05-30,11667.983108632267,1236605.0,1248272.9831086323,0.009347300844062927,0.018009418950561962,macd-cross-12-26-9
2023-05-31,11667.983108632267,1244546.5,1256214.4831086323,0.009288209350809776,0.006361989811093149,macd-cross-12-26-9
2023-06-01,11667.983108632267,1247950.0,1259617.9831086323,0.00926311251911207,0.002709330329943027,macd-cross-12-26-9
2023-06-02,11667.983108632267,1247950.0,1259617.9831086323,0.00926311251911207,0.0,macd-cross-12-26-9
2023-06-05,11667.983108632267,1243412.0,1255079.9831086323,0.00929660520896249,-0.003602679590839597,macd-cross-12-26-9
2023-06-06,11667.983108632267,1210511.5,1222179.4831086323,0.009546865472618286,-0.026213867197938057,macd-cross-12-26-9
2023-06-07,11667.983108632267,1208242.5,1219910.4831086323,0.009564622380241682,-0.001856519464906059,macd-cross-12-26-9
2023-06-08,11667.983108632267,1194628.5,1206296.4831086323,0.009672566630190128,-0.011159835240786009,macd-cross-12-26-9
2023-06-09,1205699.2405363421,0.0,1205699.2405363421,1.0,-0.0004951042970390285,macd-cross-12-26-9
2023-06-12,11495.565519934054,1188060.3,1199555.865519934,0.009583184785605154,-0.00509527982590019,macd-cross-12-26-9
2023-06-13,11495.565519934054,1202481.2000000002,1213976.7655199342,0.009469345580935084,0.0120218661043765,macd-cross-12-26-9
2023-06-14,11495.565519934054,1198044.0,1209539.565519934,0.009504083907327626,-0.0036550946657532,macd-cross-12-26-9
2023-06-15,11495.565519934054,1198044.0,1209539.565519934,0.009504083907327626,0.0,macd-cross-12-26-9
2023-06-16,11495.565519934054,1218011.4000000001,1229506.9655199342,0.009349735985491393,0.016508265268211364,macd-cross-12-26-9
2023-06-19,11495.565519934054,1220230.0,1231725.565519934,0.009332895120254783,0.001804463140281376,macd-cross-12-26-9
2023-06-20,11495.565519934054,1221339.3,1232834.865519934,0.009324497417653685,0.000900606458981601,macd-cross-12-26-9
2023-06-21,11495.565519934054,1182513.8,1194009.365519934,0.009627701299418439,-0.03149286338817636,macd-cross-12-26-9
2023-06-26,11495.565519934054,1172530.0999999999,1184025.665519934,0.009708882040902447,-0.008361492202913157,macd-cross-12-26-9
2023-06-27,1183439.4708217399,0.0,1183439.4708217399,1.0,-0.0004950861415125019,macd-cross-12-26-9
2023-06-28,1183439.4708217399,0.0,1183439.4708217399,1.0,0.0,macd-cross-12-26-9
2023-06-29,1183439.4708217399,0.0,1183439.4708217399,1.0,0.0,macd-cross-12-26-9
2023-06-30,1183439.4708217399,0.0,1183439.4708217399,1.0,0.0,macd-cross-12-26-9
2023-07-03,1183439.4708217399,0.0,1183439.4708217399,1.0,0.0,macd-cross-12-26-9
2023-07-04,1183439.4708217399,0.0,1183439.4708217399,1.0,0.0,macd-cross-12-26-9
2023-07-05,1183439.4708217399,0.0,1183439.4708217399,1.0,0.0,macd-cross-12-26-9
2023-07-06,1183439.4708217399,0.0,1183439.4708217399,1.0,0.0,macd-cross-12-26-9
2023-07-07,1183439.4708217399,0.0,1183439.4708217399,1.0,0.0,macd-cross-12-26-9
2023-07-10,1183439.4708217399,0.0,1183439.4708217399,1.0,0.0,macd-cross-12-26-9
2023-07-11,1183439.4708217399,0.0,1183439.4708217399,1.0,0.0,macd-cross-12-26-9
2023-07-12,1183439.4708217399,0.0,1183439.4708217399,1.0,0.0,macd-cross-12-26-9
2023-07-13,1183439.4708217399,0.0,1183439.4708217399,1.0,0.0,macd-cross-12-26-9
2023-07-14,1183439.4708217399,0.0,1183439.4708217399,1.0,0.0,macd-cross-12-26-9
2023-07-17,1183439.4708217399,0.0,1183439.4708217399,1.0,0.0,macd-cross-12-26-9
2023-07-18,1183439.4708217399,0.0,1183439.4708217399,1.0,0.0,macd-cross-12-26-9
2023-07-19,1183439.4708217399,0.0,1183439.4708217399,1.0,0.0,macd-cross-12-26-9
2023-07-20,1183439.4708217399,0.0,1183439.4708217399,1.0,0.0,macd-cross-12-26-9
2023-07-21,1183439.4708217399,0.0,1183439.4708217399,1.0,0.0,macd-cross-12-26-9
2023-07-24,1183439.4708217399,0.0,1183439.4708217399,1.0,0.0,macd-cross-12-26-9
2023-07-25,1183439.4708217399,0.0,1183439.4708217399,1.0,0.0,macd-cross-12-26-9
2023-07-26,1183439.4708217399,0.0,1183439.4708217399,1.0,0.0,macd-cross-12-26-9
2023-07-27,1183439.4708217399,0.0,1183439.4708217399,1.0,0.0,macd-cross-12-26-9
2023-07-28,1183439.4708217399,0.0,1183439.4708217399,1.0,0.0,macd-cross-12-26-9
2023-07-31,1183439.4708217399,0.0,1183439.4708217399,1.0,0.0,macd-cross-12-26-9
2023-08-01,11304.02572876378,1169243.4,1180547.4257287637,0.009575240674287772,-0.0024437625787215866,macd-cross-12-26-9
2023-08-02,11304.02572876378,1166937.2,1178241.2257287637,0.009593982524055746,-0.001953500511490569,macd-cross-12-26-9
2023-08-03,11304.02572876378,1170396.5,1181700.5257287638,0.009565897181769045,0.0029359862178142127,macd-cross-12-26-9
2023-08-04,11304.02572876378,1177315.0999999999,1188619.1257287636,0.009510216926581152,0.005854782873802256,macd-cross-12-26-9
2023-08-07,11304.02572876378,1169243.4,1180547.4257287637,0.009575240674287772,-0.006790821235566957,macd-cross-12-26-9
2023-08-08,11304.02572876378,1164631.0,1175935.0257287638,0.009612797885459974,-0.003907001022981027,macd-cross-12-26-9
2023-08-09,11304.02572876378,1154253.0999999999,1165557.1257287636,0.00969838841806741,-0.008825232494090063,macd-cross-12-26-9
2023-08-10,11304.02572876378,1156559.2999999998,1167863.3257287636,0.009679236841956575,0.0019786245985653483,macd-cross-12-26-9
2023-08-11,11304.02572876378,1133497.3,1144801.3257287638,0.009874224876152901,-0.01974717374193491,macd-cross-12-26-9
2023-08-14,11304.02572876378,1123119.4,1134423.4257287637,0.009964555978295294,-0.009065241074379227,macd-cross-12-26-9
2023-08-15,1133861.933415928,0.0,1133861.933415928,1.0,-0.000494958319883998,macd-cross-12-26-9
2023-08-16,1133861.933415928,0.0,1133861.933415928,1.0,0.0,macd-cross-12-26-9
