model,execution_date,target_weight,delay,execution
donchian-120-40,2026-05-07,0.99,1,open
bollinger-20-2,2021-11-29,0.0,1,open
bollinger-20-2,2021-12-08,0.99,1,open
bollinger-20-2,2022-01-04,0.0,1,open
bollinger-20-2,2022-01-28,0.99,1,open
bollinger-20-2,2022-02-24,0.0,1,open
bollinger-20-2,2022-03-09,0.99,1,open
bollinger-20-2,2022-05-11,0.0,1,open
bollinger-20-2,2022-07-13,0.99,1,open
bollinger-20-2,2022-07-22,0.0,1,open
bollinger-20-2,2022-08-26,0.99,1,open
bollinger-20-2,2022-10-21,0.0,1,open
bollinger-20-2,2022-12-20,0.99,1,open
bollinger-20-2,2023-01-04,0.0,1,open
bollinger-20-2,2023-02-20,0.99,1,open
bollinger-20-2,2023-03-07,0.0,1,open
bollinger-20-2,2023-07-21,0.99,1,open
bollinger-20-2,2023-08-07,0.0,1,open
bollinger-20-2,2023-08-14,0.99,1,open
bollinger-20-2,2023-08-30,0.0,1,open
bollinger-20-2,2023-10-24,0.99,1,open
bollinger-20-2,2023-10-31,0.0,1,open
bollinger-20-2,2023-12-06,0.99,1,open
bollinger-20-2,2023-12-12,0.0,1,open
bollinger-20-2,2023-12-27,0.99,1,open
bollinger-20-2,2024-01-02,0.0,1,open
bollinger-20-2,2024-01-08,0.99,1,open
bollinger-20-2,2024-02-08,0.0,1,open
bollinger-20-2,2024-03-27,0.99,1,open
bollinger-20-2,2024-04-29,0.0,1,open
bollinger-20-2,2024-05-27,0.99,1,open
bollinger-20-2,2024-06-05,0.0,1,open
bollinger-20-2,2024-06-26,0.99,1,open
bollinger-20-2,2024-07-17,0.0,1,open
bollinger-20-2,2025-01-03,0.99,1,open
bollinger-20-2,2025-01-15,0.0,1,open
bollinger-20-2,2025-03-24,0.99,1,open
bollinger-20-2,2025-04-18,0.0,1,open
bollinger-20-2,2025-06-18,0.99,1,open
bollinger-20-2,2025-06-25,0.0,1,open
bollinger-20-2,2025-11-24,0.99,1,open
bollinger-20-2,2025-12-09,0.0,1,open
bollinger-20-2,2026-03-04,0.99,1,open
bollinger-20-2,2026-04-09,0.0,1,open
bollinger-20-2,2026-06-09,0.99,1,open
bollinger-20-2,2026-06-16,0.0,1,open
bollinger-20-2,2026-07-20,0.99,1,open
elder-risk-sized,2021-11-29,0.2,1,open
elder-risk-sized,2021-12-07,0.0,1,open
elder-risk-sized,2021-12-08,0.2,1,open
elder-risk-sized,2021-12-21,0.0,1,open
elder-risk-sized,2022-08-11,0.2,1,open
elder-risk-sized,2022-08-22,0.0,1,open
elder-risk-sized,2023-02-07,0.2,1,open
elder-risk-sized,2023-02-17,0.0,1,open
elder-risk-sized,2023-03-28,0.2,1,open
elder-risk-sized,2023-04-14,0.0,1,open
elder-risk-sized,2023-04-19,0.2,1,open
elder-risk-sized,2023-04-25,0.0,1,open
elder-risk-sized,2024-10-11,0.17689655172413796,1,open
elder-risk-sized,2024-11-18,0.0,1,open
elder-risk-sized,2025-02-12,0.2,1,open
elder-risk-sized,2025-03-04,0.0,1,open
elder-risk-sized,2025-03-05,0.2,1,open
elder-risk-sized,2025-03-21,0.0,1,open
elder-risk-sized,2025-07-31,0.2,1,open
elder-risk-sized,2025-09-05,0.0,1,open
elder-risk-sized,2025-09-08,0.2,1,open
elder-risk-sized,2025-10-15,0.0,1,open
elder-risk-sized,2025-12-29,0.2,1,open
elder-risk-sized,2026-02-03,0.0,1,open
elder-risk-sized,2026-02-04,0.2,1,open
elder-risk-sized,2026-03-04,0.0,1,open
elder-risk-sized,2026-04-22,0.2,1,open
elder-risk-sized,2026-06-02,0.0,1,open
elder-risk-sized,2026-06-03,0.2,1,open
elder-risk-sized,2026-07-03,0.0,1,open
elder-risk-sized,2026-07-06,0.19830188679245286,1,open
elder-risk-sized,2026-07-14,0.0,1,open
elder-risk-sized,2026-07-15,0.17346938775510198,1,open
elder-risk-sized,2026-07-20,0.0,1,open
elder-full-exposure,2021-11-29,0.99,1,open
elder-full-exposure,2021-12-07,0.0,1,open
elder-full-exposure,2021-12-08,0.99,1,open
elder-full-exposure,2021-12-21,0.0,1,open
elder-full-exposure,2022-08-11,0.99,1,open
elder-full-exposure,2022-08-22,0.0,1,open
elder-full-exposure,2023-02-07,0.99,1,open
elder-full-exposure,2023-02-17,0.0,1,open
elder-full-exposure,2023-03-28,0.99,1,open
elder-full-exposure,2023-04-14,0.0,1,open
elder-full-exposure,2023-04-19,0.99,1,open
elder-full-exposure,2023-04-25,0.0,1,open
elder-full-exposure,2024-10-11,0.99,1,open
elder-full-exposure,2024-11-18,0.0,1,open
elder-full-exposure,2025-02-12,0.99,1,open
elder-full-exposure,2025-03-04,0.0,1,open
elder-full-exposure,2025-03-05,0.99,1,open
elder-full-exposure,2025-03-21,0.0,1,open
elder-full-exposure,2025-07-31,0.99,1,open
elder-full-exposure,2025-09-05,0.0,1,open
elder-full-exposure,2025-09-08,0.99,1,open
elder-full-exposure,2025-10-15,0.0,1,open
elder-full-exposure,2025-12-29,0.99,1,open
elder-full-exposure,2026-02-03,0.0,1,open
elder-full-exposure,2026-02-04,0.99,1,open
elder-full-exposure,2026-03-04,0.0,1,open
elder-full-exposure,2026-04-22,0.99,1,open
elder-full-exposure,2026-06-02,0.0,1,open
elder-full-exposure,2026-06-03,0.99,1,open
elder-full-exposure,2026-07-03,0.0,1,open
elder-full-exposure,2026-07-06,0.99,1,open
elder-full-exposure,2026-07-14,0.0,1,open
elder-full-exposure,2026-07-15,0.99,1,open
elder-full-exposure,2026-07-20,0.0,1,open
