trade_date,event,symbol,amount,cash_after
2021-09-01,sell,SH603269,3939.4208953380585,225415.49056851643
2021-09-01,sell,SH603389,198611.6784213066,424027.168989823
2021-09-01,sell,SZ002830,194216.34369529723,618243.5126851202
2021-09-01,buy,SH600768,-16220.887260437012,602022.6254246832
2021-09-01,buy,SH603029,-3173.720531463623,598848.9048932196
2021-09-01,buy,SH603709,-193605.06956428528,405243.8353289343
2021-09-01,buy,SH603813,-2606.1423110961914,402637.6930178381
2021-09-01,buy,SZ000702,-9564.549570083618,393073.1434477545
2021-09-01,buy,SZ002633,-1613.316421508789,391459.8270262457
2021-09-01,buy,SZ002836,-194417.19562491417,197042.63140133154
2021-09-01,buy,SZ300478,-194028.2113002777,3014.420101053838
2021-10-08,sell,SH600455,9504.258116722107,12518.678217775945
2021-10-08,sell,SH603269,195361.67689779281,207880.35511556876
2021-10-08,sell,SH603709,2996.402998447418,210876.75811401618
2021-10-08,sell,SH603813,3788.3833766937255,214665.1414907099
2021-10-08,sell,SZ000702,7221.3837837219235,221886.52527443183
2021-10-08,sell,SZ002836,190664.04844935896,412550.5737237908
2021-10-08,buy,SH600520,-185499.38417435647,227051.18954943435
2021-10-08,buy,SH600768,-9047.552089691162,218003.6374597432
2021-10-08,buy,SH603029,-8635.944347381592,209367.6931123616
2021-10-08,buy,SZ002209,-185614.6026551628,23753.090457198792
2021-10-08,buy,SZ002633,-3770.1963233947754,19982.894133804017
2021-10-08,buy,SZ300478,-14198.038940429688,5784.855193374329
2021-11-01,sell,SH600768,3256.9276020050047,9041.782795379335
2021-11-01,sell,SZ300478,221689.5581996727,230731.34099505204
2021-11-01,buy,SH600455,-1839.7480773925781,228891.59291765947
2021-11-01,buy,SH600520,-7306.9700050354,221584.62291262407
2021-11-01,buy,SH603029,-7201.095275878906,214383.52763674516
2021-11-01,buy,SH603709,-5690.646820068359,208692.8808166768
2021-11-01,buy,SH603813,-2445.9528732299805,206246.92794344682
2021-11-01,buy,SZ000702,-881.1225700378418,205365.80537340898
2021-11-01,buy,SZ002209,-16247.049980163574,189118.7553932454
2021-11-01,buy,SZ002633,-4319.794826507568,184798.96056673783
2021-11-01,buy,SZ002830,-181174.20662388802,3624.753942849813
2021-12-01,sell,SH600455,220597.6249540329,224222.3788968827
2021-12-01,sell,SH600520,223181.0964047241,447403.4753016068
2021-12-01,sell,SH600768,3713.22057762146,451116.6958792283
2021-12-01,sell,SZ002830,199771.46653232575,650888.162411554
2021-12-01,buy,SH600561,-203324.88183498383,447563.2805765702
2021-12-01,buy,SH600778,-203113.75703887938,244449.5235376908
2021-12-01,buy,SH603029,-1009.5596122741699,243439.96392541664
2021-12-01,buy,SH603709,-10099.161987304688,233340.80193811195
2021-12-01,buy,SH603813,-6634.1656494140625,226706.6362886979
2021-12-01,buy,SZ000702,-5740.298728942871,220966.33755975502
2021-12-01,buy,SZ002209,-8724.32373046875,212242.01382928627
2021-12-01,buy,SZ002633,-5487.706260681152,206754.30756860512
2021-12-01,buy,SZ300478,-203440.31276277543,3313.994805829687
2022-01-04,sell,SH600561,221459.4734447479,224773.4682505776
2022-01-04,sell,SH603813,245229.46206842424,470002.93031900184
2022-01-04,sell,SZ002209,4780.787691688538,474783.71801069035
2022-01-04,sell,SZ002633,3414.960710144043,478198.6787208344
2022-01-04,buy,SH600520,-217599.01867248534,260599.66004834903
2022-01-04,buy,SH600768,-12242.715911865234,248356.9441364838
2022-01-04,buy,SH600778,-2254.3841648101807,246102.55997167362
2022-01-04,buy,SH603029,-3190.0071907043457,242912.55278096927
2022-01-04,buy,SH603389,-218067.56224668503,24844.99053428424
2022-01-04,buy,SH603709,-3208.2705307006836,21636.720003583556
2022-01-04,buy,SZ000702,-5505.835561752319,16130.884441831236
2022-01-04,buy,SZ300478,-12220.484237670898,3910.400204160338
2022-02-07,sell,SH600520,207550.0051334381,211460.40533759844
2022-02-07,sell,SH600778,212128.1862899065,423588.5916275049
2022-02-07,sell,SH603029,1042.4837629318238,424631.07539043674
2022-02-07,sell,SZ002633,8740.497228622437,433371.5726190592
2022-02-07,sell,SZ300478,234434.2318325615,667805.8044516207
2022-02-07,buy,SH600768,-7189.462738037109,660616.3417135836
2022-02-07,buy,SH603389,-2068.0449295043945,658548.2967840792
2022-02-07,buy,SH603709,-6131.78108215332,652416.5157019258
2022-02-07,buy,SH603813,-214061.48159439088,438355.034107535
2022-02-07,buy,SH688215,-214603.96358797073,223751.07051956424
2022-02-07,buy,SH688309,-213300.65828493118,10450.412234633055
2022-02-07,buy,SZ000702,-5276.660852432251,5173.751382200804
2022-02-07,buy,SZ002209,-2000.4248905181885,3173.3264916826156
2022-03-01,sell,SH600768,7031.686909770966,10205.013401453582
2022-03-01,sell,SH603029,286374.4096035004,296579.42300495395
2022-03-01,sell,SH603813,238170.01497362138,534749.4379785754
2022-03-01,buy,SH600778,-233816.1259979248,300933.3119806505
2022-03-01,buy,SH603389,-13251.160745620728,287682.1512350298
2022-03-01,buy,SH603709,-11617.98131942749,276064.1699156023
2022-03-01,buy,SH603958,-233289.00944480897,42775.160470793344
2022-03-01,buy,SH688215,-8903.744201660156,33871.41626913319
2022-03-01,buy,SH688309,-14300.422172546387,19570.9940965868
2022-03-01,buy,SZ000702,-2076.9175338745117,17494.07656271229
2022-03-01,buy,SZ002209,-1447.3199653625488,16046.75659734974
2022-03-01,buy,SZ002633,-14307.174377441406,1739.582219908334
2022-04-01,sell,SH600778,257680.4261285305,259420.00834843883
2022-04-01,sell,SH603389,246914.44130002498,506334.4496484638
2022-04-01,sell,SZ000702,254622.98277236937,760957.4324208332
2022-04-01,sell,SZ002209,246198.80289276125,1007156.2353135943
2022-04-01,sell,SZ002633,7483.64948425293,1014639.8847978472
2022-04-01,buy,SH600455,-237251.59312705992,777388.2916707874
2022-04-01,buy,SH600768,-17106.09159210205,760282.2000786853
2022-04-01,buy,SH603709,-7266.722278594971,753015.4778000903
2022-04-01,buy,SH603958,-1967.6245498657227,751047.8532502246
2022-04-01,buy,SH688215,-14821.983985900879,736225.8692643237
2022-04-01,buy,SH688309,-21917.53587040901,714308.3333939147
2022-04-01,buy,SZ002862,-237107.75554750444,477200.57784641034
