execution_date,symbol,shares,market_value_at_open
2019-11-01,SZ000581,4100,56420.36066055298
2019-11-01,SZ000922,9900,57487.55965232849
2019-11-01,SZ000933,14100,57338.923358917236
2019-11-01,SZ002195,18100,57339.405822753906
2019-11-01,SZ002440,5800,56803.599548339844
2019-11-01,SZ002444,5800,57222.043228149414
2019-11-01,SZ002884,7900,57086.74349784851
2019-12-02,SH600261,16600,57590.748596191406
2019-12-02,SH600382,13500,57335.275411605835
2019-12-02,SH600449,6600,57307.62748718262
2019-12-02,SH600510,10200,57741.73078536987
2019-12-02,SH600512,21600,57488.52825164795
2019-12-02,SH600668,4500,57735.99100112915
2019-12-02,SH600682,6300,57724.26309585571
2019-12-02,SH600720,6000,57513.71955871582
2019-12-02,SH601006,9100,57611.46512031555
2019-12-02,SH603277,6900,57086.71875
2019-12-02,SH603585,3200,56278.448486328125
2019-12-02,SH603980,8600,57086.67707443237
2019-12-02,SZ000922,10300,57531.84103965759
2019-12-02,SZ000933,13800,57679.983615875244
2019-12-02,SZ002195,19500,57570.032715797424
2019-12-02,SZ002440,6100,57177.02865600586
2019-12-02,SZ002444,6000,57327.36396789551
2019-12-02,SZ002775,13200,57520.96481323242
2019-12-02,SZ002884,8100,57081.20155334473
2019-12-02,SZ300017,6600,57301.96895599365
2020-01-02,SH600261,16200,62914.107513427734
2020-01-02,SH600328,11100,62988.14077377319
2020-01-02,SH600382,14100,62733.419609069824
2020-01-02,SH600449,6500,62811.55252456665
2020-01-02,SH600510,10200,62968.7424659729
2020-01-02,SH600512,23000,63015.26236534119
2020-01-02,SH600516,7600,62577.24914550781
2020-01-02,SH600668,4300,62699.625968933105
2020-01-02,SH600682,6200,62605.09033203125
2020-01-02,SH601006,9500,62613.8710975647
2020-01-02,SH603585,3300,62503.871154785156
2020-01-02,SZ000581,3900,61729.27465438843
2020-01-02,SZ000922,10200,62789.465045928955
2020-01-02,SZ000932,15800,62837.123584747314
2020-01-02,SZ002195,19800,62921.68035507202
2020-01-02,SZ002440,6500,62987.0924949646
2020-01-02,SZ002444,5900,62838.31186294556
2020-01-02,SZ002746,6500,62800.289154052734
2020-01-02,SZ002775,13400,62776.909828186035
2020-01-02,SZ002884,8000,62713.199615478516
2020-02-03,SH600261,17000,54697.14283943176
2020-02-03,SH600382,14100,54352.17890739441
2020-02-03,SH600449,6900,54368.59545707703
2020-02-03,SH600510,10200,54957.186698913574
2020-02-03,SH600512,23000,58995.259046554565
2020-02-03,SH600516,8000,54268.73016357422
2020-02-03,SH600668,4600,54297.35107421875
2020-02-03,SH600682,6200,55020.713233947754
2020-02-03,SH600694,2600,51440.300369262695
2020-02-03,SH601006,9500,53699.729919433594
2020-02-03,SH603585,3300,53573.66409301758
2020-02-03,SZ000581,3900,52650.51326751709
2020-02-03,SZ000922,10200,54625.51374435425
2020-02-03,SZ000932,15900,52243.09000968933
2020-02-03,SZ002195,19800,55152.15983390808
2020-02-03,SZ002440,6500,55505.51795959473
2020-02-03,SZ002444,5900,61556.7120552063
2020-02-03,SZ002746,6500,51536.168575286865
2020-02-03,SZ002775,13400,53808.78076553345
2020-02-03,SZ002884,8000,57364.24255371094
2020-03-02,SH600261,18200,60036.502265930176
2020-03-02,SH600382,15400,59844.36936378479
2020-03-02,SH600449,6500,59433.0620765686
2020-03-02,SH600516,8800,59691.486740112305
2020-03-02,SH600566,2800,58391.056060791016
2020-03-02,SH600668,4500,60049.23963546753
2020-03-02,SH600682,6500,59554.770946502686
2020-03-02,SH600694,3000,59925.94528198242
2020-03-02,SH600750,6800,59606.54182434082
2020-03-02,SH601006,10600,60162.16926574707
2020-03-02,SH603277,7300,59653.11412811279
2020-03-02,SH603585,3400,60101.09977722168
2020-03-02,SH603980,9000,59797.15061187744
2020-03-02,SZ000922,9900,59850.60381889343
2020-03-02,SZ000933,15800,60127.34498977661
2020-03-02,SZ002195,19400,60126.15919113159
2020-03-02,SZ002406,11700,59750.95567703247
2020-03-02,SZ002440,6500,59414.31665420532
2020-03-02,SZ002746,6700,59864.28556442261
2020-03-02,SZ002775,14300,60055.87873458862
2020-04-01,SH600261,19800,57274.87850189209
2020-04-01,SH600382,14900,57336.30909919739
2020-04-01,SH600449,5300,56783.288860321045
2020-04-01,SH600516,9500,57357.12790489197
2020-04-01,SH600566,2900,56860.74905395508
2020-04-01,SH600668,4400,56895.66459655762
2020-04-01,SH600682,6800,56827.48565673828
2020-04-01,SH600694,2900,57183.10832977295
2020-04-01,SH600750,7000,56908.732414245605
2020-04-01,SH601006,10500,57086.00950241089
2020-04-01,SH603277,7600,56883.591079711914
2020-04-01,SH603585,3300,57415.58017730713
2020-04-01,SH603980,9200,56923.969078063965
2020-04-01,SZ000877,5700,56689.77613449097
2020-04-01,SZ002195,21100,57326.285457611084
2020-04-01,SZ002440,7000,57487.97130584717
2020-04-01,SZ002444,6200,57489.35241699219
2020-04-01,SZ002746,5900,56675.191497802734
2020-04-01,SZ002884,6900,56773.520278930664
2020-04-01,SZ300570,2700,56066.86305999756
2020-05-06,SH600051,7300,57134.744453430176
2020-05-06,SH600064,10600,57621.67949676514
2020-05-06,SH600211,2100,55652.48336791992
2020-05-06,SH600261,20000,57847.46170043945
2020-05-06,SH600352,5100,57510.061168670654
2020-05-06,SH600382,14700,57863.27061653137
2020-05-06,SH600566,2900,57791.18194580078
2020-05-06,SH600682,7200,57663.487243652344
2020-05-06,SH600750,6800,57398.553466796875
2020-05-06,SH601000,34400,57824.021339416504
2020-05-06,SH603357,7800,57195.22190093994
2020-05-06,SZ000600,12900,57430.125188827515
2020-05-06,SZ000922,9900,57624.275493621826
2020-05-06,SZ002128,8700,57738.303995132446
2020-05-06,SZ002234,2500,55920.372009277344
2020-05-06,SZ002270,11800,57716.01448059082
2020-05-06,SZ002394,7000,57299.79610443115
2020-05-06,SZ002440,7200,57277.932357788086
2020-05-06,SZ002583,9000,57743.56126785278
2020-05-06,SZ002884,6400,57099.7314453125
2020-06-01,SH600051,7400,59162.19816207886
2020-06-01,SH600062,5200,59435.13870239258
2020-06-01,SH600064,10300,59094.61646080017
2020-06-01,SH600273,8500,59379.93049621582
2020-06-01,SH600352,5100,58805.552101135254
2020-06-01,SH600382,14400,59162.43438720703
2020-06-01,SH600566,2800,58432.86209106445
2020-06-01,SH600750,6600,59393.170738220215
2020-06-01,SH600777,39700,59548.02176952362
