trade_date,event,symbol,amount,cash_after
2020-08-03,buy,SZ300193,-73887.01669193454,10138.656862337812
2020-09-01,sell,SH600064,80730.87185643577,90869.52871877358
2020-09-01,sell,SH600352,69767.47266249316,160637.00138126675
2020-09-01,sell,SH600382,75046.38414458555,235683.3855258523
2020-09-01,sell,SH600566,68802.75186895295,304486.13739480526
2020-09-01,sell,SH600750,72750.81421208513,377236.9516068904
2020-09-01,sell,SH601000,2604.395083096886,379841.3466899873
2020-09-01,sell,SH603357,76373.83076753643,456215.1774575237
2020-09-01,sell,SH603586,70274.29156595879,526489.4690234825
2020-09-01,sell,SZ000581,6429.450377270889,532918.9194007535
2020-09-01,sell,SZ000922,75675.08899246216,608594.0083932156
2020-09-01,sell,SZ002270,77086.64019163135,685680.648584847
2020-09-01,sell,SZ002440,74813.61881903264,760494.2674038797
2020-09-01,sell,SZ002543,78124.56873677127,838618.8361406509
2020-09-01,sell,SZ002583,68269.87761647145,906888.7137571224
2020-09-01,sell,SZ002884,17547.153370730895,924435.8671278533
2020-09-01,sell,SZ300193,81425.53856823222,1005861.4056960855
2020-09-01,buy,SH600051,-6419.755311203003,999441.6503848826
2020-09-01,buy,SH600261,-76241.5770628672,923200.0733220153
2020-09-01,buy,SH600273,-75729.77934543308,847470.2939765822
2020-09-01,buy,SH600449,-75250.15672982883,772220.1372467534
2020-09-01,buy,SH600668,-75242.45950443787,696977.6777423156
2020-09-01,buy,SH600846,-75780.1452908722,621197.5324514434
2020-09-01,buy,SH601006,-76527.756014431,544669.7764370124
2020-09-01,buy,SH601677,-75883.79535220424,468785.9810848081
2020-09-01,buy,SH601717,-76325.50574420471,392460.4753406034
2020-09-01,buy,SZ002234,-2285.7918739318848,390174.6834666715
2020-09-01,buy,SZ002432,-75706.48961334022,314468.19385333126
2020-09-01,buy,SZ002582,-75277.88169101714,239190.31216231413
2020-09-01,buy,SZ002746,-3689.192361450195,235501.11980086393
2020-09-01,buy,SZ002869,-76118.4876027008,159382.63219816313
2020-09-01,buy,SZ002933,-74872.43369386643,84510.1985042967
2020-09-01,buy,SZ300552,-72133.70381530265,12376.494688994047
2020-10-09,sell,SH600273,76018.19902621719,88394.69371521124
2020-10-09,sell,SH600846,72511.30696968378,160906.00068489503
2020-10-09,sell,SH601000,1933.09951289773,162839.10019779275
2020-10-09,sell,SH601006,2191.006591041565,165030.10678883432
2020-10-09,sell,SH601677,6238.915948692322,171269.02273752665
2020-10-09,sell,SH601717,12122.184268784331,183391.207006311
2020-10-09,sell,SZ000581,76701.21428788948,260092.42129420047
2020-10-09,sell,SZ002884,79208.64274088836,339301.0640350888
2020-10-09,sell,SZ002933,74460.21245777847,413761.27649286727
2020-10-09,buy,SH600051,-2912.3618982315065,410848.9145946358
2020-10-09,buy,SH600261,-2014.3679322242738,408834.5466624115
2020-10-09,buy,SH600449,-5275.506468963623,403559.04019344784
2020-10-09,buy,SH600668,-1444.760178756714,402114.2800146911
2020-10-09,buy,SH600750,-71325.98550970916,330788.29450498195
2020-10-09,buy,SH601567,-71687.19553775871,259101.09896722325
2020-10-09,buy,SH603758,-71587.70340811682,187513.39555910643
