date,side,market_price,execution_price,units,gross_traded
2013-09-13,buy,2.546360969543457,2.546360969543457,79640687.57815868,202793938.4366277
2013-10-28,sell,2.414113998413086,2.414113998413086,79640687.57815868,192261698.72567603
2013-11-13,buy,2.366084337234497,2.366084337234497,81127358.49898356,191954172.26565295
2013-12-11,sell,2.48323655128479,2.48323655128479,81127358.49898356,201458421.93386075
2014-01-15,buy,2.2487235069274902,2.2487235069274902,89444604.68802908,201136185.1298078
2014-03-24,sell,2.199751853942871,2.199751853942871,89444604.68802908,196755934.98767918
2014-05-07,buy,2.1891512870788574,2.1891512870788574,89733962.68484898,196441219.9062233
2014-05-20,sell,2.1619136333465576,2.1619136333465576,89733962.68484898,193997077.3025863
2014-07-25,buy,2.2823421955108643,2.2823421955108643,84863161.82145444,193686775.06957206
2014-08-21,sell,2.407154083251953,2.407154083251953,84863161.82145444,204278706.4961853
2014-09-12,buy,2.4611096382141113,2.4611096382141113,82869919.9025362,203951958.59016326
2014-09-29,sell,2.4867072105407715,2.4867072105407715,82869919.9025362,206073227.35857296
2014-10-28,buy,2.4147090911865234,2.4147090911865234,85204304.66395678,205743609.08028272
2014-12-29,sell,3.563516139984131,3.563516139984131,85204304.66395678,303626914.8661351
2015-03-25,buy,4.030948638916016,4.030948638916016,75226013.04053156,303232194.8768091
2015-05-13,sell,4.829838752746582,4.829838752746582,75226013.04053156,363329512.9977791
2015-05-29,buy,4.9242777824401855,4.9242777824401855,73665291.87618008,362748360.12284505
2015-06-15,sell,5.447773456573486,5.447773456573486,73665291.87618008,401311821.75379235
2015-09-15,buy,3.2649314403533936,3.2649314403533936,122719243.18494141,400669915.41088915
2015-09-21,sell,3.279038429260254,3.279038429260254,122719243.18494141,402401114.4131574
2015-10-20,buy,3.5896501541137695,3.5896501541137695,111954639.22963767,401877987.9644203
2015-11-05,sell,3.694361925125122,3.694361925125122,111954639.22963767,413600956.5110927
2015-11-06,buy,3.763101100921631,3.763101100921631,109733802.62051938,412939393.4495934
2015-11-30,sell,3.6171388626098633,3.6171388626098633,109733802.62051938,396922402.00064075
2016-01-27,buy,3.004894971847534,3.004894971847534,131920217.37595467,396406397.8780399
2016-02-24,sell,3.1315038204193115,3.1315038204193115,131920217.37595467,413108664.7033481
2016-05-27,buy,3.1133127212524414,3.1133127212524414,132478785.78242858,412447889.072512
2016-06-23,sell,3.1845297813415527,3.1845297813415527,132478785.78242858,421882638.72011167
2016-08-16,buy,3.462986946105957,3.462986946105957,121667852.8816158,421334186.28977555
2017-01-11,sell,3.4145700931549072,3.4145700931549072,121667852.8816158,415443411.7479364
2017-02-20,buy,3.4815585613250732,3.4815585613250732,119135983.01914173,414778901.64217144
2017-03-15,sell,3.5126633644104004,3.5126633644104004,119135983.01914173,418484602.9343587
2017-03-28,buy,3.541193723678589,3.541193723678589,117987114.22881529,417815228.3820294
2017-07-18,sell,3.712383508682251,3.712383508682251,117987114.22881529,438013417.10006285
2017-08-29,buy,3.906409502029419,3.906409502029419,111981090.162354,437443994.6578328
2017-09-19,sell,3.91729998588562,3.91729998588562,111981090.162354,438663522.9124457
2017-09-27,buy,3.8858399391174316,3.8858399391174316,112740942.03482841,438093255.33265954
2017-12-25,sell,4.128468036651611,4.128468036651611,112740942.03482841,465447375.61278117
2018-01-23,buy,4.4230055809021,4.4230055809021,105096473.54541141,464842289.0244845
