date,side,market_price,execution_price,units,gross_traded
2014-04-28,sell,2.2036995887756348,2.2036995887756348,26574204.94330264,58561564.50559547
2014-06-16,buy,2.214555501937866,2.214555501937866,26443936.245603535,58561564.50559547
2014-06-23,sell,2.1753640174865723,2.1753640174865723,26443936.245603535,57525187.389394894
2014-07-02,buy,2.2018957138061523,2.2018957138061523,26125300.589262705,57525187.389394894
2014-10-27,sell,2.4191739559173584,2.4191739559173584,26125300.589262705,63201646.77605675
2014-10-31,buy,2.516810417175293,2.516810417175293,25111802.758266646,63201646.77605675
2015-02-06,sell,3.411033868789673,3.411033868789673,25111802.758266646,85657209.71481346
2015-02-17,buy,3.5730338096618652,3.5730338096618652,23973243.545355547,85657209.71481346
2015-06-24,sell,4.895856857299805,4.895856857299805,23973243.545355547,117369568.80324724
2015-10-16,buy,3.5699620246887207,3.5699620246887207,32876979.640555467,117369568.80324724
2015-12-10,sell,3.698004722595215,3.698004722595215,32876979.640555467,121579225.97544084
2015-12-17,buy,3.777801036834717,3.777801036834717,32182538.14587009,121579225.97544084
2016-01-05,sell,3.44140362739563,3.44140362739563,32182538.14587009,110753103.51399556
2016-03-18,buy,3.1911394596099854,3.1911394596099854,34706444.17637943,110753103.51399557
2016-04-28,sell,3.2248313426971436,3.2248313426971436,34706444.17637943,111922428.97355713
2016-05-06,buy,3.2693982124328613,3.2693982124328613,34233342.56070084,111922428.97355711
2016-05-09,sell,3.1699905395507812,3.1699905395507812,34233342.56070084,108519372.05462278
2016-06-03,buy,3.228513717651367,3.228513717651367,33612795.71504095,108519372.05462281
2016-06-15,sell,3.0972628593444824,3.0972628593444824,33612795.71504095,104107663.7669297
2016-06-30,buy,3.2080423831939697,3.2080423831939697,32452084.895237178,104107663.7669297
2016-08-05,sell,3.2574141025543213,3.2574141025543213,32452084.895237178,105709878.99503566
2016-08-09,buy,3.2892093658447266,3.2892093658447266,32138385.623223323,105709878.99503566
2016-09-19,sell,3.299522876739502,3.299522876739502,32138385.623223323,106041338.58530127
2016-10-14,buy,3.356501340866089,3.356501340866089,31592818.776571404,106041338.58530127
2016-12-15,sell,3.4227616786956787,3.4227616786956787,31592818.776571404,108134689.4304259
2017-01-26,buy,3.437418222427368,3.437418222427368,31458112.58138542,108134689.4304259
2017-04-25,sell,3.4877521991729736,3.4877521991729736,31458112.58138542,109718101.33755799
2017-05-26,buy,3.5405490398406982,3.5405490398406982,30989007.66602419,109718101.33755799
2017-12-05,sell,4.078120231628418,4.078120231628418,30989007.66602419,126376899.12090139
2017-12-26,buy,4.1113715171813965,4.1113715171813965,30738379.78221455,126376899.12090139
2017-12-28,sell,4.062922477722168,4.062922477722168,30738379.78221455,124887654.14592013
2018-01-03,buy,4.163105487823486,4.163105487823486,29998676.351391867,124887654.14592013
