date,equity,cash,market_value,position,gross_traded,signal,target,benchmark_value
2008-03-06,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.1067266746920712,0.0,5.3486295
2008-03-07,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.10626767234004841,0.0,5.2763176
2008-03-10,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.12744098581807162,0.0,5.059292
2008-03-11,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.13981458651261036,0.0,5.0702395
2008-03-12,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.16274447502181566,0.0,4.9200797
2008-03-13,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.1905323765558924,0.0,4.793711
2008-03-14,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.21295290112428766,0.0,4.7468014
2008-03-17,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.2495626522742329,0.0,4.5269322
2008-03-18,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.29709710834008884,0.0,4.2970853
2008-03-19,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.3120772300822745,0.0,4.4396877
2008-03-20,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.30431557127859765,0.0,4.5686593
2008-03-21,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.2893382655994543,0.0,4.609759
2008-03-24,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.2957541713297305,0.0,4.403418
2008-03-25,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.28980032158801805,0.0,4.458993
2008-03-26,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.27973143038988724,0.0,4.468811
2008-03-27,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.2880466780160287,0.0,4.2799263
2008-03-28,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.2688935285243721,0.0,4.473138
2008-03-31,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.26607830577491143,0.0,4.3274302
2008-04-01,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.2851058375741631,0.0,4.0903454
2008-04-02,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.2988072977292031,0.0,4.0505247
2008-04-03,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.29156841740417194,0.0,4.167794
2008-04-07,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.25775108206283015,0.0,4.3905516
2008-04-08,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.22321364309985148,0.0,4.4421997
2008-04-09,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.21900070203635869,0.0,4.210526
2008-04-10,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.20426522506166123,0.0,4.286548
2008-04-11,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.18660952372455775,0.0,4.319667
2008-04-14,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.20083705708834687,0.0,4.037225
2008-04-15,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.20236000795736686,0.0,4.0908475
2008-04-16,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.21114435236190898,0.0,3.9889219
2008-04-17,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.22734378892534357,0.0,3.8663208
2008-04-18,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.24956451558405135,0.0,3.736025
2008-04-21,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.2625303292535377,0.0,3.730374
2008-04-22,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.26436469677749797,0.0,3.7631736
2008-04-23,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.2422601121478105,0.0,3.942925
2008-04-24,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.18294851602876427,0.0,4.3091297
2008-04-25,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.13287955974670362,0.0,4.3417463
2008-04-28,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.10292848989574832,0.0,4.257356
2008-04-29,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.07340241868080444,0.0,4.3119154
2008-04-30,49720198.58036615,49720198.58036615,0.0,0.0,0.0,-0.028252366747766544,0.0,4.5199
2008-05-05,49720198.58036615,49720198.58036615,0.0,0.0,0.0,0.01723245843348975,0.0,4.630251
2008-05-06,49594265.100489214,0.0,49594265.100489214,1.0,49720198.58036615,0.04495242266584487,1.0,4.5790024
2008-05-07,47250249.76223216,0.0,47250249.76223216,1.0,0.0,0.041488314730304676,1.0,4.3625813
2008-05-08,48532736.78199492,0.0,48532736.78199492,1.0,0.0,0.05093926494900858,1.0,4.4809923
2008-05-09,47962469.5621629,0.0,47962469.5621629,1.0,0.0,0.05144884182030207,1.0,4.42834
2008-05-12,48283955.43297285,0.0,48283955.43297285,1.0,0.0,0.05417532860313168,1.0,4.4580226
2008-05-13,47625772.9342243,0.0,47625772.9342243,1.0,0.0,0.04881577456344477,1.0,4.397253
2008-05-14,49160135.60560215,0.0,49160135.60560215,1.0,0.0,0.0592416673930698,1.0,4.53892
2008-05-15,48817751.60314097,0.0,48817751.60314097,1.0,0.0,0.06258627257737492,1.0,4.5073075
2008-05-16,48669740.795774445,0.0,48669740.795774445,1.0,0.0,0.06258493944794763,1.0,4.493642
2008-05-19,48397094.49313929,0.0,48397094.49313929,1.0,0.0,0.05889026219738902,1.0,4.4684687
2008-05-20,45883929.7410375,0.0,45883929.7410375,1.0,0.0,0.030411650279706492,1.0,4.23643
