date,equity,cash,market_value,position,gross_traded,signal,target,benchmark_value
2016-05-26,412571623.4392337,412571623.4392337,0.0,0.0,0.0,0.8053540512914054,0.0,1.0946742
2016-05-27,412820944.2775892,0.0,412820944.2775892,1.0,412447889.072512,0.5369320236545491,1.0,1.0940634
2016-05-30,413388439.2288738,0.0,413388439.2288738,1.0,0.0,0.8376739209210491,1.0,1.0955673
2016-05-31,427252473.23159933,0.0,427252473.23159933,1.0,0.0,3.4156961216051527,1.0,1.13231
2016-06-01,426037951.2820921,0.0,426037951.2820921,1.0,0.0,-0.15194070968349083,1.0,1.1290913
2016-06-02,426920858.07639605,0.0,426920858.07639605,1.0,0.0,-0.3440544714931341,1.0,1.1314312
2016-06-03,429917460.0975028,0.0,429917460.0975028,1.0,0.0,-0.0011467437025065256,1.0,1.1393728
2016-06-06,428496653.875338,0.0,428496653.875338,1.0,0.0,0.031564755274203125,1.0,1.1356074
2016-06-07,428262132.2516229,0.0,428262132.2516229,1.0,0.0,0.05373904617600068,1.0,1.1349858
2016-06-08,426501656.59626865,0.0,426501656.59626865,1.0,0.0,0.043820717346461306,1.0,1.1303202
2016-06-13,413338565.8761673,0.0,413338565.8761673,1.0,0.0,-0.08298977800079453,1.0,1.0954353
2016-06-14,414638020.9766738,0.0,414638020.9766738,1.0,0.0,-0.017183325285951255,1.0,1.0988791
2016-06-15,420082523.3829039,0.0,420082523.3829039,1.0,0.0,-0.37161216550882975,1.0,1.1133081
2016-06-16,417157399.13074887,0.0,417157399.13074887,1.0,0.0,-0.44085392280024,1.0,1.1055559
2016-06-17,419272389.3591103,0.0,419272389.3591103,1.0,0.0,-0.5237156581540149,1.0,1.1111611
2016-06-20,419583789.8558384,0.0,419583789.8558384,1.0,0.0,-0.5696869731884721,1.0,1.1119864
2016-06-21,418727793.8256295,0.0,418727793.8256295,1.0,0.0,-0.6792512185612363,1.0,1.1097178
2016-06-22,422453639.65122557,0.0,422453639.65122557,1.0,0.0,-0.7876203673116722,1.0,1.1195921
2016-06-23,421334191.28977555,421334191.28977555,0.0,0.0,421882638.72011167,-0.957927830339916,0.0,1.1136476
2016-06-24,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-1.7130051877476513,0.0,1.0993006
2016-06-27,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-2.069995842768317,0.0,1.1147978
2016-06-28,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-1.7389833469395348,0.0,1.1204637
2016-06-29,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-1.8159776669305674,0.0,1.1258188
2016-06-30,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-1.8354858277518329,0.0,1.1267227
2016-07-01,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-2.1197055024083418,0.0,1.1268227
2016-07-04,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-1.9854556370638998,0.0,1.1448636
2016-07-05,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-1.696662216671774,0.0,1.145821
2016-07-06,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-1.3842552251022109,0.0,1.1491864
2016-07-07,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-1.008219185411411,0.0,1.1467392
2016-07-08,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-1.3255398657605801,0.0,1.1404266
2016-07-11,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-0.7620269847258601,0.0,1.1443743
2016-07-12,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-0.3877345375186962,0.0,1.1693279
2016-07-13,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-0.25444135443095195,0.0,1.1727895
2016-07-14,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-0.35542097865759326,0.0,1.1706067
2016-07-15,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-0.30832246151839077,0.0,1.1704353
2016-07-18,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-0.3260278733043339,0.0,1.1653409
2016-07-19,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-0.4182081680974708,0.0,1.1604145
2016-07-20,421334191.28977555,421334191.28977555,0.0,0.0,0.0,0.1323597672040976,0.0,1.1566206
2016-07-21,421334191.28977555,421334191.28977555,0.0,0.0,0.0,0.35184838416848324,0.0,1.1619471
2016-07-22,421334191.28977555,421334191.28977555,0.0,0.0,0.0,0.36442585441471603,0.0,1.1521728
2016-07-25,421334191.28977555,421334191.28977555,0.0,0.0,0.0,0.0597746499942026,0.0,1.1542199
2016-07-26,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-0.3237270285538342,0.0,1.1680453
2016-07-27,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-1.9844211586499065,0.0,1.1497008
2016-07-28,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-1.8036484631970722,0.0,1.1507368
2016-07-29,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-1.861690133842904,0.0,1.1445886
2016-08-01,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-1.6586187158834302,0.0,1.1349001
2016-08-02,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-1.270017060061069,0.0,1.1392728
2016-08-03,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-1.172867776943338,0.0,1.140866
2016-08-04,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-0.9490368994845146,0.0,1.1436454
2016-08-05,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-0.7800087443074194,0.0,1.1450101
2016-08-08,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-0.9985604392845066,0.0,1.1553952
2016-08-09,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-1.035538254263613,0.0,1.1635404
2016-08-10,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-1.1485357162240386,0.0,1.1586676
2016-08-11,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-1.1455634133886272,0.0,1.1551023
2016-08-12,421334191.28977555,421334191.28977555,0.0,0.0,0.0,-0.8212247058728194,0.0,1.1768478
2016-08-15,421334191.28977555,421334191.28977555,0.0,0.0,0.0,1.9554405942779205,0.0,1.2122829
2016-08-16,418222018.2323077,0.0,418222018.2323077,1.0,421334186.28977555,1.4890476048238426,1.0,1.2068635
2016-08-17,417578275.434659,0.0,417578275.434659,1.0,0.0,1.2134782799421857,1.0,1.2050059
2016-08-18,416518559.68647504,0.0,416518559.68647504,1.0,0.0,1.1292295574013864,1.0,1.2019478
2016-08-19,416584175.50335866,0.0,416584175.50335866,1.0,0.0,0.9937175576964666,1.0,1.2021372
2016-08-22,413089335.53769946,0.0,413089335.53769946,1.0,0.0,1.3908636981244276,1.0,1.1920521
2016-08-23,413713294.9635025,0.0,413713294.9635025,1.0,0.0,1.341156529324668,1.0,1.1938527
2016-08-24,412231427.587066,0.0,412231427.587066,1.0,0.0,1.2084270217414872,1.0,1.1895765
2016-08-25,409645259.3561014,0.0,409645259.3561014,1.0,0.0,1.2698727261977856,1.0,1.1821135
2016-08-26,409412529.1620885,0.0,409412529.1620885,1.0,0.0,1.1422955880535437,1.0,1.1814419
2016-08-29,409497957.35869426,0.0,409497957.35869426,1.0,0.0,0.981721389170546,1.0,1.1816884
2016-08-30,410019141.87768096,0.0,410019141.87768096,1.0,0.0,0.8555663489157576,1.0,1.1831925
2016-08-31,411975142.99724865,0.0,411975142.99724865,1.0,0.0,0.7383115391029549,1.0,1.1888369
2016-09-01,408730408.94368964,0.0,408730408.94368964,1.0,0.0,0.8896251776615682,1.0,1.1794735
2016-09-02,410281605.1452154,0.0,410281605.1452154,1.0,0.0,0.7510106241997392,1.0,1.1839498
2016-09-05,410971151.3800255,0.0,410971151.3800255,1.0,0.0,0.36367084362593743,1.0,1.1859397
2016-09-06,413812327.85423666,0.0,413812327.85423666,1.0,0.0,0.25362129903277175,1.0,1.1941384
2016-09-07,413588242.0074524,0.0,413588242.0074524,1.0,0.0,1.0171734801923624,1.0,1.1934918
2016-09-08,413432266.65494,0.0,413432266.65494,1.0,0.0,1.8332831022969567,1.0,1.1930417
2016-09-09,410768125.2516575,0.0,410768125.2516575,1.0,0.0,1.4262104717852149,1.0,1.1853538
2016-09-12,403904745.6150833,0.0,403904745.6150833,1.0,0.0,0.46465284398050005,1.0,1.1655482
2016-09-13,403623717.30652076,0.0,403623717.30652076,1.0,0.0,0.376397816592563,1.0,1.1647372
2016-09-14,400949655.20943886,0.0,400949655.20943886,1.0,0.0,0.5102473697602207,1.0,1.1570207
2016-09-19,403969114.0932728,0.0,403969114.0932728,1.0,0.0,0.4924047504275749,1.0,1.1657339
2016-09-20,403260973.80955803,0.0,403260973.80955803,1.0,0.0,0.588057819500488,1.0,1.1636904
2016-09-21,404404870.41565377,0.0,404404870.41565377,1.0,0.0,0.7017102263116229,1.0,1.1669914
2016-09-22,407435468.32410455,0.0,407435468.32410455,1.0,0.0,0.7197381600182364,1.0,1.1757368
2016-09-23,405522775.9643101,0.0,405522775.9643101,1.0,0.0,0.7204401006345698,1.0,1.1702173
2016-09-26,398665575.00545305,0.0,398665575.00545305,1.0,0.0,0.3605547967212561,1.0,1.1504295
2016-09-27,401199732.1136624,0.0,401199732.1136624,1.0,0.0,0.4504806531264732,1.0,1.1577423
