trade_date,symbol,shares,adjusted_close,market_value,active_fraction,active_market_value
2020-06-23,SH510300,86600,4.668220423347761,404267.88866191613,0.0,0.0
2020-06-23,SH511010,3300,122.86890115850528,405467.3738230674,0.0,0.0
2020-06-23,SH512690,107400,1.458,156589.19999999998,1.0,156589.19999999998
2020-06-23,SH518880,55100,3.882,213898.2,0.0,0.0
2020-06-23,SZ159938,88600,1.913,169491.80000000002,1.0,169491.80000000002
2020-06-23,SZ159949,205900,0.922,189839.80000000002,1.0,189839.80000000002
2020-06-24,SH510300,86600,4.70893164796998,407793.48071420024,0.0,0.0
2020-06-24,SH511010,3300,123.37191055608666,407127.304835086,0.0,0.0
2020-06-24,SH512690,107400,1.457,156481.80000000002,1.0,156481.80000000002
2020-06-24,SH518880,55100,3.91,215441.0,0.0,0.0
2020-06-24,SZ159938,88600,1.896,167985.6,1.0,167985.6
2020-06-24,SZ159949,205900,0.921,189633.9,1.0,189633.9
2020-06-29,SH510300,86600,4.668220423347761,404267.88866191613,0.0,0.0
2020-06-29,SH511010,3300,123.62189711786252,407952.2604889463,0.0,0.0
2020-06-29,SH512760,69600,2.203,153328.8,1.0,153328.8
2020-06-29,SH518880,55100,3.91,215441.0,0.0,0.0
2020-06-29,SZ159938,88600,1.909,169137.4,1.0,169137.4
2020-06-29,SZ159949,205900,0.912,187780.80000000002,1.0,187780.80000000002
2020-06-30,SH510300,86600,4.724763790878621,409164.5442900885,0.0,0.0
2020-06-30,SH511010,3300,123.47109550772242,407454.615175484,0.0,0.0
2020-06-30,SH512760,69600,2.246,156321.6,1.0,156321.6
2020-06-30,SH518880,55100,3.914,215661.4,0.0,0.0
2020-06-30,SZ159938,88600,1.944,172238.4,1.0,172238.4
2020-06-30,SZ159949,205900,0.943,194163.69999999998,1.0,194163.69999999998
2020-07-01,SH510300,86600,4.831065321836637,418370.2568710528,0.0,0.0
2020-07-01,SH511010,3300,123.63505430532442,407995.67920757056,0.0,0.0
2020-07-01,SH512760,69600,2.273,158200.80000000002,1.0,158200.80000000002
