symbol,active_net_pnl_contribution,active_return_contribution,share_of_positive_contribution
SH512480,-15500.738399999987,-0.008521674771645019,0.0
SZ159766,-15764.45031,-0.010577315817696192,0.0
SZ159326,-16403.69822000003,-0.008026177091658464,0.0
SH512330,-16744.701999999987,-0.01144497162428177,0.0
SZ159819,-18756.46112000001,-0.010493812973483754,0.0
SZ159995,-19870.113600000048,-0.010871804854774748,0.0
SZ159901,-19972.831679864343,-0.014168599260008515,0.0
SH560980,-21132.82028,-0.01131865699202649,0.0
SZ159910,-21822.71472,-0.017741549488062197,0.0
SH510410,-21951.975919999975,-0.013220108440200964,0.0
SH510260,-22685.10510999999,-0.014897770475579,0.0
SH515790,-23731.23155000001,-0.014390925399975576,0.0
SH516620,-23733.768519999972,-0.014340504447781044,0.0
SZ159309,-26215.22958,-0.013064004768509106,0.0
SH512880,-29383.25673000001,-0.020845110063453232,0.0
SH510880,-30609.653099880317,-0.021579280616931533,0.0
SZ159915,-44801.50129999997,-0.02964784690600099,0.0
SH515050,-51022.760220000055,-0.02388723709459475,0.0
SH512670,-63730.27862,-0.037500431820336945,0.0
SH510290,-77035.09505999999,-0.05512889574595221,0.0
