trial,lookbacks,top_k,active_sleeve,minimum_excess_horizons,minimum_dispersion_iqr,rank_buffer,maximum_pair_correlation,minimum_adv20,initial_cash,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_risk_weight,longest_underwater_trading_days,worst_rolling_three_year_return,positive_day_ratio,average_active_exposure,maximum_active_exposure,gate_open_ratio,decision_count
grid_1402,63/126/252,4,0.4,1,0.15,3,0.85,20000000.0,1000000.0,3053,0.8950471097830912,0.05418114674207075,0.33256487200340434,0.45402708064966074,0.6900875740802672,0.16291903115226228,0.13695658182038425,87.33198172299933,7.208535667931815,162786.0621043003,0.00953023358436931,0.143400969273805,1231,-0.25653789999502896,0.5263675073698002,0.143400969273805,0.4585275797869873,0.3701399688958009,643
grid_1403,63/126/252,4,0.4,1,0.15,3,0.9,20000000.0,1000000.0,3053,0.9047446673949553,0.05462538297775543,0.3190054555406928,0.4518080788156868,0.6862712854305288,0.17123651658298156,0.1392733370719862,84.52131165850294,6.976538007842365,157100.28429687434,0.007407162316986697,0.14305068339174914,1230,-0.24465585853533312,0.5273501473960039,0.14305068339174914,0.45883172443948517,0.3701399688958009,643
grid_1404,63/126/252,4,0.4,1,0.15,3,0.95,20000000.0,1000000.0,3053,0.7773102069584561,0.048614593702509534,0.3217444658050842,0.40654479240241753,0.6157805135597973,0.15109690723308575,0.14149082594794438,80.14004257531352,6.6149003370386525,144279.8631746166,0.007528888340784919,0.14341501457186911,1230,-0.25260819964458425,0.5244022273173927,0.14341501457186911,0.4500272946337005,0.3701399688958009,643
grid_1405,63/126/252,4,0.4,2,0.05,1,0.85,20000000.0,1000000.0,3053,1.003171263858421,0.059020439244221734,0.3639935280118003,0.4567295832989494,0.7059503085140644,0.16214694686084735,0.15041292923514024,115.95220752758829,9.570899540436374,218986.5264394406,0.007459320010020035,0.2984491534220509,1236,-0.29797059757312194,0.5198165738617753,0.2984491534220509,0.46018080193759486,0.8242612752721618,643
grid_1406,63/126/252,4,0.4,2,0.05,1,0.9,20000000.0,1000000.0,3053,1.1286775586383433,0.0643458418952072,0.3530729351770402,0.4818208787833666,0.7448459574032302,0.18224518359908407,0.15419351237970758,113.48159689364083,9.36697098499754,219915.75404996925,0.007681759957917589,0.302548952038145,1231,-0.27858874219091323,0.5211267605633803,0.302548952038145,0.4506083096283774,0.8242612752721618,643
grid_1407,63/126/252,4,0.4,2,0.05,1,0.95,20000000.0,1000000.0,3053,0.7383996876474832,0.04670036132493616,0.3683824454850604,0.3693550594852807,0.5657047250953191,0.12677140807685439,0.15713733189975582,111.53277802137141,9.206112041069634,200098.3118953664,0.007047218858517828,0.3029636188244928,1236,-0.2932102331909163,0.5204716672125778,0.3029636188244928,0.46377521581809644,0.8242612752721618,643
grid_1408,63/126/252,4,0.4,2,0.05,2,0.85,20000000.0,1000000.0,3053,0.973740439974454,0.05772741338680554,0.36268855385788723,0.449851553143716,0.6960504217451682,0.15916524735276028,0.1497825115335756,110.21256506892337,9.097139337493838,207253.22654656414,0.007772167825260316,0.2994405671543627,1236,-0.30200214260210667,0.5201441205371765,0.2994405671543627,0.4502273849930668,0.8242612752721618,643
grid_1409,63/126/252,4,0.4,2,0.05,2,0.9,20000000.0,1000000.0,3053,1.0964017870026788,0.06300442771073689,0.3568410628014742,0.473552871373056,0.7301472394962844,0.17656159640402405,0.15423826924465656,107.07066762737387,8.837801586013171,205674.05598663323,0.00889842883420097,0.3034134188220485,1231,-0.2834130652870256,0.5250573206681952,0.3034134188220485,0.45649586533519865,0.8242612752721618,643
grid_1410,63/126/252,4,0.4,2,0.05,2,0.95,20000000.0,1000000.0,3053,0.798614732229155,0.049646456193956245,0.3683267796030386,0.38908630036425107,0.5952123622165517,0.13478915719205195,0.15589285795895957,101.36165960003461,8.366570003016285,183369.10335433553,0.006816448971717863,0.3000255799366985,1251,-0.3000150319684983,0.520799213887979,0.3000255799366985,0.4582916450528946,0.8242612752721618,643
grid_1411,63/126/252,4,0.4,2,0.05,3,0.85,20000000.0,1000000.0,3053,0.8751347442635433,0.05326240329487053,0.36881797655316784,0.4203360184230068,0.648701502502685,0.14441379401470786,0.1504916634601023,105.02777448385004,8.669177585958142,194269.9177377855,0.006379445166286245,0.29982731663500667,1253,-0.30554581525744984,0.522109400589584,0.29982731663500667,0.46299316957011777,0.8242612752721618,643
