trade_date,symbol,active_net_pnl_contribution,active_return_contribution
2025-11-19,SH511010,0.0,0.0
2025-11-19,SH518880,0.0,0.0
2025-11-19,SH515880,1623.9999999999952,0.0008718951999203943
2025-11-19,SZ159796,691.2000000000007,0.0003710923412469082
2025-11-19,SH561330,4353.600000000004,0.002337366343826012
2025-11-20,SH510300,0.0,0.0
2025-11-20,SH511010,0.0,0.0
2025-11-20,SH518880,0.0,0.0
2025-11-20,SH515880,727.9999999999945,0.00038788752427643326
2025-11-20,SZ159796,-3283.1999999999834,-0.0017493301094840506
2025-11-20,SH561330,-634.8999999999905,-0.0003382826774218484
2025-11-21,SH510300,0.0,0.0
2025-11-21,SH511010,0.0,0.0
2025-11-21,SH518880,0.0,0.0
2025-11-21,SH515880,-7951.9999999999945,-0.004253275629866422
2025-11-21,SZ159796,-10022.39999999999,-0.005360667715388986
2025-11-21,SH561330,-8707.200000000008,-0.004657208446223964
2025-11-24,SH510300,0.0,0.0
2025-11-24,SH511010,0.0,0.0
2025-11-24,SH518880,0.0,0.0
2025-11-24,SH515880,-1679.9999999999893,-0.0009197317392358695
2025-11-24,SZ159796,-345.60000000000036,-0.000189201957785666
2025-11-24,SH561330,-1451.2000000000012,-0.0007944730357018473
2025-11-25,SH510300,0.0,0.0
2025-11-25,SH511010,0.0,0.0
2025-11-25,SH518880,0.0,0.0
2025-11-25,SH515880,4983.999999999998,0.002733459074281689
2025-11-25,SZ159796,3801.599999999984,0.0020849755250379673
2025-11-25,SH561330,3718.6999999999935,0.002039509281607404
2025-11-26,SH510300,0.0,0.0
2025-11-26,SH511010,0.0,0.0
2025-11-26,SH518880,0.0,0.0
2025-11-26,SH515880,7896.000000000001,0.004277580602590376
2025-11-26,SZ159796,1728.0000000000016,0.0009361270619650678
2025-11-26,SH561330,-181.40000000000015,-9.827167189841625e-05
2025-11-27,SH510300,0.0,0.0
2025-11-27,SH511010,0.0,0.0
2025-11-27,SH518880,0.0,0.0
2025-11-27,SH515880,559.9999999999881,0.0003013398221483127
2025-11-27,SZ159796,-691.2000000000006,-0.00037193943762306854
2025-11-27,SH561330,634.9000000000108,0.00034164402336066263
2025-11-28,SH510300,0.0,0.0
2025-11-28,SH511010,0.0,0.0
2025-11-28,SH518880,0.0,0.0
2025-11-28,SH515880,503.99999999999426,0.0002712125400147076
2025-11-28,SZ159796,2246.4000000000024,0.0012088330354941403
2025-11-28,SH561330,2539.600000000002,0.0013666098544074601
2025-12-01,SH510300,0.0,0.0
2025-12-01,SH511010,0.0,0.0
