symbol,entry_date,exit_date,status,entry_kind,entry_score,entry_gross,exit_gross,gross_pnl,total_costs,net_pnl,net_return,holding_days,had_partial_exit,partial_exit_count,exit_reason
SZ000963,2023-01-16,2023-01-20,closed,right,205.08336782562176,104672.40032043456,103259.44758852763,-1412.9527319069311,331.27800392243256,-1744.2307358293638,-0.016611139377817077,4.0,True,1,exit_resonance
SZ300357,2023-01-16,2023-01-30,closed,right,203.29466783060752,107946.59536132812,106709.41782469029,-1237.1775366378279,342.2124435609916,-1579.3899801988196,-0.014584978930089506,14.0,True,1,exit_resonance
SH600036,2023-01-30,2023-02-03,closed,right,210.73498923024778,106384.99809265137,100647.8177492329,-5737.180343418469,325.5153250035964,-6062.695668422066,-0.05681441757002183,4.0,True,1,exit_resonance
SH601899,2023-01-30,2023-02-07,closed,right,207.67309331790312,110436.80877380371,107263.32927254756,-3173.4795012561517,345.14674137290586,-3518.6262426290577,-0.03176172713567077,8.0,True,1,exit_resonance
SZ000807,2023-01-30,2023-02-09,closed,right,207.15317105682885,109712.00030517578,107085.90052881048,-2626.0997763652995,344.25054155801274,-2970.350317923312,-0.02698938311154968,10.0,True,1,exit_resonance
SH600941,2023-02-06,2023-02-10,closed,right,204.23725465952893,108155.6,107085.1508330283,-1070.44916697171,343.31475216587353,-1413.7639191375833,-0.013030212535921808,4.0,False,0,exit_resonance
SH603486,2023-02-06,2023-02-16,closed,right,205.8803901123773,100533.39932861329,100097.25985500174,-436.13947361154715,320.5729152201725,-756.7123888317196,-0.007503049924520821,10.0,False,0,exit_resonance
SH688036,2023-02-06,2023-02-15,closed,right,205.17759166609036,108484.80183105469,107247.09992411683,-1237.7019069378584,343.9333409013366,-1581.635247839195,-0.014533250297728032,9.0,True,1,exit_resonance
SZ002368,2023-02-06,2023-02-14,closed,right,210.49758168170692,106844.40039672851,100920.9506974381,-5923.449699290417,326.50111205137614,-6249.950811341793,-0.0583176097555713,8.0,True,1,exit_resonance
SZ300212,2023-02-06,2023-02-09,closed,right,211.15270227959147,108015.99237060547,99784.27980165441,-8231.712568951058,324.24872290666474,-8555.961291857722,-0.07897306859851624,3.0,True,1,exit_hard_stop
