date,equity,cash,market_value,positions,gross_traded,benchmark_value,daily_return,drawdown
2022-08-24,518668.13320851006,124863.04701719836,393805.0861913117,10,24264.00045776367,1.3559927940368652,-0.0215957335097815,-0.5531433788818827
2022-08-25,526764.2775705406,224196.96067169745,302567.31689884316,8,99463.2158350847,1.3672263622283936,0.015609488695492502,-0.5461681755060335
2022-08-26,522046.34252513654,317770.42845861847,204275.91406651805,6,93695.27164005314,1.364339828491211,-0.008956444554599097,-0.5502328950792262
2022-08-29,524067.7300899412,112561.77038571218,411505.959704229,10,251207.34996734484,1.358351230621338,0.003872046215336322,-0.5484913760628349
2022-08-30,516576.5814678087,346114.6596635559,170461.92180425278,5,233856.90325207144,1.3537906408309937,-0.014294237542248345,-0.5549453475857664
2022-08-31,517410.51328349876,370341.31078908185,147069.2024944169,4,24258.18676832478,1.3548038005828857,0.0016143430531065928,-0.5542268766993887
2022-09-01,521652.9012855142,415160.5199273308,106492.38135818341,3,44877.54995318808,1.3431451320648193,0.00819926903899404,-0.5505718629310945
2022-09-02,521703.916403562,415160.5199273308,106543.39647623124,3,0.0,1.3364589214324951,9.779513910901372e-05,-0.5505279110439103
2022-09-05,532773.3640159916,83128.73704294459,449644.626973047,10,331932.20322341914,1.3337419033050537,0.02121787332695968,-0.540991069196436
2022-09-06,538380.4586645886,170352.67089411692,368027.7877704717,8,87337.47256550747,1.3459817171096802,0.01052435243070593,-0.5361602974398179
2022-09-07,538313.7443002401,170352.67089411692,367961.07340612315,8,0.0,1.3468786478042603,-0.00012391676420431263,-0.5362177749548686
2022-09-08,537501.6943702587,216526.35627644495,320975.33809381374,7,46233.78930842898,1.3411321640014648,-0.0015085067743104696,-0.5369173935831539
2022-09-09,537020.9056836515,240777.90322161702,296243.00246203446,7,24283.114994665146,1.359769344329834,-0.0008944877600256529,-0.5373316153064747
2022-09-13,532830.9658880448,114160.3901206525,418670.57576739235,10,176227.39605431363,1.3655223846435547,-0.007802191220605548,-0.5409414425155822
2022-09-14,529045.3757951378,186080.9896482102,342964.38614692766,8,72014.21801097195,1.3503262996673584,-0.007104673593055333,-0.5442029037266078
2022-09-15,528385.4133547491,265505.79929266515,262879.61406208394,8,79528.19629964448,1.3376247882843018,-0.001247459047150401,-0.5447714919380189
2022-09-16,519090.97284674144,346105.914628738,172985.05821800343,6,80705.03187751365,1.3062560558319092,-0.017590267015504257,-0.5527790829478989
2022-09-19,518408.5301801021,347761.0423726866,170647.48780741548,5,97738.18538494904,1.304701566696167,-0.0013146879879200046,-0.5533670389154939
2022-09-20,517047.9931663758,469852.2413141617,47195.7518522141,2,122250.12410280874,1.3063092231750488,-0.002624449511379856,-0.5545392045719781
2022-09-21,517077.71407286706,493898.94625162514,23178.76782124193,1,24078.006345712853,1.2966402769088745,5.748191054610885e-05,-0.5545135986343837
2022-09-22,517071.327622383,517071.327622383,0.0,0,23202.544678840386,1.285217523574829,-1.2351045713732134e-05,-0.5545191008572916
2022-09-23,517071.327622383,517071.327622383,0.0,0,0.0,1.2807931900024414,0.0,-0.5545191008572916
2022-09-26,518249.4670624866,276089.45954080386,242160.00752168277,5,240909.5952030182,1.274369239807129,0.0022784853407380457,-0.5535040791590162
2022-09-27,520300.51418307575,322232.8621780884,198067.65200498735,4,46203.46714457249,1.2928436994552612,0.003957644437561525,-0.551737007061506
2022-09-28,517309.5896699467,418487.4292098999,98822.16046004681,2,96379.86085091773,1.2717220783233643,-0.005748455808899378,-0.5543138270671778
2022-09-29,518039.03513312066,418487.4292098999,99551.60592322075,2,0.0,1.2712005376815796,0.0014100752774355296,-0.5536853760132303
2022-09-30,516060.35242486704,466096.60872618976,49963.743698677295,1,47671.15201390794,1.263810157775879,-0.0038195629558015476,-0.5553901028176427
2022-10-10,514483.93861873785,130205.93586168782,384278.00275705004,8,435570.72934707475,1.2359257936477661,-0.0030547082307755824,-0.5567482563300499
2022-10-11,513856.52223193017,416850.2305854067,97006.29164652343,2,287017.41736629506,1.2381677627563477,-0.0012195062658169054,-0.5572888046087896
2022-10-12,513941.65745919175,416850.2305854067,97091.42687378502,2,0.0,1.2569743394851685,0.00016567898543318194,-0.5572154566670974
2022-10-13,513016.2240881543,463613.13374566217,49403.09034249218,1,46823.774066541955,1.2464649677276611,-0.0018006584163902106,-0.5580127603816972
2022-10-14,511811.7512720379,463613.13374566217,48198.61752637577,1,0.0,1.2762924432754517,-0.0023478259742316654,-0.559050469503152
2022-10-17,520659.5075730564,44664.296054341576,475995.2115187148,10,418823.1907341003,1.2776011228561401,0.01728713004152138,-0.5514277176277053
2022-10-18,517130.5200357366,286811.83323482773,230318.68680090888,5,242462.7387408493,1.2748974561691284,-0.006777918171069985,-0.5544681038514347
2022-10-19,514420.3101978967,403799.1420613106,110621.16813658609,3,117139.59029386488,1.2543902397155762,-0.005240862282993142,-0.5568030751618303
2022-10-20,515882.7779806721,426807.99253564776,89074.78544502435,3,23038.800915527343,1.2472156286239624,0.0028429433165513274,-0.5555430914264454
2022-10-21,517727.48124881287,426807.99253564776,90919.48871316513,3,0.0,1.2432165145874023,0.003575818668267061,-0.5539537941155278
2022-10-24,516481.8429962987,98690.18761046261,417791.6553858361,10,328019.39910545346,1.2068389654159546,-0.0024059728286193183,-0.5550269691671946
2022-10-25,516113.7107286602,143194.07543373117,372919.63529492903,9,44561.818186911536,1.2048726081848145,-0.0007127690404424847,-0.5553441321674042
2022-10-26,524603.4834597091,186652.26514170377,337951.2183180053,8,43514.75889453549,1.214654564857483,0.016449422975147954,-0.5480297997190442
2022-10-27,513100.12870318384,209197.9902881546,303902.1384150292,7,22575.072741014155,1.2060983180999756,-0.021927713252420156,-0.5579404726694439
2022-10-28,509716.2762440453,254537.7747360488,255178.5015079965,6,45398.80289165334,1.1762675046920776,-0.006594916410742169,-0.5608558183007613
2022-10-31,494069.8239645322,81351.77942139708,412718.0445431351,10,400172.06374328025,1.1654293537139893,-0.030696395247190034,-0.5743359616727048
2022-11-01,499719.4775186288,256696.01608715503,243023.4614314738,5,175572.71082017155,1.2071046829223633,0.011434929396745064,-0.5694685234476989
2022-11-02,500248.59474797436,327514.82817244285,172733.7665755315,4,70910.99638058257,1.2215999364852905,0.0010588285090924465,-0.5690126644462636
2022-11-03,498226.9557452841,346587.3353538006,151639.62039148348,3,19097.333715187517,1.2116652727127075,-0.00404126872901811,-0.5707544000880398
2022-11-04,498622.5145161507,371674.27956902154,126948.23494712918,3,25119.59969482422,1.2512812614440918,0.000793932898060179,-0.570413607884922
2022-11-07,498037.70431417966,44713.21812480911,453324.48618937057,10,326863.0025434494,1.253981590270996,-0.0011728515759833469,-0.5709174489619353
2022-11-08,497697.48581561033,181762.32988867385,315935.1559269365,7,137227.50752364547,1.2453556060791016,-0.0006831179559745326,-0.5712105629571447
2022-11-09,498051.86811168573,273793.7978530461,224258.07025863964,5,92151.26460836316,1.2337102890014648,0.0007120435730043617,-0.5709052461943263
2022-11-10,497330.39873242076,344644.0282838494,152686.37044857134,4,70942.45562311335,1.2242172956466675,-0.0014485828192962735,-0.5715268254825392
2022-11-11,498896.62617597333,394044.11998502514,104852.5061909482,3,49464.3954152155,1.2583460807800293,0.0031492694746682037,-0.5701774479933173
2022-11-14,497188.40637176455,166623.06415233528,330565.34221942927,8,331013.308185563,1.2601995468139648,-0.0034239955024395474,-0.5716491584782352
2022-11-15,497606.12900647405,166623.06415233528,330983.06485413876,8,0.0,1.2840980291366577,0.0008401697009747799,-0.5712892710798015
2022-11-16,494992.37845015916,212580.2694849624,282412.10896519676,7,46017.027468335946,1.273608684539795,-0.005252649442910817,-0.5735411382512341
2022-11-17,493588.88534788945,212580.2694849624,281008.61586292705,7,0.0,1.2683838605880737,-0.0028353832571405,-0.5747503125676958
2022-11-18,488578.015267913,234759.79883926353,253818.21642864944,7,22208.4002746582,1.2627073526382446,-0.010151910281457677,-0.5790674092417264
2022-11-21,488556.4721820946,150477.82669995268,338078.64548214193,9,271752.5685471882,1.2519322633743286,-4.40934408532101e-05,-0.5790859696080202
2022-11-22,480018.89453904243,194172.56851230667,285846.32602673577,7,43751.61891694603,1.2520784139633179,-0.017475109079856832,-0.5864414882023623
2022-11-23,481178.44814128603,280387.46446232835,200790.9836789577,5,86327.12120759155,1.2533937692642212,0.0024156415829361677,-0.5854424790642867
2022-11-24,482276.16956289805,459554.75697304227,22721.41258985576,1,179400.51317784507,1.2478400468826294,0.002281318761994333,-0.5844967412138502
2022-11-25,482135.9529317344,459554.75697304227,22581.195958692126,1,0.0,1.254141092300415,-0.0002907392900850514,-0.5846175443363377
2022-11-28,485729.6237883793,191986.90447226638,293742.7193161129,7,267487.60621891025,1.2400113344192505,0.007453646289584448,-0.5815214304369216
2022-11-29,490476.16044959036,236174.58267295276,254301.5777766376,6,44245.19695673012,1.278268814086914,0.009771972778170435,-0.5774320692469035
2022-11-30,489999.01440635684,236174.58267295276,253824.43173340405,6,0.0,1.2798032760620117,-0.0009728220894490436,-0.5778431526642329
2022-12-01,489396.10475215677,306271.7661924857,183124.33855967104,5,70188.42847655248,1.2936640977859497,-0.0012304303406212025,-0.5783625872576958
2022-12-02,488385.2781678714,306271.7661924857,182113.5119753857,5,0.0,1.2857521772384644,-0.0020654569467758455,-0.579233461180865
2022-12-05,494493.3444525033,98448.53305419273,396044.8113983106,10,299355.6031496548,1.3109726905822754,0.012506655211937723,-0.5739710791551337
2022-12-06,490450.66932977,218636.53697949837,271814.1323502716,7,120344.45171253194,1.31805419921875,-0.008175388340583845,-0.5774540310273604
2022-12-07,490648.7694691465,260771.92687018873,229876.84259895777,6,42190.237199049116,1.3148123025894165,0.0004039145050962478,-0.5772833585814223
2022-12-08,488762.52838614397,300439.11230008514,188323.41608605883,5,39718.81989576089,1.3150581121444702,-0.0038443815624837896,-0.5789084426438469
2022-12-09,486245.8290224081,300439.11230008514,185806.71672232295,5,0.0,1.3280320167541504,-0.005149125019967893,-0.5810766957175267
2022-12-12,480274.8529705745,76786.0399209872,403488.8130495873,10,223585.9965801239,1.3131515979766846,-0.012279747599764912,-0.586220968157775
2022-12-13,481846.4295757754,257515.58062555757,224330.84895021786,6,180964.79493798976,1.3105740547180176,0.0032722442065837853,-0.5848669821180235
2022-12-14,482414.4864429426,391057.3304011185,91357.1560418241,3,133715.58002959943,1.3136332035064697,0.0011789168338702805,-0.5843775748149469
2022-12-15,480180.74943346024,414594.64029991644,65586.1091335438,2,23567.948231498904,1.3126699924468994,-0.004630327389114508,-0.5863020427138115
2022-12-16,480642.6855459139,414594.64029991644,66048.0452459974,2,0.0,1.3134140968322754,0.0009620046472056387,-0.5859040633563627
2022-12-19,472871.94065499504,161491.92171684737,311380.0189381477,8,345395.13180412236,1.2931492328643799,-0.01616740486145718,-0.5925989200155648
2022-12-20,471058.9693854798,341327.34828103613,129731.6211044437,3,180069.51693620582,1.2718249559402466,-0.003833958231913681,-0.5941608787398616
2022-12-21,470449.13674145855,470449.13674145855,0.0,0,129289.86528529329,1.2723299264907837,-0.0012945993679237544,-0.5946862778097237
2022-12-22,470449.13674145855,470449.13674145855,0.0,0,0.0,1.2741533517837524,0.0,-0.5946862778097237
2022-12-23,470449.13674145855,470449.13674145855,0.0,0,0.0,1.271559238433838,0.0,-0.5946862778097237
2022-12-26,469512.3765582201,384579.37995456735,84932.99660365272,2,85844.00358581543,1.276631236076355,-0.0019912039582576924,-0.5954933400976852
2022-12-27,470297.8499590197,384579.37995456735,85718.47000445233,2,0.0,1.291365623474121,0.0016729556876808882,-0.5948166183802968
2022-12-28,472217.6666522183,384579.37995456735,87638.28669765098,2,0.0,1.2858551740646362,0.004082129427906089,-0.5931626073744884
2022-12-29,473542.73726606637,384579.37995456735,88963.35731149904,2,0.0,1.2810189723968506,0.0028060589584504303,-0.592020997664279
2022-12-30,473597.7239091575,384579.37995456735,89018.34395459016,2,0.0,1.285978078842163,0.00011611759354313023,-0.5919736241243116
2023-01-03,479000.4798401613,161589.54603638436,317410.9338037769,7,306050.76612433925,1.2913821935653687,0.011407900963730455,-0.5873188996377321
2023-01-04,483789.61813617,293896.5002811317,189893.11785503826,4,132479.17717507493,1.2930595874786377,0.009998191019781055,-0.5831928351660567
2023-01-05,484605.6170423935,293896.5002811317,190709.11676126177,4,0.0,1.3181804418563843,0.0016866813086382493,-0.5824898143118248
2023-01-06,482286.5684964448,293896.5002811317,188390.06821531308,4,0.0,1.322269320487976,-0.00478543472133508,-0.584487782050928
2023-01-09,482649.3047295418,37387.37673363309,445261.9279959087,10,256432.1938893318,1.3329744338989258,0.0007521176346003688,-0.5841752679844167
2023-01-10,482322.1031711691,235142.60675018636,247179.49642098276,6,198012.64645694732,1.3344194889068604,-0.0006779281668209958,-0.5844571672827108
2023-01-11,480911.7072599643,256964.4471436832,223947.26011628113,5,21850.245712923657,1.3319482803344727,-0.00292417847312354,-0.5856722886888035
2023-01-12,482402.8607449918,281499.50878646964,200903.35195852214,5,24566.9987411499,1.33455228805542,0.0031006803588198295,-0.584387590892226
2023-01-13,486228.3652974682,321759.21261945943,164469.15267800877,4,40312.109575437855,1.3533223867416382,0.007930103371627029,-0.5810917415254704
2023-01-16,496021.0739861788,84493.84046397783,411527.23352220096,10,290938.3975242615,1.3744407892227173,0.02014014275518372,-0.5726548693984681
2023-01-17,500461.08168830565,84493.84046397783,415967.2412243278,10,0.0,1.3742015361785889,0.008951248112193388,-0.5688295971049161
2023-01-18,494004.3301275008,131959.65641265214,362044.67371484864,10,47527.60183105468,1.3718996047973633,-0.012901605733302901,-0.5743923876469379
2023-01-19,494595.72775445716,269803.1653692908,224792.56238516635,8,138024.06983128382,1.3804360628128052,0.001197150694617788,-0.5738828711981747
2023-01-20,490116.80884423095,289400.7698609019,200716.03898332905,7,19623.114540513816,1.3889126777648926,-0.00905571693989593,-0.5777416672998452
2023-01-30,485045.1825153521,154579.93274928204,330465.24976607005,10,134780.40299072268,1.3954960107803345,-0.010347791051766864,-0.5821111082964939
2023-01-31,487253.3485570606,206759.57743298498,280493.7711240756,7,52248.91551658516,1.380718469619751,0.004552495563933556,-0.5802086709707965
2023-02-01,493613.9292171586,253845.01799955615,239768.91121760246,7,47146.73131728363,1.393695592880249,0.013053949611498972,-0.5747287361143052
2023-02-02,490946.66433730244,295889.17049736617,195057.49383993627,6,42098.88104316608,1.3887864351272583,-0.005403544596252141,-0.577026708354216
2023-02-03,490549.6278010714,315757.2438943211,174792.38390675033,5,19893.935513122004,1.375659704208374,-0.0008087162314607266,-0.5773687737206443
2023-02-06,486288.3351103934,87249.7194863945,399038.6156239989,10,228438.99271011353,1.3574742078781128,-0.008686771835460516,-0.581040074753874
2023-02-07,479776.030699319,133522.66685722352,346253.3638420955,9,46333.18050548615,1.3599156141281128,-0.013391858164963133,-0.5866507266495737
2023-02-08,475206.2196404377,208290.47439359257,266915.7452468451,8,74865.13220823977,1.3539068698883057,-0.009524884042707127,-0.5905878305473737
2023-02-09,476555.81034369266,383363.57084298774,93192.23950070492,3,175300.9877334486,1.3720823526382446,0.0028400106048194207,-0.589425095644386
2023-02-10,473926.59318263864,407060.3590839192,66866.2340987194,2,23727.6341653464,1.363927960395813,-0.005517123291724935,-0.5916902880122041
2023-02-13,476272.985742536,50560.043012860326,425712.9427296757,10,356393.3980516434,1.3763041496276855,0.004950962013210214,-0.5896687621385278
2023-02-14,479397.8526082528,158706.5034894928,320691.34911876,7,108287.23388067739,1.376875400543213,0.006561083578664251,-0.5869765445919819
2023-02-15,476979.10767220403,158706.5034894928,318272.6041827112,7,0.0,1.3697007894515991,-0.005045381248349634,-0.589060405389026
2023-02-16,473425.0681871036,204147.10830486054,269277.95988224307,6,45499.7544962128,1.359669804573059,-0.007451142886415241,-0.5921223750261579
2023-02-17,475148.2101767537,317222.5409648447,157925.66921190903,5,113222.62206867337,1.3400793075561523,0.003639735420535528,-0.5906378083872967
2023-02-20,484010.66428044945,123941.62209794695,360069.0421825025,10,238076.14930500792,1.3729559183120728,0.018651978296201355,-0.5830023936740512
2023-02-21,485467.996148515,123941.62209794695,361526.3740505681,10,0.0,1.3765631914138794,0.003010949914155514,-0.5817468347670811
2023-02-22,481768.3290367136,123941.62209794695,357826.70693876664,10,0.0,1.3641406297683716,-0.00762082596824698,-0.5849342693499896
2023-02-23,480035.7707704068,188771.64499189958,291264.12577850727,8,64914.41162907042,1.3630443811416626,-0.00359624774374645,-0.5864269485473461
2023-02-24,480218.61542518635,188771.64499189958,291446.9704332868,8,0.0,1.348894715309143,0.00038089797867790764,-0.5862694194080122
2023-02-27,479416.9367425665,150107.36816590073,329309.56857666577,10,136455.20407409666,1.3431782722473145,-0.0016694035942568242,-0.5869601027263064
2023-02-28,479284.9914584388,216948.682805205,262336.3086532338,8,66928.32145719862,1.3516881465911865,-0.00027522032288684883,-0.5870737797001992
2023-03-01,481209.7313274787,304500.2102139872,176709.5211134915,6,87665.492549096,1.370780348777771,0.00401585675191507,-0.5854155271503655
