date,equity,cash,market_value,positions,gross_traded,benchmark_value,candidate_count,selected_count,target_exposure,daily_return,drawdown
2024-10-23,1074429.5638224345,130877.50984905058,943552.0539733839,19,0.0,1.3197182416915894,19,19,0.95,-0.007863666131014746,-0.3833167841073557
2024-10-24,1071357.167859222,130877.50984905058,940479.6580101715,19,0.0,1.304977297782898,19,19,0.95,-0.0028595601486262057,-0.385080226855849
2024-10-25,1076478.5571348683,130877.50984905058,945601.0472858178,19,0.0,1.3141415119171143,19,19,0.95,0.004780281897847294,-0.38214073699565965
2024-10-28,1071158.190552252,130877.50984905058,940280.6807032016,19,0.0,1.3167122602462769,19,19,0.95,-0.00494238045649209,-0.3851944325419949
2024-10-29,1068963.942192237,130877.50984905058,938086.4323431863,19,0.0,1.3035888671875,19,19,0.95,-0.0020484820817026073,-0.38645385073066363
2024-10-30,1068106.5604363587,130877.50984905058,937229.0505873081,19,0.0,1.2918970584869385,19,19,0.95,-0.0008020679856796109,-0.3869459564547295
2024-10-31,1059901.5471899968,130877.50984905058,929024.0373409463,19,0.0,1.2924251556396484,19,19,0.95,-0.007681830212717622,-0.39165533352846427
2024-11-01,1054804.2364575877,341317.60408310825,713486.6323744796,14,1336960.1459332926,1.2920863628387451,14,14,0.95,-0.004809230391184083,-0.3945810031867739
2024-11-04,1061970.0286449406,341317.60408310825,720652.4245618323,14,0.0,1.310268521308899,14,14,0.95,0.00679348066653418,-0.39046810093677076
2024-11-05,1085608.335589807,341317.60408310825,744290.7315066988,14,0.0,1.3434208631515503,14,14,0.95,0.022258920974472796,-0.376900578564102
2024-11-06,1079872.2180455339,341317.60408310825,738554.6139624256,14,0.0,1.3366814851760864,14,14,0.95,-0.005283781780430763,-0.3801928999344819
2024-11-07,1106319.004519008,341317.60408310825,765001.4004359,14,0.0,1.3770116567611694,14,14,0.95,0.024490662905783722,-0.3650134131801659
2024-11-08,1096140.6038243703,341317.60408310825,754822.999741262,14,0.0,1.3631774187088013,14,14,0.95,-0.009200240304163443,-0.37085544236882895
2024-11-11,1091786.0109156976,341317.60408310825,750468.4068325893,14,0.0,1.3721719980239868,14,14,0.95,-0.003972659067166928,-0.37335481920026115
2024-11-12,1073692.7752050625,341317.60408310825,732375.1711219542,14,0.0,1.357095718383789,14,14,0.95,-0.016572144659977806,-0.3837396737869524
2024-11-13,1079207.2885098248,341317.60408310825,737889.6844267166,14,0.0,1.36544930934906,14,14,0.95,0.005136025343664086,-0.3805745451332274
2024-11-14,1071229.833716165,341317.60408310825,729912.2296330568,14,0.0,1.3417766094207764,14,14,0.95,-0.0073919578551726595,-0.3851533119900238
2024-11-15,1054387.5659284557,341317.60408310825,713069.9618453474,14,0.0,1.3182634115219116,14,14,0.95,-0.015722366253824838,-0.39482015680886773
2024-11-18,1051795.1696976009,341317.60408310825,710477.5656144927,14,0.0,1.3121352195739746,14,14,0.95,-0.0024586748882722276,-0.3963080972922103
2024-11-19,1059272.5067024024,341317.60408310825,717954.9026192941,14,0.0,1.320940613746643,14,14,0.95,0.007109118980791029,-0.39201637972812053
2024-11-20,1063362.7787648926,341317.60408310825,722045.1746817844,14,0.0,1.323890209197998,14,14,0.95,0.0038613973615000408,-0.3896687133809674
2024-11-21,1064035.2815872272,341317.60408310825,722717.6775041191,14,0.0,1.3250627517700195,14,14,0.95,0.0006324302822746652,-0.38928272139308995
2024-11-22,1033687.6558240249,341317.60408310825,692370.0517409167,14,0.0,1.2840083837509155,14,14,0.95,-0.02852125891721613,-0.4067011470214552
2024-11-25,1025595.1796714086,341317.60408310825,684277.5755883004,14,0.0,1.2781591415405273,14,14,0.95,-0.00782874411532486,-0.4113459319253401
