cohort,model,horizon_sessions,start_count,first_start,last_start,positive_return_rate,severe_start_rate,worst_total_return,p10_total_return,median_total_return,best_total_return,p10_annualized_return,median_annualized_return,median_maximum_drawdown,p90_maximum_drawdown,worst_maximum_drawdown,median_average_exposure,median_filled_trade_count,median_total_commission,outperform_benchmark_rate,drawdown_improvement_rate,sharpe_improvement_rate,median_total_return_difference,p10_total_return_difference
daily,production-ensemble__threshold-0p1,504,652,2021-11-29,2024-08-05,0.7131901840490797,0.0,-0.09570973795443383,-0.06026191928090563,0.12360221361535684,0.7713502700628605,-0.03059911248282099,0.060000939823215416,0.09000031988098955,0.09002884392821209,0.09570973795443383,0.10638182214835695,21.0,2844.19485714,0.6303680981595092,1.0,0.9539877300613497,0.08829461571961428,-0.6259789756604871
daily,risk-friction__threshold-0p05,504,652,2021-11-29,2024-08-05,0.7131901840490797,0.0,-0.13938974631478962,-0.0902688353415213,0.09669406789487034,0.79818796876141,-0.04620171699752007,0.04723161926110331,0.11735724642954548,0.11978153345997611,0.13938974631478962,0.1544572688071736,20.0,2727.598961076,0.6211656441717791,1.0,0.8634969325153374,0.06797862383401831,-0.6183348161546743
monthly,buy-hold,63,56,2021-11-29,2026-06-01,0.44642857142857145,0.10714285714285714,-0.287792600992992,-0.13281022052033503,-0.02320237044532608,0.5463677859054354,-0.43446555553045035,-0.08954093561030907,0.14170351208773485,0.23568277946730648,0.2999297238620272,0.9902318544566817,1.0,297.042686658,,,,,
monthly,production-ensemble__threshold-0p1,63,56,2021-11-29,2026-06-01,0.3392857142857143,0.0,-0.044698448940795776,-0.02413578053167481,0.0,0.31772357053423206,-0.09308342669205372,0.0,0.0278197261234856,0.06036667208337343,0.08987353622510241,0.09971705316428428,3.0,221.587114923,0.5357142857142857,0.9821428571428571,0.5454545454545454,0.022505960104506006,-0.12723814331244132
monthly,risk-friction__threshold-0p05,63,56,2021-11-29,2026-06-01,0.30357142857142855,0.0,-0.0724623485731678,-0.04189078713478783,0.0,0.36175550046624205,-0.1573250392916632,0.0,0.03752337405965861,0.09782101676894506,0.11976274160367228,0.1537398754320024,3.0,173.33190547199996,0.5535714285714286,0.9821428571428571,0.42424242424242425,0.007500520680866873,-0.13202148568364924
monthly,buy-hold,126,53,2021-11-29,2026-03-02,0.49056603773584906,0.22641509433962265,-0.28307105459942405,-0.17234489201671435,-0.0014342177950080748,0.5743804468507496,-0.3149869201696548,-0.002866378609332587,0.18919414824567726,0.29866256675608327,0.40246752158770926,0.9904673550078443,1.0,297.04325677199995,,,,,
monthly,production-ensemble__threshold-0p1,126,53,2021-11-29,2026-03-02,0.4339622641509434,0.0,-0.06026191928090563,-0.0363850392229935,0.0,0.31131501400587,-0.0714462073652878,0.0,0.05630909514631999,0.08041596192031222,0.09003198049053152,0.12518105527602824,6.0,530.52216888,0.5094339622641509,1.0,0.6486486486486487,0.004347505859252032,-0.18717140546314753
monthly,risk-friction__threshold-0p05,126,53,2021-11-29,2026-03-02,0.39622641509433965,0.0,-0.0902688353415213,-0.06424216835838403,0.0,0.340338829233084,-0.12432350934772893,0.0,0.05379940277843798,0.11735803275831451,0.11976660485757684,0.12229747386813736,5.0,585.2211348299999,0.4339622641509434,1.0,0.4594594594594595,-0.009308025845151668,-0.18604929660987665
monthly,buy-hold,252,46,2021-11-29,2025-08-01,0.5652173913043478,0.45652173913043476,-0.3225013549994721,-0.29126029072275883,0.09929937900460795,1.0034859873556101,-0.29126029072275883,0.09929937900460795,0.24229642501025905,0.3865380779962319,0.4127770905800362,0.990144015874568,1.0,297.04607733599994,,,,,
monthly,production-ensemble__threshold-0p1,252,46,2021-11-29,2025-08-01,0.5217391304347826,0.0,-0.06026191928090563,-0.06026191928090563,0.07112389393396013,0.49333108693809424,-0.06026191928090563,0.07112389393396013,0.05917119130730436,0.09002884392821209,0.09003198049053152,0.12507405211692593,15.0,1345.5469460609997,0.5,1.0,0.6904761904761905,0.0006080099062641953,-0.28232085990556
monthly,risk-friction__threshold-0p05,252,46,2021-11-29,2025-08-01,0.5217391304347826,0.0,-0.0902688353415213,-0.0902688353415213,0.06737553778463112,0.5281119756298445,-0.0902688353415213,0.06737553778463112,0.10305750351395926,0.11856313186325257,0.11978402579933567,0.1494114722364196,13.5,975.1017574079999,0.4782608695652174,1.0,0.6190476190476191,-0.00903074179216573,-0.28807470624299625
monthly,buy-hold,504,34,2021-11-29,2024-08-01,0.5588235294117647,0.7941176470588235,-0.470247000992992,-0.3712537998564553,0.05514116237761302,1.9233737770043686,-0.2070695345362642,0.027189930711680965,0.4207489154100192,0.43998697526661074,0.470247000992992,0.9893064077904703,1.0,297.04607733599994,,,,,
monthly,production-ensemble__threshold-0p1,504,34,2021-11-29,2024-08-01,0.6764705882352942,0.0,-0.09446275307916918,-0.06026191928090563,0.11859440342548988,0.7564516700628605,-0.03059911248282099,0.05763453434463728,0.08995119007665725,0.09003075118350629,0.09548898327779609,0.10552263637363549,22.0,2846.143879023,0.6176470588235294,1.0,0.9705882352941176,0.08975830196815238,-0.553595833210948
monthly,risk-friction__threshold-0p05,504,34,2021-11-29,2024-08-01,0.6764705882352942,0.0,-0.1381475491397055,-0.0902688353415213,0.0945755932826653,0.7802383687614101,-0.04620171699752007,0.046196463921612585,0.11735724642954548,0.11978153345997611,0.1392074345119757,0.15009741075013158,20.5,2768.4292251899997,0.5882352941176471,1.0,0.7941176470588235,0.06336138711061146,-0.549187452498469
