model,horizon_sessions,trend_regime,volatility_regime,start_count,positive_return_rate,severe_start_rate,median_total_return,median_maximum_drawdown,outperform_benchmark_rate,drawdown_improvement_rate
risk-friction__threshold-0p05,126,transition,normal-vol,103,0.009708737864077669,0.0,-0.007760239730404073,0.023911428260231626,0.9223300970873787,1.0
risk-friction__threshold-0p05,126,uptrend,high-vol,114,0.6140350877192983,0.0,0.015451910957428039,0.10306136733293697,0.3157894736842105,1.0
risk-friction__threshold-0p05,126,uptrend,normal-vol,250,0.784,0.0,0.1002675694774291,0.0957435815113421,0.264,1.0
production-ensemble__threshold-0p1,252,downtrend,high-vol,38,0.5263157894736842,0.0,0.15981036867613807,0.05630909514631999,0.0,1.0
production-ensemble__threshold-0p1,252,downtrend,normal-vol,511,0.4774951076320939,0.0,0.0,0.05712359966073455,0.5440313111545988,1.0
production-ensemble__threshold-0p1,252,transition,high-vol,14,1.0,0.0,0.3098392365516792,0.05917317001378014,0.07142857142857142,1.0
production-ensemble__threshold-0p1,252,transition,normal-vol,103,0.009708737864077669,0.0,-0.01629755417742962,0.030690798647535877,0.9902912621359223,1.0
production-ensemble__threshold-0p1,252,uptrend,high-vol,63,1.0,0.0,0.2973223009195658,0.059175747442320126,0.31746031746031744,1.0
production-ensemble__threshold-0p1,252,uptrend,normal-vol,175,0.7771428571428571,0.0,0.3432106770191041,0.07530257207705404,0.26285714285714284,1.0
risk-friction__threshold-0p05,252,downtrend,high-vol,38,0.5263157894736842,0.0,0.16986297976706988,0.05009739754150799,0.0,1.0
risk-friction__threshold-0p05,252,downtrend,normal-vol,511,0.4794520547945205,0.0,0.0,0.10305750351395926,0.49902152641878667,1.0
risk-friction__threshold-0p05,252,transition,high-vol,14,1.0,0.0,0.33563383555967297,0.10306313260358974,0.14285714285714285,1.0
risk-friction__threshold-0p05,252,transition,normal-vol,103,0.009708737864077669,0.0,-0.04116245862696777,0.044698448940795776,0.9902912621359223,1.0
risk-friction__threshold-0p05,252,uptrend,high-vol,63,1.0,0.0,0.30586099367545816,0.10306976393924239,0.2857142857142857,1.0
risk-friction__threshold-0p05,252,uptrend,normal-vol,175,0.7771428571428571,0.0,0.356886871889726,0.1173573109813052,0.24571428571428572,1.0
production-ensemble__threshold-0p1,504,downtrend,high-vol,38,0.5263157894736842,0.0,0.45693623640235637,0.07530368366828877,0.47368421052631576,1.0
production-ensemble__threshold-0p1,504,downtrend,normal-vol,473,0.758985200845666,0.0,0.1922534561445881,0.08040063294733124,0.5369978858350951,1.0
production-ensemble__threshold-0p1,504,transition,normal-vol,102,0.6078431372549019,0.0,0.113422647382591,0.09002884392821209,0.9803921568627451,1.0
production-ensemble__threshold-0p1,504,uptrend,normal-vol,39,0.6153846153846154,0.0,0.07647718265939418,0.08188011458945166,1.0,1.0
risk-friction__threshold-0p05,504,downtrend,high-vol,38,0.5263157894736842,0.0,0.42817246928042385,0.11735724642954548,0.47368421052631576,1.0
risk-friction__threshold-0p05,504,downtrend,normal-vol,473,0.758985200845666,0.0,0.2022982571790639,0.11735724642954548,0.5243128964059197,1.0
risk-friction__threshold-0p05,504,transition,normal-vol,102,0.6078431372549019,0.0,0.08108728595572012,0.11735724642954548,0.9803921568627451,1.0
risk-friction__threshold-0p05,504,uptrend,normal-vol,39,0.6153846153846154,0.0,0.03472921948569008,0.11735363020848433,1.0,1.0
