execution_date,symbol,shares,market_value_at_open
2020-04-01,SZ002444,70100,650000.5813598633
2020-04-01,SZ002664,49000,649440.1445388794
2020-04-01,SZ002724,104700,650179.7149658203
2020-04-01,SZ002746,67700,650323.8075256348
2020-04-01,SZ300625,51800,649494.4395065308
2020-05-06,SH600035,230500,652078.6738395691
2020-05-06,SH600051,83300,651962.220954895
2020-05-06,SH600064,119900,651777.2992134094
2020-05-06,SH600211,24600,651929.0908813477
2020-05-06,SH600261,224800,650205.4695129395
2020-05-06,SH600352,57800,651780.6932449341
2020-05-06,SH600382,165700,652241.0844326019
2020-05-06,SH600566,32700,651645.3964233398
2020-05-06,SH600682,81400,651917.7585601807
2020-05-06,SH600750,77200,651642.4011230469
2020-05-06,SH601000,388000,652201.1709213257
2020-05-06,SH603357,88900,651878.8752555847
2020-05-06,SZ000600,146500,652210.3364467621
2020-05-06,SZ000922,112000,651910.9954833984
2020-05-06,SZ002234,29100,650913.1301879883
2020-05-06,SZ002270,133300,651995.3161239624
2020-05-06,SZ002394,72800,595917.879486084
2020-05-06,SZ002440,81900,651536.4805698395
2020-05-06,SZ002583,101600,651860.6472015381
2020-05-06,SZ002884,73100,652185.9951019287
2020-06-01,SH600035,261700,666106.7588329315
2020-06-01,SH600051,83300,665974.4739055634
2020-06-01,SH600062,58200,665216.3600921631
2020-06-01,SH600064,116100,666105.3369998932
2020-06-01,SH600352,57700,665309.8737716675
2020-06-01,SH600382,162100,665988.2370948792
2020-06-01,SH600566,31900,665717.25025177
2020-06-01,SH600682,72500,665743.9637184143
2020-06-01,SH600750,74000,665923.4294891357
2020-06-01,SH600777,444200,666277.8657436371
2020-06-01,SH601000,401800,666210.7888936996
2020-06-01,SH601677,109300,662528.2642364502
2020-06-01,SH603357,91400,665664.9789810181
2020-06-01,SZ000600,143100,665991.3980484009
2020-06-01,SZ000922,118600,665852.6165962219
2020-06-01,SZ002234,31400,664561.4444732666
2020-06-01,SZ002270,142100,665904.5680999756
2020-06-01,SZ002440,86800,665864.2400741577
2020-06-01,SZ002583,104800,666094.2523956299
2020-06-01,SZ002884,70400,665537.1276855469
2020-07-01,SH600051,85400,705289.3466949463
2020-07-01,SH600064,118100,705911.6599082947
2020-07-01,SH600261,232500,705897.331237793
2020-07-01,SH600382,170800,705981.4559936523
2020-07-01,SH600496,207500,705839.64407444
2020-07-01,SH600566,29200,705988.1172180176
2020-07-01,SH600750,63900,705483.7861061096
2020-07-01,SH600777,464400,705946.0092544556
2020-07-01,SH601000,409000,705981.7128181458
2020-07-01,SH601677,117400,705868.2613372803
2020-07-01,SH603357,97400,705861.4902496338
2020-07-01,SZ000600,143100,706017.0538902283
2020-07-01,SZ000922,122400,706019.6159362793
2020-07-01,SZ002234,32300,705232.0274353027
2020-07-01,SZ002270,140800,705845.3735351562
2020-07-01,SZ002394,83200,694012.9821777344
2020-07-01,SZ002440,87400,705833.5000991821
2020-07-01,SZ002583,92700,705746.6631889343
2020-07-01,SZ002746,83900,705945.9247589111
2020-07-01,SZ002884,71500,705959.5365524292
2020-08-03,SH600051,72300,815706.0147285461
2020-08-03,SH600062,59300,815742.6503181458
2020-08-03,SH600064,120900,815692.5524711609
2020-08-03,SH600352,55300,796078.9126396179
2020-08-03,SH600382,178800,816078.7759780884
2020-08-03,SH600566,33900,814227.7753829956
2020-08-03,SH600750,70200,815777.885055542
2020-08-03,SH601000,432100,816153.5299062729
2020-08-03,SH603357,102700,815521.7955589294
2020-08-03,SH603586,46400,814530.1544189453
2020-08-03,SZ000581,42100,814817.0547485352
2020-08-03,SZ000922,122000,816088.8481140137
2020-08-03,SZ002234,35600,815911.3975524902
2020-08-03,SZ002270,144500,816045.289516449
2020-08-03,SZ002394,83300,815191.7746543884
2020-08-03,SZ002440,94500,815474.5388031006
2020-08-03,SZ002543,111500,815725.8636951447
2020-08-03,SZ002583,87200,815288.5986328125
2020-08-03,SZ002664,52600,815239.4027709961
2020-08-03,SZ002884,76600,816147.484588623
2020-09-01,SH600023,235800,838838.8525485992
2020-09-01,SH600026,114200,838467.1829223633
2020-09-01,SH600261,229400,838926.5894412994
2020-09-01,SH600273,84500,778594.9053764343
2020-09-01,SH600449,55800,837864.158821106
2020-09-01,SH600668,53600,838278.9199829102
2020-09-01,SH601000,416700,838926.5873908997
2020-09-01,SH601006,147200,838733.5205078125
2020-09-01,SH601677,109700,838923.7447738647
2020-09-01,SH601717,105700,838446.69008255
2020-09-01,SH603556,60200,838520.1677322388
2020-09-01,SZ000027,157800,838578.9422035217
2020-09-01,SZ000581,38900,836842.5863265991
2020-09-01,SZ000922,121500,838631.0577392578
2020-09-01,SZ002394,82400,837967.064666748
2020-09-01,SZ002403,89200,838767.4949645996
2020-09-01,SZ002406,123400,838906.6635131836
2020-09-01,SZ002432,75500,838635.3363990784
2020-09-01,SZ002869,16500,835381.4849853516
2020-09-01,SZ300552,17400,834830.3535461426
2020-10-09,SH600023,229700,790216.1513566971
2020-10-09,SH600026,114000,789842.7686691284
2020-10-09,SH600261,236500,790444.9700117111
