model,trade_date,cash,positions_value,total_value,daily_return,cash_ratio,holdings
b1,2016-12-13,15157.758850396149,1445331.6,1460489.3588503962,-6.613783969000586e-05,0.010378547956232538,SH513100;SH518880;SZ159915
b1,2016-12-14,15157.758850396149,1447877.4,1463035.158850396,0.001743114377775301,0.010360488439872223,SH513100;SH518880;SZ159915
b1,2016-12-15,15157.758850396149,1444909.5,1460067.2588503961,-0.002028591030123983,0.010381548355745486,SH513100;SH518880;SZ159915
b1,2016-12-16,15157.758850396149,1448233.8,1463391.5588503962,0.0022768129206716115,0.010357965206730935,SH513100;SH518880;SZ159915
b1,2016-12-19,15157.758850396149,1446453.9,1461611.658850396,-0.0012162841785136047,0.010370578777620184,SH513100;SH518880;SZ159915
b1,2016-12-20,15157.758850396149,1444882.5,1460040.2588503961,-0.0010751145767651238,0.010381740337989746,SH513100;SH518880;SZ159915
b1,2016-12-21,15157.758850396149,1453743.3,1468901.0588503962,0.006068873749397019,0.01031911493226034,SH513100;SH518880;SZ159915
b1,2016-12-22,15157.758850396149,1446465.3,1461623.0588503962,-0.004954724456183612,0.01037049789178758,SH513100;SH518880;SZ159915
b1,2016-12-23,15157.758850396149,1441590.9000000001,1456748.6588503963,-0.0033349227562362582,0.010405198424797592,SH513100;SH518880;SZ159915
b1,2016-12-26,15157.758850396149,1454189.4,1469347.158850396,0.008648369039819137,0.010315982005406702,SH513100;SH518880;SZ159915
b1,2016-12-27,15157.758850396149,1444958.7000000002,1460116.4588503963,-0.00628217773070161,0.01038119853969074,SH513100;SH518880;SZ159915
b1,2016-12-28,15157.758850396149,1446361.5,1461519.2588503961,0.0009607452826772,0.010371234425141247,SH513100;SH518880;SZ159915
b1,2016-12-29,15157.758850396149,1445236.2,1460393.958850396,-0.0007699522214200671,0.010379225933205139,SH513100;SH518880;SZ159915
b1,2016-12-30,15157.758850396149,1447972.8,1463130.5588503962,0.001873877924114531,0.010359812908497947,SH513100;SH518880;SZ159915
b1,2017-01-03,14956.846307712163,1441895.5,1456852.3463077121,-0.0042909448543108075,0.010266549211812177,SH513100;SH518880;SZ159915
b1,2017-01-04,14956.846307712163,1453678.8,1468635.6463077122,0.008088190975471088,0.010184177638146724,SH513100;SH518880;SZ159915
b1,2017-01-05,14956.846307712163,1451510.5,1466467.3463077121,-0.0014764043113425496,0.010199235833904299,SH513100;SH518880;SZ159915
b1,2017-01-06,14956.846307712163,1447388.8,1462345.6463077122,-0.0028106319655719636,0.010227982929669753,SH513100;SH518880;SZ159915
b1,2017-01-09,14956.846307712163,1450468.1,1465424.9463077122,0.00210572651395724,0.010206490851269774,SH513100;SH518880;SZ159915
b1,2017-01-10,14956.846307712163,1453854.8,1468811.6463077122,0.002311070252033698,0.010182957321526263,SH513100;SH518880;SZ159915
b1,2017-01-11,14956.846307712163,1453632.6,1468589.4463077122,-0.00015127875691789416,0.010184498019726521,SH513100;SH518880;SZ159915
b1,2017-01-12,14956.846307712163,1452330.8,1467287.6463077122,-0.0008864288132214293,0.010193533861850214,SH513100;SH518880;SZ159915
b1,2017-01-13,14956.846307712163,1442461.5,1457418.3463077121,-0.006726220332349375,0.010262562115815612,SH513100;SH518880;SZ159915
b1,2017-01-16,14956.846307712163,1431867.1,1446823.9463077122,-0.007269292325597698,0.010337709951429795,SH513100;SH518880;SZ159915
b1,2017-01-17,14956.846307712163,1439596.4,1454553.246307712,0.00534225329883764,0.010282776753397744,SH513100;SH518880;SZ159915
