open,close,low,trade_date,high
2135.792,2114.711,2114.038,2016-12-08,2136.259
2114.447,2099.888,2097.094,2016-12-09,2118.628
2095.583,1984.395,1981.172,2016-12-12,2096.401
1982.078,1985.043,1961.907,2016-12-13,1995.351
1982.98,1963.08,1958.038,2016-12-14,1988.458
1957.714,1975.854,1956.551,2016-12-15,1991.319
1977.864,1998.113,1972.215,2016-12-16,2005.276
1995.003,1980.41,1976.77,2016-12-19,1995.003
1981.693,1982.297,1974.928,2016-12-20,1989.986
1987.758,1991.696,1985.054,2016-12-21,1996.103
1993.037,1986.274,1978.745,2016-12-22,1993.037
1987.728,1964.541,1964.232,2016-12-23,1992.207
1959.185,1974.01,1933.523,2016-12-26,1974.01
1972.506,1968.62,1968.566,2016-12-27,1977.315
1968.146,1957.155,1954.957,2016-12-28,1971.514
1956.72,1959.24,1955.624,2016-12-29,1971.943
1961.218,1962.059,1952.684,2016-12-30,1964.701
1965.041,1963.255,1959.139,2017-01-03,1971.913
1963.024,1991.565,1959.574,2017-01-04,1992.759
1990.696,1983.971,1983.84,2017-01-05,1993.709
1980.84,1965.03,1963.323,2017-01-06,1982.4
1962.205,1961.619,1951.486,2017-01-09,1968.87
1960.097,1951.677,1951.178,2017-01-10,1967.474
1947.423,1937.547,1932.462,2017-01-11,1959.297
1935.516,1930.145,1929.048,2017-01-12,1946.586
1930.11,1899.943,1899.106,2017-01-13,1934.478
1897.447,1830.848,1783.74,2017-01-16,1897.818
1824.096,1867.868,1805.39,2017-01-17,1875.799
1860.244,1845.787,1845.573,2017-01-18,1862.826
1842.661,1844.14,1833.496,2017-01-19,1853.111
1844.367,1880.748,1842.623,2017-01-20,1892.358
1879.974,1887.324,1879.706,2017-01-23,1897.099
1885.238,1861.216,1859.712,2017-01-24,1885.948
1857.318,1870.703,1856.217,2017-01-25,1874.628
1872.142,1886.232,1872.142,2017-01-26,1887.666
1886.969,1876.761,1872.696,2017-02-03,1888.806
1877.141,1900.447,1874.71,2017-02-06,1903.329
1897.869,1889.134,1881.73,2017-02-07,1900.349
1887.344,1903.628,1881.135,2017-02-08,1903.629
1903.674,1914.082,1901.884,2017-02-09,1916.405
1913.23,1904.685,1900.707,2017-02-10,1915.427
1902.46,1913.681,1894.147,2017-02-13,1919.2
1914.138,1909.395,1906.415,2017-02-14,1918.795
1911.037,1892.357,1890.089,2017-02-15,1920.286
1891.871,1897.63,1886.407,2017-02-16,1900.974
1896.697,1882.869,1881.001,2017-02-17,1904.865
1884.991,1894.962,1876.669,2017-02-20,1894.962
1896.859,1921.077,1895.429,2017-02-21,1924.028
1921.546,1919.973,1909.123,2017-02-22,1925.297
1919.243,1925.951,1906.813,2017-02-23,1925.951
1925.098,1938.444,1921.299,2017-02-24,1939.393
1937.559,1926.771,1923.53,2017-02-27,1943.982
1926.138,1927.16,1918.322,2017-02-28,1931.825
1925.696,1931.968,1923.754,2017-03-01,1938.678
1936.082,1920.405,1919.744,2017-03-02,1937.901
1916.198,1928.289,1908.318,2017-03-03,1932.214
1931.617,1962.77,1931.617,2017-03-06,1962.77
1967.179,1977.853,1957.292,2017-03-07,1977.853
1976.851,1964.628,1960.065,2017-03-08,1976.851
1962.644,1953.943,1948.789,2017-03-09,1962.644
1952.501,1950.008,1945.573,2017-03-10,1957.714
1948.518,1970.879,1939.032,2017-03-13,1972.079
1967.473,1958.023,1952.097,2017-03-14,1970.478
1951.708,1957.82,1943.609,2017-03-15,1964.426
1959.054,1966.727,1959.054,2017-03-16,1968.435
1968.153,1949.661,1949.351,2017-03-17,1981.69
1948.604,1953.816,1939.647,2017-03-20,1953.816
1953.558,1961.063,1948.893,2017-03-21,1961.645
1952.8,1948.58,1939.287,2017-03-22,1959.715
1951.873,1948.369,1930.44,2017-03-23,1960.335
1948.27,1965.137,1946.121,2017-03-24,1966.423
1964.625,1947.528,1947.528,2017-03-27,1967.105
1946.332,1944.363,1940.376,2017-03-28,1953.239
1945.141,1929.196,1926.603,2017-03-29,1948.723
1924.512,1893.701,1893.298,2017-03-30,1926.531
1895.812,1907.338,1895.812,2017-03-31,1908.527
1914.907,1943.16,1914.907,2017-04-05,1943.433
1947.085,1944.234,1939.372,2017-04-06,1951.226
1942.107,1946.048,1939.318,2017-04-07,1953.569
1940.301,1912.451,1911.108,2017-04-10,1940.301
1907.104,1917.633,1887.889,2017-04-11,1920.776
1913.783,1897.506,1896.854,2017-04-12,1915.017
1896.486,1910.476,1896.486,2017-04-13,1920.233
1910.992,1887.46,1887.349,2017-04-14,1910.992
1880.77,1868.281,1862.364,2017-04-17,1886.607
1867.575,1848.203,1847.203,2017-04-18,1878.097
1841.601,1845.382,1812.39,2017-04-19,1845.643
1843.966,1850.39,1836.437,2017-04-20,1856.729
1849.281,1839.006,1836.524,2017-04-21,1863.582
1832.823,1809.911,1796.358,2017-04-24,1832.823
1809.556,1818.87,1807.667,2017-04-25,1829.263
1812.865,1820.48,1811.043,2017-04-26,1822.12
1815.111,1842.922,1794.397,2017-04-27,1847.932
1838.744,1850.734,1834.426,2017-04-28,1856.403
1849.215,1850.849,1843.826,2017-05-02,1855.342
1848.708,1840.453,1832.564,2017-05-03,1854.68
1838.71,1838.104,1828.634,2017-05-04,1858.558
1832.675,1818.191,1818.191,2017-05-05,1839.648
1814.103,1788.708,1788.708,2017-05-08,1825.76
1780.519,1802.491,1770.594,2017-05-09,1803.208
1801.775,1771.319,1771.319,2017-05-10,1815.825
1761.47,1772.413,1727.576,2017-05-11,1772.47
1768.305,1774.628,1750.403,2017-05-12,1774.899
1778.181,1778.636,1776.008,2017-05-15,1788.563
1774.39,1814.941,1764.285,2017-05-16,1814.941
1812.709,1822.639,1810.214,2017-05-17,1833.87
1807.175,1813.506,1803.86,2017-05-18,1827.785
1812.732,1801.078,1793.041,2017-05-19,1815.809
1798.565,1788.075,1779.474,2017-05-22,1814.407
1784.532,1758.235,1757.371,2017-05-23,1790.107
1749.163,1776.278,1730.363,2017-05-24,1776.442
1770.651,1777.694,1745.226,2017-05-25,1785.665
1769.117,1759.632,1754.772,2017-05-26,1772.932
1777.653,1763.729,1762.077,2017-05-31,1783.148
1757.802,1728.488,1728.488,2017-06-01,1757.886
1721.398,1745.927,1711.82,2017-06-02,1754.211
1747.527,1761.246,1747.527,2017-06-05,1767.292
1759.292,1766.393,1758.321,2017-06-06,1773.073
1764.957,1799.852,1762.732,2017-06-07,1802.519
1798.69,1794.75,1792.103,2017-06-08,1804.662
1793.65,1796.135,1782.185,2017-06-09,1797.638
1787.563,1775.551,1773.532,2017-06-12,1787.563
1773.007,1795.632,1771.846,2017-06-13,1800.197
1794.035,1790.635,1787.06,2017-06-14,1798.198
1788.812,1816.259,1788.428,2017-06-15,1823.417
1816.161,1810.053,1809.48,2017-06-16,1819.104
1809.514,1816.4,1805.882,2017-06-19,1817.5
1818.688,1820.976,1818.688,2017-06-20,1833.944
1827.89,1824.691,1810.041,2017-06-21,1829.4
1821.838,1798.381,1798.381,2017-06-22,1828.802
1794.497,1807.429,1776.604,2017-06-23,1807.429
1805.884,1821.277,1801.212,2017-06-26,1821.277
1821.37,1819.934,1816.663,2017-06-27,1830.224
1817.425,1808.199,1802.381,2017-06-28,1818.115
1808.295,1813.552,1807.616,2017-06-29,1822.82
1808.077,1818.067,1802.608,2017-06-30,1819.885
1818.204,1835.986,1816.031,2017-07-03,1836.493
1833.894,1829.505,1823.853,2017-07-04,1834.24
1827.259,1836.631,1820.96,2017-07-05,1836.66
1835.809,1838.995,1823.368,2017-07-06,1844.204
1833.884,1835.439,1828.724,2017-07-07,1836.778
1831.369,1803.247,1803.228,2017-07-10,1831.369
1799.52,1783.912,1783.912,2017-07-11,1804.718
1779.897,1786.746,1764.104,2017-07-12,1788.693
1784.257,1778.863,1774.779,2017-07-13,1786.219
1771.334,1745.567,1742.216,2017-07-14,1771.334
1730.704,1656.433,1656.433,2017-07-17,1730.704
1646.639,1667.488,1641.381,2017-07-18,1672.715
1663.16,1684.771,1654.768,2017-07-19,1685.739
1684.264,1688.61,1683.106,2017-07-20,1712.702
1688.793,1690.145,1685.793,2017-07-21,1699.673
1685.709,1686.438,1674.717,2017-07-24,1689.381
1686.575,1688.094,1680.948,2017-07-25,1694.4
1689.48,1681.31,1674.223,2017-07-26,1692.625
1678.868,1742.191,1675.295,2017-07-27,1742.915
1740.543,1734.074,1732.894,2017-07-28,1746.541
1731.915,1736.3,1725.499,2017-07-31,1744.048
1735.907,1741.074,1727.588,2017-08-01,1742.011
1740.386,1724.833,1723.229,2017-08-02,1744.299
1723.026,1733.124,1716.533,2017-08-03,1757.757
1731.03,1719.617,1718.911,2017-08-04,1734.179
1722.244,1732.434,1720.988,2017-08-07,1743.617
1731.73,1762.421,1728.587,2017-08-08,1762.44
1756.498,1763.049,1751.83,2017-08-09,1770.749
1761.426,1753.669,1741.401,2017-08-10,1777.189
1741.995,1742.139,1738.143,2017-08-11,1763.912
1745.008,1793.482,1745.008,2017-08-14,1794.073
1796.237,1798.569,1785.621,2017-08-15,1803.192
1797.046,1825.187,1792.72,2017-08-16,1835.623
1819.426,1833.398,1816.143,2017-08-17,1845.245
1822.07,1821.803,1817.639,2017-08-18,1835.672
1823.368,1829.217,1818.86,2017-08-21,1834.663
1829.398,1814.915,1811.97,2017-08-22,1831.657
1813.429,1807.366,1801.151,2017-08-23,1818.653
1807.846,1795.739,1792.698,2017-08-24,1812.082
1794.704,1812.878,1794.704,2017-08-25,1814.539
1815.835,1842.828,1815.835,2017-08-28,1856.215
1842.149,1831.591,1828.535,2017-08-29,1850.818
1830.704,1838.631,1830.545,2017-08-30,1849.24
1841.0,1849.379,1839.811,2017-08-31,1850.809
1850.023,1865.25,1840.521,2017-09-01,1865.815
1863.024,1883.618,1858.386,2017-09-04,1888.98
1881.674,1885.162,1873.164,2017-09-05,1891.792
1880.701,1902.857,1877.272,2017-09-06,1902.857
1904.538,1890.382,1889.329,2017-09-07,1917.958
1888.395,1885.274,1872.912,2017-09-08,1895.864
1883.654,1896.375,1880.139,2017-09-11,1896.375
1897.519,1884.484,1882.569,2017-09-12,1904.304
1884.537,1888.432,1874.871,2017-09-13,1888.439
1887.362,1879.252,1874.22,2017-09-14,1892.991
1877.17,1875.635,1869.63,2017-09-15,1882.532
1874.45,1894.802,1873.966,2017-09-18,1894.813
1896.62,1880.296,1877.145,2017-09-19,1901.272
1878.565,1892.669,1876.681,2017-09-20,1892.669
1892.946,1872.77,1872.652,2017-09-21,1898.207
1869.109,1866.425,1854.939,2017-09-22,1871.24
1864.864,1843.621,1841.364,2017-09-25,1869.385
1840.479,1839.455,1826.918,2017-09-26,1848.137
1840.165,1854.943,1840.165,2017-09-27,1857.332
1853.377,1854.734,1852.459,2017-09-28,1864.246
1858.058,1866.982,1856.865,2017-09-29,1866.982
1889.887,1889.838,1880.394,2017-10-09,1894.906
1890.664,1917.458,1887.473,2017-10-10,1917.458
1918.35,1901.551,1899.962,2017-10-11,1924.0
1900.873,1899.986,1889.44,2017-10-12,1909.478
1901.175,1926.074,1898.344,2017-10-13,1927.019
1920.937,1882.686,1882.686,2017-10-16,1921.639
1876.692,1876.991,1868.917,2017-10-17,1888.617
1878.291,1868.159,1867.827,2017-10-18,1890.322
1865.929,1862.611,1855.355,2017-10-19,1876.671
1858.622,1880.214,1856.101,2017-10-20,1880.214
1881.409,1898.759,1878.344,2017-10-23,1900.376
1895.438,1901.693,1882.682,2017-10-24,1901.693
1898.626,1913.264,1893.943,2017-10-25,1913.264
1911.854,1910.722,1902.272,2017-10-26,1918.792
1909.567,1896.224,1895.259,2017-10-27,1910.931
1894.861,1855.986,1848.038,2017-10-30,1902.053
1855.941,1869.787,1855.227,2017-10-31,1869.787
1867.987,1872.746,1866.521,2017-11-01,1881.486
1869.722,1847.565,1847.408,2017-11-02,1869.722
1843.797,1832.967,1825.292,2017-11-03,1856.216
1831.897,1850.303,1818.41,2017-11-06,1850.303
1849.319,1859.068,1843.918,2017-11-07,1859.111
1858.643,1866.142,1856.39,2017-11-08,1881.047
