model,trade_date,symbol,shares,close,market_value
m4,2023-08-31,SH513100,1610000,5.699999999999999,9176999.999999998
m4,2023-09-01,SH513100,1610000,5.695,9168950.0
m4,2023-09-04,SH513100,1610000,5.709999999999999,9193099.999999998
m4,2023-09-05,SH513100,1610000,5.705,9185050.0
m4,2023-09-06,SH513100,1610000,5.715,9201150.0
m4,2023-09-07,SH513100,1610000,5.67,9128700.0
m4,2023-09-08,SH513100,1610000,5.705,9185050.0
m4,2023-09-11,SH513100,1610000,5.67,9128700.0
m4,2023-09-12,SH513100,1610000,5.705,9185050.0
m4,2023-09-13,SH513100,1610000,5.64,9080400.0
m4,2023-09-14,SH513100,1610000,5.68,9144800.0
m4,2023-09-15,SH513100,1610000,5.709999999999999,9193099.999999998
m4,2023-09-18,SH513100,1610000,5.620000000000001,9048200.000000002
m4,2023-09-19,SH513100,1610000,5.615,9040150.0
m4,2023-09-20,SH513100,1610000,5.620000000000001,9048200.000000002
m4,2023-09-21,SH513100,1610000,5.515,8879150.0
m4,2023-09-22,SH513100,1610000,5.460000000000001,8790600.000000002
m4,2023-09-25,SH513100,1610000,5.470000000000001,8806700.000000002
m4,2023-09-26,SH513100,1610000,5.425,8734250.0
m4,2023-09-27,SH513100,1610000,5.404999999999999,8702049.999999998
m4,2023-09-28,SH513100,1610000,5.4,8694000.0
m4,2023-10-09,SH513100,1610000,5.48,8822800.0
m4,2023-10-10,SH513100,1610000,5.555,8943550.0
m4,2023-10-11,SH513100,1610000,5.590000000000001,8999900.000000002
m4,2023-10-12,SH513100,1610000,5.64,9080400.0
m4,2023-10-13,SH513100,1610000,5.61,9032100.0
m4,2023-10-16,SH513100,1610000,5.555,8943550.0
m4,2023-10-17,SH513100,1610000,5.595,9007950.0
m4,2023-10-18,SH513100,1610000,5.57,8967700.0
m4,2023-10-19,SH513100,1610000,5.5,8855000.0
m4,2023-10-20,SH513100,1610000,5.430000000000001,8742300.000000002
m4,2023-10-23,SH513100,1610000,5.395,8685950.0
m4,2023-10-24,SH513100,1610000,5.430000000000001,8742300.000000002
m4,2023-10-25,SH513100,1610000,5.41,8710100.0
m4,2023-10-26,SH513100,1610000,5.244999999999999,8444449.999999998
m4,2023-10-27,SH513100,1610000,5.265,8476650.0
m4,2023-10-30,SH513100,1610000,5.2749999999999995,8492750.0
m4,2023-10-31,SH513100,1610000,5.2700000000000005,8484700.0
m4,2023-11-01,SH513100,1610000,5.345,8605450.0
m4,2023-11-02,SH513100,1610000,5.455,8782550.0
m4,2023-11-03,SH513100,1610000,5.495,8846950.0
