model,period,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,transaction_fees,order_count,average_cash_ratio,longest_underwater_trading_days,worst_rolling_three_year_return,yearly_returns
m3,2019-2022,970,2.1332246646717197,0.3422483237366247,0.20617677537217405,1.348550316520466,2.1687063862109075,1.6599751505416895,0.239780519193264,47.53733992832307,92155.31591474399,48,0.04958918892586092,240,1.2543150634430122,"{'2019': 0.4015442934954103, '2020': 0.9029601510726748, '2021': 0.28396000147344025, '2022': -0.08503702433034388}"
m3,2023-end,861,2.203303925613367,0.40218559488540784,0.2533180757782376,1.3745973922524903,2.331492352149938,1.5876703375778576,0.272980257738477,38.87818791439941,201191.20459966798,36,0.0077060247087055705,196,1.4450573996063447,"{'2023': 0.5091684206681106, '2024': 0.39428995504377173, '2025': 0.4499679256204163, '2026': 0.049902434958988495}"
m4,2014-2018,1220,1.4262164606922951,0.19916516792199457,0.27695273481462346,0.9908554096676091,1.6295973438208626,0.719130533429484,0.20444268670996538,53.693972232948504,32479.125767706,61,0.10028195937417249,424,0.12719997324598964,"{'2014': 0.16081847888880807, '2015': 0.7443834307698616, '2016': 0.09536453452851545, '2017': 0.2075011166759928, '2018': -0.09410666850247418}"
m4,2019-2022,970,1.6837390710782452,0.2897337790064818,0.20617399304160322,1.1853901213169702,1.8877038175548997,1.4052877122480587,0.23891598783209217,54.19506447504987,83535.38589922199,54,0.05469515360422474,240,1.0012107171581976,"{'2019': 0.3597907892950687, '2020': 0.7882599670035069, '2021': 0.25097844968296923, '2022': -0.11775803602986534}"
m4,2023-end,861,2.466898058372793,0.4347535720676168,0.2533177347375497,1.4490909840084354,2.465917230192552,1.7162381959480413,0.275240720533117,42.763274551970916,171397.70114249396,38,0.00768865572589421,194,1.6310536143312637,"{'2023': 0.5091718849420364, '2024': 0.3942890492907949, '2025': 0.48641624217718293, '2026': 0.10843213247875516}"
b1,2014-2018,1220,0.40068568497885204,0.07148931938510072,0.24351307965588143,0.5373274131773648,0.8629339726361882,0.2935748645868439,0.1492760868774355,3.0395071625380354,1543.710341148,180,0.010152717641577196,676,-0.04830066297094826,"{'2014': 0.1134452911929662, '2015': 0.290428191920187, '2016': 0.018310813513621627, '2017': 0.03631603820933238, '2018': -0.07622673380146039}"
b1,2019-2022,970,0.779753420764284,0.16018095234390217,0.2023778652815692,1.03307239045437,1.6796009516265857,0.7914944261371752,0.15559543101967113,1.891006494888575,1457.9421421759998,144,0.010110697789059564,270,0.3228682545991297,"{'2019': 0.3642650229836981, '2020': 0.39780402165954065, '2021': 0.09908629771960675, '2022': -0.15085274056962827}"
b1,2023-end,861,1.2329569827354145,0.2627021401399412,0.12844026932266017,1.4634190216131535,2.423065072693899,2.045325360382079,0.16923969535262112,2.0732867140291273,2407.4561659619994,128,0.01013237923711342,148,0.9312291551628649,"{'2023': 0.13422876339128575, '2024': 0.3186138882052658, '2025': 0.42175150621151203, '2026': 0.050118615779630504}"
b2,2014-2018,1220,0.14516202914264875,0.02816519307851073,0.5667152267196662,0.25216857056801995,0.38648100352152454,0.04969902298468336,0.33848866435753683,37.32755530868343,12282.245777352,43,0.009685727903877617,874,-0.3219836606907205,"{'2014': -0.12896190470470248, '2015': 0.4702438298291809, '2016': -0.2664840003693033, '2017': 0.22300506025033995, '2018': -0.0032125090087178343}"
b2,2019-2022,970,0.27039352834803787,0.06362421126902351,0.2666275504000146,0.3758269043743081,0.5930548097869256,0.2386257953222377,0.24290106611493692,55.78324408285523,24702.897989922,56,0.024131899422650795,366,-0.08834056341248486,"{'2019': 0.3018431111499982, '2020': 0.04374994167030777, '2021': 0.07736928478057248, '2022': -0.1322021510584891}"
b2,2023-end,861,1.5880732086250502,0.31798932366925947,0.2401631153277275,1.2387269642749124,1.9881422869937462,1.3240556245921862,0.24790649591161532,50.8253251934939,38293.24817792399,50,0.00848071654993308,173,1.214000211510672,"{'2023': 0.3079008530282059, '2024': 0.08939017768955915, '2025': 0.8664747248877804, '2026': -0.026813298876055436}"
b3,2014-2018,1220,0.07717598709599494,0.015350809828586609,0.5141165688412195,0.19626051761165972,0.3031625360257046,0.029858617206572808,0.284937861626172,56.54485954834399,17752.050804005998,63,0.07262210869291826,874,-0.32144752882100935,"{'2014': -0.1876241800555638, '2015': 0.23839883883292168, '2016': -0.053037925850867085, '2017': 0.22475006321713753, '2018': -0.07681427065496227}"
b3,2019-2022,970,0.08228544876932631,0.020589237899694357,0.2800697410550068,0.204644252391214,0.3163562416160813,0.07351468181509314,0.2347373580635187,71.34454730896017,27084.653178263998,72,0.08555911589202868,456,-0.14875410887631846,"{'2019': 0.22266589035576256, '2020': 0.043763824204364754, '2021': -0.014547240912516801, '2022': -0.1394106395628787}"
b3,2023-end,861,1.5880485493086591,0.3179856773499814,0.24011216839820337,1.2387688651398754,1.988234180722887,1.3243213764270045,0.24789312396596158,50.824925967961995,30684.903721199997,50,0.008542025165383663,173,1.214042912757657,"{'2023': 0.3078726842030113, '2024': 0.08933409837006123, '2025': 0.8665097313143313, '2026': -0.026769763947381953}"
