period,entry_rule,experiment_id,horizon,events,coverage,mean_return,median_return,positive_return_ratio,mean_excess_return,median_excess_return,positive_excess_ratio,p05_excess_return,mean_monthly_equal_weight_excess
full,new-high-20,h20,20,1863,0.4574569789674952,0.01717591821603473,0.011767745018005371,0.5308641975308642,0.0041816518214589735,-0.005885422229766846,0.4830917874396135,-0.1840963125228882,0.002093011766076749
full,new-high-20,h20,60,1761,0.4574569789674952,0.05240908480042561,0.017882227897644043,0.5241340147643384,0.02311813418395407,-0.007879972457885742,0.48268029528676887,-0.28770244121551514,0.023259806198525673
full,new-high-20,h20,120,1679,0.4574569789674952,0.07541560640357803,0.010004997253417969,0.5110184633710542,0.03420281928518544,-0.02000248432159424,0.47170935080405,-0.40420041680336,0.03215924492896504
full,new-high-55,h21,5,1069,0.25549713193116635,0.0050846026030737625,-0.0004477500915527344,0.49579045837231056,0.00033353582735480943,-0.0053948163986206055,0.4583723105706268,-0.1091180920600891,-0.0012956318627632215
full,new-high-55,h21,20,1052,0.25549713193116635,0.016871588934963648,0.006597161293029785,0.5142585551330798,0.009435993863602554,0.0003096461296081543,0.502851711026616,-0.18426396548748017,0.004340471899191141
full,new-high-55,h21,60,992,0.25549713193116635,0.045154808179265066,0.015254974365234375,0.5211693548387096,0.025969528172525666,-0.006827980279922485,0.4798387096774194,-0.2952275276184082,0.019759850061447558
full,new-high-55,h21,120,919,0.25549713193116635,0.08048540512677504,0.02011847496032715,0.5201305767138193,0.03808174711186946,-0.0225372314453125,0.4733405875952122,-0.3994611084461212,0.01289742296500806
full,new-high-55-volume-1.4,h22,5,797,0.19048757170172084,0.009162252191617768,0.0020138025283813477,0.5119196988707654,0.003803068077848427,-0.004592597484588623,0.4629861982434128,-0.09987866878509521,0.0014165540445808561
full,new-high-55-volume-1.4,h22,20,782,0.19048757170172084,0.019896928154294145,0.009339988231658936,0.5127877237851662,0.010862810761117569,0.0026048123836517334,0.510230179028133,-0.16934292614459992,0.0038358199514522385
full,new-high-55-volume-1.4,h22,60,738,0.19048757170172084,0.036816450638499684,-0.004389464855194092,0.4905149051490515,0.017654685712442164,-0.020582377910614014,0.44850948509485095,-0.29444452822208406,0.012335194450401933
full,new-high-55-volume-1.4,h22,120,689,0.19048757170172084,0.06465127250971746,-0.002950012683868408,0.4934687953555878,0.02173007438594613,-0.04047960042953491,0.4455732946298984,-0.4000788927078247,0.00551826519449413
