trade_date,cash,positions_value,total_value,daily_return,cash_ratio,exposure,gross_traded,transaction_cost,holdings
2021-11-11,30.39878297066025,348934.7,348965.0987829707,0.004232876419668408,8.711124142980826e-05,0.9999128887585701,0.0,0.0,SH512670;SZ159720;SZ159889
2021-11-12,26.593602970664506,357607.79999999993,357634.3936029706,0.02484287067742419,7.435974684299383e-05,0.999925640253157,229525.90000000002,45.90518000000001,SH512660;SH512670;SZ159720
2021-11-15,78.11964297067607,355367.9,355446.0196429707,-0.006119025460479932,0.0002197792031801163,0.9997802207968198,241369.8,48.27396,SH512660;SZ159720;SZ159869
2021-11-16,9.67278297066514,350580.3,350589.97278297064,-0.013661840593622965,2.7590016034637084e-05,0.9999724099839654,229734.3,45.94686,SH512660;SZ159786;SZ159869
2021-11-17,36.034702970675426,351158.0,351194.03470297065,0.0017229868704029538,0.0001026062501350642,0.999897393749865,470190.4,94.03808,SH516520;SZ159733;SZ159786
2021-11-18,36.034702970675426,346911.7,346947.7347029707,-0.012091036807021283,0.00010386205000452156,0.9998961379499954,0.0,0.0,SH516520;SZ159733;SZ159786
2021-11-19,236.72204297065036,347388.6,347625.3220429706,0.001952995429066684,0.0006809689282111293,0.9993190310717889,693063.3,138.61266,SH513100;SH513500;SH518880
2021-11-22,76.29566297068959,349493.0,349569.2956629707,0.00559215194271645,0.000218256191024993,0.999781743808975,693631.9000000001,138.72638,SH512670;SZ159786;SZ159855
2021-11-23,76.29566297068959,348749.2,348825.4956629707,-0.0021277612457047956,0.00021872157832294797,0.9997812784216771,0.0,0.0,SH512670;SZ159786;SZ159855
2021-11-24,76.29566297068959,348925.4,349001.6956629707,0.0005051236282631599,0.00021861115266433534,0.9997813888473357,0.0,0.0,SH512670;SZ159786;SZ159855
2021-11-25,3.971022970712511,341837.69999999995,341841.6710229707,-0.020515730235633023,1.1616556164229815e-05,0.9999883834438357,225623.19999999998,45.12464,SH515880;SZ159786;SZ159855
2021-11-26,62.79388297071273,337390.5,337453.2938829707,-0.012837455208043136,0.0001860817011093978,0.9998139182988907,228385.69999999998,45.677139999999994,SH515880;SH516520;SZ159786
2021-11-29,31.841082970713614,341682.3,341714.1410829707,0.012626479803980573,9.318046619259565e-05,0.9999068195338073,442764.0,88.55280000000002,SH515250;SH516520;SZ159733
2021-11-30,119.91292297070322,339084.89999999997,339204.8129229707,-0.007343354746886965,0.0003535118559710236,0.9996464881440289,225640.8,45.128159999999994,SH515250;SH516150;SH516520
2021-12-01,119.91292297070322,335881.5,336001.4129229707,-0.009443851849848084,0.00035688219858228277,0.9996431178014177,0.0,0.0,SH515250;SH516150;SH516520
2021-12-02,50.34936297070817,341837.2,341887.54936297075,0.017518189548058283,0.0001472687819855467,0.9998527312180143,453817.8,90.76356000000001,SH516150;SH516780;SH562800
2021-12-03,796.9656094713719,338976.9269648275,339773.8925742989,-0.006182315771984581,0.002345576357951334,0.9976544236420487,678862.811191261,135.77256223825222,SH511880
2021-12-06,75.96230047973222,335646.4,335722.3623004798,-0.011924195361576073,0.0002262652388098714,0.99977373476119,678598.9164743032,135.71978329486066,SH512100;SH516520;SH562800
2021-12-07,25.680420479737222,335800.0,335825.68042047974,0.00030774869833516405,7.646949586339958e-05,0.9999235305041366,673409.4,134.68188000000004,SZ159985
2021-12-08,25.680420479737222,335512.5,335538.18042047974,-0.0008560989131028984,7.653501740861739e-05,0.9999234649825914,0.0,0.0,SZ159985
2021-12-09,24.92238047978026,342186.1,342211.0223804797,0.019886982612941084,7.28275211780609e-05,0.999927172478822,677790.2,135.55804,SH512690;SH515210;SH516860
2021-12-10,24.92238047978026,339655.80000000005,339680.7223804798,-0.007393975747475134,7.337001730661786e-05,0.9999266299826934,0.0,0.0,SH512690;SH515210;SH516860
2021-12-13,96.48700047977036,340732.0,340828.48700047977,0.0033789513044968356,0.0002830954693045788,0.9997169045306954,226676.9,45.33538,SH512690;SH515210;SH516970
2021-12-14,125.49704047976411,334600.10000000003,334725.59704047977,-0.017906044220979078,0.00037492513745397015,0.9996250748625461,449949.8,89.98996,SH512690;SH516150;SH516780
2021-12-15,4.265660479737562,329042.5,329046.7656604797,-0.016965632237899264,1.2963690651009157e-05,0.999987036309349,435656.9,87.13138000000001,SH512690;SH515170;SZ159843
2021-12-16,4.265660479737562,325613.80000000005,325618.06566047977,-0.010420099383495529,1.3100195995222647e-05,0.9999868998040048,0.0,0.0,SH512690;SH515170;SZ159843
