trade_date,symbol,shares,adjusted_close,market_value
2022-11-02,SH513030,321800,0.964,310215.2
2022-11-03,SH516510,369900,0.793,293330.7
2022-11-04,SH515400,399100,0.747,298127.7
2022-11-07,SH512720,276200,1.072,296086.4
2022-11-08,SH512290,228000,1.275,290700.0
2022-11-09,SH588100,289300,1.001,289589.3
2022-11-10,SZ159892,474300,0.606,287425.8
2022-11-11,SZ159892,474300,0.631,299283.3
2022-11-14,SZ159892,474300,0.664,314935.2
2022-11-15,SH517380,460400,0.699,321819.6
2022-11-16,SH517380,460400,0.699,321819.6
2022-11-17,SH515400,411400,0.793,326240.2
2022-11-18,SZ159636,380100,0.85,323085.0
2022-11-21,SH513980,673500,0.475,319912.5
2022-11-22,SH513030,302200,1.053,318216.6
2022-11-23,SH513030,302200,1.068,322749.60000000003
2022-11-24,SH513030,302200,1.077,325469.39999999997
2022-11-25,SH513030,302200,1.086,328189.2
2022-11-28,SH513030,302200,1.079,326073.8
2022-11-29,SH513030,302200,1.069,323051.8
2022-11-30,SH513030,302200,1.063,321238.6
2022-12-01,SH513090,299400,1.082,323950.80000000005
2022-12-02,SH513090,299400,1.065,318861.0
2022-12-05,SH513090,299400,1.111,332633.4
2022-12-06,SH513090,299400,1.107,331435.8
2022-12-07,SH513090,299400,1.092,326944.80000000005
2022-12-08,SH513180,598000,0.562,336076.00000000006
2022-12-09,SZ159916,70500,4.786,337413.0
2022-12-12,SZ159916,70500,4.663,328741.5
2022-12-13,SH517280,403500,0.832,335712.0
2022-12-14,SZ159985,175200,1.895,332004.0
2022-12-15,SZ159985,175200,1.901,333055.2
2022-12-16,SZ159985,175200,1.916,335683.2
2022-12-19,SZ159985,175200,1.89,331128.0
2022-12-20,SZ159985,175200,1.901,333055.2
2022-12-21,SZ159985,175200,1.917,335858.4
2022-12-22,SZ159985,175200,1.929,337960.8
2022-12-23,SZ159985,175200,1.933,338661.60000000003
2022-12-26,SZ159985,175200,1.977,346370.4
2022-12-27,SZ159985,175200,1.985,347772.0
2022-12-28,SZ159766,303000,1.13,342389.99999999994
2022-12-29,SZ159985,171800,1.986,341194.8
2022-12-30,SZ159985,171800,2.01,345317.99999999994
2023-01-03,SH512690,148400,2.2838756476683937,338927.14611398964
2023-01-04,SZ159981,223800,1.5,335700.0
2023-01-05,SZ159985,170300,1.954,332766.2
2023-01-06,SH513120,313400,1.033,323742.19999999995
2023-01-09,SH513360,589600,0.572,337251.19999999995
2023-01-10,SH513360,589600,0.578,340788.8
2023-01-11,SH513360,589600,0.577,340199.19999999995
2023-01-12,SH513120,317000,1.054,334118.0
2023-01-13,SH513120,317000,1.1,348700.0
2023-01-16,SH513120,317000,1.112,352504.00000000006
2023-01-17,SH513120,317000,1.083,343311.0
2023-01-18,SH517120,484800,0.698,338390.39999999997
2023-01-19,SZ159859,516600,0.666,344055.60000000003
2023-01-20,SZ159859,516600,0.661,341472.60000000003
2023-01-30,SH516820,570500,0.59,336595.0
2023-01-31,SH512010,159600,2.052,327499.2
2023-02-01,SZ159851,298500,1.136,339095.99999999994
2023-02-02,SH515400,396000,0.859,340164.0
2023-02-03,SH515400,396000,0.873,345708.0
2023-02-06,SH515400,396000,0.882,349272.0
2023-02-07,SH513310,331700,1.055,349943.5
2023-02-08,SH513310,331700,1.061,351933.69999999995
2023-02-09,SH513310,331700,1.079,357904.3
2023-02-10,SH513310,331700,1.071,355250.7
2023-02-13,SH513310,331700,1.065,353260.5
2023-02-14,SH515980,395600,0.9,356040.0
2023-02-15,SH515980,395600,0.923,365138.8
2023-02-16,SZ159869,386200,0.941,363414.19999999995
2023-02-17,SH513100,83600,4.325,361570.0
2023-02-20,SH513100,83600,4.34,362824.0
2023-02-21,SH513100,83600,4.33,361988.0
2023-02-22,SH512980,516800,0.686,354524.80000000005
2023-02-23,SH513100,82900,4.285,355226.5
2023-02-24,SH513100,82900,4.3,356470.0
2023-02-27,SH513100,82900,4.26,353154.0
2023-02-28,SH513030,315600,1.125,355050.0
2023-03-01,SH513030,315600,1.126,355365.6
2023-03-02,SH516950,330300,1.09,360027.0
2023-03-03,SZ159613,391100,0.909,355509.9
2023-03-06,SH516950,316500,1.101,348466.5
2023-03-07,SH516950,316500,1.098,347517.0
2023-03-08,SH511880,2500,133.2477265366601,333119.31634165026
2023-03-09,SH511880,2500,133.26763188466035,333169.07971165085
2023-03-10,SH511880,2500,133.28355616306052,333208.8904076513
2023-03-13,SH511880,2500,133.26763188466035,333169.07971165085
2023-03-14,SH518880,83500,4.142,345857.0
2023-03-15,SH518880,83500,4.139,345606.5
2023-03-16,SH518880,83500,4.174,348529.00000000006
2023-03-17,SH518880,83500,4.198,350533.00000000006
2023-03-20,SH518880,83500,4.327,361304.5
2023-03-21,SH518880,83500,4.286,357880.99999999994
