split,train_blocks,test_blocks,selected_trial,is_sharpe,oos_sharpe,oos_percentile,logit,below_oos_median
16,0;2;3;4,1;5;6;7,grid_021,1.3885066509246826,0.7022621035575867,0.10416666666666667,-2.151762203259462,True
17,0;2;3;5,1;4;6;7,grid_021,1.5746568441390991,0.5260455012321472,0.17824074074074073,-1.528312367621732,True
18,0;2;3;6,1;4;5;7,grid_127,1.468248724937439,0.43361857533454895,0.22916666666666666,-1.2130226398458541,True
19,0;2;3;7,1;4;5;6,grid_194,1.2513463497161865,0.9350728988647461,0.8032407407407407,1.4066735234565424,False
20,0;2;4;5,1;3;6;7,grid_021,1.0485467910766602,0.9763474464416504,0.5208333333333334,0.08338160893905121,False
21,0;2;4;6,1;3;5;7,grid_078,1.0839340686798096,0.8527672290802002,0.5671296296296297,0.27014959369014047,False
22,0;2;4;7,1;3;5;6,grid_203,0.9867666959762573,1.2447201013565063,0.7708333333333334,1.2130226398458541,False
23,0;2;5;6,1;3;4;7,grid_180,1.4299403429031372,0.6596527695655823,0.6134259259259259,0.4617360135694671,False
24,0;2;5;7,1;3;4;6,grid_205,1.2920171022415161,0.7424022555351257,0.2986111111111111,-0.853920401147697,True
25,0;2;6;7,1;3;4;5,grid_203,1.4493645429611206,0.6669180989265442,0.6180555555555556,0.481303184499669,False
26,0;3;4;5,1;2;6;7,grid_021,1.7246555089950562,0.3504549562931061,0.04861111111111111,-2.9740707767728116,True
27,0;3;4;6,1;2;5;7,grid_021,1.5299164056777954,0.4384442865848541,0.24768518518518517,-1.1109963478678313,True
28,0;3;4;7,1;2;5;6,grid_020,1.2131626605987549,0.761751115322113,0.22916666666666666,-1.2130226398458541,True
29,0;3;5;6,1;2;4;7,grid_021,1.6927001476287842,0.23084887862205505,0.2569444444444444,-1.0619109218176819,True
30,0;3;5;7,1;2;4;6,grid_212,1.4626338481903076,0.52694171667099,0.33101851851851855,-0.7035820578525247,True
31,0;3;6;7,1;2;4;5,grid_203,1.5677554607391357,0.46353045105934143,0.7291666666666666,0.9903987040278767,False
32,0;4;5;6,1;2;3;7,grid_078,1.3767949342727661,0.5353474617004395,0.3958333333333333,-0.42285685082003377,True
33,0;4;5;7,1;2;3;6,grid_203,1.1348313093185425,1.0751324892044067,0.7939814814814815,1.3490940774338003,False
34,0;4;6;7,1;2;3;5,grid_203,1.325544834136963,0.8169023990631104,0.7662037037037037,1.1869978585358034,False
35,0;5;6;7,1;2;3;4,grid_180,1.5927536487579346,0.2621181905269623,0.2199074074074074,-1.2662060387518208,True
36,1;2;3;4,0;5;6;7,grid_021,1.1554906368255615,0.9021556377410889,0.2662037037037037,-1.0139696455140306,True
37,1;2;3;5,0;4;6;7,grid_021,1.3558123111724854,0.7345559597015381,0.2986111111111111,-0.853920401147697,True
38,1;2;3;6,0;4;5;7,grid_118,1.3197715282440186,0.6597685217857361,0.41435185185185186,-0.3460036828867652,True
39,1;2;3;7,0;4;5;6,grid_194,1.100667119026184,1.1052747964859009,0.8032407407407407,1.4066735234565424,False
40,1;2;4;5,0;3;6;7,grid_078,0.805151641368866,1.0874860286712646,0.5393518518518519,0.15773362884120823,False
41,1;2;4;6,0;3;5;7,grid_078,0.9436017274856567,0.9766553044319153,0.5856481481481481,0.34600368288676514,False
42,1;2;4;7,0;3;5;6,grid_116,0.7153492569923401,1.1565279960632324,0.4837962962962963,-0.06483751949530783,True
43,1;2;5;6,0;3;4;7,grid_180,1.3782780170440674,0.7858940362930298,0.6412037037037037,0.580592389268092,False
44,1;2;5;7,0;3;4;6,grid_205,1.0300852060317993,1.043952226638794,0.6828703703703703,0.7669944305116948,False
45,1;2;6;7,0;3;4;5,grid_180,1.2578386068344116,0.7941566705703735,0.5671296296296297,0.27014959369014047,False
46,1;3;4;5,0;2;6;7,grid_021,1.5186035633087158,0.5701267123222351,0.1412037037037037,-1.805328198434124,True
47,1;3;4;6,0;2;5;7,grid_021,1.3296078443527222,0.6708070635795593,0.4050925925925926,-0.38429011097170573,True
48,1;3;4;7,0;2;5;6,grid_020,0.9811867475509644,1.023160457611084,0.5023148148148148,0.009259325412796506,False
49,1;3;5;6,0;2;4;7,grid_109,1.5114057064056396,0.4457686245441437,0.3912037037037037,-0.44225531725469097,True
50,1;3;5;7,0;2;4;6,grid_194,1.2554106712341309,0.9449154734611511,0.8541666666666666,1.767661917648994,False
51,1;3;6;7,0;2;4;5,grid_194,1.4370142221450806,0.7197030186653137,0.7754629629629629,1.2394195533216832,False
52,1;4;5;6,0;2;3;7,grid_078,1.2548013925552368,0.6757599711418152,0.36342592592592593,-0.5605252923182632,True
53,1;4;5;7,0;2;3;6,grid_178,0.8795588612556458,1.1581511497497559,0.7152777777777778,0.921156921525328,False
54,1;4;6;7,0;2;3;5,grid_175,1.1726232767105103,0.7837876677513123,0.4097222222222222,-0.365113812584597,True
55,1;5;6;7,0;2;3;4,grid_180,1.536871314048767,0.45038074254989624,0.2986111111111111,-0.853920401147697,True
