date,equity,cash,market_value,positions,gross_traded,benchmark_value,candidate_count,selected_count,target_exposure,daily_return,drawdown
2024-10-10,1107829.3567331,983469.8956996411,124359.46103345894,3,0.0,1.3278826475143433,3,3,1.0,0.00015360196054481356,-0.120489666836476
2024-10-11,1106493.0611562443,983469.8956996411,123023.16545660318,3,0.0,1.2911397218704224,3,3,1.0,-0.0012062287108877134,-0.12155055745186027
2024-10-14,1109456.476735326,983469.8956996411,125986.58103568485,3,0.0,1.3157755136489868,3,3,1.0,0.002678205298445313,-0.11919788950041144
2024-10-15,1105733.2162611743,983469.8956996411,122263.32056153326,3,0.0,1.2807831764221191,3,3,1.0,-0.0033559319831163448,-0.12215380147383337
2024-10-16,1103163.9336887533,983469.8956996411,119694.03798911223,3,0.0,1.2726786136627197,3,3,1.0,-0.0023236007878180143,-0.12419356559231187
2024-10-17,1103659.6843242329,983469.8956996411,120189.7886245918,3,0.0,1.2582731246948242,3,3,1.0,0.0004493898144601882,-0.12379998710125029
2024-10-18,1112791.5166766378,983469.8956996411,129321.62097699681,3,0.0,1.303781509399414,3,3,1.0,0.008274137836244533,-0.11655018742240675
2024-10-21,1110274.9223202006,983469.8956996411,126805.02662055951,3,0.0,1.3070931434631348,3,3,1.0,-0.0022615146851164836,-0.1185481221471143
2024-10-22,1111767.686787286,983469.8956996411,128297.79108764499,3,0.0,1.3145931959152222,3,3,1.0,0.001344499850510772,-0.11736301022910856
2024-10-23,1108112.412101912,983469.8956996411,124642.51640227102,3,0.0,1.3197182416915894,3,3,1.0,-0.003287804393682925,-0.12026494800210441
2024-10-24,1107856.4358380232,983469.8956996411,124386.5401383822,3,0.0,1.304977297782898,3,3,1.0,-0.0002310020726176143,-0.12046816862247034
2024-10-25,1107707.0982144962,983469.8956996411,124237.2025148551,3,0.0,1.3141415119171143,3,3,1.0,-0.0001347987146133045,-0.12058672838280149
2024-10-28,1105290.420544443,983469.8956996411,121820.52484480178,3,0.0,1.3167122602462769,3,3,1.0,-0.0021816937653903468,-0.12250533883469028
2024-10-29,1102943.7454631578,983469.8956996411,119473.8497635167,3,0.0,1.3035888671875,3,3,1.0,-0.002123129846840821,-0.1243683739402539
2024-10-30,1100834.6002741617,983469.8956996411,117364.7045745205,3,0.0,1.2918970584869385,3,3,1.0,-0.001912287183885697,-0.12604283307657294
2024-10-31,1100040.2726783182,983469.8956996411,116570.37697867706,3,0.0,1.2924251556396484,3,3,1.0,-0.0007215685223244117,-0.12667345305808475
2024-11-01,1096729.8125556798,990434.8106217119,106295.00193396801,2,223395.73621508788,1.2920863628387451,2,2,1.0,-0.00300939902370867,-0.12930164111583065
2024-11-04,1099620.6074363382,990434.8106217119,109185.79681462632,2,0.0,1.310268521308899,2,2,1.0,0.0026358314031074137,-0.12700662703884968
2024-11-05,1101546.0847954315,990434.8106217119,111111.27417371958,2,0.0,1.3434208631515503,2,2,1.0,0.001751037899864638,-0.12547798255646392
2024-11-06,1100902.8215812556,990434.8106217119,110468.01095954384,2,0.0,1.3366814851760864,2,2,1.0,-0.0005839639603415492,-0.1259886718971761
2024-11-07,1100740.487490708,990434.8106217119,110305.67686899618,2,0.0,1.3770116567611694,2,2,1.0,-0.00014745542237282194,-0.12611754960672017
2024-11-08,1101070.784330302,990434.8106217119,110635.97370859006,2,0.0,1.3631774187088013,2,2,1.0,0.00030006785736280683,-0.12585532557224355
2024-11-11,1106502.2483671186,990434.8106217119,116067.43774540669,2,0.0,1.3721719980239868,2,2,1.0,0.00493289270237085,-0.12154326368694257
2024-11-12,1102645.2230393074,990434.8106217119,112210.41241759548,2,0.0,1.357095718383789,2,2,1.0,-0.0034857817356477305,-0.1246053721339393
2024-11-13,1102554.2314819745,990434.8106217119,112119.4208602627,2,0.0,1.36544930934906,2,2,1.0,-8.252115497509038e-05,-0.12467761070968975
2024-11-14,1100559.1527778492,990434.8106217119,110124.3421561374,2,0.0,1.3417766094207764,2,2,1.0,-0.0018095061876852725,-0.1262615119893301
2024-11-15,1096484.9349402557,990434.8106217119,106050.12431854388,2,0.0,1.3182634115219116,2,2,1.0,-0.0037019526186393703,-0.12949605047302715
2024-11-18,1094727.918920586,990434.8106217119,104293.10829887408,2,0.0,1.3121352195739746,2,2,1.0,-0.0016024078066932956,-0.1308909527975065
2024-11-19,1096422.8940955044,990434.8106217119,105988.08347379247,2,0.0,1.320940613746643,2,2,1.0,0.001548307251165948,-0.12954530495766903
2024-11-20,1096261.4939025803,990434.8106217119,105826.68328086854,2,0.0,1.323890209197998,2,2,1.0,-0.0001472061499201427,-0.12967344124200608
2024-11-21,1096891.5400370194,990434.8106217119,106456.72941530755,2,0.0,1.3250627517700195,2,2,1.0,0.0005747224890624292,-0.12917324499585947
2024-11-22,1094056.97989956,990434.8106217119,103622.1692778482,2,0.0,1.2840083837509155,2,2,1.0,-0.0025841754029424235,-0.13142361407636538
2024-11-25,1093125.1398837208,990434.8106217119,102690.32926200877,2,0.0,1.2781591415405273,2,2,1.0,-0.0008517289619822677,-0.13216340573995045
2024-11-26,1092340.9725561482,990434.8106217119,101906.16193443633,2,0.0,1.2755317687988281,2,2,1.0,-0.0007173628150716205,-0.13278595944223104
2024-11-27,1094462.6714346986,990434.8106217119,104027.8608129868,2,0.0,1.2977396249771118,2,2,1.0,0.001942341202843867,-0.1311015338795709
2024-11-28,1092907.6382324742,990434.8106217119,102472.82761076227,2,0.0,1.2862836122512817,2,2,1.0,-0.0014208188573356928,-0.1323360812053448
2024-11-29,1094951.6359694053,990434.8106217119,104516.82534769336,2,0.0,1.3009084463119507,2,2,1.0,0.0018702383123945232,-0.13071334290213266
2024-12-02,1095814.8767327548,1040486.8571949853,55328.01953776956,1,50117.19893188476,1.3112218379974365,1,1,1.0,0.0007883825504175768,-0.13002801247036588
2024-12-03,1095724.009602789,1040486.8571949853,55237.15240780379,1,0.0,1.3126367330551147,1,1,1.0,-8.292197148906943e-05,-0.130100152262712
2024-12-04,1094988.7657106994,1040486.8571949853,54501.90851571414,1,0.0,1.3055518865585327,1,1,1.0,-0.0006710119388150249,-0.1306838654461171
2024-12-05,1092608.903663194,1040486.8571949853,52122.04646820869,1,0.0,1.30257248878479,1,1,1.0,-0.0021734122961167834,-0.13257324782216917
2024-12-06,1093407.028150469,1040486.8571949853,52920.170955483685,1,0.0,1.319694995880127,1,1,1.0,0.0007304759137503058,-0.13193961347276062
2024-12-09,1093757.028150469,1040486.8571949853,53270.170955483685,1,0.0,1.3175128698349,1,1,1.0,0.0003201003752391074,-0.13166174701730315
2024-12-10,1093385.9524416118,1040486.8571949853,52899.095246626624,1,0.0,1.3271684646606445,1,1,1.0,-0.00033926703948572445,-0.1319563455656647
2024-12-11,1091586.8901979744,1040486.8571949853,51100.03300298913,1,0.0,1.324906587600708,1,1,1.0,-0.0016454045706549847,-0.13338462856219901
2024-12-12,1092007.028150469,1040486.8571949853,51520.170955483685,1,0.0,1.338083028793335,1,1,1.0,0.0003848873197977998,-0.1330510792945908
2024-12-13,1091236.8901979744,1040486.8571949853,50750.03300298913,1,0.0,1.3064221143722534,1,1,1.0,-0.0007052499962376668,-0.1336624950176566
2024-12-16,1090844.7354799614,1040486.8571949853,50357.8782849761,1,0.0,1.299333930015564,1,1,1.0,-0.0003593671745663052,-0.13397382827904292
