trade_date,symbol,shares,average_cost,close,market_value
2025-08-28,SZ003010,6000,26.763900893696448,42.504981994628906,255029.89196777344
2025-08-28,SZ300100,4900,51.733149612883786,46.84368133544922,229534.03854370117
2025-08-28,SZ300432,17400,13.88448341372986,15.324262619018555,266642.16957092285
2025-08-28,SZ300611,9000,26.736588883228812,25.8017520904541,232215.7688140869
2025-08-28,SZ300703,10000,15.449491234919519,31.014734268188477,310147.34268188477
2025-08-28,SZ300972,1500,160.10780898243885,175.69485473632812,263542.2821044922
2025-08-28,SZ301165,4700,37.07869221623844,66.57804107666016,312916.79306030273
2025-08-28,SZ002891,3800,61.275583661651964,57.77198791503906,219533.55407714844
2025-08-28,SZ301498,2400,103.14235178607177,93.71179962158203,224908.31909179688
2025-08-28,SH603040,6600,27.87691478074188,43.764163970947266,288843.48220825195
2025-08-28,SH603109,6200,27.68368976595573,32.722652435302734,202880.44509887695
2025-08-28,SH603766,19000,12.001899045770756,11.977301597595215,227568.73035430908
2025-08-28,SH688379,5700,34.36387351789665,58.93581771850586,335934.1609954834
2025-08-28,SZ301061,3000,59.49366387518387,76.01521301269531,228045.63903808594
2025-08-28,SH603063,5700,37.858787571982575,37.702369689941406,214903.50723266602
2025-08-28,SH603173,4900,44.39196798474425,50.17268371582031,245846.15020751953
2025-08-28,SH688093,6900,31.49644134164543,40.11967086791992,276825.72898864746
2025-08-28,SH688386,3700,58.711906030258554,65.83077239990234,243573.85787963867
2025-08-28,SZ300033,1000,199.4539747563522,285.95928955078125,285959.28955078125
2025-08-28,SZ300502,1600,132.2429908024078,253.20628356933594,405130.0537109375
2025-08-28,SZ300515,9000,24.138417347172542,21.19205093383789,190728.45840454102
2025-08-28,SZ300866,1700,121.75318759394074,136.82366943359375,232600.23803710938
2025-08-28,SZ301345,1400,154.80259091171874,183.01394653320312,256219.52514648438
2025-08-29,SZ300570,1900,72.29202619888426,139.0322265625,264161.23046875
2025-08-29,SZ300870,2300,83.33208934177216,190.22647094726562,437520.88317871094
2025-08-29,SZ300476,1100,80.63044872629136,265.57379150390625,292131.1706542969
2025-08-29,SH600550,25000,7.680779317807422,8.720475196838379,218011.87992095947
2025-08-29,SH603893,1300,167.57108421454095,245.89315795898438,319661.1053466797
2025-08-29,SZ002170,22700,9.021043503369444,10.359333038330078,235156.85997009277
2025-08-29,SZ002881,4800,48.312545210653155,56.558128356933594,271479.01611328125
2025-08-29,SZ003010,6000,26.763900893696448,46.56658935546875,279399.5361328125
2025-08-29,SZ300100,4900,51.733149612883786,47.03385925292969,230465.91033935547
2025-08-29,SZ300432,17400,13.88448341372986,15.225260734558105,264919.53678131104
2025-08-29,SZ300611,9000,26.736588883228812,25.441617965698242,228974.56169128418
2025-08-29,SZ300703,10000,15.449491234919519,32.597198486328125,325971.98486328125
2025-08-29,SZ300972,1500,160.10780898243885,210.83578491210938,316253.67736816406
2025-08-29,SZ301165,4700,37.07869221623844,63.44874572753906,298209.1049194336
2025-08-29,SZ002891,3800,61.275583661651964,59.127044677734375,224682.76977539062
2025-08-29,SZ301498,2400,103.14235178607177,96.8070297241211,232336.87133789062
2025-08-29,SH603040,6600,27.87691478074188,44.904930114746094,296372.5387573242
2025-08-29,SH603109,6200,27.68368976595573,32.52293014526367,201642.16690063477
2025-08-29,SH603766,19000,12.001899045770756,12.032150268554688,228610.85510253906
2025-08-29,SH688379,5700,34.36387351789665,62.602596282958984,356834.7988128662
2025-08-29,SZ301061,3000,59.49366387518387,79.7752914428711,239325.87432861328
2025-08-29,SH603063,5700,37.858787571982575,37.0390739440918,211122.72148132324
2025-08-29,SH603173,4900,44.39196798474425,52.24944305419922,256022.27096557617
2025-08-29,SH688093,6900,31.49644134164543,40.4241943359375,278926.94091796875
2025-08-29,SH688386,3700,58.711906030258554,69.78929138183594,258220.37811279297
2025-08-29,SZ300033,1000,199.4539747563522,290.13055419921875,290130.55419921875
2025-08-29,SZ300502,1600,132.2429908024078,254.0985565185547,406557.6904296875
2025-08-29,SZ300515,9000,24.138417347172542,21.08648681640625,189778.38134765625
2025-08-29,SZ300866,1700,121.75318759394074,137.59628295898438,233913.68103027344
2025-08-29,SZ301345,1400,154.80259091171874,178.71908569335938,250206.71997070312
2025-09-01,SZ300570,1900,72.29202619888426,141.48101806640625,268813.9343261719
2025-09-01,SZ300870,1300,83.33208934177216,182.0315399169922,236641.00189208984
2025-09-01,SZ300476,1000,80.63044872629136,268.63262939453125,268632.62939453125
2025-09-01,SH603893,1000,167.57108421454095,233.60867309570312,233608.67309570312
2025-09-01,SZ002170,26200,9.197723971208998,10.678929328918457,279787.9484176636
2025-09-01,SZ003010,5900,26.763900893696448,45.07020950317383,265914.2360687256
2025-09-01,SZ301165,4000,37.07869221623844,73.61653137207031,294466.12548828125
2025-09-01,SZ002891,4600,60.836988681578354,59.194610595703125,272295.2087402344
2025-09-01,SH688379,4400,34.36387351789665,55.96611022949219,246250.88500976562
2025-09-01,SZ301061,3400,61.77944219979737,77.80413818359375,264534.06982421875
2025-09-01,SH603173,5100,44.71569730498721,50.90898895263672,259635.84365844727
2025-09-01,SH688093,6700,31.49644134164543,39.6855583190918,265893.24073791504
2025-09-01,SZ300033,900,199.4539747563522,279.084228515625,251175.8056640625
2025-09-01,SZ300502,1000,132.2429908024078,277.1397705078125,277139.7705078125
2025-09-01,SZ300515,12800,23.24910063227986,21.359193801879883,273397.6806640625
2025-09-01,SZ300866,1900,123.59522909127011,142.3294677734375,270425.98876953125
2025-09-01,SZ301345,1500,156.28881965138092,180.99391174316406,271490.8676147461
2025-09-01,SH601336,4000,66.617531404924,65.095458984375,260381.8359375
2025-09-01,SH603259,2600,102.36915143273542,109.47711944580078,284640.51055908203
2025-09-01,SH603268,5000,53.6015556817005,53.00192642211914,265009.6321105957
2025-09-01,SH688002,3500,76.78817167062911,76.53886413574219,267886.02447509766
2025-09-01,SH688018,1700,156.92137021474,155.3787384033203,264143.85528564453
2025-09-01,SH688578,2400,112.49703445220106,115.79570770263672,277909.6984863281
2025-09-01,SH688665,4500,59.89388377010307,61.97047805786133,278867.151260376
2025-09-01,SH688800,4900,54.8310652396801,54.26041793823242,265876.04789733887
2025-09-01,SZ002837,4300,62.74950174565583,61.547027587890625,264652.2186279297
2025-09-01,SZ300010,32600,8.327473125357342,8.356642723083496,272426.552772522
2025-09-01,SZ300308,700,372.409090770758,405.2016906738281,283641.1834716797
2025-09-01,SZ300652,4500,59.33188992038841,59.863346099853516,269385.0574493408
2025-09-01,SZ300857,3700,72.47083569769742,75.06658935546875,277746.3806152344
2025-09-02,SZ300570,1900,72.29202619888426,126.3023910522461,239974.54299926758
2025-09-02,SZ300870,1300,83.33208934177216,161.75509643554688,210281.62536621094
2025-09-02,SZ300476,1000,80.63044872629136,268.7615051269531,268761.5051269531
2025-09-02,SH603893,1000,167.57108421454095,212.6436767578125,212643.6767578125
2025-09-02,SZ002170,26200,9.197723971208998,10.217166900634766,267689.77279663086
