trade_date,observation_date,zscore,target_position,signal_transition
2016-08-18,2016-08-17,-0.5728299905034379,0,0
2016-08-19,2016-08-18,-0.9135117460452465,0,0
2016-08-22,2016-08-19,-0.6245144311117321,0,0
2016-08-23,2016-08-22,-1.478150467302841,0,0
2016-08-24,2016-08-23,-1.2691389437762532,0,0
2016-08-25,2016-08-24,-1.1939653723231993,0,0
2016-08-26,2016-08-25,-1.010973266581786,0,0
2016-08-29,2016-08-26,-1.0214235319073095,0,0
2016-08-30,2016-08-29,-1.2659932376352567,0,0
2016-08-31,2016-08-30,-1.2216478414671437,0,0
2016-09-01,2016-08-31,-1.394624650998075,0,0
2016-09-02,2016-09-01,-2.1756979348716055,1,1
2016-09-05,2016-09-02,-1.9925717747993794,1,0
2016-09-06,2016-09-05,-1.5683787236898938,1,0
2016-09-07,2016-09-06,-1.1652044173577687,1,0
2016-09-08,2016-09-07,-0.5262260760241194,1,0
2016-09-09,2016-09-08,-0.34859458016938394,1,0
2016-09-12,2016-09-09,-0.09738597432630663,1,0
2016-09-13,2016-09-12,-0.235155298722349,1,0
2016-09-14,2016-09-13,-0.11762112518050728,1,0
2016-09-19,2016-09-14,0.1449505604786298,1,0
2016-09-20,2016-09-19,0.06781543865009775,1,0
2016-09-21,2016-09-20,-0.13226033496568607,1,0
2016-09-22,2016-09-21,-0.4267006731443435,1,0
2016-09-23,2016-09-22,-0.5097050136504826,1,0
2016-09-26,2016-09-23,-0.6979798058892389,1,0
2016-09-27,2016-09-26,-0.8430244770221298,1,0
2016-09-28,2016-09-27,-0.7059103092778762,1,0
2016-09-29,2016-09-28,-0.6741553277027884,1,0
2016-09-30,2016-09-29,-0.6601622968211329,1,0
2016-10-10,2016-09-30,-0.39431878982815627,1,0
2016-10-11,2016-10-10,-0.19647317967278835,1,0
2016-10-12,2016-10-11,-0.374782319132832,1,0
2016-10-13,2016-10-12,-0.5132931756909737,1,0
2016-10-14,2016-10-13,-0.6234258515375611,1,0
2016-10-17,2016-10-14,-0.4869666430473892,1,0
2016-10-18,2016-10-17,-0.10069136046462623,1,0
2016-10-19,2016-10-18,,1,0
2016-10-20,2016-10-19,,1,0
2016-10-21,2016-10-20,,1,0
2016-10-24,2016-10-21,,1,0
2016-10-25,2016-10-24,,1,0
2016-10-26,2016-10-25,,1,0
2016-10-27,2016-10-26,,1,0
2016-10-28,2016-10-27,,1,0
2016-10-31,2016-10-28,,1,0
2016-11-01,2016-10-31,,1,0
2016-11-02,2016-11-01,,1,0
2016-11-03,2016-11-02,,1,0
2016-11-04,2016-11-03,,1,0
2016-11-07,2016-11-04,,1,0
2016-11-08,2016-11-07,,1,0
2016-11-09,2016-11-08,,1,0
2016-11-10,2016-11-09,,1,0
2016-11-11,2016-11-10,,1,0
2016-11-14,2016-11-11,,1,0
2016-11-15,2016-11-14,,1,0
2016-11-16,2016-11-15,,1,0
2016-11-17,2016-11-16,,1,0
2016-11-18,2016-11-17,,1,0
2016-11-21,2016-11-18,,1,0
2016-11-22,2016-11-21,,1,0
2016-11-23,2016-11-22,,1,0
2016-11-24,2016-11-23,,1,0
2016-11-25,2016-11-24,,1,0
2016-11-28,2016-11-25,,1,0
2016-11-29,2016-11-28,,1,0
2016-11-30,2016-11-29,,1,0
2016-12-01,2016-11-30,,1,0
2016-12-02,2016-12-01,,1,0
2016-12-05,2016-12-02,,1,0
2016-12-06,2016-12-05,,1,0
2016-12-07,2016-12-06,,1,0
2016-12-08,2016-12-07,,1,0
2016-12-09,2016-12-08,,1,0
2016-12-12,2016-12-09,,1,0
2016-12-13,2016-12-12,,1,0
2016-12-14,2016-12-13,,1,0
2016-12-15,2016-12-14,,1,0
2016-12-16,2016-12-15,,1,0
2016-12-19,2016-12-16,,1,0
2016-12-20,2016-12-19,,1,0
2016-12-21,2016-12-20,,1,0
2016-12-22,2016-12-21,,1,0
2016-12-23,2016-12-22,,1,0
2016-12-26,2016-12-23,,1,0
2016-12-27,2016-12-26,,1,0
2016-12-28,2016-12-27,,1,0
2016-12-29,2016-12-28,,1,0
2016-12-30,2016-12-29,,1,0
2017-01-03,2016-12-30,,1,0
2017-01-04,2017-01-03,,1,0
2017-01-05,2017-01-04,,1,0
2017-01-06,2017-01-05,,1,0
2017-01-09,2017-01-06,,1,0
2017-01-10,2017-01-09,,1,0
2017-01-11,2017-01-10,,1,0
2017-01-12,2017-01-11,,1,0
2017-01-13,2017-01-12,,1,0
2017-01-16,2017-01-13,,1,0
2017-01-17,2017-01-16,,1,0
2017-01-18,2017-01-17,,1,0
2017-01-19,2017-01-18,,1,0
2017-01-20,2017-01-19,,1,0
2017-01-23,2017-01-20,,1,0
2017-01-24,2017-01-23,,1,0
2017-01-25,2017-01-24,,1,0
2017-01-26,2017-01-25,,1,0
2017-02-03,2017-01-26,,1,0
2017-02-06,2017-02-03,,1,0
2017-02-07,2017-02-06,,1,0
2017-02-08,2017-02-07,,1,0
2017-02-09,2017-02-08,,1,0
2017-02-10,2017-02-09,,1,0
2017-02-13,2017-02-10,,1,0
2017-02-14,2017-02-13,,1,0
2017-02-15,2017-02-14,,1,0
2017-02-16,2017-02-15,,1,0
2017-02-17,2017-02-16,,1,0
2017-02-20,2017-02-17,,1,0
2017-02-21,2017-02-20,,1,0
2017-02-22,2017-02-21,,1,0
2017-02-23,2017-02-22,,1,0
2017-02-24,2017-02-23,,1,0
2017-02-27,2017-02-24,,1,0
2017-02-28,2017-02-27,0.9535465671341468,1,0
2017-03-01,2017-02-28,1.3079827944664897,0,-1
2017-03-02,2017-03-01,0.9535083658185952,0,0
2017-03-03,2017-03-02,0.6501698051859296,0,0
2017-03-06,2017-03-03,0.6627179741955944,0,0
2017-03-07,2017-03-06,0.5220378231868431,0,0
2017-03-08,2017-03-07,1.2397472293923544,0,0
2017-03-09,2017-03-08,1.0122479123385082,0,0
2017-03-10,2017-03-09,0.5682631285135116,0,0
2017-03-13,2017-03-10,0.7955402506496805,0,0
2017-03-14,2017-03-13,0.4712382932336205,0,0
2017-03-15,2017-03-14,0.41102580429431174,0,0
2017-03-16,2017-03-15,0.04562989834929002,0,0
2017-03-17,2017-03-16,-0.09252202283038001,0,0
2017-03-20,2017-03-17,-0.19703084120979591,0,0
2017-03-21,2017-03-20,-0.268536301251269,0,0
2017-03-22,2017-03-21,-0.251530281999642,0,0
2017-03-23,2017-03-22,-0.6076202280900553,0,0
2017-03-24,2017-03-23,-0.509799548445531,0,0
2017-03-27,2017-03-24,0.03718052924796707,0,0
2017-03-28,2017-03-27,0.456422637119738,0,0
2017-03-29,2017-03-28,0.5344133276278813,0,0
2017-03-30,2017-03-29,0.2411856505455173,0,0
2017-03-31,2017-03-30,-0.8741215730065065,0,0
2017-04-05,2017-03-31,-0.4585596564471275,0,0
2017-04-06,2017-04-05,-0.6636982451007044,0,0
2017-04-07,2017-04-06,-1.1471823026130625,0,0
2017-04-10,2017-04-07,-1.7802377246933234,0,0
2017-04-11,2017-04-10,-2.143015335374732,1,1
2017-04-12,2017-04-11,-1.9975126005982868,1,0
2017-04-13,2017-04-12,-1.8882535850178044,1,0
2017-04-14,2017-04-13,-1.7730502941842146,1,0
2017-04-17,2017-04-14,-1.5752785471612156,1,0
2017-04-18,2017-04-17,-1.582164352532351,1,0
2017-04-19,2017-04-18,-1.8602833358233655,1,0
2017-04-20,2017-04-19,-1.758446559387152,1,0
2017-04-21,2017-04-20,-1.0737123973159608,1,0
2017-04-24,2017-04-21,-1.2453808881420447,1,0
2017-04-25,2017-04-24,-1.772139008909184,1,0
2017-04-26,2017-04-25,-1.3563360049866624,1,0
