family,split,train_blocks,test_blocks,selected_trial,is_sharpe,oos_sharpe,oos_percentile,logit,below_oos_median
sma-price,70,4;5;6;7,0;1;2;3,sma-price__period-50,1.0609079237221384,-0.900175964502847,0.7,0.8472978603872034,False
ema-price,1,0;1;2;3,4;5;6;7,ema-price__period-250,-0.5767043987392856,0.9333905993895071,0.9,2.1972245773362196,False
ema-price,2,0;1;2;4,3;5;6;7,ema-price__period-150,0.19027588148103605,0.5912568230561245,0.5,0.0,True
ema-price,3,0;1;2;5,3;4;6;7,ema-price__period-250,-0.06663373080807909,0.8405203973216887,0.5,0.0,True
ema-price,4,0;1;2;6,3;4;5;7,ema-price__period-250,0.9893897808713992,0.2628872696192219,0.7,0.8472978603872034,False
ema-price,5,0;1;2;7,3;4;5;6,ema-price__period-250,-0.019094295305977175,1.4202820441077935,0.9,2.1972245773362196,False
ema-price,6,0;1;3;4,2;5;6;7,ema-price__period-150,0.33635414360288746,0.4879833203948239,0.5,0.0,True
ema-price,7,0;1;3;5,2;4;6;7,ema-price__period-250,0.1429926401996481,0.7722380828001171,0.3,-0.8472978603872036,True
ema-price,8,0;1;3;6,2;4;5;7,ema-price__period-250,1.142865999649493,0.19642483649303616,0.7,0.8472978603872034,False
ema-price,9,0;1;3;7,2;4;5;6,ema-price__period-250,0.042389724577264865,1.259232278248505,0.9,2.1972245773362196,False
ema-price,10,0;1;4;5,2;3;6;7,ema-price__period-50,0.2030441910852704,0.4130348646124705,0.1,-2.197224577336219,True
ema-price,11,0;1;4;6,2;3;5;7,ema-price__period-250,1.142865999649493,0.19642483649303616,0.9,2.1972245773362196,False
ema-price,12,0;1;4;7,2;3;5;6,ema-price__period-150,0.2886462128679359,0.6187238218755011,0.5,0.0,True
ema-price,13,0;1;5;6,2;3;4;7,ema-price__period-250,1.264141651933485,0.07245641014981449,0.3,-0.8472978603872036,True
ema-price,14,0;1;5;7,2;3;4;6,ema-price__period-250,0.16943080260597282,1.1398043408716216,0.9,2.1972245773362196,False
ema-price,15,0;1;6;7,2;3;4;5,ema-price__period-250,0.7563464383502735,0.20750875855743192,0.9,2.1972245773362196,False
ema-price,16,0;2;3;4,1;5;6;7,ema-price__period-150,0.3482540033198166,0.47932800576031637,0.3,-0.8472978603872036,True
ema-price,17,0;2;3;5,1;4;6;7,ema-price__period-250,-0.06669124873968589,0.8397909494840673,0.3,-0.8472978603872036,True
ema-price,18,0;2;3;6,1;4;5;7,ema-price__period-250,0.9902471357629958,0.2626596988819108,0.7,0.8472978603872034,False
ema-price,19,0;2;3;7,1;4;5;6,ema-price__period-250,-0.019110777146512655,1.4190430416275892,0.9,2.1972245773362196,False
ema-price,20,0;2;4;5,1;3;6;7,ema-price__period-150,0.1356670450683025,0.6708549284652333,0.5,0.0,True
ema-price,21,0;2;4;6,1;3;5;7,ema-price__period-150,1.0368839641949052,-0.2046183602241679,0.5,0.0,True
ema-price,22,0;2;4;7,1;3;5;6,ema-price__period-150,0.30178079169602345,0.6211823235275646,0.5,0.0,True
ema-price,23,0;2;5;6,1;3;4;7,ema-price__period-250,1.1159678023600248,0.13711740349347318,0.3,-0.8472978603872036,True
ema-price,24,0;2;5;7,1;3;4;6,ema-price__period-250,0.10620112534550738,1.3058936586463876,0.9,2.1972245773362196,False
ema-price,25,0;2;6;7,1;3;4;5,ema-price__period-250,0.6909309504867597,0.5591146760346113,0.9,2.1972245773362196,False
ema-price,26,0;3;4;5,1;2;6;7,ema-price__period-150,0.2567846542942556,0.5546094658518579,0.7,0.8472978603872034,False
ema-price,27,0;3;4;6,1;2;5;7,ema-price__period-150,1.187629700041188,-0.2955637981352691,0.5,0.0,True
ema-price,28,0;3;4;7,1;2;5;6,ema-price__period-150,0.3998103694225801,0.4590819634156042,0.5,0.0,True
ema-price,29,0;3;5;6,1;2;4;7,ema-price__period-250,1.265241685778038,0.07239381187650158,0.3,-0.8472978603872036,True
ema-price,30,0;3;5;7,1;2;4;6,ema-price__period-250,0.16957732159339062,1.1388145468898931,0.9,2.1972245773362196,False
ema-price,31,0;3;6;7,1;2;4;5,ema-price__period-250,0.7570019223084025,0.20732945567558936,0.9,2.1972245773362196,False
ema-price,32,0;4;5;6,1;2;3;7,ema-price__period-250,1.265241685778038,0.07239381187650158,0.9,2.1972245773362196,False
ema-price,33,0;4;5;7,1;2;3;6,ema-price__period-150,0.2456829065663322,0.7917296667448502,0.5,0.0,True
ema-price,34,0;4;6;7,1;2;3;5,ema-price__period-150,0.9418970519113855,-0.6783426839082531,0.7,0.8472978603872034,False
ema-price,35,0;5;6;7,1;2;3;4,ema-price__period-250,0.8508683454962012,-0.2594066166037033,0.3,-0.8472978603872036,True
ema-price,36,1;2;3;4,0;5;6;7,ema-price__period-150,0.25189548878485196,0.5465643715794916,0.5,0.0,True
ema-price,37,1;2;3;5,0;4;6;7,ema-price__period-250,0.20732945567558936,0.7570019223084025,0.3,-0.8472978603872036,True
ema-price,38,1;2;3;6,0;4;5;7,ema-price__period-250,1.1388145468898931,0.16957732159339062,0.5,0.0,True
ema-price,39,1;2;3;7,0;4;5;6,ema-price__period-250,0.07239381187650158,1.265241685778038,0.9,2.1972245773362196,False
ema-price,40,1;2;4;5,0;3;6;7,ema-price__period-250,0.20732945567558936,0.7570019223084025,0.9,2.1972245773362196,False
ema-price,41,1;2;4;6,0;3;5;7,ema-price__period-250,1.1388145468898931,0.16957732159339062,0.9,2.1972245773362196,False
ema-price,42,1;2;4;7,0;3;5;6,ema-price__period-150,0.23624576508936543,0.7230351197049736,0.5,0.0,True
ema-price,43,1;2;5;6,0;3;4;7,ema-price__period-250,1.2581375347710697,0.04242637808478058,0.3,-0.8472978603872036,True
ema-price,44,1;2;5;7,0;3;4;6,ema-price__period-250,0.19625511395934475,1.1438593513516295,0.5,0.0,True
ema-price,45,1;2;6;7,0;3;4;5,ema-price__period-250,0.7715693441126238,0.14311629213661953,0.7,0.8472978603872034,False
ema-price,46,1;3;4;5,0;2;6;7,ema-price__period-250,0.5591146760346113,0.6909309504867597,0.9,2.1972245773362196,False
ema-price,47,1;3;4;6,0;2;5;7,ema-price__period-250,1.3058936586463876,0.10620112534550738,0.9,2.1972245773362196,False
ema-price,48,1;3;4;7,0;2;5;6,ema-price__period-150,0.3321687673097968,0.5542224318868392,0.5,0.0,True
ema-price,49,1;3;5;6,0;2;4;7,ema-price__period-250,1.4190430416275892,-0.019110777146512655,0.3,-0.8472978603872036,True
ema-price,50,1;3;5;7,0;2;4;6,ema-price__period-250,0.2626596988819108,0.9902471357629958,0.7,0.8472978603872034,False
ema-price,51,1;3;6;7,0;2;4;5,ema-price__period-250,0.8397909494840673,-0.06669124873968589,0.5,0.0,True
ema-price,52,1;4;5;6,0;2;3;7,ema-price__period-250,1.4190430416275892,-0.019110777146512655,0.9,2.1972245773362196,False
ema-price,53,1;4;5;7,0;2;3;6,ema-price__period-50,0.29843038195899346,0.3460112046595106,0.1,-2.197224577336219,True
