model,dimension,regime,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,longest_underwater_trading_days
bollinger-breakout,trend_regime,transition,20,0.2965729973624116,25.377999500517575,0.18916796002851566,3.3400132387672357,11.060931967039531,134.15590830863763,1.162794023819576,18
bollinger-breakout,trend_regime,uptrend,446,0.41576900944668727,0.2170658942033159,0.13394105712856197,0.915154285950408,1.5062761955664254,1.6206075930471968,0.24803443408214046,201
bollinger-breakout,volatility_regime,high-vol,243,0.39850007855437775,0.4159809230904252,0.24693666617294374,0.9924741501785121,2.085420868209471,1.6845652350351656,0.444995637930881,150
bollinger-breakout,volatility_regime,normal-vol,408,0.24695969196479717,0.14604840818428677,0.14063200813219956,0.9516976132261565,1.7924257657675249,1.0385147031890178,0.155736715779216,179
keltner-breakout,trend_regime,downtrend,185,0.0,0.0,-0.0,,,,0.0,0
keltner-breakout,trend_regime,transition,20,0.20798624310030012,9.813867759008145,0.18899720232136252,2.7977705739066154,8.130355041083385,51.92599487436368,1.019373170290313,18
keltner-breakout,trend_regime,uptrend,446,0.8437284489131158,0.4129433117403516,0.12125054754365538,1.445791598999523,2.483068209698662,3.405702655418313,0.2629027444044594,185
keltner-breakout,volatility_regime,high-vol,243,0.5018967165341928,0.5246926003014194,0.18899720232136252,1.204292047178314,2.388242619521884,2.7761924190245693,0.42118031101557946,97
keltner-breakout,volatility_regime,normal-vol,408,0.4829239439574933,0.27553115693559294,0.06770252574695124,1.79255606134223,3.794915521001917,4.069732316419533,0.14125647237456135,72
rsi-reversion,trend_regime,downtrend,185,0.008055768230520233,0.010989242560743628,0.10722618555111141,0.14726001146305334,0.24004034237462146,0.10248655684487999,0.1362674667021522,129
rsi-reversion,trend_regime,transition,20,0.1314017547700237,3.737751574116782,0.004463836535264609,6.312571497441711,100.3191887663631,837.3406025485684,0.25180900474560136,1
rsi-reversion,trend_regime,uptrend,446,-0.11076109996000583,-0.0641757761253835,0.18562248874719967,-0.4869117682823067,-0.6233021221542303,-0.34573276416299353,0.1209325315736132,350
rsi-reversion,volatility_regime,high-vol,243,0.19645349015462776,0.20442802238604285,0.02251196139251832,2.2296578756043015,6.946911016249362,9.080862338986728,0.08504252664880593,98
rsi-reversion,volatility_regime,normal-vol,408,-0.15233541501020897,-0.09704150381765186,0.21842452859571337,-0.5897434582769896,-0.8142215973960595,-0.4442793327358763,0.15308691234256652,404
stochastic-reversion,trend_regime,downtrend,185,-0.11097923283973732,-0.14805858390238247,0.15758440917571304,-0.7136079431756255,-1.2208669933734273,-0.9395509662208469,0.1974915885238808,181
stochastic-reversion,trend_regime,transition,20,0.23103686326104111,12.721934158147016,0.04358063864869832,5.408958426084247,24.948872699654824,291.91711164900516,0.5081258535845856,3
stochastic-reversion,trend_regime,uptrend,446,-0.03072279763718222,-0.017476797573076075,0.22792764799700227,0.06148238671969358,0.09455808440923677,-0.0766769530886658,0.2597503351516572,159
stochastic-reversion,volatility_regime,high-vol,243,0.39213419409482175,0.4092973105951958,0.22792764799700183,1.1960273757055773,2.137544131807175,1.7957334890788665,0.3322084828524691,35
stochastic-reversion,volatility_regime,normal-vol,408,-0.23800896586244913,-0.15455243229236038,0.31106430604504187,-0.7523974388885755,-1.129761609831516,-0.49685042381552225,0.1971878189160946,404
cci-reversion,trend_regime,downtrend,185,0.054204959312545986,0.0745525086554395,0.17943697431969108,0.4484091246809548,0.8229212880264155,0.4154801926308353,0.2071265369430376,176
cci-reversion,trend_regime,transition,20,0.22007143462334966,11.258977993880404,0.004463185906726452,7.5622912758873975,162.32601959718934,2522.6325385442797,0.3400673898297458,1
cci-reversion,trend_regime,uptrend,446,0.09234671483640366,0.051173845339131496,0.16297369380851578,0.5295627707186238,0.8212582661892028,0.31400064724100607,0.1045282171708467,115
cci-reversion,volatility_regime,high-vol,243,0.28735442281060575,0.2994543374479981,0.017601591958789964,2.6360699733054718,14.616545943600325,17.012912135964793,0.10129907071763175,53
cci-reversion,volatility_regime,normal-vol,408,0.09137170893532565,0.055489023591838826,0.17943697431969108,0.3907438770260915,0.6836402981577094,0.3092396302502163,0.17823880486159,181
bollinger-reversion,trend_regime,downtrend,185,-0.034621593605923984,-0.04686235467589428,0.14577245822621976,-0.22417932696358578,-0.3480175116884173,-0.32147605416086245,0.1586176934276776,172
bollinger-reversion,trend_regime,transition,20,0.0,0.0,-0.0,,,,0.0,0
bollinger-reversion,trend_regime,uptrend,446,0.08683376518115371,0.04817301570962673,0.18683861009477132,0.4063761135400607,0.6538295931976481,0.2578322311710178,0.13922097165570363,298
bollinger-reversion,volatility_regime,high-vol,243,0.1161536485892809,0.12070559006494341,0.1868386100947712,0.6915711250160034,1.1304225529978587,0.646042003864818,0.1905807592883691,127
bollinger-reversion,volatility_regime,normal-vol,408,-0.05998081037323222,-0.037483964110854306,0.14577245822621976,-0.31335514337996956,-0.4620832527310083,-0.2571402346298099,0.1045991444165728,395
mfi-reversion,trend_regime,downtrend,185,0.026935833135679488,0.03686892172770251,0.11949344115618588,0.3239647556293087,0.5205894491492257,0.30854347628596934,0.14276595889957786,103
mfi-reversion,trend_regime,transition,20,0.13149451665683798,3.742648258220643,0.004466872236571717,6.312583188567178,100.31901904886762,837.8677651844125,0.25197935839757135,1
mfi-reversion,trend_regime,uptrend,446,0.1077809175571176,0.059540199723520315,0.11397607418753752,0.610920412352666,0.9600543108127562,0.522392091041425,0.10338320612685763,320
mfi-reversion,volatility_regime,high-vol,243,0.26315398547716784,0.27413057445149125,0.06126556708759656,1.897210469361566,3.4275133686371344,4.474464001280582,0.13232561559695918,70
mfi-reversion,volatility_regime,normal-vol,408,0.01904495869626821,0.011720605663888106,0.11949344115618588,0.1570745020731513,0.2566116660117837,0.09808576563268016,0.11754614973460803,379
obv-trend,trend_regime,downtrend,185,-0.13012373670308386,-0.17295094385905085,0.13012373670308386,-2.495673200106886,-2.853272407917971,-1.329126785328107,0.07492950884989881,145
obv-trend,trend_regime,transition,20,0.04019073602525758,0.6429470553490098,0.22214365212282938,0.9437860986878984,2.514827439817963,2.8942850682652255,0.9258348264874805,18
obv-trend,trend_regime,uptrend,446,0.31820354335103684,0.1689415298085526,0.1835670567058303,0.7102329280138171,1.186067084958858,0.9203259715564576,0.2711190707529713,190
obv-trend,volatility_regime,high-vol,243,-0.027071060092643262,-0.028059494213956704,0.3387020160400025,0.13045501657688408,0.24199303141788178,-0.08284419012918638,0.41338868675582285,221
obv-trend,volatility_regime,normal-vol,408,0.22594733753784801,0.13408173563969128,0.1273293934291705,0.9280967366138451,1.8048507271352838,1.0530305063793217,0.14698263570344042,272
vol-target-trend,trend_regime,downtrend,185,0.0,0.0,-0.0,,,,0.0,0
vol-target-trend,trend_regime,transition,20,0.1325431923929179,3.798330425988053,0.0436458493293439,4.704147122709929,20.817159676186655,87.0261544763746,0.3460989235948419,14
vol-target-trend,trend_regime,uptrend,446,0.4087549185202879,0.21365531943877691,0.13694226224220207,1.2304972977668822,2.337521385533129,1.5601854090952345,0.16886378360980353,113
vol-target-trend,volatility_regime,high-vol,243,0.3329498794134562,0.34721389601728214,0.0952971715010742,1.7533572744084327,3.6618300232915226,3.6434858511342942,0.17906696250375947,45
vol-target-trend,volatility_regime,normal-vol,408,0.19695107622670527,0.11743857250134271,0.13740250436518564,0.8911684334762214,1.65838715214033,0.8547047453314011,0.13460088616889454,88
indicator-vote,trend_regime,downtrend,185,0.0,0.0,-0.0,,,,0.0,0
indicator-vote,trend_regime,transition,20,0.0,0.0,-0.0,,,,0.0,0
indicator-vote,trend_regime,uptrend,446,0.8289519574435349,0.4065338133600569,0.30030519472025774,1.236651759488332,2.080697559288148,1.3537355347407625,0.3160817517700192,120
indicator-vote,volatility_regime,high-vol,243,0.1935542812092086,0.20140153192340482,0.30030519472025785,0.6777870375114261,1.09411074314625,0.6706561706700266,0.3723025200636994,45
indicator-vote,volatility_regime,normal-vol,408,0.532357586276337,0.30162875610371964,0.10907035714068947,1.6848853992556767,3.351486957075691,2.7654512556023794,0.16440109739054204,85
