family,config,canonical,params
mfi-reversion,mfi-reversion__entry-20-exit-60-period-21,False,"{""entry"": 20, ""exit"": 60, ""period"": 21}"
mfi-reversion,mfi-reversion__entry-30-exit-70-period-21,False,"{""entry"": 30, ""exit"": 70, ""period"": 21}"
obv-trend,obv-trend__obv_period-10-price_period-50,False,"{""obv_period"": 10, ""price_period"": 50}"
obv-trend,obv-trend__obv_period-10-price_period-100,False,"{""obv_period"": 10, ""price_period"": 100}"
obv-trend,obv-trend__obv_period-20-price_period-50,False,"{""obv_period"": 20, ""price_period"": 50}"
obv-trend,obv-trend__obv_period-20-price_period-100,True,"{""obv_period"": 20, ""price_period"": 100}"
obv-trend,obv-trend__obv_period-50-price_period-50,False,"{""obv_period"": 50, ""price_period"": 50}"
obv-trend,obv-trend__obv_period-50-price_period-100,False,"{""obv_period"": 50, ""price_period"": 100}"
vol-target-trend,vol-target-trend__target_vol-0p15-trend_period-100-vol_period-20,False,"{""target_vol"": 0.15, ""trend_period"": 100, ""vol_period"": 20}"
vol-target-trend,vol-target-trend__target_vol-0p2-trend_period-100-vol_period-20,False,"{""target_vol"": 0.2, ""trend_period"": 100, ""vol_period"": 20}"
vol-target-trend,vol-target-trend__target_vol-0p15-trend_period-100-vol_period-60,False,"{""target_vol"": 0.15, ""trend_period"": 100, ""vol_period"": 60}"
vol-target-trend,vol-target-trend__target_vol-0p2-trend_period-100-vol_period-60,False,"{""target_vol"": 0.2, ""trend_period"": 100, ""vol_period"": 60}"
vol-target-trend,vol-target-trend__target_vol-0p15-trend_period-200-vol_period-20,False,"{""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 20}"
vol-target-trend,vol-target-trend__target_vol-0p2-trend_period-200-vol_period-20,True,"{""target_vol"": 0.2, ""trend_period"": 200, ""vol_period"": 20}"
vol-target-trend,vol-target-trend__target_vol-0p15-trend_period-200-vol_period-60,False,"{""target_vol"": 0.15, ""trend_period"": 200, ""vol_period"": 60}"
vol-target-trend,vol-target-trend__target_vol-0p2-trend_period-200-vol_period-60,False,"{""target_vol"": 0.2, ""trend_period"": 200, ""vol_period"": 60}"
indicator-vote,indicator-vote__threshold-2,False,"{""threshold"": 2}"
indicator-vote,indicator-vote__threshold-3,True,"{""threshold"": 3}"
indicator-vote,indicator-vote__threshold-4,False,"{""threshold"": 4}"
