family,case,total_return,annualized_return,maximum_drawdown,sharpe,annualized_volatility,turnover,average_cash_ratio,maximum_cash_ratio,longest_underwater_trading_days,yearly_returns,calmar,average_exposure,invested_session_ratio,filled_trade_count,rejected_order_count,maximum_volume_participation
keltner-breakout,base,1.2271986022996968,0.3633782642715597,0.18899720232136263,1.2413801018475648,0.28035443253478687,13.381897294419733,0.7273310682942021,1.0,210,"{""2023"": 0.0, ""2024"": 0.20273060597935033, ""2025"": 0.39512068559670244, ""2026"": 0.3273296770454861}",1.92266477920497,0.27266893170579776,0.2749615975422427,12,0,0.00038349366381308235
keltner-breakout,slippage-10bp,1.2074045443211703,0.3586750073673117,0.18910923573333838,1.2290453875262821,0.28035393768558126,13.37512426471785,0.7271349749613581,1.0,211,"{""2023"": 0.0, ""2024"": 0.2009836048967506, ""2025"": 0.3910379015001595, ""2026"": 0.32131355471013134}",1.896655157937801,0.27286502503864196,0.2749615975422427,12,0,0.00038122252289787313
keltner-breakout,slippage-20bp,1.1827723872705187,0.3527859308060326,0.18924946441763157,1.2135256415586628,0.2803577273451107,13.365762063224237,0.726905686879068,1.0,211,"{""2023"": 0.0, ""2024"": 0.19879985354349983, ""2025"": 0.3858895731792078, ""2026"": 0.31381175301573894}",1.8641317262991683,0.27309431312093196,0.2749615975422427,12,0,0.00037839182552529347
keltner-breakout,next-close,1.0226481296866647,0.31347186866396637,0.1888392111799998,1.1398165664201914,0.27032229641488964,13.244740817561034,0.7273786313219707,1.0,135,"{""2023"": 0.0, ""2024"": 0.10525106427765207, ""2025"": 0.4127605711190738, ""2026"": 0.29536103699887883}",1.6599935294432462,0.27262136867802933,0.2749615975422427,12,0,0.0003526851435719833
keltner-breakout,second-next-open,0.806703116470147,0.25730328187558027,0.12125050027124062,1.2114157421613372,0.20651119416984498,11.376891097229407,0.7745815940767914,1.0,135,"{""2023"": 0.0, ""2024"": 0.0, ""2025"": 0.41862495215233153, ""2026"": 0.2735593813777384}",2.1220801670919784,0.22541840592320858,0.22734254992319508,10,1,0.00041980268217830244
rsi-reversion,base,0.014191251191508991,0.005469677793949579,0.15214028338277874,0.10749654409285855,0.13205963885907782,27.700443108480155,0.8281186825262185,1.0,356,"{""2023"": 0.004593779285189781, ""2024"": 0.003446158055840254, ""2025"": 0.04939999544302642, ""2026"": -0.04127457948932667}",0.03595154203957996,0.17188131747378144,0.17357910906298002,28,0,0.0006548716118680594
rsi-reversion,slippage-10bp,-0.008068189273559456,-0.003130925783204175,0.15224908075140697,0.04258340197797851,0.1322556737409022,27.798577380558037,0.8279784112612838,1.0,356,"{""2023"": 0.0030054269459498517, ""2024"": -0.004481281692638173, ""2025"": 0.039507586070941514, ""2026"": -0.0443443277580422}",-0.020564497123738732,0.17202158873871615,0.17357910906298002,28,0,0.0006496722342335622
rsi-reversion,slippage-20bp,-0.03527616270164069,-0.01380577433780572,0.15240525460629972,-0.03840194139085586,0.13257218694006562,27.922082003957335,0.8278040957504851,1.0,356,"{""2023"": 0.0010199865219002735, ""2024"": -0.014321675917393972, ""2025"": 0.027227728535505813, ""2026"": -0.04817234115362745}",-0.09058594714118902,0.1721959042495149,0.17357910906298002,28,0,0.0006432230062061572
rsi-reversion,next-close,0.03861269687763702,0.014773567001551191,0.16290289474864994,0.1776158927311828,0.13101634997255257,27.648296942332703,0.828121943000448,1.0,364,"{""2023"": 0.01469762194172386, ""2024"": 0.04117502746803381, ""2025"": 0.014068574441239434, ""2026"": -0.03054887810614637}",0.09068940748011863,0.17187805699955203,0.17357910906298002,28,0,0.0006871177520050849
rsi-reversion,second-next-open,0.10222206648145438,0.03839415000462254,0.16502924226357807,0.3519040349113894,0.1318072909389384,27.52277206797067,0.8281239735016961,1.0,364,"{""2023"": 0.01634096220259229, ""2024"": 0.07888261246672346, ""2025"": 0.040068797188907324, ""2026"": -0.03351880032117438}",0.23265058651424303,0.1718760264983039,0.17357910906298002,28,0,0.0007662427562070519
stochastic-reversion,base,0.06079377421655785,0.023108429282584275,0.22792764799700171,0.215837167328173,0.2563443533873755,83.28090821197682,0.48438584740018786,1.0,282,"{""2023"": 0.004593779285189781, ""2024"": 0.0004142326793861173, ""2025"": 0.07588743709928258, ""2026"": -0.018944042165149888}",0.10138493283135294,0.5156141525998121,0.5207373271889401,84,0,0.000719177724958291
stochastic-reversion,slippage-10bp,-0.007572894924525175,-0.0029382741087846664,0.22812677805349946,0.11545483210863401,0.25674313511511315,83.60791445188511,0.4839724054449942,1.0,428,"{""2023"": 0.0030054269459498517, ""2024"": -0.027752096554884975, ""2025"": 0.05231860400514865, ""2026"": -0.03290069625797176}",-0.012880005292914772,0.5160275945550058,0.5207373271889401,84,0,0.0007044241791942616
stochastic-reversion,slippage-20bp,-0.08699456744166001,-0.0346176246079154,0.22833948520581027,-0.009684924579610833,0.25733000674364515,84.02400357185869,0.48344112830844677,1.0,446,"{""2023"": 0.0010199865219002735, ""2024"": -0.061903140619324115, ""2025"": 0.02350680473149147, ""2026"": -0.050068702807732235}",-0.15160595013478873,0.5165588716915533,0.5207373271889401,84,0,0.0006863856642562101
stochastic-reversion,next-close,0.10622743987828431,0.0398532085857235,0.26775927676985156,0.2793762468390635,0.25507043368494464,82.81204939305262,0.48437284774665607,1.0,259,"{""2023"": 0.01469762194172386, ""2024"": -0.016012370841678725, ""2025"": 0.13618207952501327, ""2026"": -0.02485272646925163}",0.1488396931247268,0.5156271522533439,0.5207373271889401,84,0,0.0007044818102324023
stochastic-reversion,second-next-open,0.12361205745585724,0.046148752871867815,0.2864948027969132,0.3023826270732219,0.2586612425210082,82.49836257729814,0.48437133288922785,1.0,135,"{""2023"": 0.01634096220259229, ""2024"": 0.03617121415065516, ""2025"": 0.14432614947799394, ""2026"": -0.06761427428477695}",0.161080593509339,0.5156286671107722,0.5207373271889401,84,0,0.0007625656222793744
cci-reversion,base,0.40498219642825917,0.1406775612860307,0.17943697431969152,0.9300304490310792,0.15410706318344822,18.834880937740852,0.7368396832355556,1.0,176,"{""2023"": 0.011795276704331892, ""2024"": 0.11699422563345818, ""2025"": 0.24356589710784626, ""2026"": -0.00032589706466035206}",0.7839942788791923,0.2631603167644444,0.26574500768049153,20,0,0.0008994778082643993
cci-reversion,slippage-10bp,0.38322086535993205,0.13380575574256182,0.18038508371184203,0.8906865963851375,0.1541327732121313,18.890933627640706,0.7366240395232856,1.0,179,"{""2023"": 0.011003096881659902, ""2024"": 0.10912850669719032, ""2025"": 0.2359122922008361, ""2026"": -0.0019104093035203773}",0.7417783831633837,0.26337596047671435,0.26574500768049153,20,0,0.0008897269883476289
cci-reversion,slippage-20bp,0.3564471303017198,0.12525959364615002,0.18218628690714023,0.8412714786993737,0.15420321846988017,18.96103661278101,0.736362212836911,1.0,179,"{""2023"": 0.010012872103319914, ""2024"": 0.09936589272057716, ""2025"": 0.2263847035786939, ""2026"": -0.0038907378438305384}",0.6875357952159947,0.263637787163089,0.26574500768049153,20,0,0.0008777151087400131
