model,execution_date,target_weight,execution,delay,family
walk-forward__bollinger-breakout,2024-07-22,0.99,open,1,bollinger-breakout
walk-forward__bollinger-breakout,2024-07-25,0.0,open,1,bollinger-breakout
walk-forward__bollinger-breakout,2024-09-27,0.99,open,1,bollinger-breakout
walk-forward__bollinger-breakout,2024-11-04,0.0,open,1,bollinger-breakout
walk-forward__bollinger-breakout,2024-11-12,0.99,open,1,bollinger-breakout
walk-forward__bollinger-breakout,2024-11-18,0.0,open,1,bollinger-breakout
walk-forward__bollinger-breakout,2025-02-07,0.99,open,1,bollinger-breakout
walk-forward__bollinger-breakout,2025-03-14,0.0,open,1,bollinger-breakout
walk-forward__bollinger-breakout,2025-05-07,0.99,open,1,bollinger-breakout
walk-forward__bollinger-breakout,2025-05-12,0.0,open,1,bollinger-breakout
walk-forward__bollinger-breakout,2025-06-26,0.99,open,1,bollinger-breakout
walk-forward__bollinger-breakout,2025-07-08,0.0,open,1,bollinger-breakout
walk-forward__bollinger-breakout,2025-07-14,0.99,open,1,bollinger-breakout
walk-forward__bollinger-breakout,2025-07-21,0.0,open,1,bollinger-breakout
walk-forward__bollinger-breakout,2025-07-23,0.99,open,1,bollinger-breakout
walk-forward__bollinger-breakout,2025-10-17,0.0,open,1,bollinger-breakout
walk-forward__bollinger-breakout,2026-01-06,0.99,open,1,bollinger-breakout
walk-forward__bollinger-breakout,2026-02-03,0.0,open,1,bollinger-breakout
walk-forward__bollinger-breakout,2026-05-06,0.99,open,1,bollinger-breakout
walk-forward__bollinger-breakout,2026-06-02,0.0,open,1,bollinger-breakout
walk-forward__bollinger-breakout,2026-06-18,0.99,open,1,bollinger-breakout
walk-forward__bollinger-breakout,2026-07-14,0.0,open,1,bollinger-breakout
walk-forward__keltner-breakout,2023-12-25,0.0,open,1,keltner-breakout
walk-forward__keltner-breakout,2024-09-30,0.99,open,1,keltner-breakout
walk-forward__keltner-breakout,2024-11-19,0.0,open,1,keltner-breakout
walk-forward__keltner-breakout,2025-02-11,0.99,open,1,keltner-breakout
