period,module,pair_count,mean_delta_annualized_return,median_delta_annualized_return,mean_delta_maximum_drawdown,median_delta_maximum_drawdown,mean_delta_sharpe,median_delta_sharpe,mean_delta_annualized_turnover,median_delta_annualized_turnover,mean_delta_average_risk_weight,median_delta_average_risk_weight,positive_sharpe_pair_ratio
era_2014_2017,use_correlation_guard,32,0.011597586111915501,0.007973696043002465,-0.014747126414478014,-0.010912480500894606,0.0525113958768053,0.02840132689454196,0.38890479889654583,0.5233801110306944,0.00904874592670531,0.003947992778063403,0.84375
era_2014_2017,use_capacity,32,-0.02602185679950159,-0.023239136708877395,-0.022082959983367977,-0.023138434348793313,-0.11215872124712065,-0.10768042327731933,-0.6065118021296644,-0.44489729440278314,-0.09802564336609168,-0.09956466614638498,0.0
era_2018_2021,use_absolute_momentum,32,0.012287449674534226,0.013087320903914179,-0.01939731170828118,-0.006646560200537055,0.06665022455082825,0.066407850065411,1.3464017904119827,1.0368313175365493,-0.13864209027128566,-0.13970209616463247,1.0
era_2018_2021,use_inverse_vol,32,0.0018460076481460197,0.0030322069516720562,-0.006437554814252424,-0.005528040687179714,0.0098865651169545,0.01681337583785955,0.8537212594798733,0.8728221190080738,0.0016343782884281899,0.0013057608127111098,0.625
era_2018_2021,use_vol_target,32,0.01244282014808075,0.012403233606018915,-0.04224016969341465,-0.04290720101092932,0.1976666698008127,0.19656776220549127,-0.6309643107367007,-0.6429998188845936,-0.20953137016465206,-0.21773349228028877,1.0
era_2018_2021,use_rank_buffer,32,0.0014368093546728161,-0.0016249059762052376,-0.013948612937809555,-0.009634630669673683,0.0029926120536785065,-0.005727697385367769,-8.616744162955396,-8.232141213128786,0.008043549664636662,3.720253919126115e-05,0.5
era_2018_2021,use_correlation_guard,32,-0.004120888528810082,0.0006198159567437633,0.0022154331615992957,2.2289568080147149e-07,-0.013890773020537673,-0.0012616373946480741,2.475660207760506,2.144380659063245,-0.00239379890542845,-0.0015001575354894325,0.5
era_2018_2021,use_capacity,32,-0.0036410924913868187,-0.0036773975506977363,-0.0365446042988196,-0.03686094854114469,0.016857587293771764,0.01626168241499898,0.02533510443946957,0.022024182017821303,-0.09358504818036742,-0.08339860032777868,0.78125
era_2022_2026,use_absolute_momentum,32,9.470598703478425e-05,-0.0016289243380117058,0.004370032889090183,0.008760624260131245,0.0008397390012256558,-0.00448363803531775,-0.013458039626127571,0.0012502986586007125,0.0013296301432877307,0.0007919638714882771,0.5
era_2022_2026,use_inverse_vol,32,-0.001249748668497596,-0.00043568035055630006,-0.005374569998236992,-0.006314022705931288,-0.007684720302390886,-0.006260821229258168,0.9947771665918187,1.0368045963149317,0.0030868553349737114,0.0025627296516252396,0.28125
era_2022_2026,use_vol_target,32,0.0462039477757958,0.04100339785479418,-0.13085945779359937,-0.12640222352601588,0.03533836811275821,0.022003225285580817,-3.467373233937848,-3.5073778308760684,-0.2787587901583788,-0.2767117088601675,0.75
era_2022_2026,use_rank_buffer,32,-0.023210038765996,-0.017347426932315113,0.06857757726587958,0.06339737353334912,-0.090059201103738,-0.08671778941772637,-8.339674311761357,-7.850024081457985,0.008946809495560749,0.007016386845518696,0.03125
era_2022_2026,use_correlation_guard,32,0.03256222264543042,0.022308113116186135,-0.09224487737924528,-0.08027230283038833,0.11041142150771882,0.09868784864518859,2.7178887033830383,2.721042289778028,0.016968987062175516,0.015935870321853007,1.0
era_2022_2026,use_capacity,32,0.006732985045979734,0.0033080192798319308,-0.03991082093575417,-0.03161068464058847,0.012533673853116612,0.01198267275922187,0.03399235228206965,0.06619758447658874,-0.04886950131162311,-0.045456184645985054,0.65625
