period,trial,use_absolute_momentum,use_inverse_vol,use_vol_target,use_rank_buffer,use_correlation_guard,use_capacity,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_risk_weight,longest_underwater_trading_days,worst_rolling_three_year_return,positive_day_ratio
era_2014_2017,factorial_111010,True,True,True,False,True,False,977,0.4512702316072801,0.10082968279947835,0.2954184762165908,0.7042326959531469,1.0959474832453635,0.34131136309007787,0.15310349670054876,75.77369112717513,19.544493514890615,126260.02725731069,0.008781052317368152,0.682876287138876,631,0.21778811086154604,0.5291709314227226
era_2014_2017,factorial_111011,True,True,True,False,True,True,977,0.3494603699519643,0.08037001480280637,0.27405039882636395,0.6338101372324674,0.9824694442522238,0.2932672791099572,0.1367583197285573,72.07553353391097,18.590618680189934,113749.08236086492,0.010538031970004932,0.6028122328181411,631,0.15296943712275457,0.526100307062436
era_2014_2017,factorial_111100,True,True,True,True,False,False,977,0.45397423899732225,0.10135835403811977,0.2986505782878415,0.7152182471289807,1.1350897018700339,0.33938777088330263,0.15095015724259822,45.969247467244124,11.85696045214485,73934.43156485379,0.008164876058559697,0.6813903760024879,631,0.20976503554403325,0.5353121801432958
era_2014_2017,factorial_111101,True,True,True,True,False,True,977,0.357282008001637,0.08198171491399298,0.2920652836934209,0.6320562099850103,0.9924645935089638,0.2806965411200623,0.14025275894498557,46.134718109217864,11.899640699614025,72342.02941250805,0.010120599293058878,0.5937505691217858,631,0.17975041120065316,0.5312180143295804
era_2014_2017,factorial_111110,True,True,True,True,True,False,977,0.5769835872818836,0.12467242404561718,0.2910755133333929,0.8460673706260048,1.331289141319917,0.42831642764405103,0.1526973796927051,50.421244333482285,13.005274894613649,87689.20152105155,0.009181470687984443,0.6849343632115651,631,0.31082578166251507,0.5373592630501536
era_2014_2017,factorial_111111,True,True,True,True,True,True,977,0.4147951579141871,0.09362583165725757,0.27427070409459653,0.7135358494322174,1.1200874131390963,0.3413628588818069,0.13900404801395044,48.89439008208093,12.611449642460999,78938.02672493867,0.011385683220420535,0.6270994547565907,631,0.20101429034584117,0.5281473899692938
era_2018_2021,factorial_000000,False,False,False,False,False,False,973,0.4007976730987928,0.0912146264506648,0.3095930851340354,0.44582737934806077,0.6998324245567455,0.2946274669254137,0.29159213089018604,100.4671759214648,26.020275778221098,144448.05627961602,0.002308611186635646,0.9976913888133643,494,0.16517483763142815,0.5087358684480987
era_2018_2021,factorial_000001,False,False,False,False,False,True,973,0.3628636436823096,0.0834832603884954,0.3006695223110918,0.43927664511292275,0.6857835968190625,0.27765787415632476,0.25952754636041486,101.7893965732467,26.362721414653823,146216.5016816409,0.004223583124579834,0.8675114890686318,494,0.10239174636508297,0.5159301130524152
era_2018_2021,factorial_000010,False,False,False,False,True,False,973,0.42488539519349056,0.09604376748996413,0.3117398983041362,0.46742721447833174,0.7344288028849959,0.30808942972151415,0.28117928451010415,102.33168533794075,26.503170303351563,152144.96458254062,0.003529636262942095,0.996470363737058,491,0.2828968969999488,0.5282631038026722
era_2018_2021,factorial_000011,False,False,False,False,True,True,973,0.4223027284563676,0.09552889949916388,0.2871507092681498,0.49122567692712016,0.7707833417994687,0.33267861236573226,0.2492688831445379,105.1541236377473,27.234161517689948,159328.03652816435,0.006208560309266332,0.86364629650995,478,0.2674335767249125,0.527235354573484
era_2018_2021,factorial_000100,False,False,False,True,False,False,973,0.4996465534292669,0.11065675557838106,0.30131861638274715,0.5129315364210077,0.8163965070949113,0.3672416822657262,0.28291960783039244,49.749273317825185,12.884703880875588,74839.34721376398,0.0022869502550106006,0.9977130497449893,494,0.23118741322571523,0.5220966084275437
era_2018_2021,factorial_000101,False,False,False,True,False,True,973,0.46120991851080095,0.10321302685354139,0.2752555976250777,0.5042596302027733,0.7976354181313144,0.37497158184636303,0.26431791776212793,54.3710019584749,14.081698348957527,79894.47264343812,0.005878806357324568,0.9123389953083589,494,0.16341947419665304,0.5200411099691675
era_2018_2021,factorial_000110,False,False,False,True,True,False,973,0.3782980498773514,0.0866479655096295,0.3028004090185019,0.4359496725653197,0.6884782581995154,0.2861553780276931,0.2825906407278278,70.6145347921933,18.28865649294215,105188.93245435596,0.004066240249683235,0.9959337597503167,488,0.23796395990365027,0.5323741007194245
era_2018_2021,factorial_000111,False,False,False,True,True,True,973,0.3594627614535031,0.08278236852649812,0.27426562178884395,0.44057259444403957,0.6906360243775966,0.30183282901650704,0.2541275222804544,75.79986950890277,19.631620880003595,112762.98415348589,0.0070122138479444115,0.8740564570453315,478,0.19756389364209692,0.527235354573484
era_2018_2021,factorial_001000,False,False,True,False,False,False,973,0.5007901649756668,0.11087605349795893,0.30253870301527375,0.6461196579107846,1.0549209579963392,0.3664855186886992,0.19105166628565082,97.36296845641378,25.21630837720069,142769.28751752654,0.008530313242864162,0.7501361210960602,485,0.2549271160859461,0.512846865364851
era_2018_2021,factorial_001001,False,False,True,False,False,True,973,0.4718441808517777,0.10528686163470868,0.2562996490014068,0.6585769577079422,1.071497232434188,0.41079596497664644,0.17542219141886767,95.25854089169903,24.671276777706222,140611.5485264634,0.009485392071406806,0.6722303874674221,483,0.22443036658102522,0.5149023638232272
era_2018_2021,factorial_001010,False,False,True,False,True,False,973,0.51504830696648,0.11359984136805634,0.3129259029967425,0.6620929388979766,1.086248972359972,0.3630247297528415,0.18977381427039322,100.24848737951447,25.963637019154827,148787.46141456946,0.008988402850147284,0.7629209859422875,488,0.3122935289779798,0.5313463514902363
era_2018_2021,factorial_001011,False,False,True,False,True,True,973,0.4879247277907197,0.10840181280134664,0.2563410496769605,0.6762626475964811,1.1043372348236566,0.4228812082105226,0.17485212331358027,98.93149978166741,25.62254670604336,148357.41464531998,0.011953253370883868,0.6833292835375603,476,0.292120480621213,0.527235354573484
era_2018_2021,factorial_001100,False,False,True,True,False,False,973,0.5479805579523991,0.1198191749258255,0.2544859901612999,0.699267526489624,1.1422954527404032,0.47082817741707883,0.18688485457827392,56.883837235313266,14.732504607707032,86357.18899574422,0.013000837728978675,0.7467458064691087,478,0.30451491728083435,0.5220966084275437
era_2018_2021,factorial_001101,False,False,True,True,False,True,973,0.5215160706241331,0.11482914385632426,0.24189079478500453,0.6996193015864568,1.1348364654366405,0.47471481483363515,0.17812086776889577,57.522060087001826,14.897799734763062,86154.82387391146,0.01155420001536614,0.6986496259884432,483,0.2742945203824856,0.5179856115107914
era_2018_2021,factorial_001110,False,False,True,True,True,False,973,0.4365504182714379,0.09836067241202806,0.300398368518357,0.5865002736197029,0.9497525214279628,0.3274341099026886,0.1912460721834319,75.49784736460926,19.553399317452758,111319.03352877943,0.010175619066865264,0.7604723413112795,475,0.26690257187775734,0.5313463514902363
