model,horizon_sessions,start_date,observation_date,end_date,is_monthly_start,trend_regime,volatility_regime,initial_target_weight,total_return,annualized_return,maximum_drawdown,sharpe,longest_underwater_trading_days,average_exposure,invested_session_ratio,filled_trade_count,rejected_order_count,total_commission,first_trade_date,first_trade_price,first_trade_shares,benchmark_total_return,benchmark_annualized_return,benchmark_maximum_drawdown,benchmark_sharpe,positive_return,severe_start,total_return_difference,annualized_return_difference,drawdown_difference,sharpe_difference,outperform_benchmark,drawdown_improved,sharpe_improved
risk-friction__threshold-0p05,252,2023-04-07,2023-04-06,2024-04-22,False,transition,normal-vol,0.7848882868595891,-0.11000783917278956,-0.11000783917278956,0.11728790159065283,-1.6371709175545197,242,0.10067550210875094,0.15476190476190477,13,0,1776.8060727899997,2023-04-07,1.1942388,657300,-0.3553498320967241,-0.3553498320967241,0.412259803581423,-1.7900024670632184,False,False,0.24534199292393455,0.24534199292393455,-0.29497190199077017,0.1528315495086987,True,True,True
risk-friction__threshold-0p05,252,2023-04-18,2023-04-17,2024-05-06,False,uptrend,normal-vol,0.7306069195092785,-0.0995544467469417,-0.0995544467469417,0.11729787031443739,-1.8492913022873827,249,0.079270128832074,0.12698412698412698,12,0,1763.2503669419998,2023-04-18,1.1782355999999998,620200,-0.30724105499947185,-0.30724105499947185,0.4123304825287444,-1.4888521096130394,False,False,0.20768660825253016,0.20768660825253016,-0.295032612214307,-0.3604391926743433,True,True,False
risk-friction__threshold-0p05,252,2023-04-20,2023-04-19,2024-05-08,False,uptrend,normal-vol,0.7306069195092785,-0.09898300051256192,-0.09898300051256192,0.11728907820454515,-1.8439523276808711,251,0.07346985339045088,0.11904761904761904,12,0,1764.1826125619996,2023-04-20,1.1772354,620700,-0.32011304674848207,-0.32011304674848207,0.4123270398704092,-1.5688868012672164,False,False,0.22113004623592014,0.22113004623592014,-0.29503796166586405,-0.2750655264136548,True,True,False
risk-friction__threshold-0p05,252,2023-04-17,2023-04-14,2024-04-30,False,uptrend,normal-vol,0.7306069195092785,-0.0984276626291356,-0.0984276626291356,0.11729693295685462,-1.7991587585949944,248,0.08218009478027345,0.13095238095238096,12,0,1765.2398691359995,2023-04-17,1.1762351999999998,621200,-0.3136446377974076,-0.3136446377974076,0.41232304171241685,-1.5290430591961885,False,False,0.21521697516827198,0.21521697516827198,-0.29502610875556223,-0.27011569939880586,True,True,False
risk-friction__threshold-0p05,252,2023-04-11,2023-04-10,2024-04-24,False,uptrend,normal-vol,0.7848882868595891,-0.09580070731778978,-0.09580070731778978,0.11728988352067993,-1.5069689887863782,244,0.09449369908415606,0.14682539682539683,13,0,1802.5266177899996,2023-04-11,1.170234,670800,-0.3363967278962199,-0.3363967278962199,0.4123345889983201,-1.6761089840355416,False,False,0.2405960205784301,0.2405960205784301,-0.29504470547764017,0.16913999524916346,True,True,True
risk-friction__threshold-0p05,252,2023-04-04,2023-04-03,2024-04-18,False,transition,normal-vol,0.7848882868595891,-0.09520276113179593,-0.09520276113179593,0.11737493783738029,-1.3647854359861464,249,0.10700097477605511,0.1626984126984127,13,0,1803.698891796,2023-04-04,1.1692338,671400,-0.329053413994552,-0.329053413994552,0.4123266623265379,-1.6152082660224751,False,False,0.23385065286275608,0.23385065286275608,-0.29495172448915763,0.2504228300363287,True,True,True
risk-friction__threshold-0p05,252,2023-04-19,2023-04-18,2024-05-07,False,uptrend,normal-vol,0.7306069195092785,-0.09501594202381569,-0.09501594202381569,0.11729117183227067,-1.7604786814926086,250,0.0763818344349796,0.12301587301587301,12,0,1771.407423816,2023-04-19,1.170234,624400,-0.30847542789621984,-0.30847542789621984,0.4123345889983201,-1.495777130720651,False,False,0.21345948587240415,0.21345948587240415,-0.2950434171660494,-0.26470155077195745,True,True,False
risk-friction__threshold-0p05,252,2023-04-13,2023-04-12,2024-04-26,False,uptrend,normal-vol,0.7848882868595891,-0.09459408594517782,-0.09459408594517782,0.11729264184630361,-1.514703865922247,246,0.08826348792466165,0.1388888888888889,13,0,1804.6737651780002,2023-04-13,1.1682336,671900,-0.32343065779980784,-0.32343065779980784,0.412365154280949,-1.583712099235115,False,False,0.22883657185463002,0.22883657185463002,-0.2950725124346454,0.0690082333128681,True,True,True
risk-friction__threshold-0p05,504,2021-11-30,2021-11-29,2023-12-25,False,uptrend,normal-vol,0.7444285463670051,-0.13938974631478962,-0.07230918206268189,0.13938974631478962,-1.1112940543869283,504,0.09457729322160127,0.13293650793650794,25,0,3985.9509747899997,2021-11-30,1.5313062,486200,-0.4194918316966759,-0.23808913362301753,0.420785031696676,-1.057346916465418,False,False,0.2801020853818863,0.16577995156033565,-0.2813952853818864,-0.0539471379215104,True,True,False
risk-friction__threshold-0p05,504,2021-12-01,2021-11-30,2023-12-26,True,uptrend,normal-vol,0.7444285463670051,-0.1381475491397055,-0.07163991314776219,0.1381475491397055,-1.10093823671917,504,0.09310548413592971,0.13095238095238096,25,0,3991.4726397059994,2021-12-01,1.5283056,487100,-0.42810905499947194,-0.24376528445162737,0.42810905499947194,-1.0880477733020673,False,False,0.28996150585976643,0.17212537130386518,-0.28996150585976643,-0.01289046341710276,True,True,False
risk-friction__threshold-0p05,504,2021-11-29,2021-11-26,2023-12-22,True,uptrend,normal-vol,0.7444285463670051,-0.12845840025404553,-0.06643607624011383,0.1392074345119757,-1.0046302912237717,503,0.09609950526082728,0.1349206349206349,25,0,4034.5830740459996,2021-11-29,1.5053009999999998,494600,-0.40635765389933987,-0.2295181078697176,0.4205850305980885,-1.0070961468882915,False,False,0.27789925364529433,0.16308203162960377,-0.2813775960861128,0.002465855664519845,True,True,True
risk-friction__threshold-0p05,504,2021-12-02,2021-12-01,2023-12-27,False,uptrend,normal-vol,0.7444285463670051,-0.12845840025404553,-0.06643607624011383,0.12845840025404553,-1.023871476692049,504,0.091652938710652,0.12896825396825398,25,0,4034.5830740459996,2021-12-02,1.5053009999999998,494600,-0.4162246538993398,-0.2359480736882733,0.4195136538993398,-1.04453488796627,False,False,0.2877662536452943,0.16951199744815948,-0.2910552536452943,0.020663411274221,True,True,True
risk-friction__threshold-0p05,504,2021-12-06,2021-12-03,2023-12-29,False,uptrend,normal-vol,0.7444285463670051,-0.12545380177242604,-0.06482825201593378,0.12545380177242604,-1.0097145505338503,504,0.08871128898946569,0.125,25,0,4048.0239124259997,2021-12-06,1.4982996,496900,-0.39763579859270404,-0.22387874567997046,0.4168956781098738,-0.9755255961811925,False,False,0.272181996820278,0.15905049366403667,-0.2914418763374478,-0.034188954352657785,True,True,False
risk-friction__threshold-0p05,504,2021-12-03,2021-12-02,2023-12-28,False,uptrend,normal-vol,0.7444285463670051,-0.11892576427784163,-0.06134445310211989,0.12562192339584477,-0.9477317656466149,503,0.09019711102896195,0.12698412698412698,25,0,4077.041257841999,2021-12-03,1.4832966,501900,-0.39365251064414997,-0.22131682350531678,0.41694591034120965,-0.9605170410495459,False,False,0.27472674636630834,0.1599723704031969,-0.2913239869453649,0.012785275402931062,True,True,True
risk-friction__threshold-0p05,504,2021-12-13,2021-12-10,2024-01-08,False,uptrend,normal-vol,0.7774120996668527,-0.11737702427802366,-0.06051983750481649,0.11737702427802366,-0.9717814259834717,504,0.08266323074171096,0.11706349206349206,23,0,3645.9772380239992,2021-12-13,1.4972994000000002,519300,-0.4455499424479662,-0.2553859673951653,0.4455499424479662,-1.151727039659721,False,False,0.32817291816994254,0.1948661298903488,-0.32817291816994254,0.17994561367624928,True,True,True
risk-friction__threshold-0p05,504,2021-12-15,2021-12-14,2024-01-10,False,uptrend,normal-vol,0.7774120996668527,-0.1136995104059817,-0.05856466520848158,0.11735725753100612,-0.9403210919262226,317,0.0795778284731394,0.1130952380952381,23,0,3659.8888259819996,2021-12-15,1.4892978000000001,522100,-0.4465758029932321,-0.25607514021457256,0.4465758029932321,-1.155789005959562,False,False,0.3328762925872504,0.19751047500609098,-0.32921854546222595,0.21546791403333931,True,True,True
risk-friction__threshold-0p05,504,2021-12-14,2021-12-13,2024-01-09,False,uptrend,normal-vol,0.7774120996668527,-0.11369951040598159,-0.05856466520848158,0.11735725753100612,-0.9382670871962946,317,0.0811218218836152,0.11507936507936507,23,0,3659.8888259819996,2021-12-14,1.4892978000000001,522100,-0.44258700299323206,-0.2533990376333768,0.4437907493885421,-1.1402617374085693,False,False,0.3288874925872505,0.1948343724248952,-0.326433491857536,0.2019946502122747,True,True,True
risk-friction__threshold-0p05,504,2021-12-07,2021-12-06,2024-01-02,False,uptrend,normal-vol,0.7444285463670051,-0.11226927357545746,-0.05780536701563488,0.11799852761347174,-0.9090241576863516,500,0.08725112810414118,0.12301587301587301,25,0,4106.986675458,2021-12-07,1.4682936,507100,-0.392937595592344,-0.22085790486737533,0.4169735763244222,-0.9602701681653408,False,False,0.2806683220168865,0.16305253785174045,-0.2989750487109505,0.051246010478989246,True,True,True
