trade_date,observation_date,temperature,market_height,recent_60d_gain,rank,buy_eligible,symbol,report_date,notice_date,quarter_operating_cash_flow,quarter_deducted_parent_net_profit,quarter_net_profit,quarter_roe,quarter_roa,previous_quarter_net_profit,net_profit_yoy,pb,paused,is_st,cash_profit_ratio,score
2019-01-31,2019-01-31,cold,0.19590037655196307,0.11122358559448631,6,False,SZ000959,2018-09-30,2018-10-18,3128142963.9699993,713095664.56,1045131342.0500002,1.9336360965487145,0.7627821782163245,1168589796.6299999,-10.564738365509552,0.79712744,False,False,4.386708711656733,0.956913712839097
2019-02-28,2019-02-28,warm,0.7103955227604961,0.2579026545560936,1,True,SZ000898,2018-09-30,2018-10-30,5329000000.0,2410000000.0,2418000000.0,4.669877933182443,2.6211240047479416,1974000000.0,22.49240121580547,0.78944922,False,False,2.211203319502075,3.3201932921637973
2019-02-28,2019-02-28,warm,0.7103955227604961,0.2579026545560936,2,True,SH600019,2018-09-30,2018-10-30,17282575696.72,5519000000.0,6280810648.18,3.191176624315359,1.7902456848386334,5780918786.68,8.647273555404666,0.94517194,False,False,3.1314686893857586,1.894095253016751
2019-02-28,2019-02-28,warm,0.7103955227604961,0.2579026545560936,3,True,SZ000709,2018-09-30,2018-10-26,2447470282.67,1543385326.26,1759023469.7200003,2.807430848974672,0.8708190432569685,1036609135.5500002,69.69013771875589,0.74789562,False,False,1.5857804535441704,1.1643590629090306
2019-02-28,2019-02-28,warm,0.7103955227604961,0.2579026545560936,4,True,SZ000415,2018-09-30,2018-10-31,5751577000.0,448968000.0,1164971000.0,2.9974883152678,0.39746657844667826,974664000.0,19.525395418318524,0.799504,False,False,12.81066133889275,0.4971414507578177
2019-03-29,2019-03-29,warm,0.8263034243449762,0.306087316119934,1,True,SH600019,2018-09-30,2018-10-30,17282575696.72,5519000000.0,6280810648.18,3.191176624315359,1.7902456848386334,5780918786.68,8.647273555404666,0.91114575,False,False,3.1314686893857586,1.9648291009848133
2019-03-29,2019-03-29,warm,0.8263034243449762,0.306087316119934,2,True,SZ000709,2018-09-30,2018-10-26,2447470282.67,1543385326.26,1759023469.7200003,2.807430848974672,0.8708190432569685,1036609135.5500002,69.69013771875589,0.75451417,False,False,1.5857804535441704,1.1541453797441186
2019-03-29,2019-03-29,warm,0.8263034243449762,0.306087316119934,3,True,SZ000415,2018-09-30,2018-10-31,5751577000.0,448968000.0,1164971000.0,2.9974883152678,0.39746657844667826,974664000.0,19.525395418318524,0.80469558,False,False,12.81066133889275,0.49393408926973137
2019-04-30,2019-04-30,warm,0.8393573769522192,0.389825369571728,1,True,SZ000157,2019-03-31,2019-04-30,1867280129.19,820439604.39,981432278.4,2.553548309469288,1.023156233846844,371097805.09,164.4672819236911,0.98805072,False,False,2.27595074542791,1.035530072633158
2019-04-30,2019-04-30,warm,0.8393573769522192,0.389825369571728,2,True,SZ000415,2019-03-31,2019-04-30,4056412000.0,362121000.0,1680362000.0,2.3465736296564432,0.6211026718649252,590118000.0,184.75016861034575,0.7440185,False,False,11.201813758384628,0.8347946615103323
2019-05-31,2019-05-31,warm,0.5918375339430316,0.389825369571728,1,True,SH600188,2019-03-31,2019-04-27,4424475000.0,2229570000.0,3017437000.0,2.6735295746588688,1.5060189384625218,2747026000.0,9.843772865637245,0.9819685,False,False,1.9844521589364765,1.5336733698306226
2019-05-31,2019-05-31,warm,0.5918375339430316,0.389825369571728,2,True,SZ000983,2019-03-31,2019-04-23,1428426912.88,596071804.61,698056658.46,2.488906206492154,1.0744410031585623,597979075.05,16.735967458666035,0.94191371,False,False,2.396400738690528,1.1407000362682505
2019-05-31,2019-05-31,warm,0.5918375339430316,0.389825369571728,3,True,SZ000415,2019-03-31,2019-04-30,4056412000.0,362121000.0,1680362000.0,2.3465736296564432,0.6211026718649252,590118000.0,184.75016861034575,0.65419395,False,False,11.201813758384628,0.9494167163498305
2019-06-28,2019-06-28,warm,0.739441343378323,0.389825369571728,1,True,SZ000415,2019-03-31,2019-04-30,4056412000.0,362121000.0,1680362000.0,2.3465736296564432,0.6211026718649252,590118000.0,184.75016861034575,0.66436276,False,False,11.201813758384628,0.9348848389168067
2019-07-31,2019-07-31,warm,0.7692517693679918,0.3279536896813724,1,True,SH600188,2019-03-31,2019-04-27,4424475000.0,2229570000.0,3017437000.0,2.6735295746588688,1.5060189384625218,2747026000.0,9.843772865637245,0.93123729,False,False,1.9844521589364765,1.6172236170466519
2019-07-31,2019-07-31,warm,0.7692517693679918,0.3279536896813724,2,True,SZ000415,2019-03-31,2019-04-30,4056412000.0,362121000.0,1680362000.0,2.3465736296564432,0.6211026718649252,590118000.0,184.75016861034575,0.61916314,False,False,11.201813758384628,1.0031325053764106
2019-08-30,2019-08-30,warm,0.7183125600043094,0.3279536896813724,1,True,SH600188,2019-03-31,2019-04-27,4424475000.0,2229570000.0,3017437000.0,2.6735295746588688,1.5060189384625218,2747026000.0,9.843772865637245,0.86607783,False,False,1.9844521589364765,1.7388956122598378
2019-08-30,2019-08-30,warm,0.7183125600043094,0.3279536896813724,2,True,SH601992,2019-06-30,2019-08-28,5158332880.68,2014743638.8,3577669816.4900002,3.2524126986561916,1.2906329107061603,3566206614.53,0.3214396471952874,0.79703542,False,False,2.5602924269572833,1.6192917884454372
2019-08-30,2019-08-30,warm,0.7183125600043094,0.3279536896813724,3,True,SH601117,2019-06-30,2019-08-30,1491968049.1900003,940749593.3200002,1032996195.9899999,2.7375041789404575,1.0234939568193502,716971669.3199999,44.07768677522896,0.88652215,False,False,1.5859353645051226,1.1545046638928878
2019-08-30,2019-08-30,warm,0.7183125600043094,0.3279536896813724,4,True,SZ000415,2019-03-31,2019-04-30,4056412000.0,362121000.0,1680362000.0,2.3465736296564432,0.6211026718649252,590118000.0,184.75016861034575,0.5811878,False,False,11.201813758384628,1.0686780965893041
2019-08-30,2019-08-30,warm,0.7183125600043094,0.3279536896813724,5,True,SH601668,2019-06-30,2019-08-29,15220001000.0,10569337000.0,20260010000.0,2.553310212930455,1.048433764331528,17029173000.0,18.972365833619765,0.98662406,False,False,1.4400147331852509,1.0626476758853094
2019-09-30,2019-09-30,warm,0.7711188869537299,0.34002180008562255,1,True,SH600188,2019-06-30,2019-08-31,7496492000.0,2792935000.0,4022593000.0,3.5349123986566666,2.014167943138517,2920670000.0,37.728432174809214,0.92873282,False,False,2.6840911084575905,2.168727000665829
