experiment,variant,status,annualized_return,maximum_drawdown,sharpe,sortino,turnover,average_cash_ratio,holding_count,valuation_scale,quality_scale,selected_for_promotion,delay_sessions,commission_rate,slippage_rate,rolling_minimum_return,rolling_median_return,rolling_maximum_return,rolling_observation_count,bootstrap_samples,bootstrap_block_size,pbo,split_count,strategy_count,median_logit,observed_annualized_sharpe,expected_max_daily_sharpe,deflated_sharpe_probability,skew,kurtosis,trial_count,excluded_symbols
year-slice,2020,ok,0.747307028069349,0.15944674345697518,2.0844980923341825,,,,,,,,,,,,,,,,,,,,,,,,,,,
year-slice,2021,ok,0.2114883340381879,0.17174986608766207,1.076502870786131,,,,,,,,,,,,,,,,,,,,,,,,,,,
year-slice,2022,ok,0.012195386777750228,0.11289831863340016,0.1573630434889239,,,,,,,,,,,,,,,,,,,,,,,,,,,
year-slice,2023,ok,0.0852310433733896,0.16111863997898712,0.6394374788362021,,,,,,,,,,,,,,,,,,,,,,,,,,,
year-slice,2024,ok,0.2509632796150607,0.05441286766118014,1.7358176844336275,,,,,,,,,,,,,,,,,,,,,,,,,,,
year-slice,2025,ok,-0.0004921272880261673,0.1732201034396591,0.1061985728393491,,,,,,,,,,,,,,,,,,,,,,,,,,,
year-slice,2026,ok,0.89276744127443,0.12765590925793469,1.8345792750324605,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolling-window,rolling-1y,ok,,,,,,,,,,,,,,-0.10358627127510367,0.0562971770881342,0.9475704183542644,2979.0,,,,,,,,,,,,,
rolling-window,rolling-3y,ok,,,,,,,,,,,,,,-0.07031415364519433,0.34719491586169315,1.829124270354824,2479.0,,,,,,,,,,,,,
rolling-window,rolling-5y,ok,,,,,,,,,,,,,,-0.03168738808568772,1.4411306828176436,2.423330168707313,1979.0,,,,,,,,,,,,,
expanding-fixed-baseline,2018-12-31,ok,-0.002799866604000334,0.121250798406764,-0.009360402563348457,,,,,,,,,,,,,,,,,,,,,,,,,,,
expanding-fixed-baseline,2020-12-31,ok,0.10969262065310792,0.15944674345697452,0.8524315146808861,,,,,,,,,,,,,,,,,,,,,,,,,,,
expanding-fixed-baseline,2022-12-31,ok,0.10925811190493362,0.17174986608766174,0.808725425097743,,,,,,,,,,,,,,,,,,,,,,,,,,,
expanding-fixed-baseline,2024-12-31,ok,0.11855142674325525,0.17174986608766174,0.8693285508650581,,,,,,,,,,,,,,,,,,,,,,,,,,,
expanding-fixed-baseline,2026-07-23,ok,0.13341598912636665,0.17322010343965943,0.843157121804667,,,,,,,,,,,,,,,,,,,,,,,,,,,
moving-block-bootstrap,q0.025,ok,0.0426477118137351,0.16171593805341475,,,,,,,,,,,,,,,,1000.0,20.0,,,,,,,,,,,
moving-block-bootstrap,q0.500,ok,0.13167743795539155,0.24489566379314398,,,,,,,,,,,,,,,,1000.0,20.0,,,,,,,,,,,
moving-block-bootstrap,q0.975,ok,0.238618051546935,0.40534690914884774,,,,,,,,,,,,,,,,1000.0,20.0,,,,,,,,,,,
multiple-testing,pbo-27-neighborhood,ok,,,,,,,,,,,,,,,,,,,,0.21428571428571427,70.0,27.0,0.5306282510621705,,,,,,,
multiple-testing,deflated-sharpe-27-trials,ok,,,,,,,,,,,,,,,,,,,,,,,,0.843157121804667,0.035728197667017035,0.8419575750905388,0.2841006699596663,14.278238343010392,27.0,
placebo-random-delay,trial-01,ok,0.11973812681361995,0.19253290945788304,0.7804952719961671,0.8269517565007022,68.11335713264818,0.622876772482144,,,,False,,,,,,,,,,,,,,,,,,,,
placebo-random-delay,trial-02,ok,0.10477390102596029,0.2094357197869523,0.6879380360414522,0.7062001070981251,67.1733639488152,0.6234396173642597,,,,False,,,,,,,,,,,,,,,,,,,,
placebo-random-delay,trial-03,ok,0.11066298320950252,0.2437588098371295,0.7153642485065452,0.7345056513089758,68.05022841735055,0.6216819135180257,,,,False,,,,,,,,,,,,,,,,,,,,
placebo-random-delay,trial-04,ok,0.11771978159476593,0.1812639102547111,0.7559683031962551,0.7848645410116828,68.401079717164,0.6217589226228822,,,,False,,,,,,,,,,,,,,,,,,,,
placebo-random-delay,trial-05,ok,0.10769365727176994,0.20375376283019553,0.6992788054524888,0.7173867033110805,67.15962986118276,0.6185007061428092,,,,False,,,,,,,,,,,,,,,,,,,,
placebo-random-delay,trial-06,ok,0.11304749053473118,0.18722712263818564,0.72976397979191,0.7526704190216653,68.22663684118601,0.6199312082347513,,,,False,,,,,,,,,,,,,,,,,,,,
placebo-random-delay,trial-07,ok,0.11630935470853365,0.17954947383844266,0.755595442114467,0.7919127778238705,67.5222490669564,0.6239533617704904,,,,False,,,,,,,,,,,,,,,,,,,,
placebo-random-delay,trial-08,ok,0.12441510190079863,0.18147088394772826,0.7965581966702597,0.8347490318430512,69.05781307076607,0.6219506650466939,,,,False,,,,,,,,,,,,,,,,,,,,
placebo-random-delay,trial-09,ok,0.12613288320464044,0.19151956781006252,0.8089893260304967,0.846900738680834,68.9623960698094,0.6221090761095699,,,,False,,,,,,,,,,,,,,,,,,,,
placebo-random-delay,trial-10,ok,0.1110081812767525,0.1807832288375446,0.7211820469641914,0.7462815727851726,68.0742680308672,0.6191904054015959,,,,False,,,,,,,,,,,,,,,,,,,,
top-contributor-ablation,remove-top-1,ok,0.11632071696449531,0.17256478534268027,0.757971935859838,0.7697878906067378,64.0531888923375,0.6424256822799366,,,,False,,,,,,,,,,,,,,,,,,,,SH601857
top-contributor-ablation,remove-top-3,ok,0.09597056001515969,0.18634203204787625,0.6558016422935355,0.6539848326077904,62.033773562355634,0.6466953343650563,,,,False,,,,,,,,,,,,,,,,,,,,SH600061|SH601857|SH603986
