window_end,window_start,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_risk_weight,longest_underwater_trading_days,worst_rolling_three_year_return,positive_day_ratio
2019-08-30,2016-07-27,756,0.16723284560420137,0.052896866819787114,0.17878912463950236,0.5475915003588712,0.8572804471660542,0.29586176970464273,0.10402336507253178,47.09534833175946,15.69844944391982,81521.77455916695,0.008905860197640118,0.6602977860300692,387,,0.5304232804232805
2019-09-30,2016-08-24,756,0.13226658300401484,0.04227638179121507,0.17878912463950136,0.45163082771552243,0.7023017107598664,0.23645947076735446,0.10357122982461069,47.77957009252252,15.926523364174173,83053.63527246527,0.008855783633368173,0.6546786453003118,407,,0.5304232804232805
2019-10-31,2016-09-21,756,0.17070084511492212,0.05393859997651518,0.17878912463950192,0.5629777883857391,0.8838058709064589,0.30168837218300193,0.10269188075738812,45.510329892697946,15.17010996423265,79385.52421221012,0.008926108238479393,0.6513507896358575,425,,0.5304232804232805
2019-11-29,2016-10-27,756,0.15412467868910196,0.04894063333821719,0.1787891246395017,0.5158340558374592,0.8092497099487982,0.27373383832432635,0.10290213780200037,47.40332424794789,15.801108082649298,83070.8720189365,0.009055186549227235,0.6391170305749189,446,,0.5277777777777778
2019-12-31,2016-11-28,756,0.22499008973369317,0.06998459515297806,0.17878912463950125,0.6940679830752986,1.101602978638814,0.3914365333690762,0.10548979103334684,48.0844888162068,16.0281629387356,84719.21751405645,0.009752136358309196,0.6343119633482279,455,,0.533068783068783
2020-01-23,2016-12-20,756,0.34351681415905255,0.1034374053855156,0.17878912463950158,0.9532686899128944,1.537938119618967,0.5785441681314781,0.10957089899329935,46.90388261710397,15.634627539034655,83146.86079239877,0.009918195985112071,0.6337653674037745,455,,0.5370370370370371
2020-02-28,2017-01-18,756,0.38470384606041086,0.11459981377091433,0.17878912463950214,0.907288613435755,1.3653380693136816,0.6409775426888261,0.12880617648460482,48.42490373026994,16.141634576756648,86647.75729643802,0.00926275106311637,0.6298778327382962,455,,0.5423280423280423
2020-03-31,2017-02-24,756,0.3020916041945849,0.09197789299957915,0.17878912463950092,0.7414463954154926,1.114618108265011,0.5144490370151851,0.13019332688992413,48.48351548527423,16.161171828424745,87564.23913066433,0.008906177612963433,0.6157371550668945,455,,0.5343915343915344
2020-04-30,2017-03-27,756,0.3584114071994067,0.10750009792304671,0.17878912463950147,0.8506901795226619,1.2811172195408853,0.6012675443196155,0.1300506465655499,48.73446389872976,16.244821299576586,88790.67831356483,0.008757313071845421,0.6034980218721556,455,,0.5357142857142857
2020-05-29,2017-04-24,756,0.3809096095843425,0.11358084164911708,0.17878912463950203,0.8923055520699372,1.3423302709947256,0.635278246806866,0.130137333897439,49.25921253702646,16.419737512342152,90474.84594911645,0.0089380135319535,0.5977628594114635,455,,0.5396825396825397
