symbol,net_pnl,return_contribution,holding_days,average_weight_when_held,maximum_weight,average_portfolio_weight,is_risk_asset,share_of_positive_contribution
SH560860,44059.53434000002,0.02182819942265708,67,0.18978545761072327,0.24163459798490078,0.004164960910553049,True,0.015207738028311896
SZ159887,40421.17140000002,0.025310674374559805,95,0.17000196657797612,0.33244824332665435,0.005289940001607511,True,0.013951908358927364
SZ159967,37055.572960000034,0.020068315177564675,146,0.18453928656878452,0.29399762407701796,0.00882500355029235,True,0.012790227007757301
SZ159928,33593.446580000076,0.02282812407236898,179,0.14688945754786842,0.40101532907428816,0.008612254471362086,True,0.011595227746039114
SH512290,32918.41602000003,0.017599137412651802,50,0.2215587389351796,0.28517933469876516,0.003628541417215519,True,0.011362231912756657
SH516110,31813.630130000027,0.020660549551231935,41,0.17397591877300922,0.20183057851640224,0.0023363945855530226,True,0.010980900274913125
SH512890,28554.291200000094,0.018272159479787,63,0.21226452135573073,0.36144995148641446,0.004380171911369485,True,0.009855895815936872
SH512760,24482.036730000018,0.016085513388879074,20,0.1804006740863019,0.2116877980724777,0.0011817928207422332,True,0.008450302677196877
SZ159938,19898.062599999987,0.011453461718676531,74,0.09833198563934377,0.16698673192034208,0.002383415308650979,True,0.00686808264827772
SH512660,19009.827049999993,0.015749353587448608,25,0.17882459936892897,0.2591242633950798,0.001464335075081305,True,0.006561496258880272
SZ159814,18287.878680000016,0.009935016072924015,15,0.1841036365514961,0.18865588243105305,0.0009045380112258243,True,0.0063123061154665506
SH516510,17790.50226999997,0.015412694125980227,134,0.14790322408617823,0.18659242582119112,0.006491658050294099,True,0.006140629990013816
SZ159931,17195.988039999997,0.013667074692128777,28,0.09246845877934663,0.09709598304972031,0.0008480566150742567,True,0.005935425445767532
SH510420,15087.817919999992,0.010269072942340666,14,0.07603758336045315,0.08054866411234742,0.00034868200689365997,True,0.005207762310322898
SZ159748,14472.000480000013,0.00852995209557159,15,0.07581160714662165,0.08034451343224484,0.0003724775981655174,True,0.004995204677994881
SH562500,13200.150320000015,0.00815583248687063,13,0.14416123198029665,0.14858510725267637,0.0006138539193396189,True,0.004556208571152538
SH561330,13105.317870000023,0.007525118112072781,24,0.09405069356106123,0.15095624693758553,0.0007393438078825646,True,0.004523475881672578
SZ159909,10564.551439999988,0.00824076857277993,15,0.07009587934551491,0.07998806123239116,0.00034439508358425274,True,0.0036464963393924273
SH588020,10383.055829999996,0.006779366117780447,5,0.09817518026130798,0.10318989128360169,0.00016078476950754663,True,0.0035838507002245454
SZ159622,10070.268089999987,0.005919037592491177,15,0.11864288093065724,0.14128008050054763,0.0005829162181329377,True,0.0034758878250002977
SH517900,8810.179799999987,0.005463857714867817,20,0.09545603655835226,0.12759343628159225,0.0006253261484333591,True,0.00304095148502482
SH510120,7938.426599999992,0.005344153748783786,10,0.06462959994285727,0.06719441561300074,0.00021169210593795373,True,0.002740054199351362
SZ159516,7856.479379999979,0.004521263699114195,14,0.21916700938181158,0.22615818457749617,0.0010050239539290409,True,0.0027117690194787903
SH510160,7193.027419999986,0.005397363183075528,40,0.11976332635106982,0.14087065545772745,0.0015691231752514878,True,0.002482769694969589
SZ159546,5931.425040000007,0.0035455778088693034,20,0.07950609413399366,0.08203890336391914,0.0005208391361545605,True,0.002047310746564043
SZ159905,5627.810420000053,0.006274834437626372,93,0.11293661251027466,0.17217985400882396,0.0034402571121701746,True,0.0019425140964929389
SH513800,4488.277951087326,0.0022706871784367293,47,0.1632403870871437,0.20808071309397724,0.002513035765835491,True,0.0015491892118436879
SZ159852,4376.459420000005,0.0026022724962202733,10,0.09431229105929974,0.10916612999793819,0.0003089167738594816,True,0.0015105935491123456
SH510130,4347.001840000004,0.003105515771021744,14,0.1099314902438436,0.13032248259824125,0.0005041077181178547,True,0.001500425871076281
SZ159903,4121.402940000018,0.003022828119252911,5,0.1150839538475535,0.11542029835049447,0.00018847683237398213,True,0.001422557391028357
SH515400,239.71045999999978,0.00021609557313411539,9,0.1873340915190233,0.18968772303664833,0.0005522459297973173,True,8.273927386964146e-05
SH512220,23.681280000009792,0.00010521353182751513,10,0.03990920163476655,0.041238046018423596,0.00013072126313385703,True,8.17391077345759e-06
SH510110,-171.29595000000768,-0.00012377514668066567,5,0.12431031545440982,0.12454233115008798,0.00020358715272585952,True,0.0
SH511880,-1120.558044291158,6.256349088864361e-05,373,0.2746133011301622,0.6428687896292403,0.03355085532969227,False,0.0
SH512070,-1470.5997900001084,0.0013308054439181483,40,0.18483261626650638,0.3045775091442513,0.0024216523585523274,True,0.0
SH515300,-1660.1101113769114,-0.0010665293583770456,10,0.08483299179794004,0.08565169635289337,0.00027786764427756316,True,0.0
SH510630,-1684.9888600000045,-0.0004561569263859704,53,0.07819718461075967,0.10654218517001487,0.0013575010757845602,True,0.0
SZ159851,-2543.1908900000244,-0.0010062051850861218,55,0.09425007605131777,0.12266524488448063,0.0016979214486807985,True,0.0
SH515180,-2681.9808708565542,-0.0014095790898527637,18,0.13031153846293664,0.13405094463568842,0.0007682960014192138,True,0.0
SH510810,-2818.6795421118586,-0.002112196943581437,10,0.12322575059579591,0.16915193078152035,0.00040362184931475893,True,0.0
SH515980,-3309.613439999979,-0.00029837636377805666,24,0.15920227505497117,0.22134388836581684,0.0012515082218536875,True,0.0
SH517180,-3557.493815333382,-0.001544272399206197,115,0.16582719437431384,0.21420200714188695,0.006246356813968586,True,0.0
SH510150,-3842.419359999995,-0.002947756139801596,8,0.07695431812998657,0.0885712478452441,0.00020164904848997463,True,0.0
SZ159652,-6209.402879999988,-0.003875248375932611,10,0.09088181031206577,0.09471689595978978,0.000297680348221637,True,0.0
