scenario,trade_date,observation_date,threshold_observation_date,now,upper,lower,target_weeks,mode,target_shares,actual_shares_after
source-cost-calibration,2015-12-17,2015-12-16,2015-12-11,1.1383026981662814,1.193064305537156,1.1308778923304754,50.0,normal,29700,29700
source-cost-calibration,2015-12-24,2015-12-23,2015-12-18,1.1544239731146468,1.1930646485418313,1.130876177307099,50.0,normal,30600,30600
source-cost-calibration,2015-12-30,2015-12-29,2015-12-25,1.1436392352745433,1.193064776400532,1.1308755380135957,50.0,normal,31600,31600
source-cost-calibration,2016-01-07,2016-01-06,2015-12-31,1.1225435240687542,1.193065299667879,1.1308729216768605,48.158635367324166,buy,32600,32600
source-cost-calibration,2016-01-14,2016-01-13,2016-01-08,1.077731179652392,1.1930672246824703,1.1308632966039043,38.25408050843252,buy,34100,34100
source-cost-calibration,2016-01-21,2016-01-20,2016-01-15,1.0780941504064108,1.1930702391165617,1.1308482244334472,38.337499036737185,buy,35600,35600
source-cost-calibration,2016-01-28,2016-01-27,2016-01-22,1.0453229787866574,1.1930738053446106,1.130830393293203,31.096322000700095,buy,37500,37500
source-cost-calibration,2016-02-04,2016-02-03,2016-01-29,1.044539760392411,1.1930788218694188,1.1308053106691613,30.928292991102456,buy,39300,39300
source-cost-calibration,2016-02-18,2016-02-17,2016-02-05,1.0595634179012676,1.1930837395792206,1.1307807221201527,34.25483764762179,buy,40900,40900
source-cost-calibration,2016-02-25,2016-02-24,2016-02-19,1.0659529803138696,1.1930875224801092,1.130761807615709,35.67142371068991,buy,42300,42300
source-cost-calibration,2016-03-03,2016-03-02,2016-02-26,1.0576661039098292,1.1930912869403871,1.13074298531432,33.843171623970505,buy,43800,43800
source-cost-calibration,2016-03-10,2016-03-09,2016-03-04,1.0629578340845103,1.1930951874094096,1.1307234829692074,35.017192552959784,buy,45300,45300
source-cost-calibration,2016-03-17,2016-03-16,2016-03-11,1.0606978403536116,1.193098651630635,1.130706161863081,34.521106395556465,buy,46700,46700
source-cost-calibration,2016-03-24,2016-03-23,2016-03-18,1.073351702386901,1.193101782570208,1.130690507165216,37.32217074103005,buy,47900,47900
source-cost-calibration,2016-03-31,2016-03-30,2016-03-25,1.084576277934331,1.193103873932937,1.130680050351571,39.80618513546238,buy,49000,49000
source-cost-calibration,2016-04-07,2016-04-06,2016-04-01,1.083860800866573,1.1931063580652204,1.1306676296901534,39.65062154551837,buy,50100,50100
source-cost-calibration,2016-04-14,2016-04-13,2016-04-08,1.0835026198302673,1.1931085022428332,1.1306569088020895,39.57369636077728,buy,51200,51200
source-cost-calibration,2016-04-21,2016-04-20,2016-04-15,1.0685568950723632,1.193111268911722,1.130643075457645,36.27193193569253,buy,52400,52400
source-cost-calibration,2016-04-28,2016-04-27,2016-04-22,1.0595634179012676,1.1931152903184414,1.1306229684240483,34.28752278448998,buy,53600,53600
source-cost-calibration,2016-05-05,2016-05-04,2016-04-29,1.0595634179012676,1.1931205401364962,1.1305967193337747,34.29296224334421,buy,54800,54800
source-cost-calibration,2016-05-12,2016-05-11,2016-05-06,1.0437551269686796,1.193124858201408,1.130575129009215,30.80180613104842,buy,56200,56200
source-cost-calibration,2016-05-19,2016-05-18,2016-05-13,1.0421815945157662,1.1929890782337935,1.130398276142823,30.489911500910914,buy,57600,57600
source-cost-calibration,2016-05-26,2016-05-25,2016-05-20,1.0409976924234905,1.1925679235405748,1.1299356666151164,30.322336744610368,buy,58900,58900
source-cost-calibration,2016-06-02,2016-06-01,2016-05-27,1.0546130545568877,1.1922892583457119,1.1296152359400768,33.40094507472459,buy,60000,60000
source-cost-calibration,2016-06-07,2016-06-06,2016-06-03,1.0569048513364727,1.1904342228517661,1.1277232953028924,34.30057172238365,buy,61000,61000
source-cost-calibration,2016-06-16,2016-06-15,2016-06-08,1.0542299098633972,1.1898634542305604,1.1271314953598366,33.830283823014454,buy,62100,62100
source-cost-calibration,2016-06-23,2016-06-22,2016-06-17,1.0565237240791003,1.1895820406304844,1.126814031744161,34.40507801534462,buy,63100,63100
source-cost-calibration,2016-06-30,2016-06-29,2016-06-24,1.0580462303952818,1.1894440174073906,1.1266410253068924,34.77891507347568,buy,64100,64100
source-cost-calibration,2016-07-07,2016-07-06,2016-07-01,1.0663259253620379,1.1887301163742605,1.1258931996738584,36.77332931554352,buy,65000,65000
source-cost-calibration,2016-07-14,2016-07-13,2016-07-08,1.0737183503461227,1.1881586600075442,1.125291115345911,38.542350442370854,buy,65800,65800
source-cost-calibration,2016-07-21,2016-07-20,2016-07-15,1.0681858617461617,1.1881628975415117,1.1252699276760736,37.317694953467104,buy,66600,66600
source-cost-calibration,2016-07-28,2016-07-27,2016-07-22,1.0663259253620379,1.1881672402827785,1.12524821396974,36.90904640500797,buy,67400,67400
source-cost-calibration,2016-08-04,2016-08-03,2016-07-29,1.064083435963596,1.1875946789911787,1.1246470555717007,36.53719420060235,buy,68200,68200
source-cost-calibration,2016-08-11,2016-08-10,2016-08-05,1.0692980121155293,1.1871664117495717,1.1241875372610384,37.7935123530987,buy,69000,69000
source-cost-calibration,2016-08-18,2016-08-17,2016-08-12,1.0849335749367162,1.185722948805414,1.1227154766486012,41.586937541676384,buy,69700,69700
source-cost-calibration,2016-08-25,2016-08-24,2016-08-19,1.0817072700973491,1.183253628504465,1.120224744363783,41.40407439216375,buy,70400,70400
source-cost-calibration,2016-09-01,2016-08-31,2016-08-26,1.0817072700973491,1.17885882821768,1.1158065500085903,42.35994807724989,buy,71000,71000
source-cost-calibration,2016-09-08,2016-09-07,2016-09-02,1.082426300860772,1.178125282457719,1.1150496240765861,42.68567906947847,buy,71700,71700
source-cost-calibration,2016-09-13,2016-09-12,2016-09-09,1.073351702386901,1.1775381569060641,1.1144393864543625,40.782880485276166,buy,72400,72400
source-cost-calibration,2016-09-22,2016-09-21,2016-09-14,1.0722498976135149,1.1766532195271404,1.1135377241949531,40.730483196856255,buy,73100,73100
source-cost-calibration,2016-09-29,2016-09-28,2016-09-23,1.0681858617461617,1.176213142248501,1.1130703929949999,39.91875726564227,buy,73800,73800
source-cost-calibration,2016-10-13,2016-10-12,2016-09-30,1.0766404436703418,1.1753272949989206,1.112156290673813,42.01644424859715,buy,74400,74400
source-cost-calibration,2016-10-20,2016-10-19,2016-10-14,1.0791812460476249,1.1747365008564368,1.111541938751483,42.72166627824077,buy,75000,75000
source-cost-calibration,2016-10-27,2016-10-26,2016-10-21,1.083860800866573,1.1738466105870882,1.1106297273055845,43.9743809793491,buy,75600,75600
source-cost-calibration,2016-11-03,2016-11-02,2016-10-28,1.0809870469108873,1.1728053068723685,1.1095671514262857,43.56052842798647,buy,76200,76200
source-cost-calibration,2016-11-10,2016-11-09,2016-11-04,1.0835026198302673,1.1719102007821625,1.1086570094990371,44.327734039192116,buy,76800,76800
source-cost-calibration,2016-11-17,2016-11-16,2016-11-11,1.0927206446840991,1.1710131255133711,1.1077449368920642,46.6092618193052,buy,77300,77300
source-cost-calibration,2016-11-24,2016-11-23,2016-11-18,1.0993352776859577,1.1698137001080633,1.1065294860206476,48.374600852128665,buy,77800,77800
source-cost-calibration,2016-12-01,2016-11-30,2016-11-25,1.1058506743851435,1.1690628091836048,1.1057653728096934,50.0,normal,78200,78200
source-cost-calibration,2016-12-08,2016-12-07,2016-12-02,1.1000257301078626,1.1681590588478488,1.1048516683040235,48.90801219416884,buy,78700,78700
source-cost-calibration,2016-12-15,2016-12-14,2016-12-09,1.1007150865730817,1.1674049611750326,1.104086600544904,49.236582988563065,buy,79200,79200
source-cost-calibration,2016-12-22,2016-12-21,2016-12-16,1.0948203803547998,1.1666494010498372,1.1033206198583583,48.07394166515039,buy,79700,79700
source-cost-calibration,2016-12-29,2016-12-28,2016-12-23,1.0909630765957317,1.165588891232902,1.1022489165813119,47.44026965783195,buy,80200,80200
source-cost-calibration,2017-01-05,2017-01-04,2016-12-30,1.0993352776859577,1.1649820921418546,1.1016333779786085,49.4784788799547,buy,80600,80600
source-cost-calibration,2017-01-12,2017-01-11,2017-01-06,1.0976043288744108,1.1640687474289226,1.1007155561418263,49.29336256536595,buy,81100,81100
source-cost-calibration,2017-01-19,2017-01-18,2017-01-13,1.1007150865730817,1.162848000848066,1.0994900620580097,50.0,normal,81600,81600
source-cost-calibration,2017-01-25,2017-01-24,2017-01-20,1.1048284036536553,1.1617770403994114,1.0984141088065746,50.0,normal,82000,82000
source-cost-calibration,2017-02-09,2017-02-08,2017-02-03,1.1051694279993316,1.1603957779926264,1.097029290331577,50.0,normal,82400,82400
source-cost-calibration,2017-02-16,2017-02-15,2017-02-10,1.1119342763326816,1.1591638050862756,1.0957969034051824,50.0,normal,82800,82800
source-cost-calibration,2017-02-23,2017-02-22,2017-02-17,1.119585774961784,1.158081853933248,1.0947210264384144,50.0,normal,83200,83200
source-cost-calibration,2017-03-02,2017-03-01,2017-02-24,1.1152775913959014,1.157770108273897,1.0944237950969549,50.0,normal,83600,83600
source-cost-calibration,2017-03-09,2017-03-08,2017-03-03,1.1132746924643504,1.157145627802975,1.0938289811049187,50.0,normal,84000,84000
source-cost-calibration,2017-03-16,2017-03-15,2017-03-10,1.1142772965615861,1.15558674050941,1.092311770656923,50.0,normal,84400,84400
source-cost-calibration,2017-03-23,2017-03-22,2017-03-17,1.1112625136590653,1.1544891641147568,1.0912608779699977,50.0,normal,84800,84800
source-cost-calibration,2017-03-30,2017-03-29,2017-03-24,1.1095785469043866,1.1540119676815572,1.0908392573919838,50.0,normal,85200,85200
source-cost-calibration,2017-04-06,2017-04-05,2017-03-31,1.1238516409670858,1.1535315269780135,1.0904311666345032,50.0,normal,85600,85600
source-cost-calibration,2017-04-13,2017-04-12,2017-04-07,1.125481265700594,1.152897141102997,1.089850414917718,50.0,normal,86000,86000
source-cost-calibration,2017-04-20,2017-04-19,2017-04-14,1.1166077439882485,1.1520961726311372,1.08915814787308,50.0,normal,86400,86400
source-cost-calibration,2017-04-27,2017-04-26,2017-04-21,1.1202447955463652,1.1511354439727526,1.088313449578708,50.0,normal,86800,86800
source-cost-calibration,2017-05-04,2017-05-03,2017-04-28,1.110589710299249,1.1504875010703244,1.087780789587981,50.0,normal,87200,87200
source-cost-calibration,2017-05-11,2017-05-10,2017-05-05,1.1048284036536553,1.14921153642893,1.086599440324599,50.0,normal,87600,87600
source-cost-calibration,2017-05-18,2017-05-17,2017-05-12,1.1149444157125847,1.1482359985178743,1.0857904360216706,50.0,normal,88000,88000
source-cost-calibration,2017-05-25,2017-05-24,2017-05-19,1.1166077439882485,1.1466289007583257,1.084324132762634,50.0,normal,88400,88400
source-cost-calibration,2017-06-01,2017-05-31,2017-05-26,1.125481265700594,1.1451759129570973,1.0830066571372736,50.0,normal,88800,88800
source-cost-calibration,2017-06-08,2017-06-07,2017-06-02,1.1277525158329733,1.1443628511579114,1.0822914425507466,50.0,normal,89200,89200
source-cost-calibration,2017-06-15,2017-06-14,2017-06-09,1.132899769944483,1.143538052762648,1.081626476581726,50.0,normal,89600,89600
source-cost-calibration,2017-06-22,2017-06-21,2017-06-16,1.1357685145678222,1.1431928657031327,1.0814342911512345,50.0,normal,90000,90000
source-cost-calibration,2017-06-29,2017-06-28,2017-06-23,1.1414497734004674,1.1430058524569218,1.0814095905280523,50.0,normal,90400,90400
source-cost-calibration,2017-07-06,2017-07-05,2017-06-30,1.1436392352745433,1.1429773844898166,1.0815519303635777,-863.4705970483993,sell,90200,90200
