generation,config,case,total_return,annualized_return,maximum_drawdown,sharpe,annualized_volatility,turnover,average_cash_ratio,maximum_cash_ratio,longest_underwater_trading_days,yearly_returns,calmar,average_exposure,invested_session_ratio,filled_trade_count,rejected_order_count,maximum_volume_participation
G0,risk-core__trend-200-vol-60-target-0p2,next-close,0.6650251728524514,0.21817947797300175,0.16080909414626743,1.1062713064783432,0.19536549695384978,11.28893312421926,0.5860674414590367,1.0,116,"{'2023': 0.0, '2024': 0.09901801684534095, '2025': 0.34545306507342066, '2026': 0.12602346113246155}",1.3567608171124441,0.4139325585409634,0.706605222734255,429,0,0.00039786371903068545
G0,risk-core__trend-200-vol-60-target-0p2,second-next-open,0.4580534301182164,0.15716734619261064,0.15745077097419802,0.9089060639728143,0.17792428819461276,10.609823264647115,0.5873876920459078,1.0,117,"{'2023': 0.0, '2024': -0.02654948314924488, '2025': 0.34148697926107663, '2026': 0.1165369429906773}",0.9981999149331963,0.4126123079540922,0.7035330261136713,424,1,0.0003501931485915088
G0,risk-core__trend-250-vol-20-target-0p15,base,0.3267840026693549,0.115669528207472,0.13717805813287298,0.8411841629218091,0.14214633339493302,8.611550892112644,0.6352398039513512,1.0,117,"{'2023': 0.0, '2024': -0.019426132412786234, '2025': 0.20198453716159692, '2026': 0.12569576098338753}",0.843207213907581,0.3647601960486488,0.7127496159754224,409,1,0.00013349110466899058
G0,risk-core__trend-250-vol-20-target-0p15,slippage-10bp,0.3177385332703011,0.11271902733157746,0.1386221008941646,0.8224058944788557,0.1421766705808736,8.60763650590575,0.6352279935126028,1.0,117,"{'2023': 0.0, '2024': -0.020310427680419907, '2025': 0.19716588317111317, '2026': 0.12353454068873893}",0.8131389338676691,0.3647720064873971,0.7127496159754224,410,1,0.0001331148614202054
G0,risk-core__trend-250-vol-20-target-0p15,slippage-20bp,0.30657375196812,0.1090600698463946,0.1404577257690216,0.7990561206350922,0.14221550550274767,8.603220217992503,0.6352026299092134,1.0,117,"{'2023': 0.0, '2024': -0.021385686889440314, '2025': 0.19112996744308708, '2026': 0.12089056816083477}",0.7764618802510054,0.3647973700907867,0.7127496159754224,407,1,0.00013270099384654166
G0,risk-core__trend-250-vol-20-target-0p15,next-close,0.3652743228666884,0.12808856186818351,0.11719309609111084,0.9293247628625878,0.14027179001975748,8.851396810505365,0.6354910518804109,1.0,115,"{'2023': 0.0, '2024': -0.013022950653084453, '2025': 0.22947902353676852, '2026': 0.12510160685299931}",1.0929702016627505,0.36450894811958906,0.7127496159754224,409,1,0.00013872088582710495
G0,risk-core__trend-250-vol-20-target-0p15,second-next-open,0.3407551258100101,0.12020257714882909,0.1283269612596426,0.8802291377343519,0.1400943350489047,8.929840188287951,0.6354947304633032,1.0,116,"{'2023': 0.0, '2024': -0.018349249062480255, '2025': 0.20960226289199535, '2026': 0.1291454067720601}",0.9366899673220226,0.3645052695366968,0.7127496159754224,410,0,0.00013977975049314536
G0,risk-core__trend-250-vol-20-target-0p2,base,0.41717794686651355,0.14450024814307993,0.15245157544971666,0.8344604093903019,0.1814497762628922,9.75383524628759,0.5496151167762606,1.0,119,"{'2023': 0.0, '2024': -0.024036321824013274, '2025': 0.24483066793900088, '2026': 0.16648847225541719}",0.9478435871641134,0.4503848832237394,0.7127496159754224,386,1,0.00016261233212496544
G0,risk-core__trend-250-vol-20-target-0p2,slippage-10bp,0.4064651954585703,0.14114348205826155,0.15365774343049388,0.8183028458181755,0.18143937037600408,9.747069896103033,0.5496068698506662,1.0,119,"{'2023': 0.0, '2024': -0.025089696154940166, '2025': 0.23989486429299056, '2026': 0.16353504339683167}",0.9185575611560828,0.4503931301493338,0.7127496159754224,387,1,0.0001621608402264232
G0,risk-core__trend-250-vol-20-target-0p2,slippage-20bp,0.39336995026351973,0.13701882277193556,0.15516948178779189,0.7983612795254402,0.18143244406354278,9.737209344859812,0.5495841258545869,1.0,119,"{'2023': 0.0, '2024': -0.026429505150920574, '2025': 0.2338615363742267, '2026': 0.15993221557040704}",0.8830268761180824,0.45041587414541306,0.7127496159754224,384,1,0.0001615964753532454
