model,execution_date,target_weight,execution,delay,config
risk-core__trend-150-vol-20-target-0p15,2025-03-25,0.5468985987247102,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-03-26,0.5390932289432586,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-03-27,0.5691391090777443,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-03-28,0.5587905866808366,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-03-31,0.6665577036006899,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-04-01,0.6741936299251926,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-04-02,0.7126015564611926,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-04-03,0.7157442295238896,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-04-07,0.9549101784134851,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-04-08,0.0,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-04-10,0.3750931981392618,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-04-11,0.3698013284182982,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-04-14,0.367146536999753,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-04-15,0.37308679503413145,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-04-16,0.37260043939076654,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-04-17,0.37220121425721214,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-04-18,0.3728005609571997,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-04-21,0.37355011553679235,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-04-22,0.3774145045328124,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-04-23,0.3779840199680454,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-04-24,0.3817512752025876,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-04-25,0.3802941578537058,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-04-28,0.3822674563178736,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-04-29,0.383504512217925,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-04-30,0.38389227917906527,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-05-06,0.38262242383673895,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-05-07,0.37902280200822536,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-05-08,0.37958943831198877,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-05-09,0.775756180526979,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-05-12,0.7230495892218046,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-05-13,0.99,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-05-16,0.0,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-07-23,0.99,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-08-13,0.9840279804401342,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-08-14,0.9810545494258556,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-08-15,0.9803712890920311,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-08-18,0.9551529147158965,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-08-19,0.8948622426606229,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-08-20,0.8461534504273897,open,1,risk-core__trend-150-vol-20-target-0p15
risk-core__trend-150-vol-20-target-0p15,2025-08-21,0.7386948525561193,open,1,risk-core__trend-150-vol-20-target-0p15
