date,code,amount,avg_cost,last_price,market_value
2014-02-26,511010.XSHG,3500,94.19732572249998,94.462,330617.0
2014-02-27,159915.XSHE,242300,1.2964241734921629,1.385,335585.5
2014-02-27,159902.XSHE,146600,2.3141230396953345,2.304,337766.39999999997
2014-02-27,511010.XSHG,3500,94.19732572249998,94.69,331415.0
2014-02-28,159915.XSHE,242300,1.2964241734921629,1.4,339220.0
2014-02-28,159902.XSHE,146600,2.3141230396953345,2.342,343337.2
2014-02-28,511010.XSHG,3500,94.19732572249998,94.655,331292.5
2014-03-03,159915.XSHE,230400,1.2964241734921629,1.43,329472.0
2014-03-03,159902.XSHE,137700,2.3141230396953345,2.374,326899.8
2014-03-03,511010.XSHG,3900,94.25360393423333,94.586,368885.4
2014-03-04,159915.XSHE,230400,1.2964241734921629,1.421,327398.4
2014-03-04,159902.XSHE,137700,2.3141230396953345,2.349,323457.30000000005
2014-03-04,511010.XSHG,3900,94.25360393423333,94.237,367524.3
2014-03-05,159915.XSHE,230400,1.2964241734921629,1.427,328780.8
2014-03-05,159902.XSHE,137700,2.3141230396953345,2.349,323457.30000000005
2014-03-05,511010.XSHG,3900,94.25360393423333,94.187,367329.3
2014-03-06,159915.XSHE,230400,1.2964241734921629,1.426,328550.39999999997
2014-03-06,159902.XSHE,137700,2.3141230396953345,2.339,322080.3
2014-03-06,511010.XSHG,3900,94.25360393423333,94.259,367610.1
2014-03-07,159915.XSHE,230400,1.2964241734921629,1.428,329011.2
2014-03-07,159902.XSHE,137700,2.3141230396953345,2.329,320703.30000000005
2014-03-07,511010.XSHG,3900,94.25360393423333,94.208,367411.2
2014-03-10,159915.XSHE,278200,1.3159095718307487,1.37,381134.00000000006
2014-03-10,159902.XSHE,170100,2.312384039867652,2.25,382725.0
2014-03-10,511010.XSHG,2400,94.25360393423333,94.204,226089.59999999998
2014-03-11,159915.XSHE,278200,1.3159095718307487,1.363,379186.6
2014-03-11,159902.XSHE,170100,2.312384039867652,2.244,381704.4
2014-03-11,511010.XSHG,2400,94.25360393423333,94.271,226250.4
2014-03-12,159915.XSHE,278200,1.3159095718307487,1.364,379464.80000000005
2014-03-12,159902.XSHE,170100,2.312384039867652,2.232,379663.2
2014-03-12,511010.XSHG,2400,94.25360393423333,94.277,226264.8
2014-03-13,159915.XSHE,278200,1.3159095718307487,1.405,390871.0
