cash,daily_return,date,market_value,total_value
8103.607585767251,-0.002686649381367756,2024-07-25,1909311.7,1917415.3075857672
8103.607585767251,-0.0031955518325942345,2024-07-26,1903184.5,1911288.1075857673
9131.88741523726,0.00333951736744309,2024-07-29,1908539.0,1917670.8874152373
9131.88741523726,-0.0053772522009232215,2024-07-30,1898227.2,1907359.0874152372
9131.88741523726,-0.0020782138120470917,2024-07-31,1894263.3,1903395.1874152373
9131.88741523726,0.0009260294507698053,2024-08-01,1896025.9,1905157.7874152372
9131.88741523726,-0.0027300100990881315,2024-08-02,1890824.7999999998,1899956.687415237
9364.676369347268,-0.00578482189551488,2024-08-05,1879601.1,1888965.7763693475
9364.676369347268,-0.002388608653711155,2024-08-06,1875089.1,1884453.7763693475
9364.676369347268,0.004722057983902461,2024-08-07,1883987.6,1893352.2763693475
9364.676369347268,-0.002227424897434882,2024-08-08,1879770.3,1889134.9763693474
9364.676369347268,-0.0024648847532054985,2024-08-09,1875113.8,1884478.4763693474
5632.8898985972555,-0.0040826077703857155,2024-08-12,1871152.0,1876784.8898985973
5632.8898985972555,0.0019933024930747223,2024-08-13,1874893.0,1880525.8898985973
5632.8898985972555,0.003790960836165036,2024-08-14,1882022.0,1887654.8898985973
5632.8898985972555,0.005483576502989029,2024-08-15,1892373.1,1898005.9898985974
5632.8898985972555,-0.0013721242260880118,2024-08-16,1889768.8,1895401.6898985973
4531.3577894173795,0.00224842465506514,2024-08-19,1895132.0,1899663.3577894173
4531.3577894173795,-0.0025666652883562513,2024-08-20,1890256.1999999997,1894787.557789417
4531.3577894173795,-0.0010564772772390096,2024-08-21,1888254.4,1892785.7577894172
4531.3577894173795,0.003047730032973872,2024-08-22,1894023.1,1898554.4577894174
4531.3577894173795,-0.0034111215369299064,2024-08-23,1887546.9000000004,1892078.2577894176
11947.122240897384,0.00118904408008369,2024-08-26,1882380.9,1894328.0222408972
11947.122240897384,-0.0018937586087948155,2024-08-27,1878793.5,1890740.6222408973
