amount,code,date,fees,price,reason,requested_amount,side,status,value
239200,159901.XSHE,2014-08-11,99.70248287999998,1.3893879999999998,,239200,buy,filled,332341.60959999997
400,510500.XSHG,2014-08-18,5.0,3.669327,,400,sell,filled,1467.7308
3600,159901.XSHE,2014-08-18,5.0,1.403595,,3600,sell,filled,5052.942
5400,510050.XSHG,2014-08-18,5.0,1.3503489999999998,,5400,buy,filled,7291.8845999999985
261200,510050.XSHG,2014-08-25,104.50598939999998,1.3336649999999999,,261200,sell,filled,348353.29799999995
2800,510500.XSHG,2014-08-25,5.0,3.7527489999999997,,2800,buy,filled,10507.697199999999
13600,159901.XSHE,2014-08-25,5.819813999999998,1.4264249999999998,,13600,buy,filled,19399.379999999997
239700,510230.XSHG,2014-08-25,37.790502749999995,0.525525,,239700,buy,filled,125968.3425
2000,511010.XSHG,2014-08-25,57.99153359999999,96.65255599999999,,2000,buy,filled,193305.112
2400,511010.XSHG,2014-09-01,69.49251792,96.517386,,2400,sell,filled,231641.7264
13700,159901.XSHE,2014-09-01,5.715398879999999,1.3906079999999998,,13700,sell,filled,19051.329599999997
239700,510230.XSHG,2014-09-01,37.283968709999996,0.518481,,239700,sell,filled,124279.8957
2600,510500.XSHG,2014-09-01,5.0,3.6856819999999995,,2600,buy,filled,9582.773199999998
221700,510180.XSHG,2014-09-01,108.58628780999997,1.6326309999999997,,221700,buy,filled,361954.29269999993
1500,159901.XSHE,2014-09-09,5.0,1.452546,,1500,sell,filled,2178.819
3200,510180.XSHG,2014-09-09,5.0,1.711287,,3200,sell,filled,5476.1184
3400,510500.XSHG,2014-09-09,5.0,3.8708669999999996,,3400,buy,filled,13160.947799999998
8200,159901.XSHE,2014-09-15,5.0,1.445553,,8200,sell,filled,11853.5346
4600,510180.XSHG,2014-09-15,5.0,1.6913070000000001,,4600,sell,filled,7780.0122
3500,510500.XSHG,2014-09-15,5.0,3.9179139999999997,,3500,buy,filled,13712.698999999999
500,511010.XSHG,2014-09-22,14.560924499999999,97.07283,,500,sell,filled,48536.415
7000,510500.XSHG,2014-09-22,8.252844599999998,3.9299259999999996,,7000,buy,filled,27509.481999999996
6800,510180.XSHG,2014-09-22,5.0,1.6896879999999999,,6800,buy,filled,11489.8784
9200,159901.XSHE,2014-09-22,5.0,1.4344329999999998,,9200,buy,filled,13196.783599999999
200,511010.XSHG,2014-09-29,5.82383034,97.063839,,200,sell,filled,19412.7678
4800,510180.XSHG,2014-09-29,5.0,1.694304,,4800,sell,filled,8132.6592
5600,510500.XSHG,2014-09-29,6.719993279999999,3.9999959999999994,,5600,buy,filled,22399.9776
300,159901.XSHE,2014-09-29,5.0,1.443442,,300,buy,filled,433.03259999999995
100,511010.XSHG,2014-10-08,5.0,98.294607,,100,sell,filled,9829.4607
2500,510500.XSHG,2014-10-08,5.0,4.077073,,2500,buy,filled,10192.6825
500,159901.XSHE,2014-10-08,5.0,1.460459,,500,buy,filled,730.2295
1100,510180.XSHG,2014-10-08,5.0,1.7107089999999998,,1100,buy,filled,1881.7798999999998
217000,510180.XSHG,2014-10-13,110.88450449999999,1.703295,,217000,sell,filled,369615.015
2400,510500.XSHG,2014-10-13,5.0,4.077073,,2400,buy,filled,9784.9752
22600,159901.XSHE,2014-10-13,9.935845919999997,1.4654639999999999,,22600,buy,filled,33119.486399999994
