symbol,entry_date,exit_date,status,entry_kind,entry_score,entry_gross,exit_gross,gross_pnl,total_costs,net_pnl,net_return,holding_days,had_partial_exit,partial_exit_count,exit_reason
SH601318,2019-04-22,2019-04-26,closed,right,211.31597194667086,122110.80170898436,118354.76393895257,-3756.0377700317913,190.49443363333364,-3946.532203665125,-0.032268931958521554,4.0,True,1,exit_resonance
SH601766,2019-04-22,2019-04-24,closed,right,201.1156185975461,125030.40352478028,119960.40686363804,-5069.996661142242,193.45764998016352,-5263.454311122406,-0.04203235918254279,2.0,False,0,exit_resonance
SZ000001,2019-04-22,2019-04-26,closed,right,208.91040035362047,125577.19507904054,121070.8919742075,-4506.303104833045,195.0653180901819,-4701.368422923227,-0.0373800105689321,4.0,False,0,exit_resonance
SZ000980,2019-04-22,2019-04-24,closed,right,212.25387007737925,125722.80180244446,113741.17972959227,-11981.622072852188,185.5803741892033,-12167.20244704139,-0.09663536483196435,2.0,False,0,exit_hard_stop
SZ000983,2019-04-22,2019-04-30,closed,right,206.70783326330306,125719.19836921692,115218.69070550335,-10500.507663713564,187.50005742791942,-10688.007721141485,-0.08488831694183833,8.0,False,0,exit_hard_stop
SZ000997,2019-04-29,2019-05-06,closed,right,205.1577171836862,117911.99771118164,102588.24395650224,-15323.753754679405,168.7383164568074,-15492.492071136212,-0.1312025364366799,7.0,False,0,exit_hard_stop
SZ300459,2019-04-29,2019-05-07,closed,right,206.85507792548418,118447.80393676758,111427.45379386627,-7020.350142901312,180.3900311130564,-7200.740174014369,-0.06070007418273616,8.0,True,1,exit_hard_stop
SH600410,2019-05-13,2019-05-27,closed,right,211.67897989346548,116219.99885559082,123083.80030133983,6863.801445749006,194.87494004841903,6668.926505700587,0.05728586295087661,14.0,True,1,exit_resonance
SH601933,2019-05-13,2019-05-27,closed,right,204.81496352864022,115572.78910522461,117196.48433179325,1623.6952265686414,187.02726636289862,1436.6679602057427,0.012410765715056572,14.0,False,0,exit_resonance
SH603658,2019-05-13,2019-05-28,closed,right,202.05130944347894,114123.60274658204,113717.4002620281,-406.20248455394176,182.06970116461113,-588.2721857185529,-0.005146482874570148,15.0,True,1,exit_resonance
