symbol,net_pnl,return_contribution,holding_days,average_weight_when_held,maximum_weight,average_portfolio_weight,positive_contribution_share
SH588200,26491.242600000034,0.04833370633440286,15,0.33078371541962814,0.3472685895186896,0.001767007026814253,0.014317070833878029
SZ159638,22518.51,0.04144066568424507,5,0.3347237855259011,0.33590923938648354,0.0005960181366201942,0.012170025680237073
SH515700,21117.115999999998,0.06200024716213226,40,0.33598258580171914,0.3552278114375233,0.00478607672082221,0.01141264870599987
SH512120,20725.080499999975,0.05714135507118775,35,0.3333896885304433,0.33950368461066815,0.004155498254474898,0.011200774914058713
SH512760,20550.655599999984,0.06139560295032677,45,0.3350056973170564,0.3626142496141844,0.005368681046747699,0.011106507775057391
SH513290,20449.089500000035,0.03795742907875546,40,0.33480430907850334,0.34534325212743555,0.004769292152115432,0.011051616841099465
SZ159928,19046.112800000035,0.07695636308483697,105,0.33880486895182427,0.3728784564440368,0.01266898548430967,0.01029338450389002
SH516510,17948.260199999997,0.051017291159017375,20,0.33300575707371205,0.34101056359716364,0.0023718358765933904,0.009700055090215869
SZ159502,17479.77170000004,0.02434570083132762,35,0.33475614152719996,0.3622910324046072,0.004172530254078347,0.009446862624289162
SH588080,17420.634110086474,0.02969654188138773,25,0.3313755872154228,0.3494206945471135,0.0029502812252085366,0.009414901984445964
SZ159790,17121.557700000016,0.03470599121259674,15,0.33538494980577455,0.34084245244000044,0.001791586270329992,0.00925326750724897
SH512290,16817.728799999986,0.04899181824447121,30,0.3314743741097246,0.3379743313044714,0.003541392885787656,0.00908906456862654
SH510290,16454.0267,0.07117602515117577,30,0.2747987818537069,0.34517091875627265,0.0029358844215139623,0.008892503433056025
SZ159915,14514.938799999967,0.049039754817562266,180,0.4170368784177264,0.9994265420351851,0.02673313323190554,0.007844532251160006
SH588100,14469.497900000004,0.04009162841557423,5,0.3286480509780275,0.3372641828694006,0.0005851995209722713,0.007819973924701787
SH515220,14413.843461373752,0.0463530374601408,45,0.3285116886347617,0.359504160646008,0.005264610394787848,0.007789895738032213
SZ159907,14154.5426,0.057883213812529324,20,0.33074568070229843,0.34006335312248204,0.002355738466540587,0.007649757774116033
SH512400,13472.18459839408,0.03206641169147377,50,0.33425108371129725,0.35881535590390345,0.005951764311098597,0.0072809805147565415
SH560860,12876.524199999994,0.022580352998916642,5,0.3476468485215796,0.35654804374159416,0.0006190292886780264,0.006959058578307093
SZ159949,12596.310400000006,0.012815724384460181,75,0.3343483076835825,0.34631585310993057,0.008930243260779448,0.006807618312412206
SH510260,12562.409900000008,0.04460872709546425,20,0.34103044342902694,0.3508548773654581,0.002428991762315007,0.006789296942322762
SZ159731,12448.71040000001,0.018790121365925432,5,0.3319569583789445,0.34584986615503477,0.0005910914501049582,0.006727848567859705
SH516160,11945.844666666675,0.039859640084751666,20,0.33676650014118825,0.3458888936814633,0.002398621795877409,0.006456077083495156
SZ159755,11875.712400000011,0.03675921977156329,5,0.3383160048801044,0.34074188059835914,0.0006024145386041745,0.006418174420914615
SZ159738,11730.499200000011,0.025118997127135605,10,0.3390796383929183,0.34287018898222105,0.00120754856977535,0.006339694611499632
SZ159529,11486.935999999947,0.022156181401924727,25,0.46601576017494495,0.999832117400391,0.00414900071380827,0.006208061994654134
SH520500,11439.993800000042,0.020910585509708056,15,0.33402325528462007,0.33789469689020507,0.0017843122611357909,0.006182692297481201
SH515050,11375.626800000011,0.029671181408946565,25,0.3343871977519578,0.3480479914846303,0.002977093997079396,0.006147905446887614
SH515030,11209.91799999999,0.030741904298382878,35,0.3342498843935076,0.34029004284133624,0.004166220069007395,0.006058348884244637
SZ159363,11124.542799999988,0.01852274486421251,15,0.3375721121573757,0.3517168916086784,0.0018032698299005113,0.006012208248098843
SH510500,10709.776800000016,0.06045041715196188,75,0.3563083696299805,0.6655847778926626,0.009516783376869137,0.005788049861452086
SH513700,10671.552799999987,0.023505243585415635,5,0.3303781635885974,0.3350377086288818,0.0005882802058201521,0.005767391875572837
SH515950,10466.763300000002,0.02781961662013135,10,0.33039377733476166,0.33868620158062085,0.001176616016149436,0.005656714327456077
SH513120,10283.700099999998,0.028229466784493958,25,0.33566172253460325,0.34564857544729416,0.002988441261882151,0.005557778658750358
SZ159892,9451.363200000009,0.028571287814300888,10,0.33561587290843453,0.34134396933539146,0.0011952132226083852,0.00510794599008761
SH513050,9447.277800000007,0.03293851113151923,90,0.33526180017211377,0.3500130729735831,0.01074557051833698,0.005105738054353227
SZ159350,9315.669600000023,0.01581442906486261,5,0.3354180865273485,0.33928861957922674,0.0005972544275771875,0.005034611004929016
SH517180,8351.688360555581,0.020138481784914425,20,0.33489901522385346,0.34512944275286883,0.0023853206212525175,0.004513631755444675
SZ159880,8159.652799999997,0.0229375061947177,5,0.33818549416583377,0.3402322873111599,0.0006021821477311855,0.004409847015536032
SH513780,7857.4219000000185,0.020518839972038242,10,0.33240297336992414,0.33303927955606344,0.001183771272684915,0.004246507708700859
SH516150,7113.402200000018,0.02883612312911265,25,0.32780591076456306,0.33879918509287327,0.002918499917775668,0.003844405666620709
SZ159902,6930.528151541749,0.05290396169868589,150,0.3428764537969967,0.501009115785473,0.018316049882318202,0.0037455722240001253
SZ159865,6830.601999999992,0.019755625276971722,5,0.33840864431868345,0.3492145822123214,0.0006025794948694507,0.003691567592681692
SZ159995,6717.0817999999945,0.0164566851702662,10,0.3338483422175239,0.3382491380398909,0.0011889185976407546,0.0036302161200831226
SH510810,6618.595712723264,0.019908625681310486,20,0.3334258451318616,0.33659289693260747,0.0023748279567796407,0.0035769897649066975
SH516800,6579.880600000006,0.018443889222706625,5,0.33150406092926,0.33352995944052033,0.0005902850087771724,0.0035560663594036103
