trial,top_k,universe,lookback,r2_threshold,score_max,buffer_ratio,ordinal_rank_buffer_extra,rebalance_interval_days,rebalance_phase,regime_use_hysteresis,cost_bp,initial_cash,adv_participation,trading_days,total_return,annualized_return,annualized_volatility,sharpe,maximum_drawdown,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_exposure,longest_underwater_trading_days,worst_rolling_three_year_return,use_r2,use_ordinary_filters,use_buffer,use_regime,weak_pool_switch,use_mainline,use_retention,regime_filter_relaxation,regime_dynamic_lookback,regime_buffer_disable
S_top1_r20_weak1_d10_rank2,1,original_like,25,0.4,5.0,0.9,2,10,0,False,10.0,200000.0,,2808,1.03108683132599,0.06565507955542582,0.2798307533214421,0.36783905756800894,0.5284750030829194,457.34234341296667,41.04354363962521,150022.8645134657,0.004265334815391607,0.9957346651846084,1394,-0.46776715941187563,False,True,True,True,True,False,False,False,False,False
S_top1_r20_weak1_d10_rank4,1,original_like,25,0.4,5.0,0.9,4,10,0,False,10.0,200000.0,,2808,1.0744758429956467,0.06767849619299837,0.2738395035172184,0.3765070731092537,0.4893897743046325,442.5254467286765,39.71382214231713,157185.7526905617,0.003380028209836067,0.996619971790164,1134,-0.35092825004589157,False,True,True,True,True,False,False,False,False,False
S_top1_r20_weak1_d20_rank0,1,original_like,25,0.4,5.0,0.9,0,20,0,False,10.0,200000.0,,2808,1.303000868079808,0.07773893629107076,0.296807426132865,0.4010608910708511,0.44580179452749114,263.61099849904633,23.657397301196468,68531.14223822864,0.00538917980061789,0.9946108201993821,1520,-0.42649284843625623,False,True,True,True,True,False,False,False,False,False
S_top1_r20_weak1_d20_rank2,1,original_like,25,0.4,5.0,0.9,2,20,0,False,10.0,200000.0,,2808,1.8051735435575198,0.09698708506818021,0.2983804642318136,0.4597986206786473,0.4181591580405426,255.7872868151607,22.955269329565706,75646.37893232997,0.003960221445890256,0.9960397785541099,1068,-0.3876481375292813,False,True,True,True,True,False,False,False,False,False
S_top1_r20_weak1_d20_rank4,1,original_like,25,0.4,5.0,0.9,4,20,0,False,10.0,200000.0,,2808,1.8244469836036985,0.09766138047568251,0.2984600556975794,0.46181380247277487,0.4181591580405426,241.13782173944855,21.64057374584795,72044.96587313703,0.003762202050884023,0.996237797949116,1068,-0.3876481375292813,False,True,True,True,True,False,False,False,False,False
S_top1_r21_weak0_d1_rank0,1,original_like,25,0.4,5.0,0.9,0,1,0,False,10.0,200000.0,,2808,-0.7105387652094977,-0.1052922676382817,0.29664538640576005,-0.22677254739487474,0.8503423704781887,2281.0799734682882,204.71230531125664,317420.39181911736,0.007768715120843842,0.992231284879156,2513,-0.7110836482986993,True,True,True,False,False,False,False,False,False,False
S_top1_r21_weak0_d1_rank2,1,original_like,25,0.4,5.0,0.9,2,1,0,False,10.0,200000.0,,2808,-0.6034005738551403,-0.07964648781468364,0.2880274722706497,-0.1441375769759146,0.7652922939271409,1961.564514114794,176.03784101030203,315832.379685303,0.005791237842401808,0.9942087621575982,2178,-0.5984334257431366,True,True,True,False,False,False,False,False,False,False
S_top1_r21_weak0_d1_rank4,1,original_like,25,0.4,5.0,0.9,4,1,0,False,10.0,200000.0,,2808,-0.46543707694747083,-0.0546565077429263,0.28046544894173325,-0.060260022888144964,0.7144496318834199,1863.133508360974,167.2042892118823,318552.7298831116,0.00603896058641215,0.9939610394135877,2343,-0.549997074181299,True,True,True,False,False,False,False,False,False,False
S_top1_r21_weak0_d5_rank0,1,original_like,25,0.4,5.0,0.9,0,5,0,False,10.0,200000.0,,2808,1.9438712155929485,0.10174847247733365,0.2999812351417585,0.4734636710146658,0.6464787489553535,826.6457060135546,74.18615310378054,319837.81908912264,0.0027191159522600558,0.99728088404774,1175,-0.6051116318105838,True,True,True,False,False,False,False,False,False,False
S_top1_r21_weak0_d5_rank2,1,original_like,25,0.4,5.0,0.9,2,5,0,False,10.0,200000.0,,2808,2.2285733820593094,0.11091401057065853,0.29525118445398757,0.5041747782877304,0.5862972216762112,774.1727966589766,69.47704585401073,307413.3859119118,0.002697949567484496,0.9973020504325154,1175,-0.5219271271210563,True,True,True,False,False,False,False,False,False,False
S_top1_r21_weak0_d5_rank4,1,original_like,25,0.4,5.0,0.9,4,5,0,False,10.0,200000.0,,2808,1.0050021264927982,0.06441961734571522,0.29540549477223194,0.35942382936977463,0.7065642939154315,729.840357991399,65.49849366589478,258696.33231386665,0.0025605823493466237,0.9974394176506532,1175,-0.6609029651543892,True,True,True,False,False,False,False,False,False,False
S_top1_r21_weak0_d10_rank0,1,original_like,25,0.4,5.0,0.9,0,10,0,False,10.0,200000.0,,2808,2.1779312104968738,0.10933891815444485,0.29601688267283544,0.49892298246189576,0.602089373372674,483.8644143361646,43.42372949170708,212620.0707316248,0.002799002724626789,0.9972009972753733,1070,-0.602089373372674,True,True,True,False,False,False,False,False,False,False
S_top1_r21_weak0_d10_rank2,1,original_like,25,0.4,5.0,0.9,2,10,0,False,10.0,200000.0,,2808,2.0728287050761804,0.10599570838664985,0.29324207380168044,0.49056214710617485,0.5980882568905483,458.0321511863425,41.105449465441,217302.73103056202,0.0032539227782971275,0.9967460772217029,1070,-0.5980882568905483,True,True,True,False,False,False,False,False,False,False
S_top1_r21_weak0_d10_rank4,1,original_like,25,0.4,5.0,0.9,4,10,0,False,10.0,200000.0,,2808,1.0227585402094168,0.06526220006937056,0.29198234814569113,0.3629066244358754,0.6792325565678695,443.1469249360368,39.769595827593044,174954.76527398906,0.003219183029354199,0.9967808169706459,1070,-0.6792325565678695,True,True,True,False,False,False,False,False,False,False
S_top1_r21_weak0_d20_rank0,1,original_like,25,0.4,5.0,0.9,0,20,0,False,10.0,200000.0,,2808,6.996188227688206,0.20511352985958764,0.30884376225494053,0.7587812298925449,0.40817681004096296,267.95672964644353,24.047398814424422,166564.6851557965,0.0020606678155202173,0.9979393321844797,1223,-0.3700496500712971,True,True,True,False,False,False,False,False,False,False
S_top1_r21_weak0_d20_rank2,1,original_like,25,0.4,5.0,0.9,2,20,0,False,10.0,200000.0,,2808,9.882597184067162,0.23891097733948263,0.31503723438214976,0.8377148825000473,0.4324993784597211,260.1753132438778,23.34906657316852,186388.8010496161,0.0021689891575518996,0.9978310108424481,1129,-0.3416398562577947,True,True,True,False,False,False,False,False,False,False
S_top1_r21_weak0_d20_rank4,1,original_like,25,0.4,5.0,0.9,4,20,0,False,10.0,200000.0,,2808,10.597182731886173,0.24600221430737812,0.31533174036279904,0.8553472490499624,0.4324475411733514,258.6384593950911,23.21114379186715,196604.09811345726,0.0025162847748797096,0.9974837152251202,1047,-0.29837058593262145,True,True,True,False,False,False,False,False,False,False
S_top1_r21_weak1_d1_rank0,1,original_like,25,0.4,5.0,0.9,0,1,0,False,10.0,200000.0,,2808,0.6899307344056853,0.04821355978636155,0.2618497228611111,0.310241307215092,0.6577269453390169,2465.334078896204,221.24793015735168,456084.60586642206,0.00847018665515286,0.9915298133448472,2291,-0.5080139059522153,True,True,True,True,True,False,False,False,False,False
S_top1_r21_weak1_d1_rank2,1,original_like,25,0.4,5.0,0.9,2,1,0,False,10.0,200000.0,,2808,0.6233649116653097,0.04444001193552771,0.2502547460130663,0.2985817421628195,0.5198619376153555,2179.171296749987,195.5666548365373,462243.55815274036,0.00688077485185908,0.9931192251481411,2166,-0.3636259902148258,True,True,True,True,True,False,False,False,False,False
S_top1_r21_weak1_d1_rank4,1,original_like,25,0.4,5.0,0.9,4,1,0,False,10.0,200000.0,,2808,0.5226209964287716,0.03845204250466061,0.2467944138190849,0.2760893716704522,0.3951764361354607,2083.602028455966,186.9899256306636,465545.2530127895,0.0064721662073436974,0.9935278337926562,1942,-0.3330074164239669,True,True,True,True,True,False,False,False,False,False
S_top1_r21_weak1_d5_rank0,1,original_like,25,0.4,5.0,0.9,0,5,0,False,10.0,200000.0,,2808,7.872749687397123,0.2164160696231998,0.2693947712037949,0.8618929150992521,0.2952414772700537,832.1647297089662,74.68145010208671,448954.97941168107,0.00307750960697915,0.9969224903930208,819,-0.23566807025093273,True,True,True,True,True,False,False,False,False,False
S_top1_r21_weak1_d5_rank2,1,original_like,25,0.4,5.0,0.9,2,5,0,False,10.0,200000.0,,2808,6.680864952265837,0.2007701504748176,0.2583503210498423,0.8376281644948771,0.3314193562771802,754.5583582603838,67.7167757413165,396805.41932802106,0.0037310290315871915,0.9962689709684129,871,-0.27912793062299124,True,True,True,True,True,False,False,False,False,False
S_top1_r21_weak1_d5_rank4,1,original_like,25,0.4,5.0,0.9,4,5,0,False,10.0,200000.0,,2808,6.496574013902986,0.19815590143141026,0.25726632939534233,0.8316210394137177,0.331420462730179,735.0737263753134,65.96815493111788,402822.7126123556,0.00353124934195476,0.9964687506580453,819,-0.22883937893371786,True,True,True,True,True,False,False,False,False,False
S_top1_r21_weak1_d10_rank0,1,original_like,25,0.4,5.0,0.9,0,10,0,False,10.0,200000.0,,2808,2.8734685899088213,0.12921908244883928,0.26864100076240116,0.5870893210976988,0.48685869959152794,473.3637059810136,42.48135822906532,184827.72506658736,0.005093703847823163,0.9949062961521769,1315,-0.4444409709743141,True,True,True,True,True,False,False,False,False,False
S_top1_r21_weak1_d10_rank2,1,original_like,25,0.4,5.0,0.9,2,10,0,False,10.0,200000.0,,2808,2.482290830322142,0.11848177979149921,0.26484362133527944,0.5555934668002785,0.47940494880363216,439.37174676448717,39.430797786556546,178692.99849498717,0.005386198655985668,0.9946138013440142,1135,-0.4363902593351139,True,True,True,True,True,False,False,False,False,False
S_top1_r21_weak1_d10_rank4,1,original_like,25,0.4,5.0,0.9,4,10,0,False,10.0,200000.0,,2808,2.222376561104495,0.11072248716857036,0.26355916036114524,0.5305978802619028,0.48255752317445477,429.65736261197657,38.558994080562,168890.84484000033,0.005496208554738915,0.9945037914452611,1135,-0.4397809854172523,True,True,True,True,True,False,False,False,False,False
S_top1_r21_weak1_d20_rank0,1,original_like,25,0.4,5.0,0.9,0,20,0,False,10.0,200000.0,,2808,2.925291117518446,0.13056671069290826,0.28403621748002206,0.5744246547812625,0.42483530575173567,252.6424478546467,22.67304019208368,103410.30919805492,0.005018374409387853,0.9949816255906122,1068,-0.38591661833371993,True,True,True,True,True,False,False,False,False,False
S_top1_r21_weak1_d20_rank2,1,original_like,25,0.4,5.0,0.9,2,20,0,False,10.0,200000.0,,2808,2.668713272938694,0.12372875016964158,0.2844539133692174,0.5526510504946504,0.40298189449223487,247.34615099552352,22.197731499598266,101567.20303793035,0.004165266589511929,0.9958347334104882,1061,-0.3443454040880112,True,True,True,True,True,False,False,False,False,False
S_top1_r21_weak1_d20_rank4,1,original_like,25,0.4,5.0,0.9,4,20,0,False,10.0,200000.0,,2808,2.48970180426298,0.11869519349708368,0.28301481364705555,0.5381564976114578,0.40296572531123953,239.67472400828618,21.509270103307735,97118.00899819832,0.006168149390070265,0.9938318506099296,1014,-0.3345609663386202,True,True,True,True,True,False,False,False,False,False
S_top3_r20_weak0_d1_rank0,3,original_like,25,0.4,5.0,0.9,0,1,0,False,10.0,200000.0,,2808,-0.7813098436760098,-0.12752316337288594,0.2655806505804257,-0.38019376810765126,0.8941068722179086,2059.226512242961,184.80237930385547,262501.31407012185,0.014723701240465167,0.9852762987595349,2655,-0.7151613849147649,False,True,True,False,False,False,False,False,False,False
S_top3_r20_weak0_d1_rank2,3,original_like,25,0.4,5.0,0.9,2,1,0,False,10.0,200000.0,,2808,-0.7820682322604404,-0.12779512418383798,0.2616635260165837,-0.3910067644512302,0.8846875508000991,1925.7513758004561,172.82384141798966,232792.26646051183,0.014400981638038077,0.985599018361962,2655,-0.6930087168124128,False,True,True,False,False,False,False,False,False,False
S_top3_r20_weak0_d1_rank4,3,original_like,25,0.4,5.0,0.9,4,1,0,False,10.0,200000.0,,2808,-0.7272742869365016,-0.11006142217099102,0.2593581980632921,-0.3191977419703349,0.8672932120114243,1814.6971415233927,162.8574357777404,230407.41893054018,0.014412359139266178,0.9855876408607339,2712,-0.6586950321444263,False,True,True,False,False,False,False,False,False,False
S_top3_r20_weak0_d5_rank0,3,original_like,25,0.4,5.0,0.9,0,5,0,False,10.0,200000.0,,2808,0.8574145170484073,0.057140823401994556,0.25961570988180566,0.3443877724069195,0.6632094341940307,780.4531357245849,70.0406660265653,224963.81585547124,0.013908395371900141,0.9860916046281,1175,-0.5940128123579452,False,True,True,False,False,False,False,False,False,False
S_top3_r20_weak0_d5_rank2,3,original_like,25,0.4,5.0,0.9,2,5,0,False,10.0,200000.0,,2808,0.7273091051885434,0.05027358169038654,0.25784171524468263,0.3197310462259354,0.6728146810751146,748.2420494679969,67.1499275163587,217167.2732955095,0.01381118010572774,0.9861888198942724,1175,-0.5976327910400019,False,True,True,False,False,False,False,False,False,False
S_top3_r20_weak0_d5_rank4,3,original_like,25,0.4,5.0,0.9,4,5,0,False,10.0,200000.0,,2808,1.183003239510024,0.07257570919315559,0.25650312282780585,0.40194580008470204,0.6637255254102152,726.2380347549692,65.17520824724083,246712.27587043552,0.013967028401273356,0.9860329715987266,1176,-0.593486781183217,False,True,True,False,False,False,False,False,False,False
S_top3_r20_weak0_d10_rank0,3,original_like,25,0.4,5.0,0.9,0,10,0,False,10.0,200000.0,,2808,0.8241257987363972,0.05542649804367872,0.2635527200365013,0.3371712476621158,0.5083675319789834,460.92659565351556,41.36520730223858,119638.28631126347,0.008534809236440653,0.9914651907635592,1310,-0.4527951401809399,False,True,True,False,False,False,False,False,False,False
S_top3_r20_weak0_d10_rank2,3,original_like,25,0.4,5.0,0.9,2,10,0,False,10.0,200000.0,,2808,1.4537252623235921,0.0838879265796153,0.2587008164756118,0.441229434663769,0.5134294147817555,448.4845704802511,40.248615299509716,150448.56860455486,0.009332614743705217,0.9906673852562949,1175,-0.458421369038006,False,True,True,False,False,False,False,False,False,False
S_top3_r20_weak0_d10_rank4,3,original_like,25,0.4,5.0,0.9,4,10,0,False,10.0,200000.0,,2808,1.2782851670250786,0.07669583497786658,0.2566766783910003,0.4167283320041223,0.555767876002195,433.4072624584057,38.895523553959485,141971.6530872946,0.009651938370779212,0.9903480616292207,1175,-0.5058780028554194,False,True,True,False,False,False,False,False,False,False
S_top3_r20_weak0_d20_rank0,3,original_like,25,0.4,5.0,0.9,0,20,0,False,10.0,200000.0,,2808,1.7283501049868861,0.09425676350342882,0.26918705432495194,0.4695722476510327,0.4937239747911887,262.90286191232497,23.59384658187532,65336.13391612901,0.007437433976164697,0.9925625660238353,1486,-0.44472506766785613,False,True,True,False,False,False,False,False,False,False
S_top3_r20_weak0_d20_rank2,3,original_like,25,0.4,5.0,0.9,2,20,0,False,10.0,200000.0,,2808,2.147397558605497,0.10837817218062118,0.2700437676365445,0.5163466083779793,0.4977567266903977,258.55729414337026,23.20385973081528,70079.4042235233,0.00756103322995082,0.9924389667700493,1469,-0.43634842730595613,False,True,True,False,False,False,False,False,False,False
S_top3_r20_weak0_d20_rank4,3,original_like,25,0.4,5.0,0.9,4,20,0,False,10.0,200000.0,,2808,2.263639586738942,0.1119915288350053,0.2697574563037386,0.5286768548042213,0.4992063013483651,255.44844579118686,22.9248605197219,70380.34712389602,0.007589642906009697,0.9924103570939903,1466,-0.42745914540402363,False,True,True,False,False,False,False,False,False,False
S_top3_r20_weak1_d1_rank0,3,original_like,25,0.4,5.0,0.9,0,1,0,False,10.0,200000.0,,2808,0.20653788379940674,0.016992566881143478,0.22877621746494334,0.18802494157685207,0.6225859715066029,2267.445771034788,203.48872304158354,417446.42081892124,0.02489485547439741,0.9751051445256025,2597,-0.463878010836402,False,True,True,True,True,False,False,False,False,False
S_top3_r20_weak1_d1_rank2,3,original_like,25,0.4,5.0,0.9,2,1,0,False,10.0,200000.0,,2808,0.15275622589345228,0.012839296144892431,0.22445803272543297,0.16912755438135288,0.6208392261493361,2156.6622343625368,193.5466107761251,380224.64060294675,0.023623563608468765,0.9763764363915312,2597,-0.4187701876345439,False,True,True,True,True,False,False,False,False,False
S_top3_r20_weak1_d1_rank4,3,original_like,25,0.4,5.0,0.9,4,1,0,False,10.0,200000.0,,2808,0.576170632019944,0.041678314832520824,0.22418724562766268,0.2942284648010453,0.5593779477486646,2055.702175272742,184.48609265268198,429617.40802812524,0.0242813101452752,0.9757186898547249,2581,-0.3681661916175636,False,True,True,True,True,False,False,False,False,False
S_top3_r20_weak1_d5_rank0,3,original_like,25,0.4,5.0,0.9,0,5,0,False,10.0,200000.0,,2808,3.2889569484530075,0.13959231109632841,0.2358949331562747,0.6721379598038817,0.34619811972362047,798.0246670057951,71.6175983210329,279454.97380700323,0.015776426219360047,0.9842235737806398,966,-0.20791661172489095,False,True,True,True,True,False,False,False,False,False
S_top3_r20_weak1_d5_rank2,3,original_like,25,0.4,5.0,0.9,2,5,0,False,10.0,200000.0,,2808,3.7784488345768663,0.15069876895252166,0.23499829814747336,0.7150834853515078,0.3436213551719747,785.7128145460065,70.51268848489802,290127.29506114917,0.01675366219453713,0.9832463378054629,875,-0.14541358041886276,False,True,True,True,True,False,False,False,False,False
S_top3_r20_weak1_d5_rank4,3,original_like,25,0.4,5.0,0.9,4,5,0,False,10.0,200000.0,,2808,3.4807341902351636,0.14407478414827013,0.23369457744965733,0.6930114183142649,0.34623029557269136,765.0956853411977,68.66243329985109,284763.16624411056,0.016878384372372723,0.9831216156276273,966,-0.15567756671883526,False,True,True,True,True,False,False,False,False,False
S_top3_r20_weak1_d10_rank0,3,original_like,25,0.4,5.0,0.9,0,10,0,False,10.0,200000.0,,2808,1.4626978190768631,0.08424303125577626,0.23982552929855752,0.45807111983255105,0.4887447692328276,445.32409598362,39.964982972888976,118875.31068305374,0.014967633107753682,0.9850323668922462,1469,-0.45000610336584557,False,True,True,True,True,False,False,False,False,False
S_top3_r20_weak1_d10_rank2,3,original_like,25,0.4,5.0,0.9,2,10,0,False,10.0,200000.0,,2808,2.16219215032203,0.10884474071869588,0.23407914063555021,0.5591249364452229,0.35949021564152484,434.89274957407713,39.028836500237695,147340.68572486655,0.01366141550471629,0.9863385844952838,1133,-0.3206720167690895,False,True,True,True,True,False,False,False,False,False
S_top3_r20_weak1_d10_rank4,3,original_like,25,0.4,5.0,0.9,4,10,0,False,10.0,200000.0,,2808,2.410408687648684,0.11639006076378755,0.23255374584534008,0.5904334824271797,0.3534959980749499,423.9923598225803,38.05059639433413,152831.55331977824,0.015903261076715313,0.9840967389232846,1132,-0.2953537535207792,False,True,True,True,True,False,False,False,False,False
S_top3_r20_weak1_d20_rank0,3,original_like,25,0.4,5.0,0.9,0,20,0,False,10.0,200000.0,,2808,1.7462802133101438,0.09490020637788543,0.24104737748440655,0.4973605659421416,0.44261020661486095,252.36070797142355,22.647755843589294,65233.22422386245,0.011032587175344713,0.9889674128246553,1511,-0.42419461381179924,False,True,True,True,True,False,False,False,False,False
S_top3_r20_weak1_d20_rank2,3,original_like,25,0.4,5.0,0.9,2,20,0,False,10.0,200000.0,,2808,1.9290462326134157,0.10124940561002238,0.24052240211705214,0.5219706189839572,0.45502548926477526,244.55936698001045,21.94763549820607,63630.73085754198,0.00765912703227417,0.9923408729677258,1512,-0.43701364632202866,False,True,True,True,True,False,False,False,False,False
S_top3_r20_weak1_d20_rank4,3,original_like,25,0.4,5.0,0.9,4,20,0,False,10.0,200000.0,,2808,1.888731049842221,0.0998805187561922,0.2399941942357148,0.5174008259716697,0.45878222244197864,239.32155301957468,21.477575270987472,61924.74850275685,0.00844123865809051,0.9915587613419095,1512,-0.44088980131585187,False,True,True,True,True,False,False,False,False,False
S_top3_r21_weak0_d1_rank0,3,original_like,25,0.4,5.0,0.9,0,1,0,False,10.0,200000.0,,2808,-0.7071292660281907,-0.10435153164106659,0.24658084491678567,-0.3231759196883292,0.8101855455093804,1917.7535566230247,172.10608841488684,311605.9033580161,0.024677639334097907,0.9753223606659022,2712,-0.6821421853388026,True,True,True,False,False,False,False,False,False,False
S_top3_r21_weak0_d1_rank2,3,original_like,25,0.4,5.0,0.9,2,1,0,False,10.0,200000.0,,2808,-0.7013040010962461,-0.10276707316760769,0.24255775243590497,-0.32523537965842897,0.7974487814238264,1816.383645852917,163.00878873039,291249.93150321295,0.023254711204408807,0.9767452887955912,2712,-0.6468491514274006,True,True,True,False,False,False,False,False,False,False
